sample_id,decision_mode,canonical_status,horizon_ms,row_count,effective_future_age_ms_min,effective_future_age_ms_mean,effective_future_age_ms_max,effective_future_row_delta_min,effective_future_row_delta_mean,effective_future_row_delta_max,distinct_future_row_delta_count,distinct_effective_age_count,mean_age_alias_group,aliasing_status
xemm_0609_normal_b_event,event,canonical_event_mode,10000,3322,10000.225281,10245.38651225,10991.755488,18,18.99277544,20,3,3312,10000,distinct_mean_effective_age
xemm_0609_active_a_event,event,canonical_event_mode,100,3338,103.305643,540.14861097,1786.263117,1,1.00119832,2,2,3326,100,distinct_mean_effective_age
xemm_0609_active_a_event,event,canonical_event_mode,250,3338,250.013637,568.44813854,1786.263117,1,1.04793289,2,2,3325,250,distinct_mean_effective_age
xemm_0609_active_a_event,event,canonical_event_mode,500,3338,500.057954,737.47647422,1786.263117,1,1.33972439,3,3,3324,500,distinct_mean_effective_age
xemm_0609_active_a_event,event,canonical_event_mode,1000,3336,1000.076087,1187.24719015,2605.256264,1,2.19754197,4,4,3323,1000,distinct_mean_effective_age
xemm_0609_active_a_event,event,canonical_event_mode,5000,3329,5000.034684,5363.54402063,6516.228908,7,9.90778011,13,7,3316,5000,distinct_mean_effective_age
xemm_0609_active_a_event,event,canonical_event_mode,10000,3319,10000.406785,10253.02191654,11247.463322,16,18.9930702,22,7,3306,10000,distinct_mean_effective_age
xemm_0609_active_b_event,event,canonical_event_mode,100,3341,100.121746,541.58535568,1160.400358,1,1.00478899,2,2,3325,100,distinct_mean_effective_age
xemm_0609_active_b_event,event,canonical_event_mode,250,3341,250.05016,565.01544543,1197.929147,1,1.04429811,2,2,3325,250,distinct_mean_effective_age
xemm_0609_active_b_event,event,canonical_event_mode,500,3341,500.214202,725.30516659,1594.334037,1,1.31756959,3,3,3326,500,distinct_mean_effective_age
xemm_0609_active_b_event,event,canonical_event_mode,1000,3339,1000.182647,1182.23281728,2020.40315,1,2.1901767,4,4,3320,1000,distinct_mean_effective_age
xemm_0609_active_b_event,event,canonical_event_mode,5000,3332,5000.0568,5362.29773373,6091.584165,8,9.92316927,11,4,3320,5000,distinct_mean_effective_age
xemm_0609_active_b_event,event,canonical_event_mode,10000,3323,10000.790803,10242.88369091,10997.872927,18,18.99518507,20,3,3310,10000,distinct_mean_effective_age
