exposure_id,side,quote_px,reference_mid_px,distance_ticks,start_exchange_time_ms,end_exchange_time_ms,duration_seconds,arrival_count,arrival_volume_btc,arrival_rate_per_second,pre_trade_side_depth_btc,max_sweep_depth_penetration,arrival_evidence_source,resting_confirmed,source,inference_scope
0722T066:1:buy:5.5,buy,65841,65846.5,5.5,1784713675000,1784713680000,5,0,0,0,5.69235,,pre_trade_l2_directional_at_or_through_trade_and_exposure_interval,False,public_multi_distance_counterfactual_non_resting_seed,hypothetical_quote_intent_public_observation_not_resting_proof
0722T066:1:buy:10.5,buy,65836,65846.5,10.5,1784713675000,1784713680000,5,0,0,0,5.69235,,pre_trade_l2_directional_at_or_through_trade_and_exposure_interval,False,public_multi_distance_counterfactual_non_resting_seed,hypothetical_quote_intent_public_observation_not_resting_proof
0722T066:1:sell:0.5,sell,65847,65846.5,0.5,1784713675000,1784713680000,5,1,0.00376,0.2,0.70205,0.00535574,pre_trade_l2_directional_at_or_through_trade_and_exposure_interval,False,public_multi_distance_counterfactual_non_resting_seed,hypothetical_quote_intent_public_observation_not_resting_proof
0722T066:1:sell:2.5,sell,65849,65846.5,2.5,1784713675000,1784713680000,5,0,0,0,0.70205,,pre_trade_l2_directional_at_or_through_trade_and_exposure_interval,False,public_multi_distance_counterfactual_non_resting_seed,hypothetical_quote_intent_public_observation_not_resting_proof
0722T066:1:sell:5.5,sell,65852,65846.5,5.5,1784713675000,1784713680000,5,0,0,0,0.70205,,pre_trade_l2_directional_at_or_through_trade_and_exposure_interval,False,public_multi_distance_counterfactual_non_resting_seed,hypothetical_quote_intent_public_observation_not_resting_proof
0722T066:1:sell:10.5,sell,65857,65846.5,10.5,1784713675000,1784713680000,5,0,0,0,0.70205,,pre_trade_l2_directional_at_or_through_trade_and_exposure_interval,False,public_multi_distance_counterfactual_non_resting_seed,hypothetical_quote_intent_public_observation_not_resting_proof
0722T066:2:buy:0.5,buy,65846,65846.5,0.5,1784713680000,1784713685000,5,2,0.00976,0.4,6.62898,0.000973,pre_trade_l2_directional_at_or_through_trade_and_exposure_interval,False,public_multi_distance_counterfactual_non_resting_seed,hypothetical_quote_intent_public_observation_not_resting_proof
0722T066:2:buy:2.5,buy,65844,65846.5,2.5,1784713680000,1784713685000,5,0,0,0,6.62898,,pre_trade_l2_directional_at_or_through_trade_and_exposure_interval,False,public_multi_distance_counterfactual_non_resting_seed,hypothetical_quote_intent_public_observation_not_resting_proof
0722T066:2:buy:5.5,buy,65841,65846.5,5.5,1784713680000,1784713685000,5,0,0,0,6.62898,,pre_trade_l2_directional_at_or_through_trade_and_exposure_interval,False,public_multi_distance_counterfactual_non_resting_seed,hypothetical_quote_intent_public_observation_not_resting_proof
0722T066:2:buy:10.5,buy,65836,65846.5,10.5,1784713680000,1784713685000,5,0,0,0,6.62898,,pre_trade_l2_directional_at_or_through_trade_and_exposure_interval,False,public_multi_distance_counterfactual_non_resting_seed,hypothetical_quote_intent_public_observation_not_resting_proof
0722T066:2:sell:0.5,sell,65847,65846.5,0.5,1784713680000,1784713685000,5,13,0.10521,2.6,0.12666,0.4172588,pre_trade_l2_directional_at_or_through_trade_and_exposure_interval,False,public_multi_distance_counterfactual_non_resting_seed,hypothetical_quote_intent_public_observation_not_resting_proof
0722T066:2:sell:2.5,sell,65849,65846.5,2.5,1784713680000,1784713685000,5,9,0.04619,1.8,0.12666,0.11534818,pre_trade_l2_directional_at_or_through_trade_and_exposure_interval,False,public_multi_distance_counterfactual_non_resting_seed,hypothetical_quote_intent_public_observation_not_resting_proof
0722T066:2:sell:5.5,sell,65852,65846.5,5.5,1784713680000,1784713685000,5,9,0.04619,1.8,0.12666,0.11534818,pre_trade_l2_directional_at_or_through_trade_and_exposure_interval,False,public_multi_distance_counterfactual_non_resting_seed,hypothetical_quote_intent_public_observation_not_resting_proof
0722T066:2:sell:10.5,sell,65857,65846.5,10.5,1784713680000,1784713685000,5,3,0.03508,0.6,0.12666,0.11534818,pre_trade_l2_directional_at_or_through_trade_and_exposure_interval,False,public_multi_distance_counterfactual_non_resting_seed,hypothetical_quote_intent_public_observation_not_resting_proof
0722T066:3:buy:0.5,buy,65857,65857.5,0.5,1784713685000,1784713690000,5,3,0.00748,0.6,19.37339,0.00023125,pre_trade_l2_directional_at_or_through_trade_and_exposure_interval,False,public_multi_distance_counterfactual_non_resting_seed,hypothetical_quote_intent_public_observation_not_resting_proof
0722T066:3:buy:2.5,buy,65855,65857.5,2.5,1784713685000,1784713690000,5,0,0,0,19.37339,,pre_trade_l2_directional_at_or_through_trade_and_exposure_interval,False,public_multi_distance_counterfactual_non_resting_seed,hypothetical_quote_intent_public_observation_not_resting_proof
0722T066:3:buy:5.5,buy,65852,65857.5,5.5,1784713685000,1784713690000,5,0,0,0,19.37339,,pre_trade_l2_directional_at_or_through_trade_and_exposure_interval,False,public_multi_distance_counterfactual_non_resting_seed,hypothetical_quote_intent_public_observation_not_resting_proof
0722T066:3:buy:10.5,buy,65847,65857.5,10.5,1784713685000,1784713690000,5,0,0,0,19.37339,,pre_trade_l2_directional_at_or_through_trade_and_exposure_interval,False,public_multi_distance_counterfactual_non_resting_seed,hypothetical_quote_intent_public_observation_not_resting_proof
0722T066:3:sell:0.5,sell,65858,65857.5,0.5,1784713685000,1784713690000,5,12,0.01838,2.4,0.17284,0.03170562,pre_trade_l2_directional_at_or_through_trade_and_exposure_interval,False,public_multi_distance_counterfactual_non_resting_seed,hypothetical_quote_intent_public_observation_not_resting_proof
0722T066:3:sell:2.5,sell,65860,65857.5,2.5,1784713685000,1784713690000,5,9,0.01621,1.8,0.17284,0.03170562,pre_trade_l2_directional_at_or_through_trade_and_exposure_interval,False,public_multi_distance_counterfactual_non_resting_seed,hypothetical_quote_intent_public_observation_not_resting_proof
0722T066:3:sell:5.5,sell,65863,65857.5,5.5,1784713685000,1784713690000,5,4,0.01322,0.8,0.17284,0.03170562,pre_trade_l2_directional_at_or_through_trade_and_exposure_interval,False,public_multi_distance_counterfactual_non_resting_seed,hypothetical_quote_intent_public_observation_not_resting_proof
0722T066:3:sell:10.5,sell,65868,65857.5,10.5,1784713685000,1784713690000,5,0,0,0,0.17284,,pre_trade_l2_directional_at_or_through_trade_and_exposure_interval,False,public_multi_distance_counterfactual_non_resting_seed,hypothetical_quote_intent_public_observation_not_resting_proof
0722T066:4:buy:0.5,buy,65863,65863.5,0.5,1784713690000,1784713695000,5,1,0.00367,0.2,15.90468,0.00023075,pre_trade_l2_directional_at_or_through_trade_and_exposure_interval,False,public_multi_distance_counterfactual_non_resting_seed,hypothetical_quote_intent_public_observation_not_resting_proof
0722T066:4:buy:2.5,buy,65861,65863.5,2.5,1784713690000,1784713695000,5,0,0,0,15.90468,,pre_trade_l2_directional_at_or_through_trade_and_exposure_interval,False,public_multi_distance_counterfactual_non_resting_seed,hypothetical_quote_intent_public_observation_not_resting_proof
0722T066:4:buy:5.5,buy,65858,65863.5,5.5,1784713690000,1784713695000,5,0,0,0,15.90468,,pre_trade_l2_directional_at_or_through_trade_and_exposure_interval,False,public_multi_distance_counterfactual_non_resting_seed,hypothetical_quote_intent_public_observation_not_resting_proof
0722T066:4:buy:10.5,buy,65853,65863.5,10.5,1784713690000,1784713695000,5,0,0,0,15.90468,,pre_trade_l2_directional_at_or_through_trade_and_exposure_interval,False,public_multi_distance_counterfactual_non_resting_seed,hypothetical_quote_intent_public_observation_not_resting_proof
0722T066:4:sell:0.5,sell,65864,65863.5,0.5,1784713690000,1784713695000,5,13,0.28389,2.6,1.25847,0.12153647,pre_trade_l2_directional_at_or_through_trade_and_exposure_interval,False,public_multi_distance_counterfactual_non_resting_seed,hypothetical_quote_intent_public_observation_not_resting_proof
0722T066:4:sell:2.5,sell,65866,65863.5,2.5,1784713690000,1784713695000,5,0,0,0,1.25847,,pre_trade_l2_directional_at_or_through_trade_and_exposure_interval,False,public_multi_distance_counterfactual_non_resting_seed,hypothetical_quote_intent_public_observation_not_resting_proof
0722T066:4:sell:5.5,sell,65869,65863.5,5.5,1784713690000,1784713695000,5,0,0,0,1.25847,,pre_trade_l2_directional_at_or_through_trade_and_exposure_interval,False,public_multi_distance_counterfactual_non_resting_seed,hypothetical_quote_intent_public_observation_not_resting_proof
0722T066:4:sell:10.5,sell,65874,65863.5,10.5,1784713690000,1784713695000,5,0,0,0,1.25847,,pre_trade_l2_directional_at_or_through_trade_and_exposure_interval,False,public_multi_distance_counterfactual_non_resting_seed,hypothetical_quote_intent_public_observation_not_resting_proof
0722T066:5:buy:0.5,buy,65864,65864.5,0.5,1784713695000,1784713700000,5,1,0.00062,0.2,23.06522,2.688e-05,pre_trade_l2_directional_at_or_through_trade_and_exposure_interval,False,public_multi_distance_counterfactual_non_resting_seed,hypothetical_quote_intent_public_observation_not_resting_proof
0722T066:5:buy:2.5,buy,65862,65864.5,2.5,1784713695000,1784713700000,5,0,0,0,23.06522,,pre_trade_l2_directional_at_or_through_trade_and_exposure_interval,False,public_multi_distance_counterfactual_non_resting_seed,hypothetical_quote_intent_public_observation_not_resting_proof
0722T066:5:buy:5.5,buy,65859,65864.5,5.5,1784713695000,1784713700000,5,0,0,0,23.06522,,pre_trade_l2_directional_at_or_through_trade_and_exposure_interval,False,public_multi_distance_counterfactual_non_resting_seed,hypothetical_quote_intent_public_observation_not_resting_proof
0722T066:5:buy:10.5,buy,65854,65864.5,10.5,1784713695000,1784713700000,5,0,0,0,23.06522,,pre_trade_l2_directional_at_or_through_trade_and_exposure_interval,False,public_multi_distance_counterfactual_non_resting_seed,hypothetical_quote_intent_public_observation_not_resting_proof
0722T066:5:sell:0.5,sell,65865,65864.5,0.5,1784713695000,1784713700000,5,8,0.95253,1.6,0.91581,0.99927933,pre_trade_l2_directional_at_or_through_trade_and_exposure_interval,False,public_multi_distance_counterfactual_non_resting_seed,hypothetical_quote_intent_public_observation_not_resting_proof
0722T066:5:sell:2.5,sell,65867,65864.5,2.5,1784713695000,1784713700000,5,5,0.03672,1,0.91581,0.01901049,pre_trade_l2_directional_at_or_through_trade_and_exposure_interval,False,public_multi_distance_counterfactual_non_resting_seed,hypothetical_quote_intent_public_observation_not_resting_proof
0722T066:5:sell:5.5,sell,65870,65864.5,5.5,1784713695000,1784713700000,5,0,0,0,0.91581,,pre_trade_l2_directional_at_or_through_trade_and_exposure_interval,False,public_multi_distance_counterfactual_non_resting_seed,hypothetical_quote_intent_public_observation_not_resting_proof
0722T066:5:sell:10.5,sell,65875,65864.5,10.5,1784713695000,1784713700000,5,0,0,0,0.91581,,pre_trade_l2_directional_at_or_through_trade_and_exposure_interval,False,public_multi_distance_counterfactual_non_resting_seed,hypothetical_quote_intent_public_observation_not_resting_proof
0722T066:6:buy:0.5,buy,65867,65867.5,0.5,1784713700000,1784713705000,5,0,0,0,15.56469,,pre_trade_l2_directional_at_or_through_trade_and_exposure_interval,False,public_multi_distance_counterfactual_non_resting_seed,hypothetical_quote_intent_public_observation_not_resting_proof
0722T066:6:buy:2.5,buy,65865,65867.5,2.5,1784713700000,1784713705000,5,0,0,0,15.56469,,pre_trade_l2_directional_at_or_through_trade_and_exposure_interval,False,public_multi_distance_counterfactual_non_resting_seed,hypothetical_quote_intent_public_observation_not_resting_proof
0722T066:6:buy:5.5,buy,65862,65867.5,5.5,1784713700000,1784713705000,5,0,0,0,15.56469,,pre_trade_l2_directional_at_or_through_trade_and_exposure_interval,False,public_multi_distance_counterfactual_non_resting_seed,hypothetical_quote_intent_public_observation_not_resting_proof
0722T066:6:buy:10.5,buy,65857,65867.5,10.5,1784713700000,1784713705000,5,0,0,0,15.56469,,pre_trade_l2_directional_at_or_through_trade_and_exposure_interval,False,public_multi_distance_counterfactual_non_resting_seed,hypothetical_quote_intent_public_observation_not_resting_proof
0722T066:6:sell:0.5,sell,65868,65867.5,0.5,1784713700000,1784713705000,5,17,0.15483,3.4,0.26348,0.32233946,pre_trade_l2_directional_at_or_through_trade_and_exposure_interval,False,public_multi_distance_counterfactual_non_resting_seed,hypothetical_quote_intent_public_observation_not_resting_proof
0722T066:6:sell:2.5,sell,65870,65867.5,2.5,1784713700000,1784713705000,5,13,0.14905,2.6,0.26348,0.32233946,pre_trade_l2_directional_at_or_through_trade_and_exposure_interval,False,public_multi_distance_counterfactual_non_resting_seed,hypothetical_quote_intent_public_observation_not_resting_proof
0722T066:6:sell:5.5,sell,65873,65867.5,5.5,1784713700000,1784713705000,5,7,0.1139,1.4,0.26348,0.32233946,pre_trade_l2_directional_at_or_through_trade_and_exposure_interval,False,public_multi_distance_counterfactual_non_resting_seed,hypothetical_quote_intent_public_observation_not_resting_proof
0722T066:6:sell:10.5,sell,65878,65867.5,10.5,1784713700000,1784713705000,5,0,0,0,0.26348,,pre_trade_l2_directional_at_or_through_trade_and_exposure_interval,False,public_multi_distance_counterfactual_non_resting_seed,hypothetical_quote_intent_public_observation_not_resting_proof
0722T066:7:buy:0.5,buy,65873,65873.5,0.5,1784713705000,1784713710000,5,2,0.00531,0.4,22.80035,0.00020921,pre_trade_l2_directional_at_or_through_trade_and_exposure_interval,False,public_multi_distance_counterfactual_non_resting_seed,hypothetical_quote_intent_public_observation_not_resting_proof
0722T066:7:buy:2.5,buy,65871,65873.5,2.5,1784713705000,1784713710000,5,0,0,0,22.80035,,pre_trade_l2_directional_at_or_through_trade_and_exposure_interval,False,public_multi_distance_counterfactual_non_resting_seed,hypothetical_quote_intent_public_observation_not_resting_proof
0722T066:7:buy:5.5,buy,65868,65873.5,5.5,1784713705000,1784713710000,5,0,0,0,22.80035,,pre_trade_l2_directional_at_or_through_trade_and_exposure_interval,False,public_multi_distance_counterfactual_non_resting_seed,hypothetical_quote_intent_public_observation_not_resting_proof
0722T066:7:buy:10.5,buy,65863,65873.5,10.5,1784713705000,1784713710000,5,0,0,0,22.80035,,pre_trade_l2_directional_at_or_through_trade_and_exposure_interval,False,public_multi_distance_counterfactual_non_resting_seed,hypothetical_quote_intent_public_observation_not_resting_proof
0722T066:7:sell:0.5,sell,65874,65873.5,0.5,1784713705000,1784713710000,5,3,0.0072,0.6,0.02788,0.13701578,pre_trade_l2_directional_at_or_through_trade_and_exposure_interval,False,public_multi_distance_counterfactual_non_resting_seed,hypothetical_quote_intent_public_observation_not_resting_proof
0722T066:7:sell:2.5,sell,65876,65873.5,2.5,1784713705000,1784713710000,5,0,0,0,0.02788,,pre_trade_l2_directional_at_or_through_trade_and_exposure_interval,False,public_multi_distance_counterfactual_non_resting_seed,hypothetical_quote_intent_public_observation_not_resting_proof
0722T066:7:sell:5.5,sell,65879,65873.5,5.5,1784713705000,1784713710000,5,0,0,0,0.02788,,pre_trade_l2_directional_at_or_through_trade_and_exposure_interval,False,public_multi_distance_counterfactual_non_resting_seed,hypothetical_quote_intent_public_observation_not_resting_proof
0722T066:7:sell:10.5,sell,65884,65873.5,10.5,1784713705000,1784713710000,5,0,0,0,0.02788,,pre_trade_l2_directional_at_or_through_trade_and_exposure_interval,False,public_multi_distance_counterfactual_non_resting_seed,hypothetical_quote_intent_public_observation_not_resting_proof
0722T066:8:buy:0.5,buy,65876,65876.5,0.5,1784713710000,1784713715000,5,3,0.01677,0.6,13.67592,0.00050819,pre_trade_l2_directional_at_or_through_trade_and_exposure_interval,False,public_multi_distance_counterfactual_non_resting_seed,hypothetical_quote_intent_public_observation_not_resting_proof
0722T066:8:buy:2.5,buy,65874,65876.5,2.5,1784713710000,1784713715000,5,0,0,0,13.67592,,pre_trade_l2_directional_at_or_through_trade_and_exposure_interval,False,public_multi_distance_counterfactual_non_resting_seed,hypothetical_quote_intent_public_observation_not_resting_proof
0722T066:8:buy:5.5,buy,65871,65876.5,5.5,1784713710000,1784713715000,5,0,0,0,13.67592,,pre_trade_l2_directional_at_or_through_trade_and_exposure_interval,False,public_multi_distance_counterfactual_non_resting_seed,hypothetical_quote_intent_public_observation_not_resting_proof
0722T066:8:buy:10.5,buy,65866,65876.5,10.5,1784713710000,1784713715000,5,0,0,0,13.67592,,pre_trade_l2_directional_at_or_through_trade_and_exposure_interval,False,public_multi_distance_counterfactual_non_resting_seed,hypothetical_quote_intent_public_observation_not_resting_proof
0722T066:8:sell:0.5,sell,65877,65876.5,0.5,1784713710000,1784713715000,5,9,0.05223,1.8,3.66608,0.00993704,pre_trade_l2_directional_at_or_through_trade_and_exposure_interval,False,public_multi_distance_counterfactual_non_resting_seed,hypothetical_quote_intent_public_observation_not_resting_proof
0722T066:8:sell:2.5,sell,65879,65876.5,2.5,1784713710000,1784713715000,5,0,0,0,3.66608,,pre_trade_l2_directional_at_or_through_trade_and_exposure_interval,False,public_multi_distance_counterfactual_non_resting_seed,hypothetical_quote_intent_public_observation_not_resting_proof
0722T066:8:sell:5.5,sell,65882,65876.5,5.5,1784713710000,1784713715000,5,0,0,0,3.66608,,pre_trade_l2_directional_at_or_through_trade_and_exposure_interval,False,public_multi_distance_counterfactual_non_resting_seed,hypothetical_quote_intent_public_observation_not_resting_proof
0722T066:8:sell:10.5,sell,65887,65876.5,10.5,1784713710000,1784713715000,5,0,0,0,3.66608,,pre_trade_l2_directional_at_or_through_trade_and_exposure_interval,False,public_multi_distance_counterfactual_non_resting_seed,hypothetical_quote_intent_public_observation_not_resting_proof
0722T066:9:buy:0.5,buy,65876,65876.5,0.5,1784713715000,1784713720000,5,4,0.01444,0.8,10.61796,0.00060275,pre_trade_l2_directional_at_or_through_trade_and_exposure_interval,False,public_multi_distance_counterfactual_non_resting_seed,hypothetical_quote_intent_public_observation_not_resting_proof
0722T066:9:buy:2.5,buy,65874,65876.5,2.5,1784713715000,1784713720000,5,0,0,0,10.61796,,pre_trade_l2_directional_at_or_through_trade_and_exposure_interval,False,public_multi_distance_counterfactual_non_resting_seed,hypothetical_quote_intent_public_observation_not_resting_proof
0722T066:9:buy:5.5,buy,65871,65876.5,5.5,1784713715000,1784713720000,5,0,0,0,10.61796,,pre_trade_l2_directional_at_or_through_trade_and_exposure_interval,False,public_multi_distance_counterfactual_non_resting_seed,hypothetical_quote_intent_public_observation_not_resting_proof
0722T066:9:buy:10.5,buy,65866,65876.5,10.5,1784713715000,1784713720000,5,0,0,0,10.61796,,pre_trade_l2_directional_at_or_through_trade_and_exposure_interval,False,public_multi_distance_counterfactual_non_resting_seed,hypothetical_quote_intent_public_observation_not_resting_proof
0722T066:9:sell:0.5,sell,65877,65876.5,0.5,1784713715000,1784713720000,5,4,0.01006,0.8,1.71932,0.00214038,pre_trade_l2_directional_at_or_through_trade_and_exposure_interval,False,public_multi_distance_counterfactual_non_resting_seed,hypothetical_quote_intent_public_observation_not_resting_proof
0722T066:9:sell:2.5,sell,65879,65876.5,2.5,1784713715000,1784713720000,5,0,0,0,1.71932,,pre_trade_l2_directional_at_or_through_trade_and_exposure_interval,False,public_multi_distance_counterfactual_non_resting_seed,hypothetical_quote_intent_public_observation_not_resting_proof
0722T066:9:sell:5.5,sell,65882,65876.5,5.5,1784713715000,1784713720000,5,0,0,0,1.71932,,pre_trade_l2_directional_at_or_through_trade_and_exposure_interval,False,public_multi_distance_counterfactual_non_resting_seed,hypothetical_quote_intent_public_observation_not_resting_proof
0722T066:9:sell:10.5,sell,65887,65876.5,10.5,1784713715000,1784713720000,5,0,0,0,1.71932,,pre_trade_l2_directional_at_or_through_trade_and_exposure_interval,False,public_multi_distance_counterfactual_non_resting_seed,hypothetical_quote_intent_public_observation_not_resting_proof
0722T066:10:buy:0.5,buy,65876,65876.5,0.5,1784713720000,1784713725000,5,2,0.00943,0.4,10.16636,0.00059018,pre_trade_l2_directional_at_or_through_trade_and_exposure_interval,False,public_multi_distance_counterfactual_non_resting_seed,hypothetical_quote_intent_public_observation_not_resting_proof
0722T066:10:buy:2.5,buy,65874,65876.5,2.5,1784713720000,1784713725000,5,0,0,0,10.16636,,pre_trade_l2_directional_at_or_through_trade_and_exposure_interval,False,public_multi_distance_counterfactual_non_resting_seed,hypothetical_quote_intent_public_observation_not_resting_proof
0722T066:10:buy:5.5,buy,65871,65876.5,5.5,1784713720000,1784713725000,5,0,0,0,10.16636,,pre_trade_l2_directional_at_or_through_trade_and_exposure_interval,False,public_multi_distance_counterfactual_non_resting_seed,hypothetical_quote_intent_public_observation_not_resting_proof
0722T066:10:buy:10.5,buy,65866,65876.5,10.5,1784713720000,1784713725000,5,0,0,0,10.16636,,pre_trade_l2_directional_at_or_through_trade_and_exposure_interval,False,public_multi_distance_counterfactual_non_resting_seed,hypothetical_quote_intent_public_observation_not_resting_proof
0722T066:10:sell:0.5,sell,65877,65876.5,0.5,1784713720000,1784713725000,5,8,0.21192,1.6,4.05594,0.0231463,pre_trade_l2_directional_at_or_through_trade_and_exposure_interval,False,public_multi_distance_counterfactual_non_resting_seed,hypothetical_quote_intent_public_observation_not_resting_proof
0722T066:10:sell:2.5,sell,65879,65876.5,2.5,1784713720000,1784713725000,5,0,0,0,4.05594,,pre_trade_l2_directional_at_or_through_trade_and_exposure_interval,False,public_multi_distance_counterfactual_non_resting_seed,hypothetical_quote_intent_public_observation_not_resting_proof
0722T066:10:sell:5.5,sell,65882,65876.5,5.5,1784713720000,1784713725000,5,0,0,0,4.05594,,pre_trade_l2_directional_at_or_through_trade_and_exposure_interval,False,public_multi_distance_counterfactual_non_resting_seed,hypothetical_quote_intent_public_observation_not_resting_proof
0722T066:10:sell:10.5,sell,65887,65876.5,10.5,1784713720000,1784713725000,5,0,0,0,4.05594,,pre_trade_l2_directional_at_or_through_trade_and_exposure_interval,False,public_multi_distance_counterfactual_non_resting_seed,hypothetical_quote_intent_public_observation_not_resting_proof
0722T066:11:buy:0.5,buy,65876,65876.5,0.5,1784713725000,1784713730000,5,6,0.02681,1.2,9.74607,0.00155755,pre_trade_l2_directional_at_or_through_trade_and_exposure_interval,False,public_multi_distance_counterfactual_non_resting_seed,hypothetical_quote_intent_public_observation_not_resting_proof
0722T066:11:buy:2.5,buy,65874,65876.5,2.5,1784713725000,1784713730000,5,0,0,0,9.74607,,pre_trade_l2_directional_at_or_through_trade_and_exposure_interval,False,public_multi_distance_counterfactual_non_resting_seed,hypothetical_quote_intent_public_observation_not_resting_proof
0722T066:11:buy:5.5,buy,65871,65876.5,5.5,1784713725000,1784713730000,5,0,0,0,9.74607,,pre_trade_l2_directional_at_or_through_trade_and_exposure_interval,False,public_multi_distance_counterfactual_non_resting_seed,hypothetical_quote_intent_public_observation_not_resting_proof
0722T066:11:buy:10.5,buy,65866,65876.5,10.5,1784713725000,1784713730000,5,0,0,0,9.74607,,pre_trade_l2_directional_at_or_through_trade_and_exposure_interval,False,public_multi_distance_counterfactual_non_resting_seed,hypothetical_quote_intent_public_observation_not_resting_proof
0722T066:11:sell:0.5,sell,65877,65876.5,0.5,1784713725000,1784713730000,5,3,0.00573,0.6,2.20084,0.00201287,pre_trade_l2_directional_at_or_through_trade_and_exposure_interval,False,public_multi_distance_counterfactual_non_resting_seed,hypothetical_quote_intent_public_observation_not_resting_proof
0722T066:11:sell:2.5,sell,65879,65876.5,2.5,1784713725000,1784713730000,5,0,0,0,2.20084,,pre_trade_l2_directional_at_or_through_trade_and_exposure_interval,False,public_multi_distance_counterfactual_non_resting_seed,hypothetical_quote_intent_public_observation_not_resting_proof
0722T066:11:sell:5.5,sell,65882,65876.5,5.5,1784713725000,1784713730000,5,0,0,0,2.20084,,pre_trade_l2_directional_at_or_through_trade_and_exposure_interval,False,public_multi_distance_counterfactual_non_resting_seed,hypothetical_quote_intent_public_observation_not_resting_proof
0722T066:11:sell:10.5,sell,65887,65876.5,10.5,1784713725000,1784713730000,5,0,0,0,2.20084,,pre_trade_l2_directional_at_or_through_trade_and_exposure_interval,False,public_multi_distance_counterfactual_non_resting_seed,hypothetical_quote_intent_public_observation_not_resting_proof
0722T066:12:buy:0.5,buy,65876,65876.5,0.5,1784713730000,1784713735000,5,2,0.05008,0.4,9.72364,0.00446746,pre_trade_l2_directional_at_or_through_trade_and_exposure_interval,False,public_multi_distance_counterfactual_non_resting_seed,hypothetical_quote_intent_public_observation_not_resting_proof
0722T066:12:buy:2.5,buy,65874,65876.5,2.5,1784713730000,1784713735000,5,0,0,0,9.72364,,pre_trade_l2_directional_at_or_through_trade_and_exposure_interval,False,public_multi_distance_counterfactual_non_resting_seed,hypothetical_quote_intent_public_observation_not_resting_proof
0722T066:12:buy:5.5,buy,65871,65876.5,5.5,1784713730000,1784713735000,5,0,0,0,9.72364,,pre_trade_l2_directional_at_or_through_trade_and_exposure_interval,False,public_multi_distance_counterfactual_non_resting_seed,hypothetical_quote_intent_public_observation_not_resting_proof
0722T066:12:buy:10.5,buy,65866,65876.5,10.5,1784713730000,1784713735000,5,0,0,0,9.72364,,pre_trade_l2_directional_at_or_through_trade_and_exposure_interval,False,public_multi_distance_counterfactual_non_resting_seed,hypothetical_quote_intent_public_observation_not_resting_proof
