bucket_start_exchange_time_ms,bucket_end_exchange_time_ms,book_observation_count,trade_observation_count,book_state_dedup_count,trade_event_dedup_count,mid_px,mid_return,realized_volatility,return_count,spread_ticks,bid_depth_btc,ask_depth_btc,total_depth_btc,liquidity_depth_btc,trade_volume_btc,buy_aggressor_volume_btc,sell_aggressor_volume_btc,trade_imbalance,toxicity,buy_adverse_volume_btc,sell_adverse_volume_btc,buy_sweep_depth_penetration,sell_sweep_depth_penetration,buy_trade_count,sell_trade_count,accepted_event_count,inference_scope
1784713671000,1784713672000,2,0,0,0,65846.5,0,0,3,1,5.60645,0.93335,6.5398,0.93335,0,0,0,,,0,0,0,0,0,0,2,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713672000,1784713673000,2,1,0,0,65846.5,0,0,4,1,5.6024,0.93335,6.53575,0.93335,0.00469,0,0.00469,-1,1,0.00469,0,0,0.00083644,0,1,3,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713673000,1784713674000,2,1,0,0,65846.5,0,0,5,1,5.6024,1.38626,6.98866,1.38626,0.00469,0.00469,0,1,1,0,0.00469,0.00129593,0,1,0,3,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713674000,1784713675000,2,0,0,0,65846.5,0,0,6,1,5.69235,0.70205,6.3944,0.70205,0,0,0,,,0,0,0,0,0,0,2,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713675000,1784713676000,2,1,0,0,65846.5,0,0,7,1,5.77841,0.13042,5.90883,0.13042,0.00376,0,0.00376,-1,1,0.00376,0,0,0.00065027,0,1,3,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713676000,1784713677000,2,1,0,0,65846.5,0,0,8,1,5.77841,0.23921,6.01762,0.23921,0.00376,0.00376,0,1,1,0,0.00376,0.02882993,0,1,0,3,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713677000,1784713678000,1,1,0,0,65846.5,0,0,9,1,6.5013,0.23921,6.74051,0.23921,0.00055,0,0.00055,-1,1,0.00055,0,0,0,0,1,2,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713678000,1784713679000,2,1,0,0,65846.5,0,0,10,1,6.65975,0.23921,6.89896,0.23921,0.00516,0,0.00516,-1,1,0.00516,0,0,0.0007748,0,1,3,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713679000,1784713680000,1,1,1,0,65846.5,0,0,11,1,6.62898,0.12666,6.75564,0.12666,0.02561,0,0.02561,-1,1,0.02561,0,0,0,0,1,2,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713680000,1784713681000,2,1,0,0,65846.5,0,0,12,1,6.51398,0.7469,7.26088,0.7469,0.00516,0.00516,0,1,1,0,0.00516,0,0,1,0,3,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713681000,1784713682000,2,1,0,0,65846.5,0,0,13,1,6.51068,0.25479,6.76547,0.25479,0.00331,0,0.00331,-1,1,0.00331,0,0,0,0,1,3,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713682000,1784713683000,2,7,0,0,65853.5,0.00010631,0.00010631,14,1,23.64142,0.00475,23.64617,0.00475,0.06635,0.0599,0.00645,0.80557649,0.80557649,0.00645,0.0599,0.04778731,0,6,1,9,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713683000,1784713684000,1,6,0,0,65857.5,6.074e-05,0.00012244,15,1,8.11021,0.00699,8.1172,0.00699,0.04015,0.04015,0,1,1,0,0.04015,0,0,6,0,7,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713684000,1784713685000,2,0,0,0,65857.5,0,0.00012244,16,1,19.37339,0.17284,19.54623,0.17284,0,0,0,,,0,0,0,0,0,0,2,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713685000,1784713686000,2,2,0,0,65857.5,0,0.00012244,17,1,19.51254,0.02101,19.53355,0.02101,0.00548,0,0.00548,-1,1,0.00548,0,0,0.00020591,0,2,4,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713686000,1784713687000,2,10,0,0,65863.5,9.111e-05,0.00015261,18,1,15.88091,0.20178,16.08269,0.20178,0.01264,0.01064,0.002,0.6835443,0.6835443,0.002,0.01064,2.52534562,0,9,1,12,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713687000,1784713688000,2,0,0,0,65863.5,0,0.00015261,19,1,17.47585,0.72342,18.19927,0.72342,0,0,0,,,0,0,0,0,0,0,2,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713688000,1784713689000,2,2,0,0,65863.5,0,0.00015261,20,1,19.65683,1.22123,20.87806,1.22123,0.00815,0,0.00815,-1,1,0.00815,0,0,0.00026035,0,2,4,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713689000,1784713690000,2,4,0,0,65863.5,0,0.00015261,21,1,15.90468,1.25847,17.16315,1.25847,0.02049,0.00774,0.01275,-0.24450952,0.24450952,0.01275,0.00774,0.00317785,0.0007966,3,1,6,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713690000,1784713691000,1,5,0,0,65863.5,0,0.00015261,22,1,15.96268,0.55458,16.51726,0.55458,0.12374,0.12374,0,1,1,0,0.12374,0,0,5,0,6,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713691000,1784713692000,2,1,0,0,65863.5,0,0.00015261,23,1,15.81082,0.19611,16.00693,0.19611,0.00367,0,0.00367,-1,1,0.00367,0,0,0.00023212,0,1,3,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713692000,1784713693000,2,3,0,0,65863.5,0,0.00015261,24,1,23.83274,0.00038,23.83312,0.00038,0.0026,0.0026,0,1,1,0,0.0026,5.84210526,0,3,0,5,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713693000,1784713694000,2,2,0,0,65864.5,1.518e-05,0.00015337,25,1,22.53683,1.06952,23.60635,1.06952,0.00384,0.00384,0,1,1,0,0.00384,0,0,2,0,4,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713694000,1784713695000,2,5,0,0,65864.5,0,0.00015337,26,1,23.06522,0.91581,23.98103,0.91581,0.15816,0.15371,0.00445,0.94372787,0.94372787,0.00445,0.15371,0.14305088,0.00014958,3,2,7,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713695000,1784713696000,2,6,0,0,65866.5,3.037e-05,0.00015634,27,1,8.94475,0.01402,8.95877,0.01402,0.96068,0.91581,0.04487,0.906587,0.906587,0.04487,0.91581,0.99946486,0.00206358,3,3,8,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713696000,1784713697000,2,2,0,0,65867.5,1.518e-05,0.00015708,28,1,16.11407,0.23124,16.34531,0.23124,0.01402,0.01402,0,1,1,0,0.01402,0,0,2,0,4,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713697000,1784713698000,1,1,0,0,65867.5,0,0.00015708,29,1,16.4981,0.15183,16.64993,0.15183,0.00087,0,0.00087,-1,1,0.00087,0,0,5.273e-05,0,1,2,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713698000,1784713699000,2,5,0,0,65867.5,0,0.00015708,30,1,15.4532,0.76108,16.21428,0.76108,0.00629,0.00529,0.001,0.68203498,0.68203498,0.001,0.00529,0.03365606,2.071e-05,2,3,7,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713699000,1784713700000,2,2,0,0,65867.5,0,0.00015708,31,1,15.56469,0.26348,15.82817,0.26348,0.02252,0.01741,0.00511,0.54618117,0.54618117,0.00511,0.01741,0,0.0003282,1,1,4,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713700000,1784713701000,2,3,0,0,65868.5,1.518e-05,0.00015781,32,1,14.73891,1.26929,16.0082,1.26929,0.00074,0.00047,0.00027,0.27027027,0.27027027,0.00027,0.00047,0,0,2,1,5,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713701000,1784713702000,2,1,0,0,65868.5,0,0.00015781,33,1,12.67202,1.13583,13.80785,1.13583,0.00513,0.00513,0,1,1,0,0.00513,0.00449621,0,1,0,3,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713702000,1784713703000,2,11,0,0,65871,3.795e-05,0.00016231,34,4,12.11607,0.02725,12.14332,0.02725,0.14914,0.14401,0.00513,0.93120558,0.93120558,0.00513,0.14401,0.13172139,0.00042749,10,1,13,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713703000,1784713704000,1,0,0,0,65872.5,2.277e-05,0.0001639,35,1,19.62013,0.24406,19.86419,0.24406,0,0,0,,,0,0,0,0,0,0,1,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713704000,1784713705000,2,5,0,0,65873.5,1.518e-05,0.0001646,36,1,22.80035,0.02788,22.82823,0.02788,0.00597,0.00522,0.00075,0.74874372,0.74874372,0.00075,0.00522,0.12159254,4.44e-05,4,1,7,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713705000,1784713706000,2,1,0,0,65873.5,0,0.0001646,37,1,16.03925,0.52163,16.56088,0.52163,0.00477,0,0.00477,-1,1,0.00477,0,0,0.0002974,0,1,3,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713706000,1784713707000,2,2,0,0,65873.5,0,0.0001646,38,1,15.41366,0.28594,15.6996,0.28594,0.00338,0.00338,0,1,1,0,0.00338,0.00296582,0,2,0,4,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713707000,1784713708000,2,2,0,0,65873.5,0,0.0001646,39,1,15.41375,0.28412,15.69787,0.28412,0.00436,0.00382,0.00054,0.75229358,0.75229358,0.00054,0.00382,0.01344502,0,1,1,4,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713708000,1784713709000,2,0,0,0,65876.5,4.554e-05,0.00017079,40,1,16.45891,0.40141,16.86032,0.40141,0,0,0,,,0,0,0,0,0,0,2,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713709000,1784713710000,2,2,0,0,65876.5,0,0.00017079,41,1,13.67592,3.66608,17.342,3.66608,0.02943,0,0.02943,-1,1,0.02943,0,0,0,0,2,4,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713710000,1784713711000,1,2,0,0,65876.5,0,0.00017079,42,1,13.67592,1.39455,15.07047,1.39455,0.00652,0.00652,0,1,1,0,0.00652,0.00311212,0,2,0,3,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713711000,1784713712000,2,4,0,0,65876.5,0,0.00017079,43,1,8.05305,4.2788,12.33185,4.2788,0.01114,0.00089,0.01025,-0.84021544,0.84021544,0.01025,0.00089,0.00018142,0.00086303,2,2,6,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713712000,1784713713000,2,2,0,0,65876.5,0,0.00017079,44,1,10.92145,4.53479,15.45624,4.53479,0.00813,0.00161,0.00652,-0.60393604,0.60393604,0.00652,0.00161,0.00037302,0.0006412,1,1,4,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713713000,1784713714000,2,3,0,0,65876.5,0,0.00017079,45,1,10.16193,4.46002,14.62195,4.46002,0.03681,0.03681,0,1,1,0,0.03681,0.00777336,0,3,0,5,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713714000,1784713715000,2,1,0,0,65876.5,0,0.00017079,46,1,10.61796,1.71932,12.33728,1.71932,0.0064,0.0064,0,1,1,0,0.0064,0,0,1,0,3,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713715000,1784713716000,2,2,0,0,65876.5,0,0.00017079,47,1,10.91568,3.98802,14.9037,3.98802,0.00924,0.00284,0.0064,-0.38528139,0.38528139,0.0064,0.00284,0,0,1,1,4,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713716000,1784713717000,1,1,0,0,65876.5,0,0.00017079,48,1,11.36908,4.17781,15.54689,4.17781,0.002,0,0.002,-1,1,0.002,0,0,0,0,1,2,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713717000,1784713718000,2,2,0,0,65876.5,0,0.00017079,49,1,10.90764,4.0632,14.97084,4.0632,0.00604,0,0.00604,-1,1,0.00604,0,0,0.00033188,0,2,4,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713718000,1784713719000,2,1,0,0,65876.5,0,0.00017079,50,1,10.90764,1.90379,12.81143,1.90379,0.00337,0.00337,0,1,1,0,0.00337,0.00177015,0,1,0,3,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713719000,1784713720000,2,2,0,0,65876.5,0,0.00017079,51,1,10.16636,4.05594,14.2223,4.05594,0.00385,0.00385,0,1,1,0,0.00385,0.00193408,0,2,0,4,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713720000,1784713721000,2,4,0,0,65876.5,0,0.00017079,52,1,9.8867,4.53633,14.42303,4.53633,0.18828,0.18228,0.006,0.93626514,0.93626514,0.006,0.18228,0,0.00059018,3,1,6,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713721000,1784713722000,2,2,0,0,65876.5,0,0.00017079,53,1,9.08678,1.4766,10.56338,1.4766,0.02305,0.02305,0,1,1,0,0.02305,0.0115468,0,2,0,4,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713722000,1784713723000,1,0,0,0,65876.5,0,0.00017079,54,1,10.31887,1.82093,12.1398,1.82093,0,0,0,,,0,0,0,0,0,0,1,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713723000,1784713724000,2,2,0,0,65876.5,0,0.00017079,55,1,9.7495,1.70295,11.45245,1.70295,0.00361,0.00361,0,1,1,0,0.00361,0.00201415,0,2,0,4,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713724000,1784713725000,2,2,0,0,65876.5,0,0.00017079,56,1,9.74607,2.20084,11.94691,2.20084,0.00641,0.00298,0.00343,-0.07020281,0.07020281,0.00343,0.00298,0,0.00035194,1,1,4,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713725000,1784713726000,2,3,0,0,65876.5,0,0.00017079,57,1,10.49005,1.55642,12.04647,1.55642,0.01571,0.00017,0.01554,-0.97835773,0.97835773,0.01554,0.00017,0,0,1,2,5,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713726000,1784713727000,2,1,0,0,65876.5,0,0.00017079,58,1,9.76084,1.55108,11.31192,1.55108,0.00443,0.00443,0,1,1,0,0.00443,0.00243226,0,1,0,3,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713727000,1784713728000,1,2,0,0,65876.5,0,0.00017079,59,1,10.52036,2.00738,12.52774,2.00738,0.00673,0,0.00673,-1,1,0.00673,0,0,0.00042109,0,2,3,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713728000,1784713729000,2,1,0,0,65876.5,0,0.00017079,60,1,9.72364,6.13438,15.85802,6.13438,0.00052,0,0.00052,-1,1,0.00052,0,0,6.709e-05,0,1,3,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713729000,1784713730000,2,2,0,0,65876.5,0,0.00017079,61,1,9.72364,2.08139,11.80503,2.08139,0.00515,0.00113,0.00402,-0.56116505,0.56116505,0.00402,0.00113,0.00021311,0.00041343,1,1,4,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713730000,1784713731000,2,2,0,0,65876.5,0,0.00017079,62,1,9.71962,4.54161,14.26123,4.54161,0.0042,0.0042,0,1,1,0,0.0042,0.00088515,0,2,0,4,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713731000,1784713732000,2,0,0,0,65876.5,0,0.00017079,63,1,9.71962,3.17828,12.8979,3.17828,0,0,0,,,0,0,0,0,0,0,2,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713732000,1784713733000,2,1,0,0,65876.5,0,0.00017079,64,1,7.74623,4.69071,12.43694,4.69071,0.00664,0.00664,0,1,1,0,0.00664,0.00141596,0,1,0,3,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713733000,1784713734000,2,1,0,0,65876.5,0,0.00017079,65,1,7.73959,1.72886,9.46845,1.72886,0.00664,0,0.00664,-1,1,0.00664,0,0,0.00085887,0,1,3,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713734000,1784713735000,1,1,0,0,65876.5,0,0.00017079,66,1,7.72732,1.53909,9.26641,1.53909,0.04344,0,0.04344,-1,1,0.04344,0,0,0,0,1,2,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713735000,1784713736000,2,1,0,0,65876.5,0,0.00017079,67,1,7.72732,1.3653,9.09262,1.3653,0.00597,0,0.00597,-1,1,0.00597,0,0,0.00077258,0,1,3,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713736000,1784713737000,2,0,0,0,65876.5,0,0.00017079,68,1,7.69018,4.35716,12.04734,4.35716,0,0,0,,,0,0,0,0,0,0,2,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713737000,1784713738000,2,3,0,0,65876.5,0,0.00017079,69,1,9.64785,3.59675,13.2446,3.59675,0.00938,0.00884,0.00054,0.88486141,0.88486141,0.00054,0.00884,0,0,2,1,5,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713738000,1784713739000,1,0,0,0,65876.5,0,0.00017079,70,1,9.64785,2.83722,12.48507,2.83722,0,0,0,,,0,0,0,0,0,0,1,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713739000,1784713740000,2,2,0,0,65876.5,0,0.00017079,71,1,7.66404,4.34327,12.00731,4.34327,0.03098,0.00538,0.0256,-0.65267915,0.65267915,0.0256,0.00538,0.00297818,0.00332674,1,1,4,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713740000,1784713741000,2,3,0,0,65876.5,0,0.00017079,72,1,9.63175,1.99624,11.62799,1.99624,0.00568,0,0.00568,-1,1,0.00568,0,0,0.00046073,0,3,5,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713741000,1784713742000,2,1,0,0,65876.5,0,0.00017079,73,1,9.62844,4.49502,14.12346,4.49502,0.00331,0,0.00331,-1,1,0.00331,0,0,0,0,1,3,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713742000,1784713743000,2,1,0,0,65876.5,0,0.00017079,74,1,9.62004,4.2681,13.88814,4.2681,0.00746,0,0.00746,-1,1,0.00746,0,0,0,0,1,3,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713743000,1784713744000,2,2,0,0,65876.5,0,0.00017079,75,1,9.46765,4.57559,14.04324,4.57559,0.00802,0.00746,0.00056,0.86034913,0.86034913,0.00056,0.00746,0,5.915e-05,1,1,4,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713744000,1784713745000,2,1,0,0,65876.5,0,0.00017079,76,1,0.03819,25.8981,25.93629,0.03819,0.01765,0.01765,0,1,1,0,0.01765,0,0,1,0,3,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713745000,1784713746000,1,3,0,0,65876.5,0,0.00017079,77,1,0.03016,28.37919,28.40935,0.03016,0.06857,0.06129,0.00728,0.78766224,0.78766224,0.00728,0.06129,0.00215968,0,1,2,4,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713746000,1784713747000,2,3,0,0,65876.5,0,0.00017079,78,1,0.02816,24.93482,24.96298,0.02816,0.07593,0.07393,0.002,0.9473199,0.9473199,0.002,0.07393,0.00283988,0.07102273,2,1,5,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713747000,1784713748000,2,0,0,0,65876.5,0,0.00017079,79,1,0.02816,26.26028,26.28844,0.02816,0,0,0,,,0,0,0,0,0,0,2,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713748000,1784713749000,2,1,0,0,65876.5,0,0.00017079,80,1,0.02208,26.46643,26.48851,0.02208,0.00608,0,0.00608,-1,1,0.00608,0,0,0.21590909,0,1,3,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713749000,1784713750000,2,4,0,0,65876.5,0,0.00017079,81,1,0.02208,25.90235,25.92443,0.02208,0.01402,0.01402,0,1,1,0,0.01402,0.00029302,0,4,0,6,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713750000,1784713751000,2,2,0,0,65876.5,0,0.00017079,82,1,0.02208,26.37575,26.39783,0.02208,0.12295,0.12295,0,1,1,0,0.12295,0.0005752,0,2,0,4,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713751000,1784713752000,2,2,0,0,65876.5,0,0.00017079,83,1,0.02208,26.3624,26.38448,0.02208,0.01338,0.01338,0,1,1,0,0.01338,0.00028511,0,2,0,4,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713752000,1784713753000,1,2,0,0,65876.5,0,0.00017079,84,1,0.02208,26.97213,26.99421,0.02208,0.00586,0,0.00586,-1,1,0.00586,0,0,0.15896739,0,2,3,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713753000,1784713754000,1,7,1,0,65876.5,0,0.00017079,85,1,0.01622,26.97196,26.98818,0.01622,0.08455,0.00017,0.08438,-0.99597871,0.99597871,0.08438,0.00017,6.3e-06,3.05856967,1,6,8,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713754000,1784713755000,2,1,0,0,65870.5,-9.108e-05,0.00019356,86,1,3.67634,10.12785,13.80419,3.67634,0.00341,0.00341,0,1,1,0,0.00341,0.0003367,0,1,0,3,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713755000,1784713756000,2,4,0,0,65870.5,0,0.00019356,87,1,6.32837,9.65973,15.9881,6.32837,0.00437,0.00036,0.00401,-0.83524027,0.83524027,0.00401,0.00036,1.778e-05,0.00053884,2,2,6,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713756000,1784713757000,2,30,0,0,65870.5,0,0.00019356,88,1,6.35221,0.87325,7.22546,0.87325,5.56034,5.56034,0,1,1,0,5.56034,0.07798068,0,30,0,32,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713757000,1784713758000,2,1,0,0,65870.5,0,0.00019356,89,1,6.44506,1.94205,8.38711,1.94205,0.00715,0,0.00715,-1,1,0.00715,0,0,0.00110815,0,1,3,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713758000,1784713759000,2,2,0,0,65870.5,0,0.00019356,90,1,6.47114,4.97055,11.44169,4.97055,0.00767,0.00715,0.00052,0.86440678,0.86440678,0.00052,0.00715,0.00143847,0,1,1,4,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713759000,1784713760000,1,0,0,0,65870.5,0,0.00019356,91,1,6.47114,4.20581,10.67695,4.20581,0,0,0,,,0,0,0,0,0,0,1,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713760000,1784713761000,2,1,0,0,65870.5,0,0.00019356,92,1,7.47114,5.74979,13.22093,5.74979,0.00017,0.00017,0,1,1,0,0.00017,3.514e-05,0,1,0,3,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713761000,1784713762000,2,3,0,0,65870.5,0,0.00019356,93,1,5.46479,4.45961,9.9244,4.45961,0.03278,0,0.03278,-1,1,0.03278,0,0,0.00261744,0,3,5,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713762000,1784713763000,2,1,0,0,65870.5,0,0.00019356,94,1,7.63176,1.26996,8.90172,1.26996,0.00533,0.00533,0,1,1,0,0.00533,0.00144132,0,1,0,3,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713763000,1784713764000,2,0,0,0,65870.5,0,0.00019356,95,1,7.41176,1.7996,9.21136,1.7996,0,0,0,,,0,0,0,0,0,0,2,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713764000,1784713765000,2,2,0,0,65870.5,0,0.00019356,96,1,7.41176,1.42804,8.8398,1.42804,0.00758,0.00758,0,1,1,0,0.00758,0,0,2,0,4,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713765000,1784713766000,2,1,0,0,65870.5,0,0.00019356,97,1,7.40418,1.18443,8.58861,1.18443,0.00758,0,0.00758,-1,1,0.00758,0,0,0,0,1,3,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713766000,1784713767000,2,0,0,0,65870.5,0,0.00019356,98,1,7.40418,1.37511,8.77929,1.37511,0,0,0,,,0,0,0,0,0,0,2,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713767000,1784713768000,1,2,0,0,65870.5,0,0.00019356,99,1,7.41125,1.94106,9.35231,1.94106,0.00441,0.00387,0.00054,0.75510204,0.75510204,0.00054,0.00387,0,0,1,1,3,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713768000,1784713769000,2,4,0,0,65870.5,0,0.00019356,100,1,7.40661,1.75468,9.16129,1.75468,0.03864,0.034,0.00464,0.75983437,0.75983437,0.00464,0.034,0.01918868,0.00052223,2,2,6,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713769000,1784713770000,2,1,0,0,65870.5,0,0.00019356,101,1,7.37339,1.14656,8.51995,1.14656,0.02561,0,0.02561,-1,1,0.02561,0,0,0,0,1,3,public_event_time_bucket_estimate_not_fill_or_pnl_proof
1784713770000,1784713771000,2,1,0,0,65870.5,0,0.00019356,102,1,5.39309,2.43765,7.83074,2.43765,0.00673,0,0.00673,-1,1,0.00673,0,0,0,0,1,3,public_event_time_bucket_estimate_not_fill_or_pnl_proof
