condition_name,source_field,bucket_policy,bucket,horizon_ms,row_count,coverage_status,condition_cutoff_low,condition_cutoff_high,condition_value_min,condition_value_mean,condition_value_max,mean_future_mid_move_ticks,mean_future_microprice_change_ticks,positive_future_mid_move_ratio,conditional_effect_vs_horizon_mean_ticks
hyperliquid_spread_ticks,context_hyperliquid_spread_ticks,numeric_tertile,high,250,88,sufficient,10,10,20,52.27272727,420,-18.01136364,-0.24241608,0.38636364,-17.45225376
hyperliquid_spread_ticks,context_hyperliquid_spread_ticks,numeric_tertile,mid,250,3507,sufficient,10,10,10,10,10,-0.1211862,0.00478239,0.0926718,0.43792368
hyperliquid_spread_ticks,context_hyperliquid_spread_ticks,numeric_tertile,high,500,88,sufficient,10,10,20,52.27272727,420,-18.01136364,-0.24241608,0.38636364,-17.45225376
hyperliquid_spread_ticks,context_hyperliquid_spread_ticks,numeric_tertile,mid,500,3507,sufficient,10,10,10,10,10,-0.1211862,0.00478239,0.0926718,0.43792368
hyperliquid_spread_ticks,context_hyperliquid_spread_ticks,numeric_tertile,high,1000,88,sufficient,10,10,20,52.27272727,420,-19.31818182,-1.12511681,0.43181818,-18.19965093
hyperliquid_spread_ticks,context_hyperliquid_spread_ticks,numeric_tertile,mid,1000,3506,sufficient,10,10,10,10,10,-0.66172276,0.02452384,0.1520251,0.45680812
hyperliquid_top5_imbalance,context_hyperliquid_top5_imbalance,numeric_tertile,high,100,1201,sufficient,-0.48869742,0.67119335,0.67119335,0.90779739,0.99998242,9.48376353,-0.68587277,0.25145712,10.04287341
hyperliquid_top5_imbalance,context_hyperliquid_top5_imbalance,numeric_tertile,low,100,1198,sufficient,-0.48869742,0.67119335,-0.99998255,-0.8367708,-0.48869742,-10.37979967,0.89665959,0.01335559,-9.82068979
hyperliquid_top5_imbalance,context_hyperliquid_top5_imbalance,numeric_tertile,mid,100,1196,sufficient,-0.48869742,0.67119335,-0.48829269,0.10558311,0.67035595,-0.80685619,-0.21323225,0.03428094,-0.24774631
hyperliquid_top5_imbalance,context_hyperliquid_top5_imbalance,numeric_tertile,high,250,1201,sufficient,-0.48869742,0.67119335,0.67119335,0.90779739,0.99998242,9.48376353,-0.68587277,0.25145712,10.04287341
hyperliquid_top5_imbalance,context_hyperliquid_top5_imbalance,numeric_tertile,low,250,1198,sufficient,-0.48869742,0.67119335,-0.99998255,-0.8367708,-0.48869742,-10.37979967,0.89665959,0.01335559,-9.82068979
hyperliquid_top5_imbalance,context_hyperliquid_top5_imbalance,numeric_tertile,mid,250,1196,sufficient,-0.48869742,0.67119335,-0.48829269,0.10558311,0.67035595,-0.80685619,-0.21323225,0.03428094,-0.24774631
hyperliquid_top5_imbalance,context_hyperliquid_top5_imbalance,numeric_tertile,high,500,1201,sufficient,-0.48869742,0.67119335,0.67119335,0.90779739,0.99998242,9.48376353,-0.68587277,0.25145712,10.04287341
hyperliquid_top5_imbalance,context_hyperliquid_top5_imbalance,numeric_tertile,low,500,1198,sufficient,-0.48869742,0.67119335,-0.99998255,-0.8367708,-0.48869742,-10.37979967,0.89665959,0.01335559,-9.82068979
hyperliquid_top5_imbalance,context_hyperliquid_top5_imbalance,numeric_tertile,mid,500,1196,sufficient,-0.48869742,0.67119335,-0.48829269,0.10558311,0.67035595,-0.80685619,-0.21323225,0.03428094,-0.24774631
hyperliquid_top5_imbalance,context_hyperliquid_top5_imbalance,numeric_tertile,high,1000,1201,sufficient,-0.48869742,0.67119335,0.67119335,0.90779739,0.99998242,17.0358035,-1.27712025,0.367194,18.15433438
hyperliquid_top5_imbalance,context_hyperliquid_top5_imbalance,numeric_tertile,low,1000,1198,sufficient,-0.48869742,0.67119335,-0.99998255,-0.8367708,-0.48869742,-17.29966611,1.57896896,0.03839733,-16.18113523
hyperliquid_top5_imbalance,context_hyperliquid_top5_imbalance,numeric_tertile,mid,1000,1195,sufficient,-0.48869742,0.67119335,-0.48829269,0.10594658,0.67035595,-3.14225941,-0.31030382,0.07029289,-2.02372853
hyperliquid_microprice_minus_mid_ticks,context_hyperliquid_microprice_minus_mid_ticks,numeric_tertile,high,100,1201,sufficient,-2.45361098,3.4003913,3.4003913,5.14409298,146.82391419,9.43380516,-0.78850485,0.25562032,9.99291504
hyperliquid_microprice_minus_mid_ticks,context_hyperliquid_microprice_minus_mid_ticks,numeric_tertile,low,100,1197,sufficient,-2.45361098,3.4003913,-67.29868646,-4.73151329,-2.45361098,-10.4427736,0.95529332,0.01336675,-9.88366373
hyperliquid_microprice_minus_mid_ticks,context_hyperliquid_microprice_minus_mid_ticks,numeric_tertile,mid,100,1197,sufficient,-2.45361098,3.4003913,-2.44719331,0.53004162,3.38796882,-0.70175439,-0.16796372,0.03007519,-0.14264451
hyperliquid_microprice_minus_mid_ticks,context_hyperliquid_microprice_minus_mid_ticks,numeric_tertile,high,250,1201,sufficient,-2.45361098,3.4003913,3.4003913,5.14409298,146.82391419,9.43380516,-0.78850485,0.25562032,9.99291504
hyperliquid_microprice_minus_mid_ticks,context_hyperliquid_microprice_minus_mid_ticks,numeric_tertile,low,250,1197,sufficient,-2.45361098,3.4003913,-67.29868646,-4.73151329,-2.45361098,-10.4427736,0.95529332,0.01336675,-9.88366373
hyperliquid_microprice_minus_mid_ticks,context_hyperliquid_microprice_minus_mid_ticks,numeric_tertile,mid,250,1197,sufficient,-2.45361098,3.4003913,-2.44719331,0.53004162,3.38796882,-0.70175439,-0.16796372,0.03007519,-0.14264451
hyperliquid_microprice_minus_mid_ticks,context_hyperliquid_microprice_minus_mid_ticks,numeric_tertile,high,500,1201,sufficient,-2.45361098,3.4003913,3.4003913,5.14409298,146.82391419,9.43380516,-0.78850485,0.25562032,9.99291504
hyperliquid_microprice_minus_mid_ticks,context_hyperliquid_microprice_minus_mid_ticks,numeric_tertile,low,500,1197,sufficient,-2.45361098,3.4003913,-67.29868646,-4.73151329,-2.45361098,-10.4427736,0.95529332,0.01336675,-9.88366373
hyperliquid_microprice_minus_mid_ticks,context_hyperliquid_microprice_minus_mid_ticks,numeric_tertile,mid,500,1197,sufficient,-2.45361098,3.4003913,-2.44719331,0.53004162,3.38796882,-0.70175439,-0.16796372,0.03007519,-0.14264451
hyperliquid_microprice_minus_mid_ticks,context_hyperliquid_microprice_minus_mid_ticks,numeric_tertile,high,1000,1201,sufficient,-2.45361098,3.4003913,3.4003913,5.14409298,146.82391419,16.89009159,-1.43772946,0.3713572,18.00862248
hyperliquid_microprice_minus_mid_ticks,context_hyperliquid_microprice_minus_mid_ticks,numeric_tertile,low,1000,1197,sufficient,-2.45361098,3.4003913,-67.29868646,-4.73151329,-2.45361098,-17.3433584,1.63181439,0.03842941,-16.22482751
hyperliquid_microprice_minus_mid_ticks,context_hyperliquid_microprice_minus_mid_ticks,numeric_tertile,mid,1000,1196,sufficient,-2.45361098,3.4003913,-2.44719331,0.53185923,3.38796882,-2.96404682,-0.20033313,0.06605351,-1.84551594
hyperliquid_join_age_bucket,context_hyperliquid_join_age_bucket,categorical,fresh_0_50ms,100,394,sufficient,,,,,,0.5964467,-0.04062434,0.06345178,1.15555658
hyperliquid_join_age_bucket,context_hyperliquid_join_age_bucket,categorical,warm_50_250ms,100,1265,sufficient,,,,,,1.23320158,-0.17790296,0.10513834,1.79231146
hyperliquid_join_age_bucket,context_hyperliquid_join_age_bucket,categorical,watch_250ms_to_stale_limit,100,1936,sufficient,,,,,,-1.96539256,0.12215519,0.10382231,-1.40628269
hyperliquid_join_age_bucket,context_hyperliquid_join_age_bucket,categorical,fresh_0_50ms,250,394,sufficient,,,,,,0.5964467,-0.04062434,0.06345178,1.15555658
hyperliquid_join_age_bucket,context_hyperliquid_join_age_bucket,categorical,warm_50_250ms,250,1265,sufficient,,,,,,1.23320158,-0.17790296,0.10513834,1.79231146
hyperliquid_join_age_bucket,context_hyperliquid_join_age_bucket,categorical,watch_250ms_to_stale_limit,250,1936,sufficient,,,,,,-1.96539256,0.12215519,0.10382231,-1.40628269
hyperliquid_join_age_bucket,context_hyperliquid_join_age_bucket,categorical,fresh_0_50ms,500,394,sufficient,,,,,,0.5964467,-0.04062434,0.06345178,1.15555658
hyperliquid_join_age_bucket,context_hyperliquid_join_age_bucket,categorical,warm_50_250ms,500,1265,sufficient,,,,,,1.23320158,-0.17790296,0.10513834,1.79231146
hyperliquid_join_age_bucket,context_hyperliquid_join_age_bucket,categorical,watch_250ms_to_stale_limit,500,1936,sufficient,,,,,,-1.96539256,0.12215519,0.10382231,-1.40628269
hyperliquid_join_age_bucket,context_hyperliquid_join_age_bucket,categorical,fresh_0_50ms,1000,394,sufficient,,,,,,-0.50761421,-0.16874635,0.11928934,0.61091667
hyperliquid_join_age_bucket,context_hyperliquid_join_age_bucket,categorical,warm_50_250ms,1000,1265,sufficient,,,,,,1.40711462,-0.16838754,0.17391304,2.52564551
hyperliquid_join_age_bucket,context_hyperliquid_join_age_bucket,categorical,watch_250ms_to_stale_limit,1000,1935,sufficient,,,,,,-2.89405685,0.13770885,0.15710594,-1.77552596
