capture_id,research_date,role,row_count,valid_row_count,valid_fraction,obi_mean,obi_std,obi_unique_rounded_6dp,p01,p05,p25,p50,p75,p95,p99,informative,exclusion_reason
2026-08-03_1dd085c2ccc5,2026-08-03,historical_method_development,17998,17998,1.0,0.002623413638887941,0.584241167901466,13377,-0.9311361859804664,-0.8590476222416438,-0.556223170891203,0.0077835423197465245,0.5527426229015997,0.8581277626036515,0.9301609471650659,true,
2026-08-03_7f200bdbf129,2026-08-03,historical_method_development,17998,17998,1.0,0.006554319461988902,0.5911148092340833,13637,-0.937310864003653,-0.8654429243272138,-0.5631174339386267,0.038297865525783965,0.5614973371393355,0.8568967071652956,0.934380023799559,true,
2026-08-03_c6ba75ad540b,2026-08-03,historical_method_development,17998,17998,1.0,0.07983018013480646,0.5972900129144401,13473,-0.9480200519900124,-0.8594277317137103,-0.4740061758738894,0.14735333864435937,0.6378227823320461,0.8927911294181321,0.9545864020390579,true,
2026-08-03_d8e3322d6f2c,2026-08-03,historical_method_development,17999,17999,1.0,-0.26851850618492795,0.0,1,-0.26851850618492795,-0.26851850618492795,-0.26851850618492795,-0.26851850618492795,-0.26851850618492795,-0.26851850618492795,-0.26851850618492795,false,low_OBI_variation
2026-08-04_a6a45be8a495,2026-08-04,historical_method_development,71998,71998,1.0,0.016707792770691322,0.5785186520907052,61288,-0.9347620814523828,-0.8508672566944795,-0.5170065393848022,0.01995566017869816,0.5589455910275838,0.8624725574294416,0.9360664468418669,true,
2026-08-07_46d1e1a74698,2026-08-07,historical_blocked_validation,143998,143998,1.0,-0.025242761958452056,0.5773410766910684,111046,-0.9507576767068245,-0.8775883133033299,-0.5597667659184516,-0.0178866647971129,0.49063302181636564,0.8541947325118302,0.9361328649506298,true,
2026-08-24_aeee94c4bfe5,2026-08-24,historical_blocked_validation,143997,143997,1.0,-0.008152421724471226,0.5542017974433704,123954,-0.9442883381265536,-0.8501191505377088,-0.49932123537631745,-0.015706805419315528,0.4816866497052807,0.8543679252163259,0.9458598744756922,true,
2026-08-25_fd89fc8de22f,2026-08-25,historical_blocked_validation,143998,143998,1.0,-0.01807127989179422,0.5639159558865036,123114,-0.9531150563523574,-0.8649244960359861,-0.5203504907856012,-0.03916736705731841,0.48941360142727447,0.8571488418746298,0.9526867053192875,true,
2026-08-26_164de1d394f7,2026-08-26,historical_no_refit_replay,74998,74998,1.0,-0.03475213210259555,0.5011227244167218,62378,-0.9283882894602763,-0.8171706538718795,-0.4512115692055048,-0.0481203088677957,0.3706728108696502,0.7874141566554876,0.9214776869821506,true,
2026-08-26_a055aa6c7a87,2026-08-26,historical_no_refit_replay,74998,74998,1.0,-0.5158392488717652,0.0,1,-0.5158392488717652,-0.5158392488717652,-0.5158392488717652,-0.5158392488717652,-0.5158392488717652,-0.5158392488717652,-0.5158392488717652,false,low_OBI_variation
2026-08-26_7e4d0a9ed099,2026-08-26,historical_no_refit_replay,74999,74999,1.0,0.03749480997312554,0.5221344071432393,56926,-0.8950065378200971,-0.781498623804573,-0.4192721121369313,0.05389980018357344,0.4990490188256823,0.8225441419791374,0.918330453059153,true,
2026-08-26_20fa36ad4d76,2026-08-26,historical_no_refit_replay,74998,74998,1.0,0.015272905360318044,0.5176476704870193,40808,-0.9194130753646261,-0.7999999931832055,-0.43001140781785047,0.025391675987763387,0.4678624939562283,0.8093959707530094,0.9067453972479985,true,
2026-08-27_ba5ebc09e758,2026-08-27,historical_no_refit_replay,74997,74997,1.0,-0.049500985360704776,0.5236864166693851,63032,-0.935133738090218,-0.8452508595393892,-0.49430893926028485,-0.07059631510830462,0.3828124965171477,0.8095951244429764,0.9299109981455485,true,
