view_seq,view_ts,coin,session_id,connection_attempt,mid_px,spread_ticks,top1_imbalance,top3_imbalance,top5_imbalance,top1_microprice_px,top3_microprice_px,top5_microprice_px,microprice_minus_mid_ticks,bid_depth_top5_qty,ask_depth_top5_qty,bid_depth_top5_notional,ask_depth_top5_notional,book_pressure_bucket,spread_bucket,join_age_bucket,l2book_cadence_bucket,recovery_context,trade_pressure_status,trade_pressure_qty,trade_pressure_count,trade_pressure_bucket,feature_row_quality
32,1780044693646155111,BTC,hl-66959ecb09e941cab61b020ac1e06419,1,73661.5,10,-0.53722597,-0.65341909,-0.6904349,73661.23138702,73661.17329046,73661.15478255,-3.45217452,4.07392,22.24636,300084.35506,1638749.20754,strong_ask,wide,fresh,regular,recovery_present,unverified_side_semantics,,,disabled_unverified_side_semantics,research_ready_without_trade_pressure
33,1780044694146155111,BTC,hl-66959ecb09e941cab61b020ac1e06419,1,73661.5,10,-0.53722597,-0.65341909,-0.6904349,73661.23138702,73661.17329046,73661.15478255,-3.45217452,4.07392,22.24636,300084.35506,1638749.20754,strong_ask,wide,warm,repeat_same_book,recovery_present,unverified_side_semantics,,,disabled_unverified_side_semantics,research_ready_without_trade_pressure
34,1780044694646155111,BTC,hl-66959ecb09e941cab61b020ac1e06419,1,73661.5,10,-0.60357535,-0.66568447,-0.67186489,73661.19821232,73661.16715776,73661.16406756,-3.35932444,4.42166,22.52858,325698.28596,1659536.64652,strong_ask,wide,warm,slow,recovery_present,unverified_side_semantics,,,disabled_unverified_side_semantics,research_ready_without_trade_pressure
35,1780044695146155111,BTC,hl-66959ecb09e941cab61b020ac1e06419,1,73661.5,10,-0.67028034,-0.76277653,-0.80893757,73661.16485983,73661.11861174,73661.09553122,-4.04468783,2.85404,27.02143,210229.49238,1990495.09812,strong_ask,wide,fresh,slow,recovery_present,unverified_side_semantics,,,disabled_unverified_side_semantics,research_ready_without_trade_pressure
36,1780044695646155111,BTC,hl-66959ecb09e941cab61b020ac1e06419,1,73661.5,10,-0.9199114,-0.90557311,-0.87023245,73661.0400443,73661.04721344,73661.06488377,-4.35116227,2.0248,29.18177,149144.12674,2149630.0632,strong_ask,wide,fresh,regular,recovery_present,unverified_side_semantics,,,disabled_unverified_side_semantics,research_ready_without_trade_pressure
37,1780044696146155111,BTC,hl-66959ecb09e941cab61b020ac1e06419,1,73661.5,10,-0.96235132,-0.84869861,-0.82087394,73661.01882434,73661.0756507,73661.08956303,-4.10436969,2.59979,26.4277,191496.87267,1946760.08488,strong_ask,wide,fresh,regular,recovery_present,unverified_side_semantics,,,disabled_unverified_side_semantics,research_ready_without_trade_pressure
38,1780044696646155111,BTC,hl-66959ecb09e941cab61b020ac1e06419,1,73661.5,10,-0.96235132,-0.84869861,-0.82087394,73661.01882434,73661.0756507,73661.08956303,-4.10436969,2.59979,26.4277,191496.87267,1946760.08488,strong_ask,wide,warm,repeat_same_book,recovery_present,unverified_side_semantics,,,disabled_unverified_side_semantics,research_ready_without_trade_pressure
39,1780044697146155111,BTC,hl-66959ecb09e941cab61b020ac1e06419,1,73661.5,10,-0.41320325,-0.62557829,-0.63847445,73661.29339837,73661.18721085,73661.18076277,-3.19237227,5.72082,25.9274,421395.22248,1909907.15716,strong_ask,wide,warm,regular,recovery_present,unverified_side_semantics,,,disabled_unverified_side_semantics,research_ready_without_trade_pressure
40,1780044697646155111,BTC,hl-66959ecb09e941cab61b020ac1e06419,1,73661.5,10,-0.49692361,-0.63673201,-0.64661428,73661.25153819,73661.181634,73661.17669286,-3.23307142,5.72082,26.65638,421395.90197,1963602.5641,strong_ask,wide,warm,regular,recovery_present,unverified_side_semantics,,,disabled_unverified_side_semantics,research_ready_without_trade_pressure
41,1780044698146155111,BTC,hl-66959ecb09e941cab61b020ac1e06419,1,73661.5,10,-0.20253126,-0.38060122,-0.45383797,73661.39873437,73661.30969939,73661.27308101,-2.26918986,5.84318,15.55406,430409.74194,1145768.69525,strong_ask,wide,warm,regular,recovery_present,unverified_side_semantics,,,disabled_unverified_side_semantics,research_ready_without_trade_pressure
42,1780044698646155111,BTC,hl-66959ecb09e941cab61b020ac1e06419,1,73662.5,10,0.99678106,0.99776066,0.99778829,73662.99839053,73662.99888033,73662.99889415,4.98894147,54.27807,0.06009,3998210.32687,4426.41235,strong_bid,wide,fresh,regular,recovery_present,unverified_side_semantics,,,disabled_unverified_side_semantics,research_ready_without_trade_pressure
43,1780044699146155111,BTC,hl-66959ecb09e941cab61b020ac1e06419,1,73662.5,10,0.99630679,0.99689488,0.99695847,73662.9981534,73662.99844744,73662.99847924,4.98479237,39.36105,0.05995,2899400.52986,4416.09939,strong_bid,wide,fresh,regular,recovery_present,unverified_side_semantics,,,disabled_unverified_side_semantics,research_ready_without_trade_pressure
44,1780044699646155111,BTC,hl-66959ecb09e941cab61b020ac1e06419,1,73662.5,10,0.99630679,0.99689488,0.99695847,73662.9981534,73662.99844744,73662.99847924,4.98479237,39.36105,0.05995,2899400.52986,4416.09939,strong_bid,wide,warm,repeat_same_book,recovery_present,unverified_side_semantics,,,disabled_unverified_side_semantics,research_ready_without_trade_pressure
45,1780044700146155111,BTC,hl-66959ecb09e941cab61b020ac1e06419,1,73662.5,10,0.99584006,0.99665092,0.99674778,73662.99792003,73662.99832546,73662.99837389,4.98373892,36.80723,0.05995,2711278.62175,4416.09939,strong_bid,wide,fresh,slow,recovery_present,unverified_side_semantics,,,disabled_unverified_side_semantics,research_ready_without_trade_pressure
46,1780044700646155111,BTC,hl-66959ecb09e941cab61b020ac1e06419,1,73668.5,10,0.99950862,0.99979283,0.95531486,73668.99975431,73668.99989641,73668.97765743,4.7765743,45.3587,1.03659,3341393.20625,76368.67079,strong_bid,wide,fresh,regular,recovery_present,unverified_side_semantics,,,disabled_unverified_side_semantics,research_ready_without_trade_pressure
47,1780044701146155111,BTC,hl-66959ecb09e941cab61b020ac1e06419,1,73668.5,10,0.9997839,0.99983252,0.94496197,73668.99989195,73668.99991626,73668.97248099,4.72480985,36.61211,1.03604,2697112.69,76328.15105,strong_bid,wide,fresh,regular,recovery_present,unverified_side_semantics,,,disabled_unverified_side_semantics,research_ready_without_trade_pressure
48,1780044701646155111,BTC,hl-66959ecb09e941cab61b020ac1e06419,1,73670.5,10,0.99998531,0.96654536,0.87172972,73670.99999265,73670.98327268,73670.93586486,4.35864858,64.20207,4.39979,4729699.07161,324152.4447,strong_bid,wide,fresh,regular,recovery_present,unverified_side_semantics,,,disabled_unverified_side_semantics,research_ready_without_trade_pressure
49,1780044702146155111,BTC,hl-66959ecb09e941cab61b020ac1e06419,1,73670.5,10,0.99998531,0.96654536,0.87172972,73670.99999265,73670.98327268,73670.93586486,4.35864858,64.20207,4.39979,4729699.07161,324152.4447,strong_bid,wide,warm,repeat_same_book,recovery_present,unverified_side_semantics,,,disabled_unverified_side_semantics,research_ready_without_trade_pressure
50,1780044702646155111,BTC,hl-66959ecb09e941cab61b020ac1e06419,1,73670.5,10,0.98575736,0.91175512,0.73684065,73670.99287868,73670.95587756,73670.86842033,3.68420327,26.75722,4.05415,1971189.02746,298686.86942,strong_bid,wide,warm,regular,recovery_present,unverified_side_semantics,,,disabled_unverified_side_semantics,research_ready_without_trade_pressure
51,1780044703146155111,BTC,hl-66959ecb09e941cab61b020ac1e06419,1,73670.5,10,0.76228634,0.76197001,0.60543072,73670.88114317,73670.880985,73670.80271536,3.02715359,24.37804,5.99143,1795916.01446,441408.2243,strong_bid,wide,warm,regular,recovery_present,unverified_side_semantics,,,disabled_unverified_side_semantics,research_ready_without_trade_pressure
52,1780044703646155111,BTC,hl-66959ecb09e941cab61b020ac1e06419,1,73670.5,10,0.77144684,0.66114815,0.48484042,73670.88572342,73670.83057408,73670.74242021,2.4242021,20.6424,7.1618,1520709.33278,527633.98932,strong_bid,wide,warm,regular,recovery_present,unverified_side_semantics,,,disabled_unverified_side_semantics,research_ready_without_trade_pressure
53,1780044704146155111,BTC,hl-66959ecb09e941cab61b020ac1e06419,1,73670.5,10,0.13995259,-0.0098652,-0.31958864,73670.56997629,73670.4950674,73670.34020568,-1.59794322,9.05503,17.56131,667076.14108,1293797.61826,strong_ask,wide,warm,regular,recovery_present,unverified_side_semantics,,,disabled_unverified_side_semantics,research_ready_without_trade_pressure
54,1780044704646155111,BTC,hl-66959ecb09e941cab61b020ac1e06419,1,73670.5,10,0.13995259,-0.0098652,-0.31958864,73670.56997629,73670.4950674,73670.34020568,-1.59794322,9.05503,17.56131,667076.14108,1293797.61826,strong_ask,wide,stale,repeat_same_book,recovery_present,unverified_side_semantics,,,disabled_unverified_side_semantics,research_ready_without_trade_pressure
55,1780044705146155111,BTC,hl-66959ecb09e941cab61b020ac1e06419,1,73670.5,10,-0.39012353,-0.4742104,-0.5958141,73670.30493824,73670.2628948,73670.20209295,-2.97907052,5.59173,22.07737,411937.35822,1626500.8906,strong_ask,wide,warm,slow,recovery_present,unverified_side_semantics,,,disabled_unverified_side_semantics,research_ready_without_trade_pressure
56,1780044705646155111,BTC,hl-66959ecb09e941cab61b020ac1e06419,1,73670.5,10,-0.25242858,-0.36390601,-0.52038387,73670.37378571,73670.31804699,73670.23980807,-2.60191934,7.04229,22.32407,518798.91342,1644678.07132,strong_ask,wide,fresh,regular,recovery_present,unverified_side_semantics,,,disabled_unverified_side_semantics,research_ready_without_trade_pressure
57,1780044706146155111,BTC,hl-66959ecb09e941cab61b020ac1e06419,1,73670.5,10,-0.23976237,-0.35544419,-0.51424878,73670.38011881,73670.32227791,73670.24287561,-2.57124388,7.16127,22.32407,527564.17002,1644678.07132,strong_ask,wide,fresh,regular,recovery_present,unverified_side_semantics,,,disabled_unverified_side_semantics,research_ready_without_trade_pressure
58,1780044706646155111,BTC,hl-66959ecb09e941cab61b020ac1e06419,1,73670.5,10,-0.14322243,-0.32109599,-0.51554736,73670.42838878,73670.33945201,73670.24222632,-2.57773682,7.13567,22.32302,525678.21802,1644604.11354,strong_ask,wide,fresh,regular,recovery_present,unverified_side_semantics,,,disabled_unverified_side_semantics,research_ready_without_trade_pressure
59,1780044707146155111,BTC,hl-66959ecb09e941cab61b020ac1e06419,1,73670.5,10,-0.96503255,-0.97380039,-0.97795666,73670.01748372,73670.0130998,73670.01102167,-4.88978332,0.39966,35.86164,29442.67192,2642005.95952,strong_ask,wide,fresh,regular,recovery_present,unverified_side_semantics,,,disabled_unverified_side_semantics,research_ready_without_trade_pressure
60,1780044707646155111,BTC,hl-66959ecb09e941cab61b020ac1e06419,1,73670.5,10,-0.99894451,-0.99916076,-0.9937973,73670.00052775,73670.00041962,73670.00310135,-4.96898651,0.11079,35.61237,8161.44162,2623645.28321,strong_ask,wide,fresh,regular,recovery_present,unverified_side_semantics,,,disabled_unverified_side_semantics,research_ready_without_trade_pressure
61,1780044708146155111,BTC,hl-66959ecb09e941cab61b020ac1e06419,1,73670.5,10,-0.99905827,-0.9958785,-0.99417081,73670.00047087,73670.00206075,73670.00291459,-4.97085407,0.11079,37.90138,8161.53212,2792278.93892,strong_ask,wide,fresh,regular,recovery_present,unverified_side_semantics,,,disabled_unverified_side_semantics,research_ready_without_trade_pressure
62,1780044708646155111,BTC,hl-66959ecb09e941cab61b020ac1e06419,1,73670.5,10,-0.99905827,-0.97923481,-0.98243284,73670.00047087,73670.0103826,73670.00878358,-4.91216418,0.33749,38.08533,24861.84102,2805831.34616,strong_ask,wide,fresh,regular,recovery_present,unverified_side_semantics,,,disabled_unverified_side_semantics,research_ready_without_trade_pressure
63,1780044709146155111,BTC,hl-66959ecb09e941cab61b020ac1e06419,1,73670.5,10,-0.99905827,-0.97923481,-0.98243284,73670.00047087,73670.0103826,73670.00878358,-4.91216418,0.33749,38.08533,24861.84102,2805831.34616,strong_ask,wide,warm,repeat_same_book,recovery_present,unverified_side_semantics,,,disabled_unverified_side_semantics,research_ready_without_trade_pressure
64,1780044709646155111,BTC,hl-66959ecb09e941cab61b020ac1e06419,1,73670.5,10,-0.99905827,-0.97923481,-0.98243284,73670.00047087,73670.0103826,73670.00878358,-4.91216418,0.33749,38.08533,24861.84102,2805831.34616,strong_ask,wide,very_stale,repeat_same_book,recovery_present,unverified_side_semantics,,,disabled_unverified_side_semantics,research_ready_without_trade_pressure
65,1780044710146155111,BTC,hl-66959ecb09e941cab61b020ac1e06419,1,73661.5,10,-0.93001151,-0.8720305,-0.81225803,73661.03499425,73661.06398475,73661.09387098,-4.06129017,6.70233,64.69705,493684.10255,4765830.44566,strong_ask,wide,warm,slow,recovery_present,unverified_side_semantics,,,disabled_unverified_side_semantics,research_ready_without_trade_pressure
66,1780044710646155111,BTC,hl-66959ecb09e941cab61b020ac1e06419,1,73661.5,10,-0.47983396,-0.43601886,-0.39312619,73661.26008302,73661.28199057,73661.30343691,-1.96563094,9.96434,22.87392,733969.94906,1684960.55897,strong_ask,wide,warm,regular,recovery_present,unverified_side_semantics,,,disabled_unverified_side_semantics,research_ready_without_trade_pressure
67,1780044711146155111,BTC,hl-66959ecb09e941cab61b020ac1e06419,1,73661.5,10,-0.1844845,-0.17771318,-0.1928878,73661.40775775,73661.41114341,73661.4035561,-0.96443901,9.18666,13.57761,676691.78653,1000165.80264,strong_ask,wide,warm,regular,recovery_present,unverified_side_semantics,,,disabled_unverified_side_semantics,research_ready_without_trade_pressure
68,1780044711646155111,BTC,hl-66959ecb09e941cab61b020ac1e06419,1,73661.5,10,-0.23379333,-0.1844821,-0.23818405,73661.38310334,73661.40775895,73661.38090798,-1.19092025,7.97336,12.95915,587320.47144,954608.12563,strong_ask,wide,fresh,regular,recovery_present,unverified_side_semantics,,,disabled_unverified_side_semantics,research_ready_without_trade_pressure
69,1780044712146155111,BTC,hl-66959ecb09e941cab61b020ac1e06419,1,73661.5,10,-0.34598392,-0.434471,-0.33638164,73661.32700804,73661.2827645,73661.33180918,-1.68190818,6.43524,12.95916,474019.37012,954607.50336,strong_ask,wide,fresh,regular,recovery_present,unverified_side_semantics,,,disabled_unverified_side_semantics,research_ready_without_trade_pressure
70,1780044712646155111,BTC,hl-66959ecb09e941cab61b020ac1e06419,1,73661.5,10,-0.18217534,-0.21923724,-0.32466107,73661.40891233,73661.39038138,73661.33766947,-1.62330535,7.34606,14.40912,541115.24837,1061421.34943,strong_ask,wide,fresh,regular,recovery_present,unverified_side_semantics,,,disabled_unverified_side_semantics,research_ready_without_trade_pressure
71,1780044713146155111,BTC,hl-66959ecb09e941cab61b020ac1e06419,1,73661.5,10,-0.89990856,-0.91031318,-0.87531274,73661.05004572,73661.04484341,73661.06234363,-4.37656369,1.48863,22.38919,109651.9098,1649254.1651,strong_ask,wide,fresh,regular,recovery_present,unverified_side_semantics,,,disabled_unverified_side_semantics,research_ready_without_trade_pressure
72,1780044713646155111,BTC,hl-66959ecb09e941cab61b020ac1e06419,1,73661.5,10,-0.86289312,-0.88359767,-0.81891801,73661.06855344,73661.05820116,73661.09054099,-4.09459006,2.36825,23.78841,174443.11978,1752324.84488,strong_ask,wide,fresh,regular,recovery_present,unverified_side_semantics,,,disabled_unverified_side_semantics,research_ready_without_trade_pressure
73,1780044714146155111,BTC,hl-66959ecb09e941cab61b020ac1e06419,1,73661.5,10,-0.86289312,-0.88359767,-0.81891801,73661.06855344,73661.05820116,73661.09054099,-4.09459006,2.36825,23.78841,174443.11978,1752324.84488,strong_ask,wide,warm,repeat_same_book,recovery_present,unverified_side_semantics,,,disabled_unverified_side_semantics,research_ready_without_trade_pressure
74,1780044714646155111,BTC,hl-66959ecb09e941cab61b020ac1e06419,1,73661.5,10,-0.86289312,-0.88359767,-0.81891801,73661.06855344,73661.05820116,73661.09054099,-4.09459006,2.36825,23.78841,174443.11978,1752324.84488,strong_ask,wide,very_stale,repeat_same_book,recovery_present,unverified_side_semantics,,,disabled_unverified_side_semantics,research_ready_without_trade_pressure
