event_sequence,source_channel,shadow_action,shadow_reason,fresh_touch_allowed,fair_mid_source_status,edge_gate_status,would_submit_shadow,real_order_authorized,real_order_submitted,fill_observed,fee_rebate_available,inventory_transition_available,live_realized_pnl_proof,preflight_status
70,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
71,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
72,l2Book,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
73,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
74,l2Book,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
75,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
76,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
77,l2Book,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
78,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
79,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
80,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
81,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
82,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
83,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
84,l2Book,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
85,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
86,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
87,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
88,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
89,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
90,l2Book,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
91,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
92,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
93,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
94,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
95,l2Book,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
96,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
97,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
98,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
99,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
100,l2Book,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
101,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
102,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
103,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
104,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
105,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
106,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
107,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
108,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
109,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
110,l2Book,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
111,trades,block,missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
112,trades,block,missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
113,trades,block,missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
114,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
115,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
116,l2Book,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
117,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
118,l2Book,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
119,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
120,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
121,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
122,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
123,trades,block,missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
124,trades,block,missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
125,trades,block,missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
126,l2Book,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
127,trades,block,missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
128,trades,block,missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
129,l2Book,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
130,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
131,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
132,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
133,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
134,l2Book,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
135,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
136,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
137,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
138,l2Book,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
139,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
140,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
141,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
142,l2Book,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
143,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
144,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
145,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
146,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
147,l2Book,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
148,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
149,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
150,l2Book,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
151,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
152,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
153,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
154,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
155,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
156,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
157,l2Book,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
158,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
159,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
160,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
161,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
162,l2Book,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
163,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
164,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
165,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
166,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
167,trades,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
168,l2Book,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,False,block,block,False,False,False,False,False,False,False,blocked_no_real_canary_authorization
