coarsening_variant,inventory_bucket,side_class,quote_distance_bucket,fair_or_reservation_edge_bucket,latency_stale_bucket,post_only_safety_bucket,reject_throttle_churn_bucket,rows,fills,fills_needed_for_min_clean_fills,samples_needed_for_min_clean_samples,fill_samples_needed_for_min_coverage,sample_count,fill_sample_count,recommendation
edge_latency_coarsened,mild_skew,add_side,touch,edge_non_adverse,stale_latency_high,post_only_clean,churn_normal,42,7,33,0,0,7,5,target clean observed fills in this decision-visible regime
quote_distance_family_coarsened,mild_skew,add_side,near_touch,edge_strong_favorable,stale_latency_high,guarded_depth_fallback,churn_normal,35,7,33,0,0,6,5,target clean observed fills in this decision-visible regime
quote_distance_family_coarsened,mild_skew,add_side,near_touch,edge_strong_favorable,stale_latency_high,post_only_clean,churn_normal,42,7,33,0,0,7,5,target clean observed fills in this decision-visible regime
churn_warning_coarsened,mild_skew,add_side,touch,edge_non_adverse,stale_latency_high,guarded_depth_fallback,churn_normal,37,7,33,0,0,6,5,target clean observed fills in this decision-visible regime
churn_warning_coarsened,mild_skew,add_side,touch,edge_non_adverse,stale_latency_high,post_only_clean,churn_normal,42,7,33,0,0,7,5,target clean observed fills in this decision-visible regime
churn_warning_coarsened,mild_skew,reduce_side,touch,edge_non_adverse,market_view_usable,guarded_depth_fallback,warning_churn_context,74,7,33,0,0,8,4,target clean observed fills in this decision-visible regime
identity,large_skew_or_low_score,add_side,touch,edge_strong_favorable,stale_latency_high,guarded_depth_fallback,churn_normal,49,6,34,0,0,7,4,target clean observed fills in this decision-visible regime
edge_latency_coarsened,large_skew_or_low_score,add_side,touch,edge_non_adverse,stale_latency_high,guarded_depth_fallback,churn_normal,50,6,34,0,0,7,4,target clean observed fills in this decision-visible regime
quote_distance_family_coarsened,large_skew_or_low_score,add_side,near_touch,edge_strong_favorable,stale_latency_high,guarded_depth_fallback,churn_normal,49,6,34,0,0,7,4,target clean observed fills in this decision-visible regime
churn_warning_coarsened,flat,flat_side,step_back_gt1,edge_non_adverse,market_view_usable,guarded_depth_fallback,warning_churn_context,650,6,34,0,0,8,4,target clean observed fills in this decision-visible regime
churn_warning_coarsened,flat,flat_side,touch,edge_non_adverse,stale_latency_high,guarded_depth_fallback,warning_churn_context,78,6,34,0,0,7,4,target clean observed fills in this decision-visible regime
churn_warning_coarsened,large_skew_or_low_score,add_side,touch,edge_non_adverse,stale_latency_high,guarded_depth_fallback,churn_normal,50,6,34,0,0,7,4,target clean observed fills in this decision-visible regime
churn_warning_coarsened,large_skew_or_low_score,add_side,touch,edge_non_adverse,stale_latency_high,post_only_clean,warning_churn_context,169,6,34,0,0,8,4,target clean observed fills in this decision-visible regime
churn_warning_coarsened,mild_skew,add_side,touch,edge_non_adverse,market_view_usable,guarded_depth_fallback,warning_churn_context,95,6,34,0,0,8,5,target clean observed fills in this decision-visible regime
churn_warning_coarsened,mild_skew,reduce_side,step_back_gt1,edge_non_adverse,market_view_usable,guarded_depth_fallback,warning_churn_context,670,6,34,0,0,8,5,target clean observed fills in this decision-visible regime
identity,large_skew_or_low_score,add_side,touch,edge_strong_favorable,stale_latency_high,post_only_clean,churn_normal,53,5,35,0,0,8,4,target clean observed fills in this decision-visible regime
edge_latency_coarsened,large_skew_or_low_score,add_side,touch,edge_non_adverse,stale_latency_high,post_only_clean,churn_normal,55,5,35,0,0,8,4,target clean observed fills in this decision-visible regime
quote_distance_family_coarsened,large_skew_or_low_score,add_side,near_touch,edge_strong_favorable,stale_latency_high,post_only_clean,churn_normal,53,5,35,0,0,8,4,target clean observed fills in this decision-visible regime
churn_warning_coarsened,large_skew_or_low_score,add_side,touch,edge_non_adverse,stale_latency_high,post_only_clean,churn_normal,55,5,35,0,0,8,4,target clean observed fills in this decision-visible regime
identity,mild_skew,reduce_side,touch,edge_strong_favorable,stale_latency_high,post_only_clean,churn_normal,33,4,36,0,0,8,3,target clean observed fills in this decision-visible regime
edge_latency_coarsened,mild_skew,reduce_side,touch,edge_non_adverse,stale_latency_high,post_only_clean,churn_normal,34,4,36,0,0,8,3,target clean observed fills in this decision-visible regime
quote_distance_family_coarsened,mild_skew,reduce_side,near_touch,edge_strong_favorable,stale_latency_high,post_only_clean,churn_normal,33,4,36,0,0,8,3,target clean observed fills in this decision-visible regime
churn_warning_coarsened,mild_skew,add_side,step_back_gt1,edge_non_adverse,stale_latency_high,post_only_clean,warning_churn_context,687,4,36,0,0,8,4,target clean observed fills in this decision-visible regime
churn_warning_coarsened,mild_skew,reduce_side,step_back_gt1,edge_non_adverse,stale_latency_high,post_only_clean,warning_churn_context,760,4,36,0,0,8,3,target clean observed fills in this decision-visible regime
churn_warning_coarsened,mild_skew,reduce_side,touch,edge_non_adverse,stale_latency_high,guarded_depth_fallback,warning_churn_context,78,4,36,0,0,8,3,target clean observed fills in this decision-visible regime
churn_warning_coarsened,mild_skew,reduce_side,touch,edge_non_adverse,stale_latency_high,post_only_clean,churn_normal,34,4,36,0,0,8,3,target clean observed fills in this decision-visible regime
identity,large_skew_or_low_score,reduce_side,step_back_gt1,edge_weak_or_neutral,stale_latency_high,guarded_depth_fallback,churn_normal,165,3,37,0,0,7,3,target clean observed fills in this decision-visible regime
identity,mild_skew,reduce_side,step_back_gt1,edge_weak_or_neutral,stale_latency_high,guarded_depth_fallback,churn_normal,69,3,37,0,0,7,2,target clean observed fills in this decision-visible regime
edge_latency_coarsened,large_skew_or_low_score,reduce_side,step_back_gt1,edge_non_adverse,stale_latency_high,guarded_depth_fallback,churn_normal,165,3,37,0,0,7,3,target clean observed fills in this decision-visible regime
edge_latency_coarsened,mild_skew,reduce_side,step_back_gt1,edge_non_adverse,stale_latency_high,guarded_depth_fallback,churn_normal,69,3,37,0,0,7,2,target clean observed fills in this decision-visible regime
quote_distance_family_coarsened,large_skew_or_low_score,reduce_side,passive_step_back,edge_weak_or_neutral,stale_latency_high,guarded_depth_fallback,churn_normal,165,3,37,0,0,7,3,target clean observed fills in this decision-visible regime
quote_distance_family_coarsened,mild_skew,reduce_side,passive_step_back,edge_weak_or_neutral,stale_latency_high,guarded_depth_fallback,churn_normal,69,3,37,0,0,7,2,target clean observed fills in this decision-visible regime
churn_warning_coarsened,large_skew_or_low_score,add_side,step_back_gt1,edge_non_adverse,market_view_usable,guarded_depth_fallback,warning_churn_context,658,3,37,0,0,8,2,target clean observed fills in this decision-visible regime
churn_warning_coarsened,large_skew_or_low_score,add_side,step_back_gt1,edge_non_adverse,stale_latency_high,guarded_depth_fallback,warning_churn_context,749,3,37,0,0,8,3,target clean observed fills in this decision-visible regime
churn_warning_coarsened,large_skew_or_low_score,reduce_side,step_back_gt1,edge_non_adverse,stale_latency_high,guarded_depth_fallback,churn_normal,165,3,37,0,0,7,3,target clean observed fills in this decision-visible regime
churn_warning_coarsened,mild_skew,reduce_side,step_back_gt1,edge_non_adverse,stale_latency_high,guarded_depth_fallback,churn_normal,69,3,37,0,0,7,2,target clean observed fills in this decision-visible regime
identity,flat,flat_side,touch,edge_strong_favorable,stale_latency_high,post_only_clean,churn_normal,27,2,38,0,0,7,2,target clean observed fills in this decision-visible regime
edge_latency_coarsened,flat,flat_side,touch,edge_non_adverse,stale_latency_high,post_only_clean,churn_normal,29,2,38,0,0,8,2,target clean observed fills in this decision-visible regime
quote_distance_family_coarsened,flat,flat_side,near_touch,edge_strong_favorable,stale_latency_high,post_only_clean,churn_normal,27,2,38,0,0,7,2,target clean observed fills in this decision-visible regime
churn_warning_coarsened,flat,flat_side,touch,edge_non_adverse,stale_latency_high,post_only_clean,churn_normal,29,2,38,0,0,8,2,target clean observed fills in this decision-visible regime
churn_warning_coarsened,large_skew_or_low_score,reduce_side,step_back_gt1,edge_non_adverse,stale_latency_join_stale,guarded_depth_fallback,warning_churn_context,184,2,38,0,0,8,2,target clean observed fills in this decision-visible regime
churn_warning_coarsened,mild_skew,add_side,step_back_gt1,edge_non_adverse,market_view_usable,clamped,warning_churn_context,25,2,38,0,0,7,2,target clean observed fills in this decision-visible regime
churn_warning_coarsened,mild_skew,add_side,step_back_gt1,edge_non_adverse,market_view_usable,guarded_depth_fallback,warning_churn_context,636,2,38,0,0,8,2,target clean observed fills in this decision-visible regime
churn_warning_coarsened,mild_skew,add_side,step_back_gt1,edge_non_adverse,stale_latency_high,guarded_depth_fallback,warning_churn_context,637,2,38,0,0,8,2,target clean observed fills in this decision-visible regime
churn_warning_coarsened,mild_skew,reduce_side,touch,edge_non_adverse,stale_latency_join_stale,guarded_depth_fallback,warning_churn_context,7,2,38,0,0,5,2,target clean observed fills in this decision-visible regime
identity,mild_skew,add_side,step_back_gt1,edge_weak_or_neutral,stale_latency_high,post_only_clean,churn_normal,52,2,38,0,1,6,1,target clean observed fills in this decision-visible regime
identity,mild_skew,reduce_side,touch,edge_strong_favorable,stale_latency_high,guarded_depth_fallback,churn_normal,27,2,38,0,1,6,1,target clean observed fills in this decision-visible regime
edge_latency_coarsened,mild_skew,add_side,step_back_gt1,edge_non_adverse,stale_latency_high,post_only_clean,churn_normal,52,2,38,0,1,6,1,target clean observed fills in this decision-visible regime
edge_latency_coarsened,mild_skew,reduce_side,touch,edge_non_adverse,stale_latency_high,guarded_depth_fallback,churn_normal,29,2,38,0,1,6,1,target clean observed fills in this decision-visible regime
quote_distance_family_coarsened,mild_skew,add_side,passive_step_back,edge_weak_or_neutral,stale_latency_high,post_only_clean,churn_normal,52,2,38,0,1,6,1,target clean observed fills in this decision-visible regime
quote_distance_family_coarsened,mild_skew,reduce_side,near_touch,edge_strong_favorable,stale_latency_high,guarded_depth_fallback,churn_normal,27,2,38,0,1,6,1,target clean observed fills in this decision-visible regime
churn_warning_coarsened,mild_skew,add_side,step_back_gt1,edge_non_adverse,stale_latency_high,post_only_clean,churn_normal,52,2,38,0,1,6,1,target clean observed fills in this decision-visible regime
churn_warning_coarsened,mild_skew,reduce_side,touch,edge_non_adverse,stale_latency_high,guarded_depth_fallback,churn_normal,29,2,38,0,1,6,1,target clean observed fills in this decision-visible regime
identity,flat,flat_side,step_back_gt1,edge_weak_or_neutral,stale_latency_high,post_only_clean,churn_normal,51,1,39,0,1,6,1,target clean observed fills in this decision-visible regime
identity,flat,flat_side,step_back_gt1,edge_weak_or_neutral,stale_latency_join_stale,guarded_depth_fallback,churn_normal,17,1,39,0,1,5,1,target clean observed fills in this decision-visible regime
identity,large_skew_or_low_score,add_side,step_back_gt1,edge_weak_or_neutral,stale_latency_join_stale,guarded_depth_fallback,churn_normal,24,1,39,0,1,5,1,target clean observed fills in this decision-visible regime
identity,large_skew_or_low_score,add_side,touch,edge_strong_favorable,stale_latency_join_stale,guarded_depth_fallback,churn_normal,6,1,39,0,1,3,1,target clean observed fills in this decision-visible regime
identity,large_skew_or_low_score,add_side,touch,edge_strong_favorable,stale_latency_medium,post_only_clean,churn_normal,3,1,39,0,1,3,1,target clean observed fills in this decision-visible regime
identity,large_skew_or_low_score,reduce_side,step_back_gt1,edge_weak_or_neutral,stale_latency_high,post_only_clean,churn_normal,134,1,39,0,1,7,1,target clean observed fills in this decision-visible regime
identity,large_skew_or_low_score,reduce_side,touch,edge_strong_favorable,stale_latency_medium,post_only_clean,churn_normal,18,1,39,0,1,8,1,target clean observed fills in this decision-visible regime
identity,mild_skew,add_side,touch,edge_strong_favorable,fresh_low_latency,guarded_depth_fallback,churn_normal,1,1,39,2,1,1,1,target clean observed fills in this decision-visible regime
identity,mild_skew,add_side,touch,edge_strong_favorable,fresh_low_latency,post_only_clean,churn_normal,5,1,39,0,1,5,1,target clean observed fills in this decision-visible regime
identity,mild_skew,add_side,touch,edge_strong_favorable,stale_latency_join_stale,guarded_depth_fallback,churn_normal,4,1,39,1,1,2,1,target clean observed fills in this decision-visible regime
identity,mild_skew,reduce_side,step_back_gt1,edge_weak_or_neutral,fresh_low_latency,post_only_clean,churn_normal,10,1,39,0,1,6,1,target clean observed fills in this decision-visible regime
identity,mild_skew,reduce_side,step_back_gt1,edge_weak_or_neutral,stale_latency_high,post_only_clean,churn_normal,62,1,39,0,1,7,1,target clean observed fills in this decision-visible regime
edge_latency_coarsened,flat,flat_side,step_back_gt1,edge_non_adverse,stale_latency_high,post_only_clean,churn_normal,51,1,39,0,1,6,1,target clean observed fills in this decision-visible regime
edge_latency_coarsened,flat,flat_side,step_back_gt1,edge_non_adverse,stale_latency_join_stale,guarded_depth_fallback,churn_normal,17,1,39,0,1,5,1,target clean observed fills in this decision-visible regime
edge_latency_coarsened,large_skew_or_low_score,add_side,step_back_gt1,edge_non_adverse,stale_latency_join_stale,guarded_depth_fallback,churn_normal,24,1,39,0,1,5,1,target clean observed fills in this decision-visible regime
edge_latency_coarsened,large_skew_or_low_score,add_side,touch,edge_non_adverse,market_view_usable,post_only_clean,churn_normal,13,1,39,0,1,6,1,target clean observed fills in this decision-visible regime
edge_latency_coarsened,large_skew_or_low_score,add_side,touch,edge_non_adverse,stale_latency_join_stale,guarded_depth_fallback,churn_normal,7,1,39,0,1,3,1,target clean observed fills in this decision-visible regime
edge_latency_coarsened,large_skew_or_low_score,reduce_side,step_back_gt1,edge_non_adverse,stale_latency_high,post_only_clean,churn_normal,134,1,39,0,1,7,1,target clean observed fills in this decision-visible regime
edge_latency_coarsened,mild_skew,add_side,touch,edge_non_adverse,market_view_usable,guarded_depth_fallback,churn_normal,1,1,39,2,1,1,1,target clean observed fills in this decision-visible regime
edge_latency_coarsened,mild_skew,add_side,touch,edge_non_adverse,market_view_usable,post_only_clean,churn_normal,6,1,39,0,1,5,1,target clean observed fills in this decision-visible regime
edge_latency_coarsened,mild_skew,add_side,touch,edge_non_adverse,stale_latency_join_stale,guarded_depth_fallback,churn_normal,4,1,39,1,1,2,1,target clean observed fills in this decision-visible regime
edge_latency_coarsened,mild_skew,reduce_side,step_back_gt1,edge_non_adverse,market_view_usable,post_only_clean,churn_normal,10,1,39,0,1,6,1,target clean observed fills in this decision-visible regime
edge_latency_coarsened,mild_skew,reduce_side,step_back_gt1,edge_non_adverse,stale_latency_high,post_only_clean,churn_normal,62,1,39,0,1,7,1,target clean observed fills in this decision-visible regime
quote_distance_family_coarsened,flat,flat_side,passive_step_back,edge_weak_or_neutral,stale_latency_high,post_only_clean,churn_normal,51,1,39,0,1,6,1,target clean observed fills in this decision-visible regime
quote_distance_family_coarsened,flat,flat_side,passive_step_back,edge_weak_or_neutral,stale_latency_join_stale,guarded_depth_fallback,churn_normal,17,1,39,0,1,5,1,target clean observed fills in this decision-visible regime
quote_distance_family_coarsened,large_skew_or_low_score,add_side,near_touch,edge_strong_favorable,stale_latency_join_stale,guarded_depth_fallback,churn_normal,6,1,39,0,1,3,1,target clean observed fills in this decision-visible regime
quote_distance_family_coarsened,large_skew_or_low_score,add_side,near_touch,edge_strong_favorable,stale_latency_medium,post_only_clean,churn_normal,3,1,39,0,1,3,1,target clean observed fills in this decision-visible regime
quote_distance_family_coarsened,large_skew_or_low_score,add_side,passive_step_back,edge_weak_or_neutral,stale_latency_join_stale,guarded_depth_fallback,churn_normal,24,1,39,0,1,5,1,target clean observed fills in this decision-visible regime
quote_distance_family_coarsened,large_skew_or_low_score,reduce_side,near_touch,edge_strong_favorable,stale_latency_medium,post_only_clean,churn_normal,18,1,39,0,1,8,1,target clean observed fills in this decision-visible regime
quote_distance_family_coarsened,large_skew_or_low_score,reduce_side,passive_step_back,edge_weak_or_neutral,stale_latency_high,post_only_clean,churn_normal,134,1,39,0,1,7,1,target clean observed fills in this decision-visible regime
quote_distance_family_coarsened,mild_skew,add_side,near_touch,edge_strong_favorable,fresh_low_latency,guarded_depth_fallback,churn_normal,1,1,39,2,1,1,1,target clean observed fills in this decision-visible regime
quote_distance_family_coarsened,mild_skew,add_side,near_touch,edge_strong_favorable,fresh_low_latency,post_only_clean,churn_normal,5,1,39,0,1,5,1,target clean observed fills in this decision-visible regime
quote_distance_family_coarsened,mild_skew,add_side,near_touch,edge_strong_favorable,stale_latency_join_stale,guarded_depth_fallback,churn_normal,4,1,39,1,1,2,1,target clean observed fills in this decision-visible regime
quote_distance_family_coarsened,mild_skew,reduce_side,passive_step_back,edge_weak_or_neutral,fresh_low_latency,post_only_clean,churn_normal,10,1,39,0,1,6,1,target clean observed fills in this decision-visible regime
quote_distance_family_coarsened,mild_skew,reduce_side,passive_step_back,edge_weak_or_neutral,stale_latency_high,post_only_clean,churn_normal,62,1,39,0,1,7,1,target clean observed fills in this decision-visible regime
churn_warning_coarsened,flat,flat_side,step_back_gt1,edge_non_adverse,stale_latency_high,guarded_depth_fallback,warning_churn_context,631,1,39,0,1,8,1,target clean observed fills in this decision-visible regime
churn_warning_coarsened,flat,flat_side,step_back_gt1,edge_non_adverse,stale_latency_high,post_only_clean,churn_normal,51,1,39,0,1,6,1,target clean observed fills in this decision-visible regime
churn_warning_coarsened,flat,flat_side,step_back_gt1,edge_non_adverse,stale_latency_join_stale,guarded_depth_fallback,churn_normal,17,1,39,0,1,5,1,target clean observed fills in this decision-visible regime
churn_warning_coarsened,flat,flat_side,step_back_gt1,edge_non_adverse,stale_latency_join_stale,guarded_depth_fallback,warning_churn_context,78,1,39,0,1,6,1,target clean observed fills in this decision-visible regime
churn_warning_coarsened,large_skew_or_low_score,add_side,step_back_gt1,edge_non_adverse,stale_latency_join_stale,guarded_depth_fallback,churn_normal,24,1,39,0,1,5,1,target clean observed fills in this decision-visible regime
churn_warning_coarsened,large_skew_or_low_score,add_side,step_back_gt1,edge_non_adverse,stale_latency_join_stale,guarded_depth_fallback,warning_churn_context,108,1,39,0,1,7,1,target clean observed fills in this decision-visible regime
churn_warning_coarsened,large_skew_or_low_score,add_side,touch,edge_non_adverse,market_view_usable,post_only_clean,churn_normal,13,1,39,0,1,6,1,target clean observed fills in this decision-visible regime
churn_warning_coarsened,large_skew_or_low_score,add_side,touch,edge_non_adverse,stale_latency_high,clamped,warning_churn_context,3,1,39,2,1,1,1,target clean observed fills in this decision-visible regime
churn_warning_coarsened,large_skew_or_low_score,add_side,touch,edge_non_adverse,stale_latency_join_stale,guarded_depth_fallback,churn_normal,7,1,39,0,1,3,1,target clean observed fills in this decision-visible regime
churn_warning_coarsened,large_skew_or_low_score,reduce_side,step_back_gt1,edge_non_adverse,market_view_usable,clamped,warning_churn_context,72,1,39,0,1,8,1,target clean observed fills in this decision-visible regime
churn_warning_coarsened,large_skew_or_low_score,reduce_side,step_back_gt1,edge_non_adverse,stale_latency_high,clamped,warning_churn_context,5,1,39,1,1,2,1,target clean observed fills in this decision-visible regime
churn_warning_coarsened,large_skew_or_low_score,reduce_side,step_back_gt1,edge_non_adverse,stale_latency_high,post_only_clean,churn_normal,134,1,39,0,1,7,1,target clean observed fills in this decision-visible regime
churn_warning_coarsened,large_skew_or_low_score,reduce_side,touch,edge_non_adverse,stale_latency_join_stale,guarded_depth_fallback,warning_churn_context,17,1,39,0,1,6,1,target clean observed fills in this decision-visible regime
churn_warning_coarsened,mild_skew,add_side,touch,edge_non_adverse,market_view_usable,clamped,warning_churn_context,24,1,39,0,1,5,1,target clean observed fills in this decision-visible regime
churn_warning_coarsened,mild_skew,add_side,touch,edge_non_adverse,market_view_usable,guarded_depth_fallback,churn_normal,1,1,39,2,1,1,1,target clean observed fills in this decision-visible regime
churn_warning_coarsened,mild_skew,add_side,touch,edge_non_adverse,market_view_usable,post_only_clean,churn_normal,6,1,39,0,1,5,1,target clean observed fills in this decision-visible regime
churn_warning_coarsened,mild_skew,add_side,touch,edge_non_adverse,stale_latency_join_stale,guarded_depth_fallback,churn_normal,4,1,39,1,1,2,1,target clean observed fills in this decision-visible regime
churn_warning_coarsened,mild_skew,add_side,touch,edge_non_adverse,stale_latency_join_stale,guarded_depth_fallback,warning_churn_context,6,1,39,0,1,4,1,target clean observed fills in this decision-visible regime
churn_warning_coarsened,mild_skew,reduce_side,step_back_gt1,edge_non_adverse,market_view_usable,post_only_clean,churn_normal,10,1,39,0,1,6,1,target clean observed fills in this decision-visible regime
churn_warning_coarsened,mild_skew,reduce_side,step_back_gt1,edge_non_adverse,stale_latency_high,post_only_clean,churn_normal,62,1,39,0,1,7,1,target clean observed fills in this decision-visible regime
churn_warning_coarsened,mild_skew,reduce_side,step_back_gt1,edge_non_adverse,stale_latency_join_stale,guarded_depth_fallback,warning_churn_context,111,1,39,0,1,7,1,target clean observed fills in this decision-visible regime
identity,flat,flat_side,step_back_gt1,edge_weak_or_neutral,fresh_low_latency,guarded_depth_fallback,churn_normal,2,0,40,1,2,2,0,target clean observed fills in this decision-visible regime
identity,flat,flat_side,step_back_gt1,edge_weak_or_neutral,fresh_low_latency,post_only_clean,churn_normal,12,0,40,0,2,5,0,target clean observed fills in this decision-visible regime
identity,flat,flat_side,step_back_gt1,edge_weak_or_neutral,stale_latency_high,clamped,churn_normal,4,0,40,1,2,2,0,target clean observed fills in this decision-visible regime
identity,flat,flat_side,step_back_gt1,edge_weak_or_neutral,stale_latency_high,guarded_depth_fallback,churn_normal,71,0,40,0,2,7,0,target clean observed fills in this decision-visible regime
identity,flat,flat_side,touch,edge_strong_favorable,fresh_low_latency,clamped,churn_normal,1,0,40,2,2,1,0,target clean observed fills in this decision-visible regime
identity,flat,flat_side,touch,edge_strong_favorable,fresh_low_latency,guarded_depth_fallback,churn_normal,2,0,40,1,2,2,0,target clean observed fills in this decision-visible regime
identity,flat,flat_side,touch,edge_strong_favorable,fresh_low_latency,post_only_clean,churn_normal,3,0,40,0,2,3,0,target clean observed fills in this decision-visible regime
