schema_version,task_id,sample_sequence,collection_window_id,market_role,side,connection_mode,retry_path,submit_response_rtt_us,resting_confirmation_lag_us,decision_to_enqueue_us,enqueue_to_call_us,cancel_response_rtt_us,terminal_minus_cancel_response_us,cancel_effective_latency_us,final_safety_confirmation_us,primary_latency_eligible,failure_or_censor_class
skhynix_c6in_latency_v2,0822T002,44,w2,target,sell,production_equivalent_reused,normal,433510,5893,2,1,694639,25097,719741,750696,true,
skhynix_c6in_latency_v2,0822T002,45,w2,target,buy,production_equivalent_reused,normal,397098,29115,3,1,716922,34471,751398,782872,true,
skhynix_c6in_latency_v2,0822T002,46,w2,target,sell,production_equivalent_reused,normal,391251,3939,2,1,619785,16074,635864,666439,true,
skhynix_c6in_latency_v2,0822T002,47,w2,target,buy,production_equivalent_reused,normal_retry_error,358353,20176,2,1,799223,5989152,6788379,6835502,true,
skhynix_c6in_latency_v2,0822T002,48,w2,target,sell,production_equivalent_reused,normal,437004,36261,2,1,727578,66791,794374,825055,true,
skhynix_c6in_latency_v2,0822T002,49,w2,target,buy,production_equivalent_reused,normal,447842,5052,1,1,632316,94126,726445,757110,true,
skhynix_c6in_latency_v2,0822T002,50,w2,target,sell,production_equivalent_reused,normal,461324,32246,2,1,737070,26792,763867,795762,true,
skhynix_c6in_latency_v2,0822T002,51,w2,target,buy,production_equivalent_reused,normal,407508,6161,1,0,637196,40287,677485,718472,true,
skhynix_c6in_latency_v2,0822T002,52,w2,target,sell,production_equivalent_reused,normal,346198,5303,2,1,716856,8386,725247,756861,true,
skhynix_c6in_latency_v2,0822T002,53,w2,target,buy,production_equivalent_reused,normal_retry_error,450183,20351,2,1,719930,5643333,6363267,6396447,true,
skhynix_c6in_latency_v2,0822T002,54,w2,target,sell,production_equivalent_reused,normal,417118,6950,2,1,656438,39120,695562,728162,true,
skhynix_c6in_latency_v2,0822T002,55,w2,target,buy,production_equivalent_reused,normal,361202,5895,1,1,666170,43842,710015,740922,true,
skhynix_c6in_latency_v2,0822T002,56,w2,target,sell,production_equivalent_reused,normal,370418,6153,2,1,669121,51604,720730,751628,true,
skhynix_c6in_latency_v2,0822T002,57,w2,target,buy,production_equivalent_reused,normal,444144,5697,2,1,701677,59941,761621,792941,true,
skhynix_c6in_latency_v2,0822T002,58,w2,target,sell,production_equivalent_reused,normal,437094,5539,2,1,649036,37991,687031,718524,true,
skhynix_c6in_latency_v2,0822T002,59,w2,target,buy,production_equivalent_reused,normal_retry_error,412333,129724,2,1,958125,5072397,6030525,6065162,true,
skhynix_c6in_latency_v2,0822T002,60,w2,target,sell,production_equivalent_reused,normal,366909,6246,2,1,751626,96516,848146,881499,true,
skhynix_c6in_latency_v2,0822T002,61,w2,target,buy,production_equivalent_reused,normal,356610,22303,1,1,716930,28808,745740,776879,true,
skhynix_c6in_latency_v2,0822T002,62,w2,target,sell,production_equivalent_reused,normal,376795,6644,0,0,674174,39092,713268,744368,true,
skhynix_c6in_latency_v2,0822T002,63,w2,target,buy,production_equivalent_reused,normal,456409,4592,1,1,678354,44413,722771,754247,true,
skhynix_c6in_latency_v2,0822T002,64,w2,target,sell,production_equivalent_reused,normal,403049,4766,1,1,798180,-164789,633394,829140,true,
skhynix_c6in_latency_v2,0822T002,65,w2,target,buy,production_equivalent_reused,normal_retry_error,373060,20304,2,1,822939,5392498,6215442,6251504,true,
skhynix_c6in_latency_v2,0822T002,66,w2,target,sell,production_equivalent_reused,normal,387615,5703,2,1,662207,44934,707146,738071,true,
skhynix_c6in_latency_v2,0822T002,67,w2,target,buy,production_equivalent_reused,normal,367571,8986,2,1,705706,41507,747217,789036,true,
skhynix_c6in_latency_v2,0822T002,68,w2,target,sell,production_equivalent_reused,normal,425478,56487,2,1,751985,72483,824473,856045,true,
skhynix_c6in_latency_v2,0822T002,69,w2,target,buy,production_equivalent_reused,normal,346284,4732,1,1,746818,4527,751348,782137,true,
skhynix_c6in_latency_v2,0822T002,70,w2,target,sell,production_equivalent_reused,normal,406948,11215,2,1,661100,41342,702447,732131,true,
skhynix_c6in_latency_v2,0822T002,71,w2,target,buy,production_equivalent_reused,normal_retry_error,374741,39732,2,1,665305,5895743,6561052,6606143,true,
skhynix_c6in_latency_v2,0822T002,72,w2,target,sell,production_equivalent_reused,normal,395495,4676,1,0,676777,9308,686088,717355,true,
skhynix_c6in_latency_v2,0822T002,73,w2,target,buy,production_equivalent_reused,normal,423368,5339,1,1,740411,20364,760778,791287,true,
skhynix_c6in_latency_v2,0822T002,74,w2,target,sell,production_equivalent_reused,normal,427890,6287,2,1,668309,48928,717241,752919,true,
skhynix_c6in_latency_v2,0822T002,75,w2,target,buy,production_equivalent_reused,normal,372485,31087,1,1,678255,13237,691497,720710,true,
skhynix_c6in_latency_v2,0822T002,76,w2,target,sell,production_equivalent_reused,normal,368133,7066,2,0,654654,40710,695367,733493,true,
skhynix_c6in_latency_v2,0822T002,77,w2,target,buy,production_equivalent_reused,normal_retry_error,417312,22001,2,0,794391,5638133,6432528,6475504,true,
skhynix_c6in_latency_v2,0822T002,78,w2,target,sell,production_equivalent_reused,normal,402234,19707,2,1,709664,62697,772365,871949,true,
skhynix_c6in_latency_v2,0822T002,79,w2,target,buy,production_equivalent_reused,normal,418678,4661,2,1,643192,82593,725789,794881,true,
skhynix_c6in_latency_v2,0822T002,80,w2,target,sell,production_equivalent_reused,normal,407123,6306,2,1,832497,57335,889835,921867,true,
skhynix_c6in_latency_v2,0822T002,81,w3,target,buy,production_equivalent_reused,normal_retry_error,363781,32245,3,1,736414,6049776,6786196,6817890,true,
skhynix_c6in_latency_v2,0822T002,82,w3,target,sell,production_equivalent_reused,normal,403340,63129,2,1,780111,53395,833510,863092,true,
skhynix_c6in_latency_v2,0822T002,83,w3,target,buy,production_equivalent_reused,normal,413163,5379,1,1,742021,49537,791561,821970,true,
skhynix_c6in_latency_v2,0822T002,84,w3,target,sell,production_equivalent_reused,normal,445433,6637,1,1,749729,32221,781953,813437,true,
skhynix_c6in_latency_v2,0822T002,85,w3,target,buy,production_equivalent_reused,normal,353593,4623,1,0,699469,34936,734408,783832,true,
skhynix_c6in_latency_v2,0822T002,86,w3,target,sell,production_equivalent_reused,normal,368757,4323,1,1,804413,13931,818347,897807,true,
skhynix_c6in_latency_v2,0822T002,87,w3,target,buy,production_equivalent_reused,normal_retry_error,404694,49137,1,1,729606,5674881,6404491,6434222,true,
skhynix_c6in_latency_v2,0822T002,88,w3,target,sell,production_equivalent_reused,normal,433259,22612,2,1,807534,205572,1013110,1044175,true,
skhynix_c6in_latency_v2,0822T002,89,w3,target,buy,production_equivalent_reused,normal,442066,38456,2,1,802009,-79052,722961,861900,true,
skhynix_c6in_latency_v2,0822T002,90,w3,target,sell,production_equivalent_reused,normal,382407,4970,2,1,723092,-8030,715066,763828,true,
skhynix_c6in_latency_v2,0822T002,91,w3,target,buy,production_equivalent_reused,normal,417358,5128,2,1,611635,27349,638987,701291,true,
skhynix_c6in_latency_v2,0822T002,92,w3,target,sell,production_equivalent_reused,normal,341238,6451,2,1,671907,14462,686373,719618,true,
skhynix_c6in_latency_v2,0822T002,93,w3,target,buy,production_equivalent_reused,normal_retry_error,352767,32270,2,1,674355,5931882,6606241,6636189,true,
skhynix_c6in_latency_v2,0822T002,94,w3,target,sell,production_equivalent_reused,normal,339877,4658,2,1,682358,55861,738223,769601,true,
skhynix_c6in_latency_v2,0822T002,95,w3,target,buy,production_equivalent_reused,normal,387073,23570,2,1,681877,28936,710818,740706,true,
skhynix_c6in_latency_v2,0822T002,96,w3,target,sell,production_equivalent_reused,normal,430509,20100,2,1,683487,36179,719670,751015,true,
skhynix_c6in_latency_v2,0822T002,97,w3,target,buy,production_equivalent_reused,normal,400969,10986,1,1,740186,38931,779120,811991,true,
skhynix_c6in_latency_v2,0822T002,98,w3,target,sell,production_equivalent_reused,normal,317956,13547,1,1,713784,39711,753499,783338,true,
skhynix_c6in_latency_v2,0822T002,99,w3,target,buy,production_equivalent_reused,normal_retry_error,334814,82317,0,1,791551,5871173,6662727,6699885,true,
skhynix_c6in_latency_v2,0822T002,100,w3,target,sell,production_equivalent_reused,normal,420340,23465,2,1,657062,56167,713234,746137,true,
