dimension,bucket,basis_positive_row_count,wrong_way_count,non_wrong_way_count,wrong_way_rate,wrong_way_share,sample_count,wrong_way_sample_count,mean_future_mid_move_ticks,p95_wrong_way_loss_ticks,max_wrong_way_loss_ticks,concentration_vs_overall_wrong_rate
sample_id,cross_exchange_public_sample_xemm_0603_quiet_c_event,334,5,329,0.01497006,0.04950495,1,1,117.38023952,156,170,0.84869864
sample_id,xemm_0609_active_a_event,873,7,866,0.00801833,0.06930693,1,1,22.65177549,40,40,0.4545836
sample_id,xemm_0609_active_b_event,801,15,786,0.01872659,0.14851485,1,1,30.917603,30,30,1.06166796
sample_id,xemm_0609_normal_a_event,524,0,524,0,0,1,0,37.44274809,,,0
sample_id,xemm_0609_normal_b_event,1103,10,1093,0.00906618,0.0990099,1,1,16.42792384,51,60,0.51398975
coarse_time_window,cross_exchange_public_sample_xemm_0603_quiet_a_event:window_early,420,9,411,0.02142857,0.08910891,1,1,24.19047619,180,180,1.21485149
coarse_time_window,cross_exchange_public_sample_xemm_0603_quiet_a_event:window_late,347,6,341,0.01729107,0.05940594,1,1,15.63400576,120,120,0.98028362
coarse_time_window,cross_exchange_public_sample_xemm_0603_quiet_a_event:window_middle,880,45,835,0.05113636,0.44554455,1,1,13.43181818,112,150,2.89907741
coarse_time_window,cross_exchange_public_sample_xemm_0603_quiet_b_event:window_early,220,3,217,0.01363636,0.02970297,1,1,99.61363636,78,80,0.77308731
coarse_time_window,cross_exchange_public_sample_xemm_0603_quiet_b_event:window_late,113,1,112,0.00884956,0.00990099,1,1,96.46017699,15,15,0.50170858
coarse_time_window,cross_exchange_public_sample_xemm_0603_quiet_b_event:window_middle,111,0,111,0,0,1,0,102.07207207,,,0
coarse_time_window,cross_exchange_public_sample_xemm_0603_quiet_c_event:window_early,129,0,129,0,0,1,0,81.08527132,,,0
coarse_time_window,cross_exchange_public_sample_xemm_0603_quiet_c_event:window_late,16,0,16,0,0,1,0,210.9375,,,0
coarse_time_window,cross_exchange_public_sample_xemm_0603_quiet_c_event:window_middle,189,5,184,0.02645503,0.04950495,1,1,134.23280423,156,170,1.49981665
coarse_time_window,xemm_0609_active_a_event:window_early,249,1,248,0.00401606,0.00990099,1,1,26.96787149,10,10,0.22768301
coarse_time_window,xemm_0609_active_a_event:window_late,372,5,367,0.01344086,0.04950495,1,1,17.86290323,40,40,0.76200362
coarse_time_window,xemm_0609_active_a_event:window_middle,252,1,251,0.00396825,0.00990099,1,1,25.45634921,30,30,0.2249725
coarse_time_window,xemm_0609_active_b_event:window_early,284,4,280,0.01408451,0.03960396,1,1,32.51760563,18.5,20,0.79849393
coarse_time_window,xemm_0609_active_b_event:window_late,183,5,178,0.0273224,0.04950495,1,1,38.25136612,18,20,1.54899096
coarse_time_window,xemm_0609_active_b_event:window_middle,334,6,328,0.01796407,0.05940594,1,1,25.53892216,30,30,1.01843837
coarse_time_window,xemm_0609_normal_a_event:window_early,189,0,189,0,0,1,0,43.28042328,,,0
coarse_time_window,xemm_0609_normal_a_event:window_late,172,0,172,0,0,1,0,27.99418605,,,0
coarse_time_window,xemm_0609_normal_a_event:window_middle,163,0,163,0,0,1,0,40.64417178,,,0
coarse_time_window,xemm_0609_normal_b_event:window_early,453,5,448,0.01103753,0.04950495,1,1,15.77262693,54,60,0.62575132
coarse_time_window,xemm_0609_normal_b_event:window_late,199,4,195,0.0201005,0.03960396,1,1,23.64321608,38.5,40,1.13955918
coarse_time_window,xemm_0609_normal_b_event:window_middle,451,1,450,0.00221729,0.00990099,1,1,13.90243902,15,15,0.12570525
