control_dimension,control_bucket,basis_group,row_count,sample_count,mean_future_mid_move_ticks,direction_hit_rate,basis_vs_nonpositive_delta_ticks,controlled_effect_classification
binance_momentum_bucket,binance_momentum_positive_small,basis_positive_large,25,7,118.2,0.96,115.74098361,controlled_increment_supported
binance_momentum_bucket,binance_momentum_positive_small,basis_positive_medium,14,5,64.64285714,1,62.18384075,controlled_increment_supported
binance_momentum_bucket,binance_momentum_positive_small,basis_positive_small,17,7,29.41176471,1,26.95274831,controlled_increment_supported
binance_momentum_bucket,binance_momentum_unavailable,basis_nonpositive,4,4,-12.5,0,,watch_or_insufficient
binance_momentum_bucket,binance_momentum_unavailable,basis_positive_medium,1,1,0,,12.5,watch_or_insufficient
binance_momentum_bucket,binance_momentum_zero,basis_nonpositive,16994,7,-11.14569848,0.2929646,,watch_or_insufficient
binance_momentum_bucket,binance_momentum_zero,basis_positive_large,1762,7,60.33200908,0.99039231,71.47770756,controlled_increment_supported
binance_momentum_bucket,binance_momentum_zero,basis_positive_medium,1847,7,22.90200325,0.96125908,34.04770173,controlled_increment_supported
binance_momentum_bucket,binance_momentum_zero,basis_positive_small,1845,7,12.13279133,0.91202873,23.27848981,controlled_increment_supported
hl_book_state_bucket,hl_top5_imbalance_negative_small|hl_microprice_minus_mid_negative_large,basis_nonpositive,13,3,-109.23076923,0.07692308,,watch_or_insufficient
hl_book_state_bucket,hl_top5_imbalance_negative_small|hl_microprice_minus_mid_negative_large,basis_positive_large,1,1,355,1,464.23076923,watch_or_insufficient
hl_book_state_bucket,hl_top5_imbalance_negative_small|hl_microprice_minus_mid_negative_medium,basis_nonpositive,255,7,-76.29411765,0.03937008,,watch_or_insufficient
hl_book_state_bucket,hl_top5_imbalance_negative_small|hl_microprice_minus_mid_negative_medium,basis_positive_large,6,3,211.66666667,1,287.96078431,controlled_increment_supported
hl_book_state_bucket,hl_top5_imbalance_negative_small|hl_microprice_minus_mid_negative_medium,basis_positive_medium,4,4,15,0.5,91.29411765,controlled_increment_supported
hl_book_state_bucket,hl_top5_imbalance_negative_small|hl_microprice_minus_mid_negative_small,basis_nonpositive,9579,7,-21.9600167,0.09724858,,watch_or_insufficient
hl_book_state_bucket,hl_top5_imbalance_negative_small|hl_microprice_minus_mid_negative_small,basis_positive_large,108,7,90.09259259,0.9673913,112.0526093,controlled_increment_supported
hl_book_state_bucket,hl_top5_imbalance_negative_small|hl_microprice_minus_mid_negative_small,basis_positive_medium,151,7,22.71523179,0.89230769,44.67524849,controlled_increment_supported
hl_book_state_bucket,hl_top5_imbalance_negative_small|hl_microprice_minus_mid_negative_small,basis_positive_small,231,7,5.60606061,0.65671642,27.56607731,controlled_increment_supported
hl_book_state_bucket,hl_top5_imbalance_positive_small|hl_microprice_minus_mid_positive_large,basis_nonpositive,1,1,65,1,,watch_or_insufficient
hl_book_state_bucket,hl_top5_imbalance_positive_small|hl_microprice_minus_mid_positive_large,basis_positive_large,4,3,147.5,1,82.5,controlled_increment_supported
hl_book_state_bucket,hl_top5_imbalance_positive_small|hl_microprice_minus_mid_positive_large,basis_positive_medium,2,2,100,1,35,controlled_increment_supported
hl_book_state_bucket,hl_top5_imbalance_positive_small|hl_microprice_minus_mid_positive_large,basis_positive_small,2,2,57.5,1,-7.5,watch_or_insufficient
hl_book_state_bucket,hl_top5_imbalance_positive_small|hl_microprice_minus_mid_positive_medium,basis_nonpositive,107,7,29.62616822,0.82075472,,watch_or_insufficient
hl_book_state_bucket,hl_top5_imbalance_positive_small|hl_microprice_minus_mid_positive_medium,basis_positive_large,106,7,108.01886792,0.99056604,78.3926997,controlled_increment_supported
hl_book_state_bucket,hl_top5_imbalance_positive_small|hl_microprice_minus_mid_positive_medium,basis_positive_medium,33,7,74.84848485,1,45.22231662,controlled_increment_supported
hl_book_state_bucket,hl_top5_imbalance_positive_small|hl_microprice_minus_mid_positive_medium,basis_positive_small,33,6,57.72727273,0.96969697,28.1011045,controlled_increment_supported
hl_book_state_bucket,hl_top5_imbalance_positive_small|hl_microprice_minus_mid_positive_small,basis_nonpositive,7661,7,2.57929774,0.63786689,,watch_or_insufficient
hl_book_state_bucket,hl_top5_imbalance_positive_small|hl_microprice_minus_mid_positive_small,basis_positive_large,1675,7,59.68656716,0.99062234,57.10726942,controlled_increment_supported
hl_book_state_bucket,hl_top5_imbalance_positive_small|hl_microprice_minus_mid_positive_small,basis_positive_medium,1725,7,22.69565217,0.96627756,20.11635443,controlled_increment_supported
hl_book_state_bucket,hl_top5_imbalance_positive_small|hl_microprice_minus_mid_positive_small,basis_positive_small,1645,7,12.79027356,0.94556452,10.21097581,controlled_increment_supported
