field_name,required,field_type,source_contract,current_use,forbidden_current_interpretation
settlement_validation_status,yes,string,0610T009,local_validation_only,endpoint_runner_metric_pnl_or_strategy_authorization
fee_amount,yes,string,0610T009,local_validation_only,endpoint_runner_metric_pnl_or_strategy_authorization
rebate_amount,yes,string,0610T009,local_validation_only,endpoint_runner_metric_pnl_or_strategy_authorization
net_fee_amount,yes,string,0610T009,local_validation_only,endpoint_runner_metric_pnl_or_strategy_authorization
amount_sign_convention,yes,string,0610T009,local_validation_only,endpoint_runner_metric_pnl_or_strategy_authorization
fee_currency,yes,string,0610T009,local_validation_only,endpoint_runner_metric_pnl_or_strategy_authorization
rebate_currency,yes,string,0610T009,local_validation_only,endpoint_runner_metric_pnl_or_strategy_authorization
settlement_currency,yes,string,0610T009,local_validation_only,endpoint_runner_metric_pnl_or_strategy_authorization
base_asset,yes,string,0610T009,local_validation_only,endpoint_runner_metric_pnl_or_strategy_authorization
quote_asset,yes,string,0610T009,local_validation_only,endpoint_runner_metric_pnl_or_strategy_authorization
fee_asset,yes,string,0610T009,local_validation_only,endpoint_runner_metric_pnl_or_strategy_authorization
rebate_asset,yes,string,0610T009,local_validation_only,endpoint_runner_metric_pnl_or_strategy_authorization
precision_policy_id,yes,string,0610T009,local_validation_only,endpoint_runner_metric_pnl_or_strategy_authorization
rounding_policy_id,yes,string,0610T009,local_validation_only,endpoint_runner_metric_pnl_or_strategy_authorization
conversion_source_provenance,yes,string,0610T009,local_validation_only,endpoint_runner_metric_pnl_or_strategy_authorization
conversion_timestamp,yes,string,0610T009,local_validation_only,endpoint_runner_metric_pnl_or_strategy_authorization
conversion_rate,yes,string,0610T009,local_validation_only,endpoint_runner_metric_pnl_or_strategy_authorization
conversion_tolerance,yes,string,0610T009,local_validation_only,endpoint_runner_metric_pnl_or_strategy_authorization
net_fee_in_settlement_currency,yes,string,0610T009,local_validation_only,endpoint_runner_metric_pnl_or_strategy_authorization
tick_size,yes,string,0610T009,local_validation_only,endpoint_runner_metric_pnl_or_strategy_authorization
tick_value,yes,string,0610T009,local_validation_only,endpoint_runner_metric_pnl_or_strategy_authorization
net_fee_ticks,yes,string,0610T009,local_validation_only,endpoint_runner_metric_pnl_or_strategy_authorization
conversion_validation_status,yes,string,0610T009,local_validation_only,endpoint_runner_metric_pnl_or_strategy_authorization
quoted_spread_ticks,yes,string,0610T009,local_validation_only,endpoint_runner_metric_pnl_or_strategy_authorization
filled_spread_ticks,yes,string,0610T009,local_validation_only,endpoint_runner_metric_pnl_or_strategy_authorization
realized_spread_ticks,yes,string,0610T009,local_validation_only,endpoint_runner_metric_pnl_or_strategy_authorization
fee_adjusted_spread_ticks,yes,string,0610T009,local_validation_only,endpoint_runner_metric_pnl_or_strategy_authorization
spread_capture_label,yes,string,0610T009,local_validation_only,endpoint_runner_metric_pnl_or_strategy_authorization
markout_context_design_label,yes,string,0610T009,local_validation_only,endpoint_runner_metric_pnl_or_strategy_authorization
hypothetical_spread_flag,yes,string,0610T009,local_validation_only,endpoint_runner_metric_pnl_or_strategy_authorization
spread_capture_proof_status,yes,string,0610T009,local_validation_only,endpoint_runner_metric_pnl_or_strategy_authorization
spread_validation_status,yes,string,0610T009,local_validation_only,endpoint_runner_metric_pnl_or_strategy_authorization
fill_time,yes,string,0610T009,local_validation_only,endpoint_runner_metric_pnl_or_strategy_authorization
exchange_settlement_time,yes,string,0610T009,local_validation_only,endpoint_runner_metric_pnl_or_strategy_authorization
local_receive_time,yes,string,0610T009,local_validation_only,endpoint_runner_metric_pnl_or_strategy_authorization
account_economics_reconciliation_time,yes,string,0610T009,local_validation_only,endpoint_runner_metric_pnl_or_strategy_authorization
artifact_generated_time,yes,string,0610T009,local_validation_only,endpoint_runner_metric_pnl_or_strategy_authorization
validation_time,yes,string,0610T009,local_validation_only,endpoint_runner_metric_pnl_or_strategy_authorization
current_proof_status,yes,string,0610T009,local_validation_only,endpoint_runner_metric_pnl_or_strategy_authorization
allowed_future_use,yes,string,0610T009,local_validation_only,endpoint_runner_metric_pnl_or_strategy_authorization
forbidden_current_interpretation,yes,string,0610T009,local_validation_only,endpoint_runner_metric_pnl_or_strategy_authorization
overclaim_rejection_id,yes,string,0610T009,local_validation_only,endpoint_runner_metric_pnl_or_strategy_authorization
fail_closed_reason,yes,string,0610T009,local_validation_only,endpoint_runner_metric_pnl_or_strategy_authorization
row_sequence_index,conditional,string,0610T009,local_validation_only,endpoint_runner_metric_pnl_or_strategy_authorization
public_markout_context_ref,conditional,string,0610T009,local_validation_only,endpoint_runner_metric_pnl_or_strategy_authorization
account_inventory_context_ref,conditional,string,0610T009,local_validation_only,endpoint_runner_metric_pnl_or_strategy_authorization
replay_lifecycle_context_ref,conditional,string,0610T009,local_validation_only,endpoint_runner_metric_pnl_or_strategy_authorization
