event_index,event_kind,event_time_ms,current_bid_px,current_ask_px,candidate_status,candidate_reason,candidate_bounded,candidate_half_spread_ticks,fixed_half_spread_ticks,authoritative_half_spread_ticks,dynamic_overlay_changed,fixed_bid_px,fixed_ask_px,dynamic_bid_px,dynamic_ask_px,final_quote_behavior_changed,strict_gate_status,strict_gate_allowed,strict_gate_reason,order_endpoint_called,inference_scope
13,trade,1784713663696,65846.0,65847.0,fallback_fixed,missing_latest_market_estimator,True,0.5,0.5,0.5,False,65846.0,65847.0,65846.0,65847.0,False,fail_closed,False,"strict_seeded_dynamic_gate_failed:candidate_status_pass,fallback_to_fixed_false,dynamic_overlay_changed,final_quote_behavior_changed",False,same_sample_production_quote_mechanism_shadow_not_fill_or_economics
14,trade,1784713663696,65846.0,65847.0,fallback_fixed,missing_latest_market_estimator,True,0.5,0.5,0.5,False,65846.0,65847.0,65846.0,65847.0,False,fail_closed,False,"strict_seeded_dynamic_gate_failed:candidate_status_pass,fallback_to_fixed_false,dynamic_overlay_changed,final_quote_behavior_changed",False,same_sample_production_quote_mechanism_shadow_not_fill_or_economics
15,trade,1784713663696,65846.0,65847.0,fallback_fixed,missing_latest_market_estimator,True,0.5,0.5,0.5,False,65846.0,65847.0,65846.0,65847.0,False,fail_closed,False,"strict_seeded_dynamic_gate_failed:candidate_status_pass,fallback_to_fixed_false,dynamic_overlay_changed,final_quote_behavior_changed",False,same_sample_production_quote_mechanism_shadow_not_fill_or_economics
16,trade,1784713663696,65846.0,65847.0,fallback_fixed,missing_latest_market_estimator,True,0.5,0.5,0.5,False,65846.0,65847.0,65846.0,65847.0,False,fail_closed,False,"strict_seeded_dynamic_gate_failed:candidate_status_pass,fallback_to_fixed_false,dynamic_overlay_changed,final_quote_behavior_changed",False,same_sample_production_quote_mechanism_shadow_not_fill_or_economics
17,trade,1784713663696,65846.0,65847.0,fallback_fixed,missing_latest_market_estimator,True,0.5,0.5,0.5,False,65846.0,65847.0,65846.0,65847.0,False,fail_closed,False,"strict_seeded_dynamic_gate_failed:candidate_status_pass,fallback_to_fixed_false,dynamic_overlay_changed,final_quote_behavior_changed",False,same_sample_production_quote_mechanism_shadow_not_fill_or_economics
18,trade,1784713663696,65846.0,65847.0,fallback_fixed,missing_latest_market_estimator,True,0.5,0.5,0.5,False,65846.0,65847.0,65846.0,65847.0,False,fail_closed,False,"strict_seeded_dynamic_gate_failed:candidate_status_pass,fallback_to_fixed_false,dynamic_overlay_changed,final_quote_behavior_changed",False,same_sample_production_quote_mechanism_shadow_not_fill_or_economics
19,trade,1784713664100,65846.0,65847.0,fallback_fixed,missing_latest_market_estimator,True,0.5,0.5,0.5,False,65846.0,65847.0,65846.0,65847.0,False,fail_closed,False,"strict_seeded_dynamic_gate_failed:candidate_status_pass,fallback_to_fixed_false,dynamic_overlay_changed,final_quote_behavior_changed",False,same_sample_production_quote_mechanism_shadow_not_fill_or_economics
20,trade,1784713664100,65846.0,65847.0,fallback_fixed,missing_latest_market_estimator,True,0.5,0.5,0.5,False,65846.0,65847.0,65846.0,65847.0,False,fail_closed,False,"strict_seeded_dynamic_gate_failed:candidate_status_pass,fallback_to_fixed_false,dynamic_overlay_changed,final_quote_behavior_changed",False,same_sample_production_quote_mechanism_shadow_not_fill_or_economics
21,trade,1784713664166,65846.0,65847.0,fallback_fixed,missing_latest_market_estimator,True,0.5,0.5,0.5,False,65846.0,65847.0,65846.0,65847.0,False,fail_closed,False,"strict_seeded_dynamic_gate_failed:candidate_status_pass,fallback_to_fixed_false,dynamic_overlay_changed,final_quote_behavior_changed",False,same_sample_production_quote_mechanism_shadow_not_fill_or_economics
22,trade,1784713664299,65846.0,65847.0,fallback_fixed,missing_latest_market_estimator,True,0.5,0.5,0.5,False,65846.0,65847.0,65846.0,65847.0,False,fail_closed,False,"strict_seeded_dynamic_gate_failed:candidate_status_pass,fallback_to_fixed_false,dynamic_overlay_changed,final_quote_behavior_changed",False,same_sample_production_quote_mechanism_shadow_not_fill_or_economics
23,trade,1784713664700,65846.0,65847.0,fallback_fixed,missing_latest_market_estimator,True,0.5,0.5,0.5,False,65846.0,65847.0,65846.0,65847.0,False,fail_closed,False,"strict_seeded_dynamic_gate_failed:candidate_status_pass,fallback_to_fixed_false,dynamic_overlay_changed,final_quote_behavior_changed",False,same_sample_production_quote_mechanism_shadow_not_fill_or_economics
24,trade,1784713666249,65846.0,65847.0,fallback_fixed,missing_latest_market_estimator,True,0.5,0.5,0.5,False,65846.0,65847.0,65846.0,65847.0,False,fail_closed,False,"strict_seeded_dynamic_gate_failed:candidate_status_pass,fallback_to_fixed_false,dynamic_overlay_changed,final_quote_behavior_changed",False,same_sample_production_quote_mechanism_shadow_not_fill_or_economics
25,trade,1784713666517,65846.0,65847.0,fallback_fixed,missing_latest_market_estimator,True,0.5,0.5,0.5,False,65846.0,65847.0,65846.0,65847.0,False,fail_closed,False,"strict_seeded_dynamic_gate_failed:candidate_status_pass,fallback_to_fixed_false,dynamic_overlay_changed,final_quote_behavior_changed",False,same_sample_production_quote_mechanism_shadow_not_fill_or_economics
26,trade,1784713666716,65846.0,65847.0,fallback_fixed,missing_latest_market_estimator,True,0.5,0.5,0.5,False,65846.0,65847.0,65846.0,65847.0,False,fail_closed,False,"strict_seeded_dynamic_gate_failed:candidate_status_pass,fallback_to_fixed_false,dynamic_overlay_changed,final_quote_behavior_changed",False,same_sample_production_quote_mechanism_shadow_not_fill_or_economics
27,trade,1784713666716,65846.0,65847.0,fallback_fixed,missing_latest_market_estimator,True,0.5,0.5,0.5,False,65846.0,65847.0,65846.0,65847.0,False,fail_closed,False,"strict_seeded_dynamic_gate_failed:candidate_status_pass,fallback_to_fixed_false,dynamic_overlay_changed,final_quote_behavior_changed",False,same_sample_production_quote_mechanism_shadow_not_fill_or_economics
28,trade,1784713667387,65846.0,65847.0,fallback_fixed,missing_latest_market_estimator,True,0.5,0.5,0.5,False,65846.0,65847.0,65846.0,65847.0,False,fail_closed,False,"strict_seeded_dynamic_gate_failed:candidate_status_pass,fallback_to_fixed_false,dynamic_overlay_changed,final_quote_behavior_changed",False,same_sample_production_quote_mechanism_shadow_not_fill_or_economics
29,trade,1784713668058,65846.0,65847.0,fallback_fixed,missing_latest_market_estimator,True,0.5,0.5,0.5,False,65846.0,65847.0,65846.0,65847.0,False,fail_closed,False,"strict_seeded_dynamic_gate_failed:candidate_status_pass,fallback_to_fixed_false,dynamic_overlay_changed,final_quote_behavior_changed",False,same_sample_production_quote_mechanism_shadow_not_fill_or_economics
30,trade,1784713669268,65846.0,65847.0,fallback_fixed,missing_latest_market_estimator,True,0.5,0.5,0.5,False,65846.0,65847.0,65846.0,65847.0,False,fail_closed,False,"strict_seeded_dynamic_gate_failed:candidate_status_pass,fallback_to_fixed_false,dynamic_overlay_changed,final_quote_behavior_changed",False,same_sample_production_quote_mechanism_shadow_not_fill_or_economics
31,trade,1784713669268,65846.0,65847.0,fallback_fixed,missing_latest_market_estimator,True,0.5,0.5,0.5,False,65846.0,65847.0,65846.0,65847.0,False,fail_closed,False,"strict_seeded_dynamic_gate_failed:candidate_status_pass,fallback_to_fixed_false,dynamic_overlay_changed,final_quote_behavior_changed",False,same_sample_production_quote_mechanism_shadow_not_fill_or_economics
32,book,1784713669471,65846.0,65847.0,pass,,True,1.00099908,0.5,1.00099908,True,65846.0,65847.0,65845.0,65848.0,True,pass,True,,False,same_sample_production_quote_mechanism_shadow_not_fill_or_economics
33,book,1784713669999,65846.0,65847.0,pass,,True,1.00254907,0.5,1.00254907,True,65846.0,65847.0,65845.0,65848.0,True,pass,True,,False,same_sample_production_quote_mechanism_shadow_not_fill_or_economics
34,trade,1784713670075,65846.0,65847.0,fallback_fixed,missing_latest_market_estimator,True,0.5,0.5,0.5,False,65846.0,65847.0,65846.0,65847.0,False,fail_closed,False,"strict_seeded_dynamic_gate_failed:candidate_status_pass,fallback_to_fixed_false,dynamic_overlay_changed,final_quote_behavior_changed",False,same_sample_production_quote_mechanism_shadow_not_fill_or_economics
35,trade,1784713670476,65846.0,65847.0,fallback_fixed,missing_latest_market_estimator,True,0.5,0.5,0.5,False,65846.0,65847.0,65846.0,65847.0,False,fail_closed,False,"strict_seeded_dynamic_gate_failed:candidate_status_pass,fallback_to_fixed_false,dynamic_overlay_changed,final_quote_behavior_changed",False,same_sample_production_quote_mechanism_shadow_not_fill_or_economics
36,book,1784713670539,65846.0,65847.0,pass,,True,0.96967966,0.5,0.96967966,True,65846.0,65847.0,65845.0,65848.0,True,pass,True,,False,same_sample_production_quote_mechanism_shadow_not_fill_or_economics
37,book,1784713671080,65846.0,65847.0,fallback_fixed,missing_latest_market_estimator,True,0.5,0.5,0.5,False,65846.0,65847.0,65846.0,65847.0,False,fail_closed,False,"strict_seeded_dynamic_gate_failed:candidate_status_pass,fallback_to_fixed_false,dynamic_overlay_changed,final_quote_behavior_changed",False,same_sample_production_quote_mechanism_shadow_not_fill_or_economics
38,book,1784713671607,65846.0,65847.0,fallback_fixed,missing_latest_market_estimator,True,0.5,0.5,0.5,False,65846.0,65847.0,65846.0,65847.0,False,fail_closed,False,"strict_seeded_dynamic_gate_failed:candidate_status_pass,fallback_to_fixed_false,dynamic_overlay_changed,final_quote_behavior_changed",False,same_sample_production_quote_mechanism_shadow_not_fill_or_economics
39,book,1784713672151,65846.0,65847.0,fallback_fixed,missing_latest_market_estimator,True,0.5,0.5,0.5,False,65846.0,65847.0,65846.0,65847.0,False,fail_closed,False,"strict_seeded_dynamic_gate_failed:candidate_status_pass,fallback_to_fixed_false,dynamic_overlay_changed,final_quote_behavior_changed",False,same_sample_production_quote_mechanism_shadow_not_fill_or_economics
40,trade,1784713672557,65846.0,65847.0,pass,,True,1.00214282,0.5,1.00214282,True,65846.0,65847.0,65845.0,65848.0,True,pass,True,,False,same_sample_production_quote_mechanism_shadow_not_fill_or_economics
41,book,1784713672689,65846.0,65847.0,pass,,True,1.00214282,0.5,1.00214282,True,65846.0,65847.0,65845.0,65848.0,True,pass,True,,False,same_sample_production_quote_mechanism_shadow_not_fill_or_economics
42,book,1784713673216,65846.0,65847.0,fallback_fixed,missing_latest_market_estimator,True,0.5,0.5,0.5,False,65846.0,65847.0,65846.0,65847.0,False,fail_closed,False,"strict_seeded_dynamic_gate_failed:candidate_status_pass,fallback_to_fixed_false,dynamic_overlay_changed,final_quote_behavior_changed",False,same_sample_production_quote_mechanism_shadow_not_fill_or_economics
43,trade,1784713673694,65846.0,65847.0,pass,,True,1.00055263,0.5,1.00055263,True,65846.0,65847.0,65845.0,65848.0,True,pass,True,,False,same_sample_production_quote_mechanism_shadow_not_fill_or_economics
44,book,1784713673763,65846.0,65847.0,pass,,True,1.00144273,0.5,1.00144273,True,65846.0,65847.0,65845.0,65848.0,True,pass,True,,False,same_sample_production_quote_mechanism_shadow_not_fill_or_economics
45,book,1784713674298,65846.0,65847.0,fallback_fixed,missing_latest_market_estimator,True,0.5,0.5,0.5,False,65846.0,65847.0,65846.0,65847.0,False,fail_closed,False,"strict_seeded_dynamic_gate_failed:candidate_status_pass,fallback_to_fixed_false,dynamic_overlay_changed,final_quote_behavior_changed",False,same_sample_production_quote_mechanism_shadow_not_fill_or_economics
46,book,1784713674824,65846.0,65847.0,fallback_fixed,missing_latest_market_estimator,True,0.5,0.5,0.5,False,65846.0,65847.0,65846.0,65847.0,False,fail_closed,False,"strict_seeded_dynamic_gate_failed:candidate_status_pass,fallback_to_fixed_false,dynamic_overlay_changed,final_quote_behavior_changed",False,same_sample_production_quote_mechanism_shadow_not_fill_or_economics
47,book,1784713675373,65846.0,65847.0,fallback_fixed,missing_latest_market_estimator,True,0.5,0.5,0.5,False,65846.0,65847.0,65846.0,65847.0,False,fail_closed,False,"strict_seeded_dynamic_gate_failed:candidate_status_pass,fallback_to_fixed_false,dynamic_overlay_changed,final_quote_behavior_changed",False,same_sample_production_quote_mechanism_shadow_not_fill_or_economics
48,trade,1784713675709,65846.0,65847.0,pass,,True,1.00273041,0.5,1.00273041,True,65846.0,65847.0,65845.0,65848.0,True,pass,True,,False,same_sample_production_quote_mechanism_shadow_not_fill_or_economics
49,book,1784713675913,65846.0,65847.0,pass,,True,1.01533507,0.5,1.01533507,True,65846.0,65847.0,65845.0,65848.0,True,pass,True,,False,same_sample_production_quote_mechanism_shadow_not_fill_or_economics
50,book,1784713676435,65846.0,65847.0,fallback_fixed,missing_latest_market_estimator,True,0.5,0.5,0.5,False,65846.0,65847.0,65846.0,65847.0,False,fail_closed,False,"strict_seeded_dynamic_gate_failed:candidate_status_pass,fallback_to_fixed_false,dynamic_overlay_changed,final_quote_behavior_changed",False,same_sample_production_quote_mechanism_shadow_not_fill_or_economics
51,trade,1784713676915,65846.0,65847.0,pass,,True,1.01533507,0.5,1.01533507,True,65846.0,65847.0,65845.0,65848.0,True,pass,True,,False,same_sample_production_quote_mechanism_shadow_not_fill_or_economics
52,book,1784713676982,65846.0,65847.0,pass,,True,1.00836085,0.5,1.00836085,True,65846.0,65847.0,65845.0,65848.0,True,pass,True,,False,same_sample_production_quote_mechanism_shadow_not_fill_or_economics
53,trade,1784713677038,65846.0,65847.0,fallback_fixed,missing_latest_market_estimator,True,0.5,0.5,0.5,False,65846.0,65847.0,65846.0,65847.0,False,fail_closed,False,"strict_seeded_dynamic_gate_failed:candidate_status_pass,fallback_to_fixed_false,dynamic_overlay_changed,final_quote_behavior_changed",False,same_sample_production_quote_mechanism_shadow_not_fill_or_economics
54,book,1784713677521,65846.0,65847.0,pass,,True,1.00836085,0.5,1.00836085,True,65846.0,65847.0,65845.0,65848.0,True,pass,True,,False,same_sample_production_quote_mechanism_shadow_not_fill_or_economics
55,book,1784713678045,65846.0,65847.0,fallback_fixed,missing_latest_market_estimator,True,0.5,0.5,0.5,False,65846.0,65847.0,65846.0,65847.0,False,fail_closed,False,"strict_seeded_dynamic_gate_failed:candidate_status_pass,fallback_to_fixed_false,dynamic_overlay_changed,final_quote_behavior_changed",False,same_sample_production_quote_mechanism_shadow_not_fill_or_economics
56,book,1784713678647,65846.0,65847.0,fallback_fixed,missing_latest_market_estimator,True,0.5,0.5,0.5,False,65846.0,65847.0,65846.0,65847.0,False,fail_closed,False,"strict_seeded_dynamic_gate_failed:candidate_status_pass,fallback_to_fixed_false,dynamic_overlay_changed,final_quote_behavior_changed",False,same_sample_production_quote_mechanism_shadow_not_fill_or_economics
57,trade,1784713678920,65846.0,65847.0,pass,,True,1.00836085,0.5,1.00836085,True,65846.0,65847.0,65845.0,65848.0,True,pass,True,,False,same_sample_production_quote_mechanism_shadow_not_fill_or_economics
58,trade,1784713679049,65846.0,65847.0,fallback_fixed,missing_latest_market_estimator,True,0.5,0.5,0.5,False,65846.0,65847.0,65846.0,65847.0,False,fail_closed,False,"strict_seeded_dynamic_gate_failed:candidate_status_pass,fallback_to_fixed_false,dynamic_overlay_changed,final_quote_behavior_changed",False,same_sample_production_quote_mechanism_shadow_not_fill_or_economics
59,book,1784713679197,65846.0,65847.0,pass,,True,1.0157903,0.5,1.0157903,True,65846.0,65847.0,65845.0,65848.0,True,pass,True,,False,same_sample_production_quote_mechanism_shadow_not_fill_or_economics
60,book,1784713679729,65846.0,65847.0,pass,,True,1.0157903,0.5,1.0157903,True,65846.0,65847.0,65845.0,65848.0,True,pass,True,,False,same_sample_production_quote_mechanism_shadow_not_fill_or_economics
61,trade,1784713680135,65846.0,65847.0,fallback_fixed,missing_latest_market_estimator,True,0.5,0.5,0.5,False,65846.0,65847.0,65846.0,65847.0,False,fail_closed,False,"strict_seeded_dynamic_gate_failed:candidate_status_pass,fallback_to_fixed_false,dynamic_overlay_changed,final_quote_behavior_changed",False,same_sample_production_quote_mechanism_shadow_not_fill_or_economics
62,book,1784713680256,65846.0,65847.0,pass,,True,1.01646091,0.5,1.01646091,True,65846.0,65847.0,65845.0,65848.0,True,pass,True,,False,same_sample_production_quote_mechanism_shadow_not_fill_or_economics
63,book,1784713680809,65846.0,65847.0,pass,,True,1.00267773,0.5,1.00267773,True,65846.0,65847.0,65845.0,65848.0,True,pass,True,,False,same_sample_production_quote_mechanism_shadow_not_fill_or_economics
64,trade,1784713681009,65846.0,65847.0,fallback_fixed,missing_latest_market_estimator,True,0.5,0.5,0.5,False,65846.0,65847.0,65846.0,65847.0,False,fail_closed,False,"strict_seeded_dynamic_gate_failed:candidate_status_pass,fallback_to_fixed_false,dynamic_overlay_changed,final_quote_behavior_changed",False,same_sample_production_quote_mechanism_shadow_not_fill_or_economics
65,book,1784713681340,65846.0,65847.0,pass,,True,1.0078496,0.5,1.0078496,True,65846.0,65847.0,65845.0,65848.0,True,pass,True,,False,same_sample_production_quote_mechanism_shadow_not_fill_or_economics
66,book,1784713681866,65846.0,65847.0,pass,,True,1.0078496,0.5,1.0078496,True,65846.0,65847.0,65845.0,65848.0,True,pass,True,,False,same_sample_production_quote_mechanism_shadow_not_fill_or_economics
67,trade,1784713682016,65846.0,65847.0,fallback_fixed,missing_latest_market_estimator,True,0.5,0.5,0.5,False,65846.0,65847.0,65846.0,65847.0,False,fail_closed,False,"strict_seeded_dynamic_gate_failed:candidate_status_pass,fallback_to_fixed_false,dynamic_overlay_changed,final_quote_behavior_changed",False,same_sample_production_quote_mechanism_shadow_not_fill_or_economics
68,trade,1784713682214,65846.0,65847.0,fallback_fixed,missing_latest_market_estimator,True,0.5,0.5,0.5,False,65846.0,65847.0,65846.0,65847.0,False,fail_closed,False,"strict_seeded_dynamic_gate_failed:candidate_status_pass,fallback_to_fixed_false,dynamic_overlay_changed,final_quote_behavior_changed",False,same_sample_production_quote_mechanism_shadow_not_fill_or_economics
69,trade,1784713682214,65846.0,65847.0,fallback_fixed,missing_latest_market_estimator,True,0.5,0.5,0.5,False,65846.0,65847.0,65846.0,65847.0,False,fail_closed,False,"strict_seeded_dynamic_gate_failed:candidate_status_pass,fallback_to_fixed_false,dynamic_overlay_changed,final_quote_behavior_changed",False,same_sample_production_quote_mechanism_shadow_not_fill_or_economics
70,trade,1784713682214,65846.0,65847.0,fallback_fixed,missing_latest_market_estimator,True,0.5,0.5,0.5,False,65846.0,65847.0,65846.0,65847.0,False,fail_closed,False,"strict_seeded_dynamic_gate_failed:candidate_status_pass,fallback_to_fixed_false,dynamic_overlay_changed,final_quote_behavior_changed",False,same_sample_production_quote_mechanism_shadow_not_fill_or_economics
71,book,1784713682420,65853.0,65854.0,pass,,True,0.96038448,0.5,0.96038448,True,65853.0,65854.0,65852.0,65855.0,True,pass,True,,False,same_sample_production_quote_mechanism_shadow_not_fill_or_economics
72,trade,1784713682619,65853.0,65854.0,pass,,True,0.96160554,0.5,0.96160554,True,65853.0,65854.0,65852.0,65855.0,True,pass,True,,False,same_sample_production_quote_mechanism_shadow_not_fill_or_economics
73,trade,1784713682619,65853.0,65854.0,pass,,True,0.96415652,0.5,0.96415652,True,65853.0,65854.0,65852.0,65855.0,True,pass,True,,False,same_sample_production_quote_mechanism_shadow_not_fill_or_economics
74,trade,1784713682619,65853.0,65854.0,pass,,True,0.96719946,0.5,0.96719946,True,65853.0,65854.0,65852.0,65855.0,True,pass,True,,False,same_sample_production_quote_mechanism_shadow_not_fill_or_economics
75,book,1784713682955,65853.0,65854.0,pass,,True,1.13354642,0.5,1.13354642,True,65853.0,65854.0,65852.0,65855.0,True,pass,True,,False,same_sample_production_quote_mechanism_shadow_not_fill_or_economics
76,trade,1784713683152,65853.0,65854.0,fallback_fixed,missing_latest_market_estimator,True,0.5,0.5,0.5,False,65853.0,65854.0,65853.0,65854.0,False,fail_closed,False,"strict_seeded_dynamic_gate_failed:candidate_status_pass,fallback_to_fixed_false,dynamic_overlay_changed,final_quote_behavior_changed",False,same_sample_production_quote_mechanism_shadow_not_fill_or_economics
77,trade,1784713683152,65853.0,65854.0,fallback_fixed,missing_latest_market_estimator,True,0.5,0.5,0.5,False,65853.0,65854.0,65853.0,65854.0,False,fail_closed,False,"strict_seeded_dynamic_gate_failed:candidate_status_pass,fallback_to_fixed_false,dynamic_overlay_changed,final_quote_behavior_changed",False,same_sample_production_quote_mechanism_shadow_not_fill_or_economics
78,trade,1784713683152,65853.0,65854.0,fallback_fixed,missing_latest_market_estimator,True,0.5,0.5,0.5,False,65853.0,65854.0,65853.0,65854.0,False,fail_closed,False,"strict_seeded_dynamic_gate_failed:candidate_status_pass,fallback_to_fixed_false,dynamic_overlay_changed,final_quote_behavior_changed",False,same_sample_production_quote_mechanism_shadow_not_fill_or_economics
79,trade,1784713683152,65853.0,65854.0,fallback_fixed,missing_latest_market_estimator,True,0.5,0.5,0.5,False,65853.0,65854.0,65853.0,65854.0,False,fail_closed,False,"strict_seeded_dynamic_gate_failed:candidate_status_pass,fallback_to_fixed_false,dynamic_overlay_changed,final_quote_behavior_changed",False,same_sample_production_quote_mechanism_shadow_not_fill_or_economics
80,trade,1784713683152,65853.0,65854.0,fallback_fixed,missing_latest_market_estimator,True,0.5,0.5,0.5,False,65853.0,65854.0,65853.0,65854.0,False,fail_closed,False,"strict_seeded_dynamic_gate_failed:candidate_status_pass,fallback_to_fixed_false,dynamic_overlay_changed,final_quote_behavior_changed",False,same_sample_production_quote_mechanism_shadow_not_fill_or_economics
81,trade,1784713683351,65853.0,65854.0,fallback_fixed,missing_latest_market_estimator,True,0.5,0.5,0.5,False,65853.0,65854.0,65853.0,65854.0,False,fail_closed,False,"strict_seeded_dynamic_gate_failed:candidate_status_pass,fallback_to_fixed_false,dynamic_overlay_changed,final_quote_behavior_changed",False,same_sample_production_quote_mechanism_shadow_not_fill_or_economics
82,book,1784713683475,65857.0,65858.0,pass,,True,1.2018366,0.5,1.2018366,True,65857.0,65858.0,65856.0,65859.0,True,pass,True,,False,same_sample_production_quote_mechanism_shadow_not_fill_or_economics
83,book,1784713684023,65857.0,65858.0,fallback_fixed,missing_latest_market_estimator,True,0.5,0.5,0.5,False,65857.0,65858.0,65857.0,65858.0,False,fail_closed,False,"strict_seeded_dynamic_gate_failed:candidate_status_pass,fallback_to_fixed_false,dynamic_overlay_changed,final_quote_behavior_changed",False,same_sample_production_quote_mechanism_shadow_not_fill_or_economics
84,book,1784713684557,65857.0,65858.0,fallback_fixed,missing_latest_market_estimator,True,0.5,0.5,0.5,False,65857.0,65858.0,65857.0,65858.0,False,fail_closed,False,"strict_seeded_dynamic_gate_failed:candidate_status_pass,fallback_to_fixed_false,dynamic_overlay_changed,final_quote_behavior_changed",False,same_sample_production_quote_mechanism_shadow_not_fill_or_economics
85,book,1784713685086,65857.0,65858.0,fallback_fixed,missing_latest_market_estimator,True,0.5,0.5,0.5,False,65857.0,65858.0,65857.0,65858.0,False,fail_closed,False,"strict_seeded_dynamic_gate_failed:candidate_status_pass,fallback_to_fixed_false,dynamic_overlay_changed,final_quote_behavior_changed",False,same_sample_production_quote_mechanism_shadow_not_fill_or_economics
86,trade,1784713685227,65857.0,65858.0,pass,,True,1.013408,0.5,1.013408,True,65857.0,65858.0,65856.0,65859.0,True,pass,True,,False,same_sample_production_quote_mechanism_shadow_not_fill_or_economics
