grammar_id,neutral_path,path_length,occurrence_count,capture_support,date_support,maximum_capture_share,development_count,validation_count,replay_count
e1bd88ecaf40,Q1->Q0->Q1->Q4->Q1,5,1740,18,9,0.23160919540229885,124,930,657
5a0dca5d5314,Q1->Q4->Q1->Q0->Q1,5,1600,19,9,0.19875,125,829,616
4e853259619c,Q0->Q4->Q1->Q0,4,1576,18,9,0.1884517766497462,184,697,663
c6160741904c,Q1->Q4->Q3->Q1,4,1547,22,9,0.16548157724628312,279,725,513
016d971d9afa,Q0->Q5->Q1->Q0,4,1478,23,9,0.17929634641407308,403,724,312
8c4d534d9d39,Q0->Q1->Q3->Q0,4,1458,23,9,0.16941015089163236,379,723,334
639d7ad9abae,Q1->Q0->Q3->Q1,4,1340,23,9,0.18358208955223881,383,658,257
8219e7bdd876,Q1->Q3->Q5->Q1,4,1326,23,9,0.14705882352941177,587,512,201
98d7d5e72860,Q4->Q3->Q4,3,1288,20,9,0.13819875776397517,345,371,548
f648bce22b77,Q4->Q1->Q4->Q0->Q4,5,1274,16,9,0.4497645211930926,121,270,875
8a1933d7e527,Q5->Q1->Q0->Q5,4,1236,23,9,0.14724919093851133,484,520,208
bb4122078ddb,Q0->Q1->Q5->Q0,4,1234,23,9,0.17990275526742303,405,582,236
e9c0c34fbd21,Q4->Q0->Q4->Q1->Q4,5,1225,15,8,0.43183673469387757,113,270,831
3b6eb7157315,Q1->Q4->Q0->Q4->Q1,5,1204,17,9,0.33970099667774084,114,357,717
3629f017fbcf,Q4->Q5->Q1->Q4,4,1176,17,9,0.195578231292517,162,549,448
cb9273de4ace,Q5->Q0->Q1->Q5,4,1156,23,9,0.1453287197231834,483,480,181
f31bcebbba2a,Q4->Q1->Q0->Q1->Q4,5,1136,18,9,0.18661971830985916,97,524,491
b525223cb706,Q1->Q5->Q3->Q1,4,1098,23,9,0.16302367941712204,488,434,158
ea959a26aaad,Q5->Q1->Q3->Q5,4,1089,23,9,0.11937557392102846,712,257,110
34e74a330ef1,Q3->Q0->Q1->Q3,4,1086,23,9,0.15653775322283608,387,467,214
dbf99c3dc8a3,Q5->Q2->Q5,3,1072,23,9,0.17444029850746268,705,241,117
3d6b6a88f197,Q0->Q3->Q1->Q0,4,1065,23,9,0.17934272300469484,333,511,192
6d1cac9f82d0,Q5->Q0->Q3->Q5,4,1064,22,9,0.1231203007518797,815,167,70
25beec39d460,Q4->Q5->Q4,3,1041,22,9,0.1729106628242075,225,383,417
dc1ab52d4a65,Q3->Q5->Q1->Q3,4,1030,23,9,0.11747572815533981,672,258,84
e27a06e5c99c,Q0->Q2->Q0,3,1019,23,9,0.1648675171736997,418,373,211
c3e54fc27728,Q1->Q5->Q1->Q4->Q1,5,1017,19,9,0.2664700098328417,93,576,330
3a9add26fac7,Q1->Q4->Q1->Q5->Q1,5,1017,18,9,0.2831858407079646,93,615,295
46f6dd93a7c5,Q4->Q3->Q1->Q4,4,986,19,9,0.1460446247464503,187,393,388
364e120dbe4f,Q0->Q1->Q4->Q1->Q0,5,983,18,9,0.22177009155645983,64,528,375
b64f3d93e48a,Q5->Q3->Q0->Q5,4,964,22,9,0.12240663900414937,623,240,92
bfec8bf3c774,Q3->Q4->Q3,3,950,23,9,0.12526315789473685,370,301,264
0b2419bf5708,Q5->Q3->Q1->Q5,4,936,23,9,0.1388888888888889,588,250,89
413dd63b6d3f,Q1->Q5->Q1->Q0->Q1,5,932,22,9,0.29721030042918456,131,578,211
0f92d042c344,Q1->Q0->Q1->Q5->Q1,5,919,23,9,0.27529923830250275,135,558,204
9b53e07b7740,Q3->Q5->Q0->Q3,4,906,23,9,0.13245033112582782,685,150,66
a18ab1b3c17a,Q0->Q5->Q3->Q0,4,897,23,9,0.15942028985507245,474,306,103
ce16855921a4,Q0->Q3->Q5->Q0,4,881,23,9,0.12939841089670828,565,218,88
87d8ca481a80,Q3->Q1->Q5->Q3,4,870,22,9,0.1413793103448276,567,226,68
27a8043d8a68,Q3->Q0->Q5->Q3,4,867,23,9,0.15455594002306805,575,220,67
85497c6c883a,Q0->Q4->Q1->Q4->Q0,5,823,17,9,0.33657351154313486,95,240,483
ba26345f4057,Q1->Q5->Q1->Q5->Q1,5,822,23,9,0.3199513381995134,152,494,159
519f7d803163,Q3->Q1->Q0->Q3,4,821,23,9,0.1656516443361754,359,327,116
c8d6f6baf146,Q1->Q4->Q2->Q1,4,820,19,9,0.1378048780487805,146,305,345
ed961a1ca860,Q1->Q3->Q4->Q1,4,807,22,9,0.16480793060718713,155,353,281
54727a98d5df,Q3->Q2->Q3,3,796,23,9,0.17462311557788945,536,172,77
d79f8be20b30,Q1->Q4->Q1->Q3->Q1,5,782,20,9,0.21739130434782608,94,430,238
51a215bec718,Q1->Q3->Q1->Q0->Q1,5,769,23,9,0.2483745123537061,119,450,183
c1d120443de6,Q4->Q2->Q4,3,743,17,9,0.2072678331090175,202,185,342
d2a0571e17c5,Q1->Q5->Q4->Q1,4,740,21,9,0.23648648648648649,122,354,247
7ba13e78f58c,Q1->Q0->Q2->Q1,4,738,23,9,0.1978319783197832,156,351,211
4bb7615ef315,Q5->Q1->Q4->Q5,4,738,20,9,0.2032520325203252,136,382,211
c57666755228,Q5->Q4->Q5,3,725,23,9,0.17517241379310344,224,292,193
243b6ea4fadf,Q2->Q1->Q2,3,704,23,9,0.15625,353,190,142
a48078da4bd7,Q1->Q3->Q1->Q4->Q1,5,680,20,9,0.17647058823529413,97,346,222
86e8960bbe2a,Q1->Q0->Q1->Q3->Q1,5,676,23,9,0.22189349112426035,132,382,149
bf7d921abd9c,Q4->Q2->Q1->Q4,4,652,18,9,0.18251533742331288,116,207,310
355fb16495d8,Q4->Q1->Q3->Q4,4,620,20,9,0.1693548387096774,109,238,262
b5052ad9c7c2,Q5->Q3->Q5->Q3->Q5,5,620,19,9,0.18064516129032257,567,41,9
1d8b00b6b1b7,Q4->Q1->Q5->Q1->Q4,5,619,17,9,0.21809369951534732,65,309,235
111eb3cd15ad,Q4->Q0->Q4->Q0->Q4,5,618,14,9,0.5129449838187702,62,106,447
600b1f034235,Q0->Q1->Q5->Q1->Q0,5,602,23,9,0.260797342192691,105,354,134
0d06118a27b7,Q1->Q0->Q4->Q0->Q1,5,589,19,9,0.20543293718166383,63,297,220
1e5fc7900567,Q4->Q3->Q0->Q4,4,586,15,8,0.15870307167235495,99,218,260
345f0ca7ad24,Q3->Q1->Q4->Q3,4,584,22,9,0.1660958904109589,162,255,153
a0cf834f9481,Q5->Q1->Q5->Q1->Q5,5,572,22,9,0.23076923076923078,202,262,93
c5462bcdc8ee,Q0->Q1->Q3->Q1->Q0,5,547,23,9,0.20109689213893966,123,291,120
31f40918acd7,Q1->Q5->Q1->Q3->Q1,5,536,23,9,0.23694029850746268,149,290,89
8617f5711178,Q0->Q2->Q1->Q0,4,532,22,9,0.15977443609022557,136,243,142
411454795198,Q3->Q5->Q3->Q5->Q3,5,521,20,9,0.18042226487523993,468,41,9
