research_date,filter_id,signal_pair_count,background_pair_count,abstain_pair_count,total_pair_count,partition_exact
2026-08-03,F012,0,596910,1202896,1799806,True
2026-08-03,F020,0,596910,1202896,1799806,True
2026-08-03,F021,0,596910,1202896,1799806,True
2026-08-03,F022,0,596910,1202896,1799806,True
2026-08-03,F100,0,596910,1202896,1799806,True
2026-08-03,F101,0,596910,1202896,1799806,True
2026-08-03,F102,0,596910,1202896,1799806,True
2026-08-03,F110,0,596910,1202896,1799806,True
2026-08-03,F111,0,596910,1202896,1799806,True
2026-08-03,F112,0,596910,1202896,1799806,True
2026-08-03,F120,0,596910,1202896,1799806,True
2026-08-03,F121,0,596910,1202896,1799806,True
2026-08-03,F122,0,596910,1202896,1799806,True
2026-08-03,F200,0,596910,1202896,1799806,True
2026-08-03,F201,0,596910,1202896,1799806,True
2026-08-03,F202,0,596910,1202896,1799806,True
2026-08-03,F210,0,596910,1202896,1799806,True
2026-08-03,F211,0,596910,1202896,1799806,True
2026-08-03,F212,0,596910,1202896,1799806,True
2026-08-03,F220,0,596910,1202896,1799806,True
2026-08-03,F221,0,596910,1202896,1799806,True
2026-08-03,F222,0,596910,1202896,1799806,True
2026-08-04,F000,0,345858,374124,719982,True
2026-08-04,F001,0,345858,374124,719982,True
2026-08-04,F002,0,345858,374124,719982,True
2026-08-04,F010,0,345858,374124,719982,True
2026-08-04,F011,0,345858,374124,719982,True
2026-08-04,F012,0,345858,374124,719982,True
2026-08-04,F020,0,345858,374124,719982,True
2026-08-04,F021,0,345858,374124,719982,True
2026-08-04,F022,0,345858,374124,719982,True
2026-08-04,F100,0,345858,374124,719982,True
2026-08-04,F101,0,345858,374124,719982,True
2026-08-04,F102,0,345858,374124,719982,True
2026-08-04,F110,0,345858,374124,719982,True
2026-08-04,F111,0,345858,374124,719982,True
2026-08-04,F112,0,345858,374124,719982,True
2026-08-04,F120,0,345858,374124,719982,True
2026-08-04,F121,0,345858,374124,719982,True
2026-08-04,F122,0,345858,374124,719982,True
2026-08-04,F200,0,345858,374124,719982,True
2026-08-04,F201,0,345858,374124,719982,True
2026-08-04,F202,0,345858,374124,719982,True
2026-08-04,F210,0,345858,374124,719982,True
2026-08-04,F211,0,345858,374124,719982,True
2026-08-04,F212,0,345858,374124,719982,True
2026-08-04,F220,0,345858,374124,719982,True
2026-08-04,F221,0,345858,374124,719982,True
2026-08-04,F222,0,345858,374124,719982,True
2026-08-07,F000,0,465262,974714,1439976,True
2026-08-07,F001,0,465262,974714,1439976,True
2026-08-07,F002,0,465262,974714,1439976,True
2026-08-07,F010,0,465262,974714,1439976,True
2026-08-07,F011,0,465262,974714,1439976,True
2026-08-07,F012,0,465262,974714,1439976,True
2026-08-07,F020,0,465262,974714,1439976,True
2026-08-07,F021,0,465262,974714,1439976,True
2026-08-07,F022,0,465262,974714,1439976,True
2026-08-07,F100,0,465262,974714,1439976,True
2026-08-07,F101,0,465262,974714,1439976,True
2026-08-07,F102,0,465262,974714,1439976,True
2026-08-07,F110,0,465262,974714,1439976,True
2026-08-07,F111,0,465262,974714,1439976,True
2026-08-07,F112,0,465262,974714,1439976,True
2026-08-07,F120,0,465262,974714,1439976,True
2026-08-07,F121,0,465262,974714,1439976,True
2026-08-07,F122,0,465262,974714,1439976,True
2026-08-07,F200,0,465262,974714,1439976,True
2026-08-07,F201,0,465262,974714,1439976,True
2026-08-07,F202,0,465262,974714,1439976,True
2026-08-07,F210,0,465262,974714,1439976,True
2026-08-07,F211,0,465262,974714,1439976,True
2026-08-07,F212,0,465262,974714,1439976,True
2026-08-07,F220,0,465262,974714,1439976,True
2026-08-07,F221,0,465262,974714,1439976,True
2026-08-07,F222,0,465262,974714,1439976,True
2026-08-24,F000,0,313104,1126872,1439976,True
2026-08-24,F001,0,313104,1126872,1439976,True
2026-08-24,F002,0,313104,1126872,1439976,True
2026-08-24,F010,0,313104,1126872,1439976,True
2026-08-24,F011,0,313104,1126872,1439976,True
2026-08-24,F012,0,313104,1126872,1439976,True
2026-08-24,F020,0,313104,1126872,1439976,True
2026-08-24,F021,0,313104,1126872,1439976,True
2026-08-24,F022,0,313104,1126872,1439976,True
2026-08-24,F100,0,313104,1126872,1439976,True
2026-08-24,F101,0,313104,1126872,1439976,True
2026-08-24,F102,0,313104,1126872,1439976,True
2026-08-24,F110,0,313104,1126872,1439976,True
2026-08-24,F111,0,313104,1126872,1439976,True
2026-08-24,F112,0,313104,1126872,1439976,True
2026-08-24,F120,0,313104,1126872,1439976,True
2026-08-24,F121,0,313104,1126872,1439976,True
2026-08-24,F122,0,313104,1126872,1439976,True
2026-08-24,F200,0,313104,1126872,1439976,True
2026-08-24,F201,0,313104,1126872,1439976,True
2026-08-24,F202,0,313104,1126872,1439976,True
2026-08-24,F210,0,313104,1126872,1439976,True
2026-08-24,F211,0,313104,1126872,1439976,True
2026-08-24,F212,0,313104,1126872,1439976,True
2026-08-24,F220,0,313104,1126872,1439976,True
2026-08-24,F221,0,313104,1126872,1439976,True
2026-08-24,F222,0,313104,1126872,1439976,True
2026-08-25,F000,0,315582,1124398,1439980,True
2026-08-25,F001,0,315582,1124398,1439980,True
2026-08-25,F002,0,315582,1124398,1439980,True
2026-08-25,F010,0,315582,1124398,1439980,True
2026-08-25,F011,0,315582,1124398,1439980,True
2026-08-25,F012,0,315582,1124398,1439980,True
2026-08-25,F020,0,315582,1124398,1439980,True
2026-08-25,F021,0,315582,1124398,1439980,True
2026-08-25,F022,0,315582,1124398,1439980,True
2026-08-25,F100,0,315582,1124398,1439980,True
2026-08-25,F101,0,315582,1124398,1439980,True
2026-08-25,F102,0,315582,1124398,1439980,True
2026-08-25,F110,0,315582,1124398,1439980,True
2026-08-25,F111,0,315582,1124398,1439980,True
2026-08-25,F112,0,315582,1124398,1439980,True
2026-08-25,F120,0,315582,1124398,1439980,True
2026-08-25,F121,0,315582,1124398,1439980,True
2026-08-25,F122,0,315582,1124398,1439980,True
2026-08-25,F200,0,315582,1124398,1439980,True
2026-08-25,F201,0,315582,1124398,1439980,True
2026-08-25,F202,0,315582,1124398,1439980,True
2026-08-25,F210,0,315582,1124398,1439980,True
2026-08-25,F211,0,315582,1124398,1439980,True
2026-08-25,F212,0,315582,1124398,1439980,True
2026-08-25,F220,0,315582,1124398,1439980,True
2026-08-25,F221,0,315582,1124398,1439980,True
2026-08-25,F222,0,315582,1124398,1439980,True
2026-08-26,F000,0,268030,2731898,2999928,True
2026-08-26,F001,0,268030,2731898,2999928,True
2026-08-26,F002,0,268030,2731898,2999928,True
2026-08-26,F010,0,268030,2731898,2999928,True
2026-08-26,F011,0,268030,2731898,2999928,True
2026-08-26,F012,0,268030,2731898,2999928,True
2026-08-26,F020,0,268030,2731898,2999928,True
2026-08-26,F021,0,268030,2731898,2999928,True
2026-08-26,F022,0,268030,2731898,2999928,True
2026-08-26,F100,0,268030,2731898,2999928,True
2026-08-26,F101,0,268030,2731898,2999928,True
2026-08-26,F102,0,268030,2731898,2999928,True
2026-08-26,F110,0,268030,2731898,2999928,True
2026-08-26,F111,0,268030,2731898,2999928,True
2026-08-26,F112,0,268030,2731898,2999928,True
2026-08-26,F120,0,268030,2731898,2999928,True
2026-08-26,F121,0,268030,2731898,2999928,True
2026-08-26,F122,0,268030,2731898,2999928,True
2026-08-26,F200,0,268030,2731898,2999928,True
2026-08-26,F201,0,268030,2731898,2999928,True
2026-08-26,F202,0,268030,2731898,2999928,True
2026-08-26,F210,0,268030,2731898,2999928,True
2026-08-26,F211,0,268030,2731898,2999928,True
2026-08-26,F212,0,268030,2731898,2999928,True
2026-08-26,F220,0,268030,2731898,2999928,True
2026-08-26,F221,0,268030,2731898,2999928,True
2026-08-26,F222,0,268030,2731898,2999928,True
2026-08-27,F000,0,155704,594272,749976,True
2026-08-27,F001,0,155704,594272,749976,True
2026-08-27,F002,0,155704,594272,749976,True
2026-08-27,F010,0,155704,594272,749976,True
2026-08-27,F011,0,155704,594272,749976,True
2026-08-27,F012,0,155704,594272,749976,True
2026-08-27,F020,0,155704,594272,749976,True
2026-08-27,F021,0,155704,594272,749976,True
2026-08-27,F022,0,155704,594272,749976,True
2026-08-27,F100,0,155704,594272,749976,True
2026-08-27,F101,0,155704,594272,749976,True
2026-08-27,F102,0,155704,594272,749976,True
2026-08-27,F110,0,155704,594272,749976,True
2026-08-27,F111,0,155704,594272,749976,True
2026-08-27,F112,0,155704,594272,749976,True
2026-08-27,F120,0,155704,594272,749976,True
2026-08-27,F121,0,155704,594272,749976,True
2026-08-27,F122,0,155704,594272,749976,True
2026-08-27,F200,0,155704,594272,749976,True
2026-08-27,F201,0,155704,594272,749976,True
2026-08-27,F202,0,155704,594272,749976,True
2026-08-27,F210,0,155704,594272,749976,True
2026-08-27,F211,0,155704,594272,749976,True
2026-08-27,F212,0,155704,594272,749976,True
2026-08-27,F220,0,155704,594272,749976,True
2026-08-27,F221,0,155704,594272,749976,True
2026-08-27,F222,0,155704,594272,749976,True
