research_date,filter_id,common_candidate_count,admitted_candidate_count,admitted_cluster_count,cancel_insufficient_history,cancel_abstain,cancel_not_novel,cancel_opposite_coherence,cancel_conflict,cancel_coherence_lost,cancel_margin
2026-08-03,F202,59,0,0,0,54,3,0,2,0,0
2026-08-03,F210,59,0,0,0,50,1,3,5,0,0
2026-08-03,F211,59,0,0,0,52,2,2,3,0,0
2026-08-03,F212,59,0,0,0,54,3,0,2,0,0
2026-08-03,F220,59,0,0,0,50,1,3,5,0,0
2026-08-03,F221,59,0,0,0,52,2,2,3,0,0
2026-08-03,F222,59,0,0,0,54,3,0,2,0,0
2026-08-04,F000,36,0,0,0,33,2,0,0,0,1
2026-08-04,F001,36,0,0,0,36,0,0,0,0,0
2026-08-04,F002,36,0,0,0,36,0,0,0,0,0
2026-08-04,F010,36,0,0,0,33,2,0,0,0,1
2026-08-04,F011,36,0,0,0,36,0,0,0,0,0
2026-08-04,F012,36,0,0,0,36,0,0,0,0,0
2026-08-04,F020,36,0,0,0,33,2,0,0,0,1
2026-08-04,F021,36,0,0,0,36,0,0,0,0,0
2026-08-04,F022,36,0,0,0,36,0,0,0,0,0
2026-08-04,F100,36,0,0,0,34,2,0,0,0,0
2026-08-04,F101,36,0,0,0,36,0,0,0,0,0
2026-08-04,F102,36,0,0,0,36,0,0,0,0,0
2026-08-04,F110,36,0,0,0,34,2,0,0,0,0
2026-08-04,F111,36,0,0,0,36,0,0,0,0,0
2026-08-04,F112,36,0,0,0,36,0,0,0,0,0
2026-08-04,F120,36,0,0,0,34,2,0,0,0,0
2026-08-04,F121,36,0,0,0,36,0,0,0,0,0
2026-08-04,F122,36,0,0,0,36,0,0,0,0,0
2026-08-04,F200,36,0,0,0,36,0,0,0,0,0
2026-08-04,F201,36,0,0,0,36,0,0,0,0,0
2026-08-04,F202,36,0,0,0,36,0,0,0,0,0
2026-08-04,F210,36,0,0,0,36,0,0,0,0,0
2026-08-04,F211,36,0,0,0,36,0,0,0,0,0
2026-08-04,F212,36,0,0,0,36,0,0,0,0,0
2026-08-04,F220,36,0,0,0,36,0,0,0,0,0
2026-08-04,F221,36,0,0,0,36,0,0,0,0,0
2026-08-04,F222,36,0,0,0,36,0,0,0,0,0
2026-08-07,F000,53,0,0,0,47,1,1,3,1,0
2026-08-07,F001,53,0,0,0,50,2,0,1,0,0
2026-08-07,F002,53,0,0,0,51,2,0,0,0,0
2026-08-07,F010,53,0,0,0,47,1,1,3,1,0
2026-08-07,F011,53,0,0,0,50,2,0,1,0,0
2026-08-07,F012,53,0,0,0,51,2,0,0,0,0
2026-08-07,F020,53,0,0,0,47,1,1,3,1,0
2026-08-07,F021,53,0,0,0,50,2,0,1,0,0
2026-08-07,F022,53,0,0,0,51,2,0,0,0,0
2026-08-07,F100,53,0,0,0,49,1,1,2,0,0
2026-08-07,F101,53,0,0,0,50,2,0,1,0,0
2026-08-07,F102,53,0,0,0,51,2,0,0,0,0
2026-08-07,F110,53,0,0,0,49,1,1,2,0,0
2026-08-07,F111,53,0,0,0,50,2,0,1,0,0
2026-08-07,F112,53,0,0,0,51,2,0,0,0,0
2026-08-07,F120,53,0,0,0,49,1,1,2,0,0
2026-08-07,F121,53,0,0,0,50,2,0,1,0,0
2026-08-07,F122,53,0,0,0,51,2,0,0,0,0
2026-08-07,F200,53,0,0,0,49,1,2,1,0,0
2026-08-07,F201,53,0,0,0,50,2,1,0,0,0
2026-08-07,F202,53,0,0,0,51,2,0,0,0,0
2026-08-07,F210,53,0,0,0,49,1,2,1,0,0
2026-08-07,F211,53,0,0,0,50,2,1,0,0,0
2026-08-07,F212,53,0,0,0,51,2,0,0,0,0
2026-08-07,F220,53,0,0,0,49,1,2,1,0,0
2026-08-07,F221,53,0,0,0,50,2,1,0,0,0
2026-08-07,F222,53,0,0,0,51,2,0,0,0,0
2026-08-24,F000,10,0,0,0,8,1,0,1,0,0
2026-08-24,F001,10,0,0,0,8,2,0,0,0,0
2026-08-24,F002,10,0,0,0,10,0,0,0,0,0
2026-08-24,F010,10,0,0,0,8,1,0,1,0,0
2026-08-24,F011,10,0,0,0,8,2,0,0,0,0
2026-08-24,F012,10,0,0,0,10,0,0,0,0,0
2026-08-24,F020,10,0,0,0,8,1,0,1,0,0
2026-08-24,F021,10,0,0,0,8,2,0,0,0,0
2026-08-24,F022,10,0,0,0,10,0,0,0,0,0
2026-08-24,F100,10,0,0,0,8,1,0,1,0,0
2026-08-24,F101,10,0,0,0,8,2,0,0,0,0
2026-08-24,F102,10,0,0,0,10,0,0,0,0,0
2026-08-24,F110,10,0,0,0,8,1,0,1,0,0
2026-08-24,F111,10,0,0,0,8,2,0,0,0,0
2026-08-24,F112,10,0,0,0,10,0,0,0,0,0
2026-08-24,F120,10,0,0,0,8,1,0,1,0,0
2026-08-24,F121,10,0,0,0,8,2,0,0,0,0
2026-08-24,F122,10,0,0,0,10,0,0,0,0,0
2026-08-24,F200,10,0,0,0,9,1,0,0,0,0
2026-08-24,F201,10,0,0,0,9,1,0,0,0,0
2026-08-24,F202,10,0,0,0,10,0,0,0,0,0
2026-08-24,F210,10,0,0,0,9,1,0,0,0,0
2026-08-24,F211,10,0,0,0,9,1,0,0,0,0
2026-08-24,F212,10,0,0,0,10,0,0,0,0,0
2026-08-24,F220,10,0,0,0,9,1,0,0,0,0
2026-08-24,F221,10,0,0,0,9,1,0,0,0,0
2026-08-24,F222,10,0,0,0,10,0,0,0,0,0
2026-08-25,F000,10,0,0,0,10,0,0,0,0,0
2026-08-25,F001,10,0,0,0,10,0,0,0,0,0
2026-08-25,F002,10,0,0,0,10,0,0,0,0,0
2026-08-25,F010,10,0,0,0,10,0,0,0,0,0
2026-08-25,F011,10,0,0,0,10,0,0,0,0,0
2026-08-25,F012,10,0,0,0,10,0,0,0,0,0
2026-08-25,F020,10,0,0,0,10,0,0,0,0,0
2026-08-25,F021,10,0,0,0,10,0,0,0,0,0
2026-08-25,F022,10,0,0,0,10,0,0,0,0,0
2026-08-25,F100,10,0,0,0,10,0,0,0,0,0
2026-08-25,F101,10,0,0,0,10,0,0,0,0,0
2026-08-25,F102,10,0,0,0,10,0,0,0,0,0
2026-08-25,F110,10,0,0,0,10,0,0,0,0,0
2026-08-25,F111,10,0,0,0,10,0,0,0,0,0
2026-08-25,F112,10,0,0,0,10,0,0,0,0,0
2026-08-25,F120,10,0,0,0,10,0,0,0,0,0
2026-08-25,F121,10,0,0,0,10,0,0,0,0,0
2026-08-25,F122,10,0,0,0,10,0,0,0,0,0
2026-08-25,F200,10,0,0,0,10,0,0,0,0,0
2026-08-25,F201,10,0,0,0,10,0,0,0,0,0
2026-08-25,F202,10,0,0,0,10,0,0,0,0,0
2026-08-25,F210,10,0,0,0,10,0,0,0,0,0
2026-08-25,F211,10,0,0,0,10,0,0,0,0,0
2026-08-25,F212,10,0,0,0,10,0,0,0,0,0
2026-08-25,F220,10,0,0,0,10,0,0,0,0,0
2026-08-25,F221,10,0,0,0,10,0,0,0,0,0
2026-08-25,F222,10,0,0,0,10,0,0,0,0,0
2026-08-26,F000,7,0,0,0,7,0,0,0,0,0
2026-08-26,F001,7,0,0,0,7,0,0,0,0,0
2026-08-26,F002,7,0,0,0,7,0,0,0,0,0
2026-08-26,F010,7,0,0,0,7,0,0,0,0,0
2026-08-26,F011,7,0,0,0,7,0,0,0,0,0
2026-08-26,F012,7,0,0,0,7,0,0,0,0,0
2026-08-26,F020,7,0,0,0,7,0,0,0,0,0
2026-08-26,F021,7,0,0,0,7,0,0,0,0,0
2026-08-26,F022,7,0,0,0,7,0,0,0,0,0
2026-08-26,F100,7,0,0,0,7,0,0,0,0,0
2026-08-26,F101,7,0,0,0,7,0,0,0,0,0
2026-08-26,F102,7,0,0,0,7,0,0,0,0,0
2026-08-26,F110,7,0,0,0,7,0,0,0,0,0
2026-08-26,F111,7,0,0,0,7,0,0,0,0,0
2026-08-26,F112,7,0,0,0,7,0,0,0,0,0
2026-08-26,F120,7,0,0,0,7,0,0,0,0,0
2026-08-26,F121,7,0,0,0,7,0,0,0,0,0
2026-08-26,F122,7,0,0,0,7,0,0,0,0,0
2026-08-26,F200,7,0,0,0,7,0,0,0,0,0
2026-08-26,F201,7,0,0,0,7,0,0,0,0,0
2026-08-26,F202,7,0,0,0,7,0,0,0,0,0
2026-08-26,F210,7,0,0,0,7,0,0,0,0,0
2026-08-26,F211,7,0,0,0,7,0,0,0,0,0
2026-08-26,F212,7,0,0,0,7,0,0,0,0,0
2026-08-26,F220,7,0,0,0,7,0,0,0,0,0
2026-08-26,F221,7,0,0,0,7,0,0,0,0,0
2026-08-26,F222,7,0,0,0,7,0,0,0,0,0
2026-08-27,F000,10,0,0,0,9,0,0,0,1,0
2026-08-27,F001,10,0,0,0,10,0,0,0,0,0
2026-08-27,F002,10,0,0,0,10,0,0,0,0,0
2026-08-27,F010,10,0,0,0,9,0,0,0,1,0
2026-08-27,F011,10,0,0,0,10,0,0,0,0,0
2026-08-27,F012,10,0,0,0,10,0,0,0,0,0
2026-08-27,F020,10,0,0,0,9,0,0,0,1,0
2026-08-27,F021,10,0,0,0,10,0,0,0,0,0
2026-08-27,F022,10,0,0,0,10,0,0,0,0,0
2026-08-27,F100,10,0,0,0,9,0,0,1,0,0
2026-08-27,F101,10,0,0,0,10,0,0,0,0,0
2026-08-27,F102,10,0,0,0,10,0,0,0,0,0
2026-08-27,F110,10,0,0,0,9,0,0,1,0,0
2026-08-27,F111,10,0,0,0,10,0,0,0,0,0
2026-08-27,F112,10,0,0,0,10,0,0,0,0,0
2026-08-27,F120,10,0,0,0,9,0,0,1,0,0
2026-08-27,F121,10,0,0,0,10,0,0,0,0,0
2026-08-27,F122,10,0,0,0,10,0,0,0,0,0
2026-08-27,F200,10,0,0,0,10,0,0,0,0,0
2026-08-27,F201,10,0,0,0,10,0,0,0,0,0
2026-08-27,F202,10,0,0,0,10,0,0,0,0,0
2026-08-27,F210,10,0,0,0,10,0,0,0,0,0
2026-08-27,F211,10,0,0,0,10,0,0,0,0,0
2026-08-27,F212,10,0,0,0,10,0,0,0,0,0
2026-08-27,F220,10,0,0,0,10,0,0,0,0,0
2026-08-27,F221,10,0,0,0,10,0,0,0,0,0
2026-08-27,F222,10,0,0,0,10,0,0,0,0,0
