event_sequence,source_channel,source_event_exchange_time_ms,source_local_receive_ts_ns,candidate_age_seconds_at_eval,side,quote_px,bid,ask,spread_ticks,order_size_btc,same_side_top_qty_btc,same_side_top_order_count,top_depth_multiple_of_order,rolling_trade_count_last_3s,touch_trade_qty_btc,strict_trade_through_qty_btc,at_or_through_trade_qty_btc,required_depletion_qty_btc,queue_depletion_multiple,public_depletion_status,quality_bucket,dynamic_size_btc,allowed,skip_reason,freshness_source,touch_stability_ms,last_touch_change_ms,top_reset_status,top_reset_reason,fresh_touch_evidence_status,inference_scope,shadow_action,shadow_reason,fair_mid_source_status,fair_mid_source_reason,edge_gate_status,edge_gate_reason,fair_mid_px,edge_ticks,binance_source_age_ms,order_endpoint_called,private_endpoint_called,credential_read
11,trades,1782197078793,1782197079095106567,0.302139,buy,62911,62911,62912,1,0.005,3.31999,19,663.998,7,0.08006,0,0.08006,3.32499,0.02407826790456512651165868168,touched_quote_without_depletion,,0.005,False,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,synthetic_current_event_only,,,missing,insufficient_real_bbo_history,block,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
12,trades,1782197078917,1782197079152117176,0.235142,buy,62911,62911,62912,1,0.005,3.31999,19,663.998,10,0.08006,0,0.08006,3.32499,0.02407826790456512651165868168,touched_quote_without_depletion,,0.005,False,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,synthetic_current_event_only,,,missing,insufficient_real_bbo_history,block,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
13,trades,1782197079424,1782197079765988606,0.342016,buy,62911,62911,62912,1,0.005,3.31999,19,663.998,11,0.08006,0,0.08006,3.32499,0.02407826790456512651165868168,touched_quote_without_depletion,,0.005,False,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,synthetic_current_event_only,,,missing,insufficient_real_bbo_history,block,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
14,trades,1782197079903,1782197080220622535,0.317648,buy,62911,62911,62912,1,0.005,3.31999,19,663.998,12,0.11472,0,0.11472,3.32499,0.03450235940559219726976622486,touched_quote_without_depletion,,0.005,False,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,synthetic_current_event_only,,,missing,insufficient_real_bbo_history,block,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
15,trades,1782197080037,1782197080308900207,0.271924,buy,62911,62911,62912,1,0.005,3.31999,19,663.998,14,0.12831,0,0.12831,3.32499,0.03858958974312704699863758989,touched_quote_without_depletion,,0.005,False,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,synthetic_current_event_only,,,missing,insufficient_real_bbo_history,block,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
16,trades,1782197080457,1782197080803551391,0.346575,buy,62911,62911,62912,1,0.005,3.31999,19,663.998,14,0.09248,0,0.09248,3.32499,0.0278136174845638633499649623,touched_quote_without_depletion,,0.005,False,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,synthetic_current_event_only,,,missing,insufficient_real_bbo_history,block,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
17,trades,1782197081003,1782197081420437465,0.41748,buy,62911,62911,62912,1,0.005,3.31999,19,663.998,16,0.09248,0,0.09248,3.32499,0.0278136174845638633499649623,touched_quote_without_depletion,,0.005,False,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,synthetic_current_event_only,,,missing,insufficient_real_bbo_history,block,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
18,l2Book,1782197081003,1782197081420764743,0.417799,buy,62911,62911,62912,1,0.005,7.19128,35,1438.256,16,0.09248,0,0.09248,7.19628,0.01285108417126626534820768508,touched_quote_without_depletion,,0.005,False,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,synthetic_current_event_only,,,missing,insufficient_real_bbo_history,block,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
19,trades,1782197082017,1782197082407946583,0.390975,buy,62911,62911,62912,1,0.005,7.19128,35,1438.256,8,0.05759,0,0.05759,7.19628,0.008002745863140400317942047836,touched_quote_without_depletion,,0.005,False,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,synthetic_current_event_only,,,missing,insufficient_real_bbo_history,block,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
20,trades,1782197082152,1782197082503356239,0.351377,buy,62911,62911,62912,1,0.005,7.19128,35,1438.256,9,0.05759,0,0.05759,7.19628,0.008002745863140400317942047836,touched_quote_without_depletion,,0.005,False,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,synthetic_current_event_only,,,missing,insufficient_real_bbo_history,block,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
21,trades,1782197082558,1782197082759112708,0.201134,buy,62911,62911,62912,1,0.005,7.19128,35,1438.256,9,0.09101,0,0.09101,7.19628,0.0126468119639591566753933977,touched_quote_without_depletion,,0.005,False,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,synthetic_current_event_only,,,missing,insufficient_real_bbo_history,block,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
22,trades,1782197083562,1782197083775492979,0.213517,buy,62911,62911,62912,1,0.005,7.19128,35,1438.256,6,0.04266,0,0.04266,7.19628,0.005928062832463439443712584835,touched_quote_without_depletion,,0.005,False,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,synthetic_current_event_only,,,missing,insufficient_real_bbo_history,block,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
23,trades,1782197084092,1782197084307879387,0.21591,buy,62911,62911,62912,1,0.005,7.19128,35,1438.256,5,0.04266,0,0.04266,7.19628,0.005928062832463439443712584835,touched_quote_without_depletion,,0.005,False,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,synthetic_current_event_only,,,missing,insufficient_real_bbo_history,block,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
24,trades,1782197084567,1782197084784437286,0.217469,buy,62911,62911,62912,1,0.005,7.19128,35,1438.256,6,0.04266,0,0.04266,7.19628,0.005928062832463439443712584835,touched_quote_without_depletion,,0.005,False,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,synthetic_current_event_only,,,missing,insufficient_real_bbo_history,block,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
25,trades,1782197084769,1782197085055141609,0.286163,buy,62911,62911,62912,1,0.005,7.19128,35,1438.256,7,0.04266,0,0.04266,7.19628,0.005928062832463439443712584835,touched_quote_without_depletion,,0.005,False,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,synthetic_current_event_only,,,missing,insufficient_real_bbo_history,block,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
26,trades,1782197084833,1782197085072494328,0.239511,buy,62911,62911,62912,1,0.005,7.19128,35,1438.256,8,0.05016,0,0.05016,7.19628,0.006970267971785422468275275559,touched_quote_without_depletion,,0.005,False,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,synthetic_current_event_only,,,missing,insufficient_real_bbo_history,block,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
27,trades,1782197085102,1782197085332240740,0.230261,buy,62911,62911,62912,1,0.005,7.19128,35,1438.256,8,0.07317,0,0.07317,7.19628,0.0101677533392252663876336107,touched_quote_without_depletion,,0.005,False,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,synthetic_current_event_only,,,missing,insufficient_real_bbo_history,block,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
28,trades,1782197086043,1782197086295319049,0.252344,buy,62911,62911,62912,1,0.005,7.19128,35,1438.256,7,0.03975,0,0.03975,7.19628,0.005523687238406510030182260835,touched_quote_without_depletion,,0.005,False,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,synthetic_current_event_only,,,missing,insufficient_real_bbo_history,block,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
29,trades,1782197086176,1782197086410088108,0.234184,buy,62911,62911,62912,1,0.005,7.19128,35,1438.256,37,0.03975,0,0.03975,7.19628,0.005523687238406510030182260835,touched_quote_without_depletion,,0.005,False,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,synthetic_current_event_only,,,missing,insufficient_real_bbo_history,block,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
30,l2Book,1782197086381,1782197086757447942,0.376497,buy,62912,62912,62913,1,0.005,0.57289,2,114.578,37,0,0.03975,0.03975,0.57789,0.06878471681461869906037481182,strict_trade_through_seen_but_visible_top_not_depleted,,0.005,False,missing_touch_freshness_or_queue_reset_evidence,synthetic_current_event_only,,,missing,insufficient_real_bbo_history,block,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_touch_freshness_or_queue_reset_evidence,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
31,trades,1782197086450,1782197086757712687,0.30775,buy,62912,62912,62913,1,0.005,0.57289,2,114.578,42,1.10405,0.03975,1.1438,0.57789,1.979269411133606741767464396,depleted_top_plus_order_proxy,,0.005,False,missing_touch_freshness_or_queue_reset_evidence,synthetic_current_event_only,,,missing,insufficient_real_bbo_history,block,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_touch_freshness_or_queue_reset_evidence,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
32,trades,1782197086512,1782197086807831358,0.295858,buy,62912,62912,62913,1,0.005,0.57289,2,114.578,43,1.10405,0.03975,1.1438,0.57789,1.979269411133606741767464396,depleted_top_plus_order_proxy,,0.005,False,missing_touch_freshness_or_queue_reset_evidence,synthetic_current_event_only,,,missing,insufficient_real_bbo_history,block,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_touch_freshness_or_queue_reset_evidence,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
33,trades,1782197086916,1782197087240362450,0.324394,buy,62912,62912,62913,1,0.005,0.57289,2,114.578,43,1.10405,0.03975,1.1438,0.57789,1.979269411133606741767464396,depleted_top_plus_order_proxy,,0.005,False,missing_touch_freshness_or_queue_reset_evidence,synthetic_current_event_only,,,missing,insufficient_real_bbo_history,block,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_touch_freshness_or_queue_reset_evidence,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
34,trades,1782197087383,1782197087709717142,0.326767,buy,62912,62912,62913,1,0.005,0.57289,2,114.578,44,1.10405,0.03975,1.1438,0.57789,1.979269411133606741767464396,depleted_top_plus_order_proxy,,0.005,False,missing_touch_freshness_or_queue_reset_evidence,synthetic_current_event_only,,,missing,insufficient_real_bbo_history,block,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_touch_freshness_or_queue_reset_evidence,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
35,trades,1782197087477,1782197087838621661,0.361652,buy,62912,62912,62913,1,0.005,0.57289,2,114.578,46,1.10405,0.03975,1.1438,0.57789,1.979269411133606741767464396,depleted_top_plus_order_proxy,,0.005,False,missing_touch_freshness_or_queue_reset_evidence,synthetic_current_event_only,,,missing,insufficient_real_bbo_history,block,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_touch_freshness_or_queue_reset_evidence,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
36,trades,1782197087547,1782197087868311562,0.321337,buy,62912,62912,62913,1,0.005,0.57289,2,114.578,47,1.10405,0.03975,1.1438,0.57789,1.979269411133606741767464396,depleted_top_plus_order_proxy,,0.005,False,missing_touch_freshness_or_queue_reset_evidence,synthetic_current_event_only,,,missing,insufficient_real_bbo_history,block,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_touch_freshness_or_queue_reset_evidence,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
37,trades,1782197087678,1782197087984537188,0.306566,buy,62912,62912,62913,1,0.005,0.57289,2,114.578,47,1.10405,0.07086,1.17491,0.57789,2.033103185727387565107546419,depleted_top_plus_order_proxy,,0.005,False,missing_touch_freshness_or_queue_reset_evidence,synthetic_current_event_only,,,missing,insufficient_real_bbo_history,block,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_touch_freshness_or_queue_reset_evidence,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
38,trades,1782197087890,1782197088163372879,0.27341,buy,62912,62912,62913,1,0.005,0.57289,2,114.578,46,1.10405,0.06336,1.16741,0.57789,2.020124937271799131322570039,depleted_top_plus_order_proxy,,0.005,False,missing_touch_freshness_or_queue_reset_evidence,synthetic_current_event_only,,,missing,insufficient_real_bbo_history,block,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_touch_freshness_or_queue_reset_evidence,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
39,trades,1782197088753,1782197088966123303,0.213161,buy,62912,62912,62913,1,0.005,0.57289,2,114.578,46,1.10405,0.03111,1.13516,0.57789,1.964318468912768866047171607,depleted_top_plus_order_proxy,,0.005,False,missing_touch_freshness_or_queue_reset_evidence,synthetic_current_event_only,,,missing,insufficient_real_bbo_history,block,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_touch_freshness_or_queue_reset_evidence,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
40,trades,1782197088886,1782197089096777017,0.210805,buy,62912,62912,62913,1,0.005,0.57289,2,114.578,47,1.10405,0.03111,1.13516,0.57789,1.964318468912768866047171607,depleted_top_plus_order_proxy,,0.005,False,missing_touch_freshness_or_queue_reset_evidence,synthetic_current_event_only,,,missing,insufficient_real_bbo_history,block,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_touch_freshness_or_queue_reset_evidence,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
41,trades,1782197090013,1782197090250962421,0.237997,buy,62912,62912,62913,1,0.005,0.57289,2,114.578,10,0,0.03111,0.03111,0.57789,0.05383377459378082334008202253,strict_trade_through_seen_but_visible_top_not_depleted,,0.005,False,missing_touch_freshness_or_queue_reset_evidence,synthetic_current_event_only,,,missing,insufficient_real_bbo_history,block,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_touch_freshness_or_queue_reset_evidence,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
42,trades,1782197090482,1782197090686937730,0.204976,buy,62912,62912,62913,1,0.005,0.57289,2,114.578,7,0,0.06099,0.06099,0.57789,0.1055391164408451435394279188,strict_trade_through_seen_but_visible_top_not_depleted,,0.005,False,missing_touch_freshness_or_queue_reset_evidence,synthetic_current_event_only,,,missing,insufficient_real_bbo_history,block,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_touch_freshness_or_queue_reset_evidence,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
43,trades,1782197091006,1782197091301024099,0.295062,buy,62912,62912,62913,1,0.005,0.57289,2,114.578,7,0,0.02988,0.02988,0.57789,0.05170534184706432019934589628,strict_trade_through_seen_but_visible_top_not_depleted,,0.005,False,missing_touch_freshness_or_queue_reset_evidence,synthetic_current_event_only,,,missing,insufficient_real_bbo_history,block,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_touch_freshness_or_queue_reset_evidence,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
44,trades,1782197091293,1782197091588763838,0.295787,buy,62912,62912,62913,1,0.005,0.57289,2,114.578,8,0,0.02988,0.02988,0.57789,0.05170534184706432019934589628,strict_trade_through_seen_but_visible_top_not_depleted,,0.005,False,missing_touch_freshness_or_queue_reset_evidence,synthetic_current_event_only,,,missing,insufficient_real_bbo_history,block,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_touch_freshness_or_queue_reset_evidence,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
45,trades,1782197091577,1782197091771140139,0.19416,buy,62912,62912,62913,1,0.005,0.57289,2,114.578,9,0,0.02988,0.02988,0.57789,0.05170534184706432019934589628,strict_trade_through_seen_but_visible_top_not_depleted,,0.005,False,missing_touch_freshness_or_queue_reset_evidence,synthetic_current_event_only,,,missing,insufficient_real_bbo_history,block,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_touch_freshness_or_queue_reset_evidence,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
46,trades,1782197091789,1782197092131559926,0.342583,buy,62912,62912,62913,1,0.005,0.57289,2,114.578,9,0,0.03018,0.03018,0.57789,0.05222447178528785755074495146,strict_trade_through_seen_but_visible_top_not_depleted,,0.005,False,missing_touch_freshness_or_queue_reset_evidence,synthetic_current_event_only,,,missing,insufficient_real_bbo_history,block,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_touch_freshness_or_queue_reset_evidence,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
47,l2Book,1782197091789,1782197092131842043,0.342874,buy,62911,62911,62912,1,0.005,19.37654,63,3875.308,9,0.03018,0,0.03018,19.38154,0.001557151805274503470828427462,touched_quote_without_depletion,,0.005,False,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,synthetic_current_event_only,,,missing,insufficient_real_bbo_history,block,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
