research_date,side,obi_bin,reversal_count,control_count,common_support
2026-08-26,-1,9,6,10,true
2026-08-26,1,0,60,50,true
2026-08-26,1,1,62,76,true
2026-08-26,1,2,66,99,true
2026-08-26,1,3,56,88,true
2026-08-26,1,4,72,86,true
2026-08-26,1,5,61,84,true
2026-08-26,1,6,57,76,true
2026-08-26,1,7,42,61,true
2026-08-26,1,8,20,46,true
2026-08-26,1,9,7,9,true
2026-08-27,-1,0,8,9,true
2026-08-27,-1,1,11,14,true
2026-08-27,-1,2,11,15,true
2026-08-27,-1,3,12,23,true
2026-08-27,-1,4,11,15,true
2026-08-27,-1,5,17,23,true
2026-08-27,-1,6,15,16,true
2026-08-27,-1,7,15,14,true
2026-08-27,-1,8,8,13,true
2026-08-27,-1,9,4,4,true
2026-08-27,1,0,9,8,true
2026-08-27,1,1,7,6,true
2026-08-27,1,2,14,6,true
2026-08-27,1,3,10,3,true
2026-08-27,1,4,14,9,true
2026-08-27,1,5,12,6,true
2026-08-27,1,6,15,8,true
2026-08-27,1,7,10,4,true
2026-08-27,1,8,16,3,true
2026-08-27,1,9,5,1,true
