entry_id,capture_id,research_date,role,side,cross_ts_ns,decision_ts_ns,detection_delay_ms,pre_detection_transition,pre_detection_transition_time_ms,pre_detection_censor_reason,pre_detection_oriented_displacement_at_detection_ticks
rev_000021,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,1785314114200000000,1785314116900000000,2700,follow,200,,45.0
rev_000022,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785314129500000000,1785314130600000000,1100,follow,100,,35.0
rev_000023,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,1785314134400000000,1785314135300000000,900,follow,700,,16.0
rev_000024,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785314154400000000,1785314156000000000,1600,follow,100,,11.5
rev_000025,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,1785314170400000000,1785314171700000000,1300,fail,100,,8.0
rev_000026,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785314177000000000,1785314179800000000,2800,follow,100,,81.0
rev_000027,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,1785314197700000000,1785314199800000000,2100,follow,1200,,41.0
rev_000028,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785314220600000000,1785314223400000000,2800,fail,100,,18.0
rev_000030,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785314327500000000,1785314328800000000,1300,follow,100,,76.0
rev_000031,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,1785314368200000000,1785314369300000000,1100,fail,100,,32.0
rev_000032,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785314390400000000,1785314392300000000,1900,follow,200,,-22.0
rev_000034,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785314402300000000,1785314404800000000,2500,follow,300,,1.0
rev_000036,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785314479800000000,1785314483900000000,4100,follow,100,,7.0
rev_000038,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785314512300000000,1785314515700000000,3400,follow,500,,1.0
rev_000039,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,1785314534200000000,1785314537800000000,3600,follow,300,,4.0
rev_000040,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785314553900000000,1785314555900000000,2000,follow,500,,0.0
rev_000041,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,1785314569100000000,1785314570100000000,1000,follow,100,,39.0
rev_000042,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785314603300000000,1785314604900000000,1600,follow,200,,60.0
rev_000043,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,1785314614100000000,1785314615300000000,1200,fail,100,,-18.0
rev_000044,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785314652700000000,1785314653600000000,900,follow,300,,18.0
rev_000045,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,1785314678300000000,1785314679200000000,900,follow,100,,49.0
rev_000046,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785314681500000000,1785314683400000000,1900,fail,100,,-10.5
rev_000048,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785314707200000000,1785314708100000000,900,follow,800,,62.0
rev_000049,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,1785314718100000000,1785314719000000000,900,none,,,-0.0
rev_000050,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785314734900000000,1785314737100000000,2200,follow,100,,79.0
rev_000051,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,1785314752100000000,1785314753100000000,1000,follow,100,,53.0
rev_000052,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785314770500000000,1785314771400000000,900,follow,800,,13.0
rev_000053,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,1785314805700000000,1785314806600000000,900,none,,,-0.0
rev_000054,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785314807000000000,1785314808100000000,1100,follow,400,,-1.0
rev_000055,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,1785314811700000000,1785314812600000000,900,follow,100,,2.0
rev_000056,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785314815200000000,1785314816100000000,900,none,,,0.0
rev_000057,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,1785314842900000000,1785314849700000000,6800,fail,300,,-30.0
rev_000058,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785314852100000000,1785314854800000000,2700,fail,200,,33.0
rev_000059,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,1785314867100000000,1785314869500000000,2400,follow,500,,25.0
rev_000060,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785314904800000000,1785314905800000000,1000,follow,200,,20.0
rev_000061,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,1785314931100000000,1785314933000000000,1900,follow,100,,126.0
rev_000062,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785314933200000000,1785314934500000000,1300,fail,100,,75.0
rev_000063,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,1785314946700000000,1785314947600000000,900,follow,600,,20.0
rev_000064,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785314956600000000,1785314958200000000,1600,follow,200,,38.0
rev_000065,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,1785314999000000000,1785315000400000000,1400,follow,100,,3.0
rev_000066,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785315010800000000,1785315013900000000,3100,follow,100,,97.0
rev_000068,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785315023700000000,1785315024600000000,900,fail,100,,0.0
rev_000069,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,1785315029600000000,1785315031400000000,1800,fail,100,,17.5
rev_000070,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785315050900000000,1785315052100000000,1200,follow,300,,8.0
rev_000071,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,1785315068900000000,1785315069800000000,900,follow,100,,6.0
rev_000072,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785315076500000000,1785315077600000000,1100,fail,200,,7.0
rev_000074,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785315097500000000,1785315099500000000,2000,fail,100,,14.0
rev_000075,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,1785315136400000000,1785315139100000000,2700,follow,1100,,39.0
rev_000076,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785315141900000000,1785315142900000000,1000,follow,100,,23.0
rev_000077,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,1785315151800000000,1785315152700000000,900,follow,100,,34.0
rev_000078,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785315162100000000,1785315163000000000,900,follow,100,,7.0
rev_000080,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785315208800000000,1785315209800000000,1000,follow,100,,21.0
rev_000082,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785315221000000000,1785315222700000000,1700,follow,200,,0.0
rev_000083,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,1785315225000000000,1785315226200000000,1200,follow,200,,14.0
rev_000084,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785315284000000000,1785315286300000000,2300,follow,200,,9.0
rev_000085,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,1785315339400000000,1785315342700000000,3300,fail,200,,19.0
rev_000086,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785315358100000000,1785315363500000000,5400,follow,900,,22.0
rev_000087,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,1785315387900000000,1785315388900000000,1000,follow,100,,9.0
rev_000088,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785315390000000000,1785315391100000000,1100,follow,200,,19.0
rev_000089,2026-07-30_2cc63928e27f,2026-07-30,historical_method_development,-1,1785369356500000000,1785369357400000000,900,follow,200,,16.0
rev_000090,2026-07-30_2cc63928e27f,2026-07-30,historical_method_development,1,1785369449800000000,1785369451000000000,1200,follow,300,,9.0
rev_000091,2026-07-30_2cc63928e27f,2026-07-30,historical_method_development,-1,1785369474800000000,1785369477600000000,2800,fail,700,,65.0
rev_000092,2026-07-30_2cc63928e27f,2026-07-30,historical_method_development,1,1785369482900000000,1785369485300000000,2400,follow,100,,55.0
rev_000093,2026-07-30_bd0fb3d8fa82,2026-07-30,historical_method_development,-1,1785371542900000000,1785371543800000000,900,fail,200,,52.0
rev_000094,2026-07-30_bd0fb3d8fa82,2026-07-30,historical_method_development,1,1785371675800000000,1785371678100000000,2300,follow,100,,-36.0
rev_000095,2026-07-30_bd0fb3d8fa82,2026-07-30,historical_method_development,-1,1785372618800000000,1785372622800000000,4000,follow,100,,195.0
rev_000097,2026-07-30_bd0fb3d8fa82,2026-07-30,historical_method_development,-1,1785372882200000000,1785372884200000000,2000,follow,100,,98.0
rev_000098,2026-07-30_d88a85361fb1,2026-07-30,historical_method_development,1,1785373088200000000,1785373089300000000,1100,fail,100,,44.0
rev_000099,2026-07-30_d88a85361fb1,2026-07-30,historical_method_development,-1,1785373310600000000,1785373311600000000,1000,follow,100,,102.0
rev_000101,2026-07-30_b19ed82d662d,2026-07-30,historical_method_development,-1,1785375671400000000,1785375674400000000,3000,follow,100,,44.0
rev_000102,2026-07-30_b19ed82d662d,2026-07-30,historical_method_development,1,1785376106500000000,1785376108800000000,2300,fail,100,,79.50000000001137
rev_000103,2026-07-30_b19ed82d662d,2026-07-30,historical_method_development,-1,1785376187300000000,1785376188200000000,900,follow,100,,25.5
rev_000104,2026-07-30_b19ed82d662d,2026-07-30,historical_method_development,1,1785376213400000000,1785376214800000000,1400,follow,100,,-8.5
rev_000105,2026-07-30_b19ed82d662d,2026-07-30,historical_method_development,-1,1785376297800000000,1785376298700000000,900,follow,100,,14.5
rev_000106,2026-07-30_c655ea10171f,2026-07-30,historical_method_development,1,1785378613400000000,1785378614400000000,1000,follow,100,,34.0
rev_000107,2026-07-30_c655ea10171f,2026-07-30,historical_method_development,-1,1785378645500000000,1785378646400000000,900,follow,100,,29.0
rev_000108,2026-07-30_c655ea10171f,2026-07-30,historical_method_development,1,1785378877500000000,1785378880300000000,2800,follow,100,,73.0
rev_000109,2026-07-30_c655ea10171f,2026-07-30,historical_method_development,-1,1785378932600000000,1785378933600000000,1000,fail,100,,-40.5
rev_000110,2026-07-30_c655ea10171f,2026-07-30,historical_method_development,1,1785379050500000000,1785379055400000000,4900,follow,300,,157.5
rev_000111,2026-07-30_c655ea10171f,2026-07-30,historical_method_development,-1,1785379324100000000,1785379326200000000,2100,follow,100,,92.0
rev_000112,2026-07-30_c655ea10171f,2026-07-30,historical_method_development,1,1785379443400000000,1785379446400000000,3000,fail,100,,-56.0
rev_000113,2026-07-30_c655ea10171f,2026-07-30,historical_method_development,-1,1785379552000000000,1785379552900000000,900,fail,100,,-0.0
rev_000114,2026-07-30_c655ea10171f,2026-07-30,historical_method_development,1,1785379714500000000,1785379717600000000,3100,fail,100,,78.5
rev_000115,2026-07-30_c655ea10171f,2026-07-30,historical_method_development,-1,1785379855600000000,1785379856500000000,900,follow,100,,19.5
rev_000116,2026-07-30_f91aa7f4acf1,2026-07-30,historical_method_development,1,1785380627200000000,1785380629300000000,2100,follow,100,,-82.5
rev_000117,2026-07-30_f91aa7f4acf1,2026-07-30,historical_method_development,-1,1785380783800000000,1785380785100000000,1300,follow,100,,106.49999999998863
rev_000119,2026-07-30_f91aa7f4acf1,2026-07-30,historical_method_development,-1,1785381188200000000,1785381191500000000,3300,follow,300,,-37.0
rev_000120,2026-07-30_f91aa7f4acf1,2026-07-30,historical_method_development,1,1785381333300000000,1785381334200000000,900,follow,100,,36.0
rev_000121,2026-07-30_f91aa7f4acf1,2026-07-30,historical_method_development,-1,1785381336500000000,1785381337400000000,900,follow,200,,11.5
rev_000122,2026-07-30_f91aa7f4acf1,2026-07-30,historical_method_development,1,1785381513500000000,1785381514400000000,900,follow,300,,-3.5
rev_000123,2026-07-30_f91aa7f4acf1,2026-07-30,historical_method_development,-1,1785381644100000000,1785381646000000000,1900,follow,100,,42.0
rev_000124,2026-07-30_f91aa7f4acf1,2026-07-30,historical_method_development,1,1785381707100000000,1785381708400000000,1300,follow,100,,50.5
rev_000126,2026-07-30_f91aa7f4acf1,2026-07-30,historical_method_development,1,1785381848900000000,1785381850000000000,1100,fail,200,,10.0
rev_000127,2026-07-30_f91aa7f4acf1,2026-07-30,historical_method_development,-1,1785381859100000000,1785381861200000000,2100,fail,200,,13.5
rev_000128,2026-07-30_47309d2a7046,2026-07-30,historical_method_development,-1,1785382180200000000,1785382181100000000,900,follow,400,,17.0
rev_000129,2026-07-30_47309d2a7046,2026-07-30,historical_method_development,1,1785382719900000000,1785382721800000000,1900,follow,100,,42.5
rev_000130,2026-07-30_47309d2a7046,2026-07-30,historical_method_development,-1,1785382740200000000,1785382741100000000,900,follow,200,,42.0
rev_000131,2026-07-30_47309d2a7046,2026-07-30,historical_method_development,1,1785382745000000000,1785382746600000000,1600,follow,300,,11.0
rev_000132,2026-07-30_47309d2a7046,2026-07-30,historical_method_development,-1,1785382785100000000,1785382786300000000,1200,follow,100,,28.5
rev_000133,2026-07-30_47309d2a7046,2026-07-30,historical_method_development,1,1785382834500000000,1785382836600000000,2100,fail,200,,-102.0
rev_000134,2026-07-30_47309d2a7046,2026-07-30,historical_method_development,-1,1785382915400000000,1785382917300000000,1900,follow,100,,59.0
rev_000135,2026-07-30_47309d2a7046,2026-07-30,historical_method_development,1,1785383021000000000,1785383022600000000,1600,follow,200,,17.0
rev_000136,2026-07-30_47309d2a7046,2026-07-30,historical_method_development,-1,1785383059800000000,1785383060700000000,900,fail,100,,-15.0
rev_000137,2026-07-30_47309d2a7046,2026-07-30,historical_method_development,1,1785383176500000000,1785383177700000000,1200,fail,200,,20.5
rev_000138,2026-07-30_47309d2a7046,2026-07-30,historical_method_development,-1,1785383360300000000,1785383361700000000,1400,fail,100,,10.5
rev_000139,2026-07-30_47309d2a7046,2026-07-30,historical_method_development,1,1785383367000000000,1785383369100000000,2100,follow,100,,37.5
rev_000140,2026-07-30_47309d2a7046,2026-07-30,historical_method_development,-1,1785383447300000000,1785383448800000000,1500,fail,100,,11.5
rev_000141,2026-07-30_47309d2a7046,2026-07-30,historical_method_development,1,1785383544400000000,1785383547100000000,2700,fail,100,,29.5
rev_000142,2026-07-30_47309d2a7046,2026-07-30,historical_method_development,-1,1785383584600000000,1785383588000000000,3400,follow,200,,70.0
rev_000144,2026-07-30_47309d2a7046,2026-07-30,historical_method_development,-1,1785383620300000000,1785383621200000000,900,follow,100,,69.0
rev_000145,2026-07-30_47309d2a7046,2026-07-30,historical_method_development,1,1785383660900000000,1785383661800000000,900,follow,100,,8.0
rev_000146,2026-07-30_47309d2a7046,2026-07-30,historical_method_development,-1,1785383676100000000,1785383677000000000,900,follow,100,,42.5
rev_000147,2026-08-03_f1ce2c62420e,2026-08-03,historical_method_development,1,1785713600800000000,1785713603900000000,3100,follow,1500,,3.5
rev_000148,2026-08-03_f1ce2c62420e,2026-08-03,historical_method_development,-1,1785713607600000000,1785713609000000000,1400,fail,300,,-27.5
rev_000149,2026-08-03_f1ce2c62420e,2026-08-03,historical_method_development,1,1785713618700000000,1785713620200000000,1500,none,,,0.0
rev_000150,2026-08-03_f1ce2c62420e,2026-08-03,historical_method_development,-1,1785713625900000000,1785713626800000000,900,follow,400,,9.0
rev_000151,2026-08-03_f1ce2c62420e,2026-08-03,historical_method_development,1,1785713626900000000,1785713631900000000,5000,follow,1000,,7.0
rev_000152,2026-08-03_f1ce2c62420e,2026-08-03,historical_method_development,-1,1785713650400000000,1785713654500000000,4100,fail,100,,-16.5
rev_000153,2026-08-03_f1ce2c62420e,2026-08-03,historical_method_development,1,1785713667900000000,1785713672400000000,4500,fail,300,,34.5
rev_000154,2026-08-03_f1ce2c62420e,2026-08-03,historical_method_development,-1,1785713714800000000,1785713715700000000,900,fail,100,,-4.0
rev_000155,2026-08-03_f1ce2c62420e,2026-08-03,historical_method_development,1,1785713732400000000,1785713734000000000,1600,follow,100,,-10.5
rev_000156,2026-08-03_f1ce2c62420e,2026-08-03,historical_method_development,-1,1785713741400000000,1785713743700000000,2300,follow,100,,6.5
rev_000157,2026-08-03_f1ce2c62420e,2026-08-03,historical_method_development,1,1785713754300000000,1785713755700000000,1400,fail,100,,-8.5
rev_000158,2026-08-03_f1ce2c62420e,2026-08-03,historical_method_development,-1,1785713764300000000,1785713765500000000,1200,fail,300,,-17.5
rev_000159,2026-08-03_f1ce2c62420e,2026-08-03,historical_method_development,1,1785713785100000000,1785713789000000000,3900,fail,300,,9.0
rev_000160,2026-08-03_f1ce2c62420e,2026-08-03,historical_method_development,-1,1785713790000000000,1785713790900000000,900,none,,,-0.0
rev_000161,2026-08-03_f1ce2c62420e,2026-08-03,historical_method_development,1,1785713794600000000,1785713799300000000,4700,follow,100,,45.0
rev_000162,2026-08-03_f1ce2c62420e,2026-08-03,historical_method_development,-1,1785713839100000000,1785713847000000000,7900,follow,400,,1.5
rev_000163,2026-08-03_f1ce2c62420e,2026-08-03,historical_method_development,1,1785713890100000000,1785713892200000000,2100,fail,100,,-2.5
rev_000164,2026-08-03_f1ce2c62420e,2026-08-03,historical_method_development,-1,1785713895300000000,1785713896200000000,900,fail,300,,-11.0
rev_000165,2026-08-03_f1ce2c62420e,2026-08-03,historical_method_development,-1,1785713977500000000,1785713985600000000,8100,fail,400,,21.0
rev_000166,2026-08-03_f1ce2c62420e,2026-08-03,historical_method_development,1,1785714003000000000,1785714006700000000,3700,follow,100,,107.0
rev_000167,2026-08-03_f1ce2c62420e,2026-08-03,historical_method_development,-1,1785714049800000000,1785714053900000000,4100,follow,200,,-26.5
rev_000168,2026-08-03_f1ce2c62420e,2026-08-03,historical_method_development,1,1785714100200000000,1785714103000000000,2800,fail,100,,18.0
rev_000169,2026-08-03_f1ce2c62420e,2026-08-03,historical_method_development,-1,1785714117100000000,1785714119000000000,1900,fail,300,,4.5
rev_000170,2026-08-03_f1ce2c62420e,2026-08-03,historical_method_development,1,1785714137300000000,1785714144000000000,6700,fail,1800,,98.0
rev_000171,2026-08-03_f1ce2c62420e,2026-08-03,historical_method_development,-1,1785714149800000000,1785714156000000000,6200,follow,100,,98.0
rev_000172,2026-08-03_f1ce2c62420e,2026-08-03,historical_method_development,1,1785714160200000000,1785714162600000000,2400,follow,200,,73.0
rev_000173,2026-08-03_f1ce2c62420e,2026-08-03,historical_method_development,-1,1785714185100000000,1785714186000000000,900,follow,100,,31.0
rev_000174,2026-08-03_f1ce2c62420e,2026-08-03,historical_method_development,-1,1785714214700000000,1785714219100000000,4400,fail,300,,-65.0
rev_000175,2026-08-03_f1ce2c62420e,2026-08-03,historical_method_development,1,1785714523900000000,1785714529900000000,6000,fail,100,,97.5
rev_000176,2026-08-03_f1ce2c62420e,2026-08-03,historical_method_development,-1,1785714652100000000,1785714654600000000,2500,follow,800,,12.5
rev_000177,2026-08-03_f1ce2c62420e,2026-08-03,historical_method_development,1,1785714728600000000,1785714730100000000,1500,follow,200,,71.5
rev_000178,2026-08-03_f1ce2c62420e,2026-08-03,historical_method_development,-1,1785714753700000000,1785714754700000000,1000,none,,,-0.0
rev_000179,2026-08-03_f1ce2c62420e,2026-08-03,historical_method_development,1,1785714766800000000,1785714767700000000,900,none,,,0.0
rev_000180,2026-08-03_f1ce2c62420e,2026-08-03,historical_method_development,-1,1785714768300000000,1785714769300000000,1000,follow,100,,29.5
rev_000181,2026-08-03_f1ce2c62420e,2026-08-03,historical_method_development,1,1785714809800000000,1785714813400000000,3600,fail,400,,18.0
rev_000182,2026-08-03_f1ce2c62420e,2026-08-03,historical_method_development,-1,1785714824500000000,1785714825600000000,1100,fail,100,,-39.0
rev_000183,2026-08-03_f1ce2c62420e,2026-08-03,historical_method_development,1,1785714844400000000,1785714845400000000,1000,follow,700,,33.0
rev_000184,2026-08-03_f1ce2c62420e,2026-08-03,historical_method_development,-1,1785714875300000000,1785714880800000000,5500,follow,300,,88.0
rev_000185,2026-08-03_f1ce2c62420e,2026-08-03,historical_method_development,1,1785714881000000000,1785714881900000000,900,none,,,0.0
rev_000186,2026-08-03_f1ce2c62420e,2026-08-03,historical_method_development,-1,1785715044600000000,1785715045700000000,1100,none,,,-0.0
rev_000187,2026-08-03_f1ce2c62420e,2026-08-03,historical_method_development,1,1785715051900000000,1785715054100000000,2200,fail,500,,-29.5
rev_000188,2026-08-03_f1ce2c62420e,2026-08-03,historical_method_development,-1,1785715059600000000,1785715061100000000,1500,follow,100,,25.0
rev_000189,2026-08-03_f1ce2c62420e,2026-08-03,historical_method_development,1,1785715081400000000,1785715083900000000,2500,follow,200,,15.0
rev_000190,2026-08-03_f1ce2c62420e,2026-08-03,historical_method_development,-1,1785715091500000000,1785715092400000000,900,fail,100,,-3.5
rev_000191,2026-08-03_f1ce2c62420e,2026-08-03,historical_method_development,1,1785715099800000000,1785715106700000000,6900,follow,300,,64.0
rev_000192,2026-08-03_f1ce2c62420e,2026-08-03,historical_method_development,-1,1785715144500000000,1785715145900000000,1400,follow,100,,40.5
rev_000193,2026-08-03_f1ce2c62420e,2026-08-03,historical_method_development,1,1785715149200000000,1785715153200000000,4000,follow,200,,-7.0
rev_000194,2026-08-03_f1ce2c62420e,2026-08-03,historical_method_development,-1,1785715172600000000,1785715173500000000,900,follow,600,,6.5
rev_000195,2026-08-03_f1ce2c62420e,2026-08-03,historical_method_development,1,1785715178900000000,1785715179800000000,900,follow,400,,12.0
rev_000196,2026-08-03_d0a70a33d273,2026-08-03,historical_method_development,1,1785715602800000000,1785715605600000000,2800,fail,100,,-81.0
rev_000197,2026-08-03_d0a70a33d273,2026-08-03,historical_method_development,-1,1785715670700000000,1785715672700000000,2000,fail,100,,75.5
rev_000198,2026-08-03_d0a70a33d273,2026-08-03,historical_method_development,1,1785716269400000000,1785716270700000000,1300,follow,100,,62.0
rev_000199,2026-08-03_d0a70a33d273,2026-08-03,historical_method_development,-1,1785716316300000000,1785716317400000000,1100,follow,100,,32.5
rev_000200,2026-08-03_d0a70a33d273,2026-08-03,historical_method_development,1,1785716364000000000,1785716370800000000,6800,follow,600,,44.0
rev_000201,2026-08-03_d0a70a33d273,2026-08-03,historical_method_development,-1,1785716520000000000,1785716521700000000,1700,fail,100,,-35.0
rev_000202,2026-08-03_d0a70a33d273,2026-08-03,historical_method_development,1,1785716690600000000,1785716691500000000,900,follow,300,,4.5
rev_000203,2026-08-03_d0a70a33d273,2026-08-03,historical_method_development,-1,1785716692600000000,1785716694100000000,1500,follow,300,,18.5
rev_000204,2026-08-03_d0a70a33d273,2026-08-03,historical_method_development,1,1785716719500000000,1785716723000000000,3500,follow,100,,31.5
rev_000205,2026-08-03_d0a70a33d273,2026-08-03,historical_method_development,-1,1785716781400000000,1785716783100000000,1700,follow,100,,-1.5
rev_000206,2026-08-03_2994fc7a75af,2026-08-03,historical_method_development,-1,1785721000900000000,1785721003100000000,2200,fail,100,,40.0
rev_000207,2026-08-03_2994fc7a75af,2026-08-03,historical_method_development,1,1785721077200000000,1785721078400000000,1200,follow,300,,36.5
rev_000208,2026-08-03_2994fc7a75af,2026-08-03,historical_method_development,-1,1785721128200000000,1785721131300000000,3100,fail,100,,44.0
rev_000209,2026-08-03_2994fc7a75af,2026-08-03,historical_method_development,1,1785721148100000000,1785721151300000000,3200,fail,200,,65.0
rev_000210,2026-08-03_2994fc7a75af,2026-08-03,historical_method_development,-1,1785721236400000000,1785721239000000000,2600,follow,200,,38.0
rev_000211,2026-08-03_2994fc7a75af,2026-08-03,historical_method_development,1,1785721248300000000,1785721253900000000,5600,follow,100,,73.0
rev_000212,2026-08-03_2994fc7a75af,2026-08-03,historical_method_development,-1,1785721308300000000,1785721309700000000,1400,follow,100,,-18.5
rev_000213,2026-08-03_2994fc7a75af,2026-08-03,historical_method_development,1,1785721401700000000,1785721402600000000,900,fail,100,,-11.0
rev_000214,2026-08-03_2994fc7a75af,2026-08-03,historical_method_development,-1,1785721404700000000,1785721405700000000,1000,follow,100,,22.0
