entry_id,entry_type,reversal_indicator_R,capture_id,research_date,role,side,decision_ts_ns,event_type,cause_code,event_time_ms,censor_reason,interval_ambiguous
rev_000015,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,1785314068000000000,fail,2,200,,false
rev_000016,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785314069800000000,fail,2,1000,,false
rev_000017,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,1785314073300000000,follow,1,200,,false
rev_000018,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785314089400000000,follow,1,200,,false
rev_000020,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785314094700000000,follow,1,200,,false
rev_000021,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,1785314116900000000,follow,1,800,,false
rev_000022,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785314130600000000,follow,1,200,,false
rev_000023,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,1785314135300000000,fail,2,100,,false
rev_000024,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785314156000000000,follow,1,200,,false
rev_000025,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,1785314171700000000,fail,2,100,,false
rev_000026,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785314179800000000,follow,1,300,,false
rev_000027,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,1785314199800000000,follow,1,500,,false
rev_000028,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785314223400000000,follow,1,600,,false
rev_000030,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785314328800000000,fail,2,300,,false
rev_000031,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,1785314369300000000,follow,1,100,,false
rev_000032,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785314392300000000,follow,1,100,,false
rev_000034,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785314404800000000,follow,1,100,,false
rev_000036,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785314483900000000,follow,1,100,,false
rev_000038,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785314515700000000,fail,2,1400,,false
rev_000039,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,1785314537800000000,fail,2,800,,false
rev_000040,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785314555900000000,fail,2,200,,false
rev_000041,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,1785314570100000000,fail,2,500,,false
rev_000042,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785314604900000000,follow,1,100,,false
rev_000043,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,1785314615300000000,follow,1,600,,false
rev_000044,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785314653600000000,follow,1,100,,false
rev_000045,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,1785314679200000000,follow,1,200,,false
rev_000046,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785314683400000000,fail,2,200,,false
rev_000048,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785314708100000000,follow,1,600,,false
rev_000049,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,1785314719000000000,fail,2,200,,false
rev_000050,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785314737100000000,follow,1,300,,false
rev_000051,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,1785314753100000000,follow,1,200,,false
rev_000052,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785314771400000000,follow,1,1000,,false
rev_000053,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,1785314806600000000,follow,1,400,,false
rev_000054,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785314808100000000,follow,1,100,,false
rev_000055,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,1785314812600000000,follow,1,200,,false
rev_000056,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785314816100000000,fail,2,700,,false
rev_000057,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,1785314849700000000,follow,1,400,,false
rev_000058,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785314854800000000,follow,1,200,,false
rev_000059,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,1785314869500000000,follow,1,300,,false
rev_000060,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785314905800000000,fail,2,500,,false
rev_000061,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,1785314933000000000,fail,2,200,,false
rev_000062,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785314934500000000,fail,2,200,,false
rev_000063,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,1785314947600000000,follow,1,100,,false
rev_000064,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785314958200000000,fail,2,400,,false
rev_000065,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,1785315000400000000,fail,2,100,,false
rev_000066,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785315013900000000,follow,1,500,,false
rev_000068,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785315024600000000,fail,2,500,,false
rev_000069,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,1785315031400000000,follow,1,100,,false
rev_000070,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785315052100000000,follow,1,200,,false
rev_000071,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,1785315069800000000,follow,1,100,,false
rev_000072,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785315077600000000,follow,1,1200,,false
rev_000074,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785315099500000000,follow,1,100,,false
rev_000075,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,1785315139100000000,follow,1,100,,false
rev_000076,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785315142900000000,fail,2,800,,false
rev_000077,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,1785315152700000000,fail,2,400,,false
rev_000078,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785315163000000000,follow,1,900,,false
rev_000080,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785315209800000000,fail,2,400,,false
rev_000082,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785315222700000000,fail,2,100,,false
rev_000083,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,1785315226200000000,fail,2,3300,,false
rev_000084,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785315286300000000,fail,2,300,,false
rev_000085,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,1785315342700000000,follow,1,500,,false
rev_000086,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785315363500000000,follow,1,300,,false
rev_000087,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,1785315388900000000,fail,2,300,,false
rev_000088,reversal,1,2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785315391100000000,follow,1,100,,false
rev_000089,reversal,1,2026-07-30_2cc63928e27f,2026-07-30,historical_method_development,-1,1785369357400000000,follow,1,400,,false
rev_000090,reversal,1,2026-07-30_2cc63928e27f,2026-07-30,historical_method_development,1,1785369451000000000,fail,2,200,,false
rev_000091,reversal,1,2026-07-30_2cc63928e27f,2026-07-30,historical_method_development,-1,1785369477600000000,fail,2,100,,false
rev_000092,reversal,1,2026-07-30_2cc63928e27f,2026-07-30,historical_method_development,1,1785369485300000000,follow,1,400,,false
rev_000093,reversal,1,2026-07-30_bd0fb3d8fa82,2026-07-30,historical_method_development,-1,1785371543800000000,fail,2,100,,false
rev_000094,reversal,1,2026-07-30_bd0fb3d8fa82,2026-07-30,historical_method_development,1,1785371678100000000,follow,1,100,,false
rev_000095,reversal,1,2026-07-30_bd0fb3d8fa82,2026-07-30,historical_method_development,-1,1785372622800000000,follow,1,100,,false
rev_000097,reversal,1,2026-07-30_bd0fb3d8fa82,2026-07-30,historical_method_development,-1,1785372884200000000,fail,2,100,,false
rev_000098,reversal,1,2026-07-30_d88a85361fb1,2026-07-30,historical_method_development,1,1785373089300000000,follow,1,100,,false
rev_000099,reversal,1,2026-07-30_d88a85361fb1,2026-07-30,historical_method_development,-1,1785373311600000000,follow,1,200,,false
rev_000101,reversal,1,2026-07-30_b19ed82d662d,2026-07-30,historical_method_development,-1,1785375674400000000,follow,1,100,,false
rev_000102,reversal,1,2026-07-30_b19ed82d662d,2026-07-30,historical_method_development,1,1785376108800000000,follow,1,100,,false
rev_000103,reversal,1,2026-07-30_b19ed82d662d,2026-07-30,historical_method_development,-1,1785376188200000000,fail,2,100,,false
rev_000104,reversal,1,2026-07-30_b19ed82d662d,2026-07-30,historical_method_development,1,1785376214800000000,follow,1,200,,false
rev_000105,reversal,1,2026-07-30_b19ed82d662d,2026-07-30,historical_method_development,-1,1785376298700000000,follow,1,100,,false
rev_000106,reversal,1,2026-07-30_c655ea10171f,2026-07-30,historical_method_development,1,1785378614400000000,fail,2,100,,false
rev_000107,reversal,1,2026-07-30_c655ea10171f,2026-07-30,historical_method_development,-1,1785378646400000000,fail,2,100,,false
rev_000108,reversal,1,2026-07-30_c655ea10171f,2026-07-30,historical_method_development,1,1785378880300000000,follow,1,100,,false
rev_000109,reversal,1,2026-07-30_c655ea10171f,2026-07-30,historical_method_development,-1,1785378933600000000,fail,2,300,,false
rev_000110,reversal,1,2026-07-30_c655ea10171f,2026-07-30,historical_method_development,1,1785379055400000000,follow,1,100,,false
rev_000111,reversal,1,2026-07-30_c655ea10171f,2026-07-30,historical_method_development,-1,1785379326200000000,follow,1,100,,false
rev_000112,reversal,1,2026-07-30_c655ea10171f,2026-07-30,historical_method_development,1,1785379446400000000,fail,2,100,,false
rev_000113,reversal,1,2026-07-30_c655ea10171f,2026-07-30,historical_method_development,-1,1785379552900000000,follow,1,100,,false
rev_000114,reversal,1,2026-07-30_c655ea10171f,2026-07-30,historical_method_development,1,1785379717600000000,follow,1,100,,false
rev_000115,reversal,1,2026-07-30_c655ea10171f,2026-07-30,historical_method_development,-1,1785379856500000000,fail,2,100,,false
rev_000116,reversal,1,2026-07-30_f91aa7f4acf1,2026-07-30,historical_method_development,1,1785380629300000000,fail,2,200,,false
rev_000117,reversal,1,2026-07-30_f91aa7f4acf1,2026-07-30,historical_method_development,-1,1785380785100000000,fail,2,200,,false
rev_000119,reversal,1,2026-07-30_f91aa7f4acf1,2026-07-30,historical_method_development,-1,1785381191500000000,fail,2,100,,false
rev_000120,reversal,1,2026-07-30_f91aa7f4acf1,2026-07-30,historical_method_development,1,1785381334200000000,follow,1,100,,false
rev_000121,reversal,1,2026-07-30_f91aa7f4acf1,2026-07-30,historical_method_development,-1,1785381337400000000,fail,2,100,,false
rev_000122,reversal,1,2026-07-30_f91aa7f4acf1,2026-07-30,historical_method_development,1,1785381514400000000,follow,1,200,,false
rev_000123,reversal,1,2026-07-30_f91aa7f4acf1,2026-07-30,historical_method_development,-1,1785381646000000000,follow,1,100,,false
rev_000124,reversal,1,2026-07-30_f91aa7f4acf1,2026-07-30,historical_method_development,1,1785381708400000000,follow,1,100,,false
rev_000126,reversal,1,2026-07-30_f91aa7f4acf1,2026-07-30,historical_method_development,1,1785381850000000000,follow,1,100,,false
rev_000127,reversal,1,2026-07-30_f91aa7f4acf1,2026-07-30,historical_method_development,-1,1785381861200000000,fail,2,300,,false
rev_000128,reversal,1,2026-07-30_47309d2a7046,2026-07-30,historical_method_development,-1,1785382181100000000,fail,2,100,,false
rev_000129,reversal,1,2026-07-30_47309d2a7046,2026-07-30,historical_method_development,1,1785382721800000000,follow,1,100,,false
rev_000130,reversal,1,2026-07-30_47309d2a7046,2026-07-30,historical_method_development,-1,1785382741100000000,fail,2,100,,false
rev_000131,reversal,1,2026-07-30_47309d2a7046,2026-07-30,historical_method_development,1,1785382746600000000,fail,2,200,,false
rev_000132,reversal,1,2026-07-30_47309d2a7046,2026-07-30,historical_method_development,-1,1785382786300000000,follow,1,100,,false
rev_000133,reversal,1,2026-07-30_47309d2a7046,2026-07-30,historical_method_development,1,1785382836600000000,follow,1,100,,false
rev_000134,reversal,1,2026-07-30_47309d2a7046,2026-07-30,historical_method_development,-1,1785382917300000000,fail,2,100,,false
rev_000135,reversal,1,2026-07-30_47309d2a7046,2026-07-30,historical_method_development,1,1785383022600000000,follow,1,600,,false
rev_000136,reversal,1,2026-07-30_47309d2a7046,2026-07-30,historical_method_development,-1,1785383060700000000,fail,2,100,,false
rev_000137,reversal,1,2026-07-30_47309d2a7046,2026-07-30,historical_method_development,1,1785383177700000000,follow,1,200,,false
rev_000138,reversal,1,2026-07-30_47309d2a7046,2026-07-30,historical_method_development,-1,1785383361700000000,fail,2,100,,false
rev_000139,reversal,1,2026-07-30_47309d2a7046,2026-07-30,historical_method_development,1,1785383369100000000,follow,1,200,,false
rev_000140,reversal,1,2026-07-30_47309d2a7046,2026-07-30,historical_method_development,-1,1785383448800000000,follow,1,100,,false
rev_000141,reversal,1,2026-07-30_47309d2a7046,2026-07-30,historical_method_development,1,1785383547100000000,follow,1,300,,false
rev_000142,reversal,1,2026-07-30_47309d2a7046,2026-07-30,historical_method_development,-1,1785383588000000000,follow,1,400,,false
rev_000144,reversal,1,2026-07-30_47309d2a7046,2026-07-30,historical_method_development,-1,1785383621200000000,fail,2,300,,false
rev_000145,reversal,1,2026-07-30_47309d2a7046,2026-07-30,historical_method_development,1,1785383661800000000,fail,2,100,,false
rev_000146,reversal,1,2026-07-30_47309d2a7046,2026-07-30,historical_method_development,-1,1785383677000000000,follow,1,100,,false
rev_000147,reversal,1,2026-08-03_f1ce2c62420e,2026-08-03,historical_method_development,1,1785713603900000000,follow,1,1100,,false
rev_000148,reversal,1,2026-08-03_f1ce2c62420e,2026-08-03,historical_method_development,-1,1785713609000000000,follow,1,1900,,false
rev_000149,reversal,1,2026-08-03_f1ce2c62420e,2026-08-03,historical_method_development,1,1785713620200000000,follow,1,300,,false
rev_000150,reversal,1,2026-08-03_f1ce2c62420e,2026-08-03,historical_method_development,-1,1785713626800000000,follow,1,100,,false
rev_000151,reversal,1,2026-08-03_f1ce2c62420e,2026-08-03,historical_method_development,1,1785713631900000000,follow,1,1500,,false
rev_000152,reversal,1,2026-08-03_f1ce2c62420e,2026-08-03,historical_method_development,-1,1785713654500000000,fail,2,500,,false
rev_000153,reversal,1,2026-08-03_f1ce2c62420e,2026-08-03,historical_method_development,1,1785713672400000000,follow,1,400,,false
rev_000154,reversal,1,2026-08-03_f1ce2c62420e,2026-08-03,historical_method_development,-1,1785713715700000000,follow,1,100,,false
rev_000155,reversal,1,2026-08-03_f1ce2c62420e,2026-08-03,historical_method_development,1,1785713734000000000,follow,1,200,,false
rev_000156,reversal,1,2026-08-03_f1ce2c62420e,2026-08-03,historical_method_development,-1,1785713743700000000,follow,1,600,,false
rev_000157,reversal,1,2026-08-03_f1ce2c62420e,2026-08-03,historical_method_development,1,1785713755700000000,follow,1,1900,,false
rev_000158,reversal,1,2026-08-03_f1ce2c62420e,2026-08-03,historical_method_development,-1,1785713765500000000,follow,1,500,,false
rev_000159,reversal,1,2026-08-03_f1ce2c62420e,2026-08-03,historical_method_development,1,1785713789000000000,follow,1,1000,,false
rev_000160,reversal,1,2026-08-03_f1ce2c62420e,2026-08-03,historical_method_development,-1,1785713790900000000,follow,1,1100,,false
rev_000161,reversal,1,2026-08-03_f1ce2c62420e,2026-08-03,historical_method_development,1,1785713799300000000,fail,2,1200,,false
rev_000162,reversal,1,2026-08-03_f1ce2c62420e,2026-08-03,historical_method_development,-1,1785713847000000000,fail,2,100,,false
rev_000163,reversal,1,2026-08-03_f1ce2c62420e,2026-08-03,historical_method_development,1,1785713892200000000,fail,2,200,,false
rev_000164,reversal,1,2026-08-03_f1ce2c62420e,2026-08-03,historical_method_development,-1,1785713896200000000,follow,1,200,,false
rev_000165,reversal,1,2026-08-03_f1ce2c62420e,2026-08-03,historical_method_development,-1,1785713985600000000,follow,1,100,,false
rev_000166,reversal,1,2026-08-03_f1ce2c62420e,2026-08-03,historical_method_development,1,1785714006700000000,follow,1,200,,false
rev_000167,reversal,1,2026-08-03_f1ce2c62420e,2026-08-03,historical_method_development,-1,1785714053900000000,follow,1,400,,false
rev_000168,reversal,1,2026-08-03_f1ce2c62420e,2026-08-03,historical_method_development,1,1785714103000000000,fail,2,700,,false
rev_000169,reversal,1,2026-08-03_f1ce2c62420e,2026-08-03,historical_method_development,-1,1785714119000000000,follow,1,200,,false
rev_000170,reversal,1,2026-08-03_f1ce2c62420e,2026-08-03,historical_method_development,1,1785714144000000000,follow,1,300,,false
rev_000171,reversal,1,2026-08-03_f1ce2c62420e,2026-08-03,historical_method_development,-1,1785714156000000000,fail,2,1500,,false
rev_000172,reversal,1,2026-08-03_f1ce2c62420e,2026-08-03,historical_method_development,1,1785714162600000000,fail,2,200,,false
rev_000173,reversal,1,2026-08-03_f1ce2c62420e,2026-08-03,historical_method_development,-1,1785714186000000000,follow,1,100,,false
rev_000174,reversal,1,2026-08-03_f1ce2c62420e,2026-08-03,historical_method_development,-1,1785714219100000000,fail,2,900,,false
rev_000175,reversal,1,2026-08-03_f1ce2c62420e,2026-08-03,historical_method_development,1,1785714529900000000,fail,2,800,,false
rev_000176,reversal,1,2026-08-03_f1ce2c62420e,2026-08-03,historical_method_development,-1,1785714654600000000,follow,1,100,,false
rev_000177,reversal,1,2026-08-03_f1ce2c62420e,2026-08-03,historical_method_development,1,1785714730100000000,follow,1,200,,false
rev_000178,reversal,1,2026-08-03_f1ce2c62420e,2026-08-03,historical_method_development,-1,1785714754700000000,follow,1,200,,false
rev_000179,reversal,1,2026-08-03_f1ce2c62420e,2026-08-03,historical_method_development,1,1785714767700000000,follow,1,500,,false
rev_000180,reversal,1,2026-08-03_f1ce2c62420e,2026-08-03,historical_method_development,-1,1785714769300000000,fail,2,900,,false
rev_000181,reversal,1,2026-08-03_f1ce2c62420e,2026-08-03,historical_method_development,1,1785714813400000000,follow,1,100,,false
rev_000182,reversal,1,2026-08-03_f1ce2c62420e,2026-08-03,historical_method_development,-1,1785714825600000000,fail,2,200,,false
rev_000183,reversal,1,2026-08-03_f1ce2c62420e,2026-08-03,historical_method_development,1,1785714845400000000,fail,2,800,,false
rev_000184,reversal,1,2026-08-03_f1ce2c62420e,2026-08-03,historical_method_development,-1,1785714880800000000,fail,2,200,,false
rev_000185,reversal,1,2026-08-03_f1ce2c62420e,2026-08-03,historical_method_development,1,1785714881900000000,fail,2,600,,false
rev_000186,reversal,1,2026-08-03_f1ce2c62420e,2026-08-03,historical_method_development,-1,1785715045700000000,follow,1,100,,false
rev_000187,reversal,1,2026-08-03_f1ce2c62420e,2026-08-03,historical_method_development,1,1785715054100000000,follow,1,300,,false
rev_000188,reversal,1,2026-08-03_f1ce2c62420e,2026-08-03,historical_method_development,-1,1785715061100000000,follow,1,500,,false
rev_000189,reversal,1,2026-08-03_f1ce2c62420e,2026-08-03,historical_method_development,1,1785715083900000000,follow,1,200,,false
rev_000190,reversal,1,2026-08-03_f1ce2c62420e,2026-08-03,historical_method_development,-1,1785715092400000000,fail,2,300,,false
rev_000191,reversal,1,2026-08-03_f1ce2c62420e,2026-08-03,historical_method_development,1,1785715106700000000,fail,2,1000,,false
rev_000192,reversal,1,2026-08-03_f1ce2c62420e,2026-08-03,historical_method_development,-1,1785715145900000000,fail,2,800,,false
rev_000193,reversal,1,2026-08-03_f1ce2c62420e,2026-08-03,historical_method_development,1,1785715153200000000,follow,1,100,,false
rev_000194,reversal,1,2026-08-03_f1ce2c62420e,2026-08-03,historical_method_development,-1,1785715173500000000,follow,1,600,,false
rev_000195,reversal,1,2026-08-03_f1ce2c62420e,2026-08-03,historical_method_development,1,1785715179800000000,fail,2,300,,false
rev_000196,reversal,1,2026-08-03_d0a70a33d273,2026-08-03,historical_method_development,1,1785715605600000000,follow,1,100,,false
rev_000197,reversal,1,2026-08-03_d0a70a33d273,2026-08-03,historical_method_development,-1,1785715672700000000,follow,1,100,,false
rev_000198,reversal,1,2026-08-03_d0a70a33d273,2026-08-03,historical_method_development,1,1785716270700000000,follow,1,100,,false
rev_000199,reversal,1,2026-08-03_d0a70a33d273,2026-08-03,historical_method_development,-1,1785716317400000000,follow,1,100,,false
rev_000200,reversal,1,2026-08-03_d0a70a33d273,2026-08-03,historical_method_development,1,1785716370800000000,fail,2,500,,false
rev_000201,reversal,1,2026-08-03_d0a70a33d273,2026-08-03,historical_method_development,-1,1785716521700000000,fail,2,200,,false
rev_000202,reversal,1,2026-08-03_d0a70a33d273,2026-08-03,historical_method_development,1,1785716691500000000,follow,1,400,,false
rev_000203,reversal,1,2026-08-03_d0a70a33d273,2026-08-03,historical_method_development,-1,1785716694100000000,follow,1,200,,false
rev_000204,reversal,1,2026-08-03_d0a70a33d273,2026-08-03,historical_method_development,1,1785716723000000000,follow,1,200,,false
rev_000205,reversal,1,2026-08-03_d0a70a33d273,2026-08-03,historical_method_development,-1,1785716783100000000,fail,2,200,,false
rev_000206,reversal,1,2026-08-03_2994fc7a75af,2026-08-03,historical_method_development,-1,1785721003100000000,follow,1,400,,false
rev_000207,reversal,1,2026-08-03_2994fc7a75af,2026-08-03,historical_method_development,1,1785721078400000000,follow,1,100,,false
rev_000208,reversal,1,2026-08-03_2994fc7a75af,2026-08-03,historical_method_development,-1,1785721131300000000,follow,1,100,,false
rev_000209,reversal,1,2026-08-03_2994fc7a75af,2026-08-03,historical_method_development,1,1785721151300000000,follow,1,100,,false
rev_000210,reversal,1,2026-08-03_2994fc7a75af,2026-08-03,historical_method_development,-1,1785721239000000000,follow,1,200,,false
rev_000211,reversal,1,2026-08-03_2994fc7a75af,2026-08-03,historical_method_development,1,1785721253900000000,fail,2,200,,false
rev_000212,reversal,1,2026-08-03_2994fc7a75af,2026-08-03,historical_method_development,-1,1785721309700000000,follow,1,100,,false
rev_000213,reversal,1,2026-08-03_2994fc7a75af,2026-08-03,historical_method_development,1,1785721402600000000,fail,2,300,,false
rev_000214,reversal,1,2026-08-03_2994fc7a75af,2026-08-03,historical_method_development,-1,1785721405700000000,follow,1,100,,false
rev_000215,reversal,1,2026-08-03_2994fc7a75af,2026-08-03,historical_method_development,1,1785721409600000000,follow,1,100,,false
rev_000216,reversal,1,2026-08-03_2994fc7a75af,2026-08-03,historical_method_development,-1,1785721445700000000,fail,2,200,,false
rev_000217,reversal,1,2026-08-03_2994fc7a75af,2026-08-03,historical_method_development,1,1785721448600000000,fail,2,300,,false
rev_000218,reversal,1,2026-08-03_2994fc7a75af,2026-08-03,historical_method_development,-1,1785721476800000000,follow,1,300,,false
rev_000219,reversal,1,2026-08-03_2994fc7a75af,2026-08-03,historical_method_development,1,1785721487700000000,follow,1,400,,false
rev_000220,reversal,1,2026-08-03_2994fc7a75af,2026-08-03,historical_method_development,-1,1785721492500000000,fail,2,1000,,false
rev_000221,reversal,1,2026-08-03_2994fc7a75af,2026-08-03,historical_method_development,1,1785721648600000000,follow,1,100,,false
rev_000222,reversal,1,2026-08-03_2994fc7a75af,2026-08-03,historical_method_development,-1,1785721724300000000,follow,1,400,,false
rev_000223,reversal,1,2026-08-03_2994fc7a75af,2026-08-03,historical_method_development,1,1785721743700000000,fail,2,100,,false
rev_000224,reversal,1,2026-08-03_2994fc7a75af,2026-08-03,historical_method_development,-1,1785721749300000000,fail,2,200,,false
rev_000225,reversal,1,2026-08-03_2994fc7a75af,2026-08-03,historical_method_development,1,1785721811700000000,fail,2,300,,false
rev_000226,reversal,1,2026-08-03_2994fc7a75af,2026-08-03,historical_method_development,-1,1785721842600000000,fail,2,100,,false
rev_000227,reversal,1,2026-08-03_2994fc7a75af,2026-08-03,historical_method_development,1,1785721883600000000,follow,1,200,,false
rev_000228,reversal,1,2026-08-03_2994fc7a75af,2026-08-03,historical_method_development,-1,1785721993600000000,follow,1,400,,false
rev_000229,reversal,1,2026-08-03_2994fc7a75af,2026-08-03,historical_method_development,1,1785722063600000000,follow,1,700,,false
rev_000230,reversal,1,2026-08-03_2994fc7a75af,2026-08-03,historical_method_development,-1,1785722076300000000,follow,1,200,,false
