sample_id,source_row_index,binance_mid_px,hyperliquid_mid_px,context_basis_mid_ticks,source_basis_mid_ticks,recomputed_basis_mid_ticks,formula_abs_error,source_context_abs_error,lineage_status,basis_contract_caveat
cross_exchange_public_sample_xemm_0603_quiet_b_event,37,66846.75,66841,57.5,57.5,57.5,0,0,lineage_confirmed_decision_time_formula,diagnostic_only_binance_usdm_futures_BTCUSDT_vs_hyperliquid_BTC_contract_basis
cross_exchange_public_sample_xemm_0603_quiet_b_event,318,66917.15,66915,21.5,21.5,21.5,0,0,lineage_confirmed_decision_time_formula,diagnostic_only_binance_usdm_futures_BTCUSDT_vs_hyperliquid_BTC_contract_basis
cross_exchange_public_sample_xemm_0603_quiet_b_event,446,66923.25,66921,22.5,22.5,22.5,0,0,lineage_confirmed_decision_time_formula,diagnostic_only_binance_usdm_futures_BTCUSDT_vs_hyperliquid_BTC_contract_basis
cross_exchange_public_sample_xemm_0603_quiet_b_event,501,66959.85,66959,8.5,8.5,8.5,0,0,lineage_confirmed_decision_time_formula,diagnostic_only_binance_usdm_futures_BTCUSDT_vs_hyperliquid_BTC_contract_basis
cross_exchange_public_sample_xemm_0603_quiet_b_event,520,66938.05,66933,50.5,50.5,50.5,0,0,lineage_confirmed_decision_time_formula,diagnostic_only_binance_usdm_futures_BTCUSDT_vs_hyperliquid_BTC_contract_basis
cross_exchange_public_sample_xemm_0603_quiet_b_event,521,66940.35,66934,63.5,63.5,63.5,0,0,lineage_confirmed_decision_time_formula,diagnostic_only_binance_usdm_futures_BTCUSDT_vs_hyperliquid_BTC_contract_basis
cross_exchange_public_sample_xemm_0603_quiet_b_event,599,66889.75,66886,37.5,37.5,37.5,0,0,lineage_confirmed_decision_time_formula,diagnostic_only_binance_usdm_futures_BTCUSDT_vs_hyperliquid_BTC_contract_basis
cross_exchange_public_sample_xemm_0603_quiet_b_event,1082,66901.75,66900,17.5,17.5,17.5,0,0,lineage_confirmed_decision_time_formula,diagnostic_only_binance_usdm_futures_BTCUSDT_vs_hyperliquid_BTC_contract_basis
cross_exchange_public_sample_xemm_0603_quiet_b_event,1262,66785.35,66773,123.5,123.5,123.5,0,0,lineage_confirmed_decision_time_formula,diagnostic_only_binance_usdm_futures_BTCUSDT_vs_hyperliquid_BTC_contract_basis
cross_exchange_public_sample_xemm_0603_quiet_b_event,1323,66791.05,66773,180.5,180.5,180.5,0,0,lineage_confirmed_decision_time_formula,diagnostic_only_binance_usdm_futures_BTCUSDT_vs_hyperliquid_BTC_contract_basis
cross_exchange_public_sample_xemm_0603_quiet_b_event,1326,66810.75,66802,87.5,87.5,87.5,0,0,lineage_confirmed_decision_time_formula,diagnostic_only_binance_usdm_futures_BTCUSDT_vs_hyperliquid_BTC_contract_basis
cross_exchange_public_sample_xemm_0603_quiet_b_event,1735,66773.25,66767,62.5,62.5,62.5,0,0,lineage_confirmed_decision_time_formula,diagnostic_only_binance_usdm_futures_BTCUSDT_vs_hyperliquid_BTC_contract_basis
cross_exchange_public_sample_xemm_0603_quiet_b_event,2527,66777.35,66771,63.5,63.5,63.5,0,0,lineage_confirmed_decision_time_formula,diagnostic_only_binance_usdm_futures_BTCUSDT_vs_hyperliquid_BTC_contract_basis
cross_exchange_public_sample_xemm_0603_quiet_b_event,2635,66835.95,66811,249.5,249.5,249.5,0,0,lineage_confirmed_decision_time_formula,diagnostic_only_binance_usdm_futures_BTCUSDT_vs_hyperliquid_BTC_contract_basis
cross_exchange_public_sample_xemm_0603_quiet_b_event,2990,66836.55,66835,15.5,15.5,15.5,0,0,lineage_confirmed_decision_time_formula,diagnostic_only_binance_usdm_futures_BTCUSDT_vs_hyperliquid_BTC_contract_basis
cross_exchange_public_sample_xemm_0603_quiet_b_event,3038,66842.05,66838,40.5,40.5,40.5,0,0,lineage_confirmed_decision_time_formula,diagnostic_only_binance_usdm_futures_BTCUSDT_vs_hyperliquid_BTC_contract_basis
cross_exchange_public_sample_xemm_0603_quiet_b_event,3131,66772.75,66771,17.5,17.5,17.5,0,0,lineage_confirmed_decision_time_formula,diagnostic_only_binance_usdm_futures_BTCUSDT_vs_hyperliquid_BTC_contract_basis
cross_exchange_public_sample_xemm_0603_quiet_b_event,3236,66737.85,66735,28.5,28.5,28.5,0,0,lineage_confirmed_decision_time_formula,diagnostic_only_binance_usdm_futures_BTCUSDT_vs_hyperliquid_BTC_contract_basis
cross_exchange_public_sample_xemm_0603_quiet_b_event,3308,66695.85,66692,38.5,38.5,38.5,0,0,lineage_confirmed_decision_time_formula,diagnostic_only_binance_usdm_futures_BTCUSDT_vs_hyperliquid_BTC_contract_basis
cross_exchange_public_sample_xemm_0603_quiet_c_event,705,66149.15,66149,1.5,1.5,1.5,0,0,lineage_confirmed_decision_time_formula,diagnostic_only_binance_usdm_futures_BTCUSDT_vs_hyperliquid_BTC_contract_basis
cross_exchange_public_sample_xemm_0603_quiet_c_event,775,66105.15,66104,11.5,11.5,11.5,0,0,lineage_confirmed_decision_time_formula,diagnostic_only_binance_usdm_futures_BTCUSDT_vs_hyperliquid_BTC_contract_basis
cross_exchange_public_sample_xemm_0603_quiet_c_event,788,66134.25,66132,22.5,22.5,22.5,0,0,lineage_confirmed_decision_time_formula,diagnostic_only_binance_usdm_futures_BTCUSDT_vs_hyperliquid_BTC_contract_basis
cross_exchange_public_sample_xemm_0603_quiet_c_event,1044,66117.85,66109,88.5,88.5,88.5,0,0,lineage_confirmed_decision_time_formula,diagnostic_only_binance_usdm_futures_BTCUSDT_vs_hyperliquid_BTC_contract_basis
cross_exchange_public_sample_xemm_0603_quiet_c_event,1177,65979.55,65973,65.5,65.5,65.5,0,0,lineage_confirmed_decision_time_formula,diagnostic_only_binance_usdm_futures_BTCUSDT_vs_hyperliquid_BTC_contract_basis
cross_exchange_public_sample_xemm_0603_quiet_c_event,1260,65926.65,65916,106.5,106.5,106.5,0,0,lineage_confirmed_decision_time_formula,diagnostic_only_binance_usdm_futures_BTCUSDT_vs_hyperliquid_BTC_contract_basis
cross_exchange_public_sample_xemm_0603_quiet_c_event,1478,66129.85,66111,188.5,188.5,188.5,0,0,lineage_confirmed_decision_time_formula,diagnostic_only_binance_usdm_futures_BTCUSDT_vs_hyperliquid_BTC_contract_basis
cross_exchange_public_sample_xemm_0603_quiet_c_event,1560,66098.35,66095,33.5,33.5,33.5,0,0,lineage_confirmed_decision_time_formula,diagnostic_only_binance_usdm_futures_BTCUSDT_vs_hyperliquid_BTC_contract_basis
cross_exchange_public_sample_xemm_0603_quiet_c_event,1603,66226.45,66184,424.5,424.5,424.5,0,0,lineage_confirmed_decision_time_formula,diagnostic_only_binance_usdm_futures_BTCUSDT_vs_hyperliquid_BTC_contract_basis
cross_exchange_public_sample_xemm_0603_quiet_c_event,1631,66270.05,66270,0.5,0.5,0.5,0,0,lineage_confirmed_decision_time_formula,diagnostic_only_binance_usdm_futures_BTCUSDT_vs_hyperliquid_BTC_contract_basis
cross_exchange_public_sample_xemm_0603_quiet_c_event,1665,66266.85,66264,28.5,28.5,28.5,0,0,lineage_confirmed_decision_time_formula,diagnostic_only_binance_usdm_futures_BTCUSDT_vs_hyperliquid_BTC_contract_basis
cross_exchange_public_sample_xemm_0603_quiet_c_event,1668,66276.75,66274,27.5,27.5,27.5,0,0,lineage_confirmed_decision_time_formula,diagnostic_only_binance_usdm_futures_BTCUSDT_vs_hyperliquid_BTC_contract_basis
cross_exchange_public_sample_xemm_0603_quiet_c_event,1702,66229.15,66228,11.5,11.5,11.5,0,0,lineage_confirmed_decision_time_formula,diagnostic_only_binance_usdm_futures_BTCUSDT_vs_hyperliquid_BTC_contract_basis
cross_exchange_public_sample_xemm_0603_quiet_c_event,2563,66057.35,66057,3.5,3.5,3.5,0,0,lineage_confirmed_decision_time_formula,diagnostic_only_binance_usdm_futures_BTCUSDT_vs_hyperliquid_BTC_contract_basis
cross_exchange_public_sample_xemm_0603_quiet_c_event,2807,66171.55,66167,45.5,45.5,45.5,0,0,lineage_confirmed_decision_time_formula,diagnostic_only_binance_usdm_futures_BTCUSDT_vs_hyperliquid_BTC_contract_basis
cross_exchange_public_sample_xemm_0603_quiet_c_event,3068,65984.75,65984,7.5,7.5,7.5,0,0,lineage_confirmed_decision_time_formula,diagnostic_only_binance_usdm_futures_BTCUSDT_vs_hyperliquid_BTC_contract_basis
