row_id,sample_id,observed_regime,decision_id,action,block_reason,candidate_id,forecast_model_type,forecast_model_contract_hash,forecast_model_output_ticks,signal_score_units,signal_score,side,forecast_mid_px,fair_mid_px,reservation_px,quote_bid_px,quote_ask_px,post_only_invariant,future_mid_move_ticks,signed_markout_ticks,adjusted_counterfactual_edge_ticks,source_age_bucket,basis_bucket,order_endpoint_called,private_endpoint_called,credential_read
24,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:24,would_submit,,binance_lead_plus_basis_regression,standardized_linear_regression_v1,675c86d43625713bec580e777d2c1e83471b26d958660af26e9689b709baacef,28.80865654,forecast_move_ticks,28.80865654,buy,60063.38086565,60063.38086565,60063.38086565,60060,60064,True,60,60,58.5,binance_source_age_high,basis_high,False,False,False
25,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:25,would_submit,,binance_lead_plus_basis_regression,standardized_linear_regression_v1,675c86d43625713bec580e777d2c1e83471b26d958660af26e9689b709baacef,28.74561197,forecast_move_ticks,28.74561197,buy,60063.3745612,60063.3745612,60063.3745612,60060,60064,True,60,60,58.5,binance_source_age_mid,basis_high,False,False,False
26,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:26,would_submit,,binance_lead_plus_basis_regression,standardized_linear_regression_v1,675c86d43625713bec580e777d2c1e83471b26d958660af26e9689b709baacef,15.79073669,forecast_move_ticks,15.79073669,buy,60068.07907367,60068.07907367,60068.07907367,60066,60069,True,0,0,-1.5,binance_source_age_low,basis_high,False,False,False
27,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:27,would_submit,,binance_lead_plus_basis_regression,standardized_linear_regression_v1,675c86d43625713bec580e777d2c1e83471b26d958660af26e9689b709baacef,21.37012266,forecast_move_ticks,21.37012266,buy,60068.63701227,60068.63701227,60068.63701227,60066,60069,True,0,0,-1.5,binance_source_age_low,basis_high,False,False,False
28,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:28,would_submit,,binance_lead_plus_basis_regression,standardized_linear_regression_v1,675c86d43625713bec580e777d2c1e83471b26d958660af26e9689b709baacef,21.66239495,forecast_move_ticks,21.66239495,buy,60068.6662395,60068.6662395,60068.6662395,60066,60069,True,0,0,-1.5,binance_source_age_high,basis_high,False,False,False
29,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:29,would_submit,,binance_lead_plus_basis_regression,standardized_linear_regression_v1,675c86d43625713bec580e777d2c1e83471b26d958660af26e9689b709baacef,21.67572309,forecast_move_ticks,21.67572309,buy,60068.66757231,60068.66757231,60068.66757231,60066,60069,True,0,0,-1.5,binance_source_age_mid,basis_high,False,False,False
30,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:30,would_submit,,binance_lead_plus_basis_regression,standardized_linear_regression_v1,675c86d43625713bec580e777d2c1e83471b26d958660af26e9689b709baacef,2.13942377,forecast_move_ticks,2.13942377,buy,60066.71394238,60066.71394238,60066.71394238,60066,60067,True,-5,-5,-6.5,binance_source_age_mid,basis_mid,False,False,False
31,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:31,would_submit,,binance_lead_plus_basis_regression,standardized_linear_regression_v1,675c86d43625713bec580e777d2c1e83471b26d958660af26e9689b709baacef,1.3378793,forecast_move_ticks,1.3378793,buy,60066.63378793,60066.63378793,60066.63378793,60066,60067,True,-30,-30,-31.5,binance_source_age_mid,basis_mid,False,False,False
32,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:32,would_submit,,binance_lead_plus_basis_regression,standardized_linear_regression_v1,675c86d43625713bec580e777d2c1e83471b26d958660af26e9689b709baacef,3.08515417,forecast_move_ticks,3.08515417,buy,60066.30851542,60066.30851542,60066.30851542,60066,60067,True,-45,-45,-46.5,binance_source_age_mid,basis_mid,False,False,False
33,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:33,would_submit,,binance_lead_plus_basis_regression,standardized_linear_regression_v1,675c86d43625713bec580e777d2c1e83471b26d958660af26e9689b709baacef,8.72565064,forecast_move_ticks,8.72565064,buy,60064.37256506,60064.37256506,60064.37256506,60064,60065,True,-20,-20,-21.5,binance_source_age_low,basis_high,False,False,False
34,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:34,would_submit,,binance_lead_plus_basis_regression,standardized_linear_regression_v1,675c86d43625713bec580e777d2c1e83471b26d958660af26e9689b709baacef,13.03659714,forecast_move_ticks,13.03659714,buy,60062.80365971,60062.80365971,60062.80365971,60061,60063,True,0,0,-1.5,binance_source_age_mid,basis_high,False,False,False
35,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:35,would_submit,,binance_lead_plus_basis_regression,standardized_linear_regression_v1,675c86d43625713bec580e777d2c1e83471b26d958660af26e9689b709baacef,13.07950824,forecast_move_ticks,13.07950824,buy,60062.80795082,60062.80795082,60062.80795082,60061,60063,True,0,0,-1.5,binance_source_age_high,basis_high,False,False,False
36,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:36,would_submit,,binance_lead_plus_basis_regression,standardized_linear_regression_v1,675c86d43625713bec580e777d2c1e83471b26d958660af26e9689b709baacef,13.31158135,forecast_move_ticks,13.31158135,buy,60062.83115813,60062.83115813,60062.83115813,60061,60063,True,0,0,-1.5,binance_source_age_mid,basis_high,False,False,False
37,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:37,would_submit,,binance_lead_plus_basis_regression,standardized_linear_regression_v1,675c86d43625713bec580e777d2c1e83471b26d958660af26e9689b709baacef,31.70162751,forecast_move_ticks,31.70162751,buy,60064.67016275,60064.67016275,60064.67016275,60061,60065,True,10,10,8.5,binance_source_age_mid,basis_high,False,False,False
38,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:38,would_submit,,binance_lead_plus_basis_regression,standardized_linear_regression_v1,675c86d43625713bec580e777d2c1e83471b26d958660af26e9689b709baacef,32.22819164,forecast_move_ticks,32.22819164,buy,60064.72281916,60064.72281916,60064.72281916,60061,60065,True,10,10,8.5,binance_source_age_mid,basis_high,False,False,False
39,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:39,would_submit,,binance_lead_plus_basis_regression,standardized_linear_regression_v1,675c86d43625713bec580e777d2c1e83471b26d958660af26e9689b709baacef,29.93046784,forecast_move_ticks,29.93046784,buy,60065.49304678,60065.49304678,60065.49304678,60062,60066,True,0,0,-1.5,binance_source_age_mid,basis_high,False,False,False
40,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:40,would_submit,,binance_lead_plus_basis_regression,standardized_linear_regression_v1,675c86d43625713bec580e777d2c1e83471b26d958660af26e9689b709baacef,31.65340953,forecast_move_ticks,31.65340953,buy,60065.66534095,60065.66534095,60065.66534095,60062,60066,True,0,0,-1.5,binance_source_age_low,basis_high,False,False,False
41,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:41,would_submit,,binance_lead_plus_basis_regression,standardized_linear_regression_v1,675c86d43625713bec580e777d2c1e83471b26d958660af26e9689b709baacef,31.8481725,forecast_move_ticks,31.8481725,buy,60065.68481725,60065.68481725,60065.68481725,60062,60066,True,50,50,48.5,binance_source_age_high,basis_high,False,False,False
42,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:42,would_submit,,binance_lead_plus_basis_regression,standardized_linear_regression_v1,675c86d43625713bec580e777d2c1e83471b26d958660af26e9689b709baacef,34.63443589,forecast_move_ticks,34.63443589,buy,60065.96344359,60065.96344359,60065.96344359,60062,60067,True,50,50,48.5,binance_source_age_high,basis_high,False,False,False
43,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:43,would_submit,,binance_lead_plus_basis_regression,standardized_linear_regression_v1,675c86d43625713bec580e777d2c1e83471b26d958660af26e9689b709baacef,23.47149181,forecast_move_ticks,23.47149181,buy,60069.84714918,60069.84714918,60069.84714918,60067,60070,True,0,0,-1.5,binance_source_age_high,basis_high,False,False,False
44,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:44,would_submit,,binance_lead_plus_basis_regression,standardized_linear_regression_v1,675c86d43625713bec580e777d2c1e83471b26d958660af26e9689b709baacef,36.05290813,forecast_move_ticks,36.05290813,buy,60071.10529081,60071.10529081,60071.10529081,60067,60072,True,50,50,48.5,binance_source_age_high,basis_high,False,False,False
45,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:45,would_submit,,binance_lead_plus_basis_regression,standardized_linear_regression_v1,675c86d43625713bec580e777d2c1e83471b26d958660af26e9689b709baacef,44.65232193,forecast_move_ticks,44.65232193,buy,60071.96523219,60071.96523219,60071.96523219,60067,60073,True,125,125,123.5,binance_source_age_high,basis_high,False,False,False
46,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:46,would_submit,,binance_lead_plus_basis_regression,standardized_linear_regression_v1,675c86d43625713bec580e777d2c1e83471b26d958660af26e9689b709baacef,32.82714631,forecast_move_ticks,32.82714631,buy,60075.78271463,60075.78271463,60075.78271463,60072,60076,True,90,90,88.5,binance_source_age_mid,basis_high,False,False,False
47,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:47,would_submit,,binance_lead_plus_basis_regression,standardized_linear_regression_v1,675c86d43625713bec580e777d2c1e83471b26d958660af26e9689b709baacef,13.97447262,forecast_move_ticks,13.97447262,buy,60081.39744726,60081.39744726,60081.39744726,60081,60082,True,15,15,13.5,binance_source_age_low,basis_high,False,False,False
48,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:48,would_submit,,binance_lead_plus_basis_regression,standardized_linear_regression_v1,675c86d43625713bec580e777d2c1e83471b26d958660af26e9689b709baacef,8.21760639,forecast_move_ticks,8.21760639,buy,60082.32176064,60082.32176064,60082.32176064,60081,60083,True,0,0,-1.5,binance_source_age_high,basis_high,False,False,False
49,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:49,would_submit,,binance_lead_plus_basis_regression,standardized_linear_regression_v1,675c86d43625713bec580e777d2c1e83471b26d958660af26e9689b709baacef,14.22925176,forecast_move_ticks,14.22925176,buy,60082.92292518,60082.92292518,60082.92292518,60081,60083,True,0,0,-1.5,binance_source_age_low,basis_high,False,False,False
50,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:50,would_submit,,binance_lead_plus_basis_regression,standardized_linear_regression_v1,675c86d43625713bec580e777d2c1e83471b26d958660af26e9689b709baacef,15.42063022,forecast_move_ticks,15.42063022,buy,60083.04206302,60083.04206302,60083.04206302,60081,60084,True,0,0,-1.5,binance_source_age_high,basis_high,False,False,False
51,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:51,would_submit,,binance_lead_plus_basis_regression,standardized_linear_regression_v1,675c86d43625713bec580e777d2c1e83471b26d958660af26e9689b709baacef,31.73587191,forecast_move_ticks,31.73587191,buy,60084.67358719,60084.67358719,60084.67358719,60081,60085,True,40,40,38.5,binance_source_age_low,basis_high,False,False,False
52,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:52,would_submit,,binance_lead_plus_basis_regression,standardized_linear_regression_v1,675c86d43625713bec580e777d2c1e83471b26d958660af26e9689b709baacef,31.78156026,forecast_move_ticks,31.78156026,buy,60084.67815603,60084.67815603,60084.67815603,60081,60085,True,70,70,68.5,binance_source_age_low,basis_high,False,False,False
53,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:53,would_submit,,binance_lead_plus_basis_regression,standardized_linear_regression_v1,675c86d43625713bec580e777d2c1e83471b26d958660af26e9689b709baacef,22.8292745,forecast_move_ticks,22.8292745,buy,60087.78292745,60087.78292745,60087.78292745,60085,60088,True,30,30,28.5,binance_source_age_high,basis_high,False,False,False
54,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:54,would_submit,,binance_lead_plus_basis_regression,standardized_linear_regression_v1,675c86d43625713bec580e777d2c1e83471b26d958660af26e9689b709baacef,15.79879344,forecast_move_ticks,15.79879344,buy,60090.07987934,60090.07987934,60090.07987934,60088,60091,True,0,0,-1.5,binance_source_age_mid,basis_high,False,False,False
55,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:55,would_submit,,binance_lead_plus_basis_regression,standardized_linear_regression_v1,675c86d43625713bec580e777d2c1e83471b26d958660af26e9689b709baacef,14.55302752,forecast_move_ticks,14.55302752,buy,60089.95530275,60089.95530275,60089.95530275,60088,60091,True,0,0,-1.5,binance_source_age_mid,basis_high,False,False,False
56,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:56,would_submit,,binance_lead_plus_basis_regression,standardized_linear_regression_v1,675c86d43625713bec580e777d2c1e83471b26d958660af26e9689b709baacef,14.19519185,forecast_move_ticks,14.19519185,buy,60089.91951919,60089.91951919,60089.91951919,60088,60090,True,0,0,-1.5,binance_source_age_low,basis_high,False,False,False
57,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:57,would_submit,,binance_lead_plus_basis_regression,standardized_linear_regression_v1,675c86d43625713bec580e777d2c1e83471b26d958660af26e9689b709baacef,-12.08232162,forecast_move_ticks,-12.08232162,sell,60087.29176784,60087.29176784,60087.29176784,60087,60089,True,-10,10,8.5,binance_source_age_high,basis_low,False,False,False
58,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:58,would_submit,,binance_lead_plus_basis_regression,standardized_linear_regression_v1,675c86d43625713bec580e777d2c1e83471b26d958660af26e9689b709baacef,-18.8705184,forecast_move_ticks,-18.8705184,sell,60086.61294816,60086.61294816,60086.61294816,60086,60089,True,-10,10,8.5,binance_source_age_high,basis_low,False,False,False
59,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:59,would_submit,,binance_lead_plus_basis_regression,standardized_linear_regression_v1,675c86d43625713bec580e777d2c1e83471b26d958660af26e9689b709baacef,-26.78043365,forecast_move_ticks,-26.78043365,sell,60084.82195664,60084.82195664,60084.82195664,60084,60088,True,-70,70,68.5,binance_source_age_mid,basis_low,False,False,False
60,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:60,would_submit,,binance_lead_plus_basis_regression,standardized_linear_regression_v1,675c86d43625713bec580e777d2c1e83471b26d958660af26e9689b709baacef,-33.59305875,forecast_move_ticks,-33.59305875,sell,60084.14069413,60084.14069413,60084.14069413,60084,60088,True,-200,200,198.5,binance_source_age_mid,basis_low,False,False,False
61,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:61,would_submit,,binance_lead_plus_basis_regression,standardized_linear_regression_v1,675c86d43625713bec580e777d2c1e83471b26d958660af26e9689b709baacef,-17.38633795,forecast_move_ticks,-17.38633795,sell,60078.7613662,60078.7613662,60078.7613662,60078,60081,True,-130,130,128.5,binance_source_age_mid,basis_low,False,False,False
62,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:62,would_submit,,binance_lead_plus_basis_regression,standardized_linear_regression_v1,675c86d43625713bec580e777d2c1e83471b26d958660af26e9689b709baacef,21.11426181,forecast_move_ticks,21.11426181,buy,60069.61142618,60069.61142618,60069.61142618,60067,60070,True,0,0,-1.5,binance_source_age_mid,basis_high,False,False,False
63,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:63,would_submit,,binance_lead_plus_basis_regression,standardized_linear_regression_v1,675c86d43625713bec580e777d2c1e83471b26d958660af26e9689b709baacef,20.93845743,forecast_move_ticks,20.93845743,buy,60069.59384574,60069.59384574,60069.59384574,60067,60070,True,0,0,-1.5,binance_source_age_mid,basis_high,False,False,False
64,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:64,would_submit,,binance_lead_plus_basis_regression,standardized_linear_regression_v1,675c86d43625713bec580e777d2c1e83471b26d958660af26e9689b709baacef,20.64304077,forecast_move_ticks,20.64304077,buy,60069.56430408,60069.56430408,60069.56430408,60067,60070,True,0,0,-1.5,binance_source_age_mid,basis_high,False,False,False
65,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:65,would_submit,,binance_lead_plus_basis_regression,standardized_linear_regression_v1,675c86d43625713bec580e777d2c1e83471b26d958660af26e9689b709baacef,20.62552523,forecast_move_ticks,20.62552523,buy,60069.56255252,60069.56255252,60069.56255252,60067,60070,True,0,0,-1.5,binance_source_age_mid,basis_high,False,False,False
66,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:66,would_submit,,binance_lead_plus_basis_regression,standardized_linear_regression_v1,675c86d43625713bec580e777d2c1e83471b26d958660af26e9689b709baacef,21.16394147,forecast_move_ticks,21.16394147,buy,60069.61639415,60069.61639415,60069.61639415,60067,60070,True,0,0,-1.5,binance_source_age_mid,basis_high,False,False,False
