sample_set_id,sample_id,quote_side,threshold_ticks,persistence_count,oracle_label,intent_count,positive_intent_count,positive_intent_rate,total_optimistic_mid_pnl_ticks,mean_optimistic_mid_pnl_ticks,median_optimistic_mid_pnl_ticks,min_optimistic_mid_pnl_ticks,max_optimistic_mid_pnl_ticks,total_optimistic_mid_pnl_usdc,mean_optimistic_mid_pnl_usdc,best_horizon_ms_counts,assumption_set
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,buy,75,1,non_tradeable_oracle_upper_bound,290,290,1,63355,218.465517,165,5,895,63.355,0.21846552,100:35|250:2|500:6|1000:24|5000:93|10000:130,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,buy,75,2,non_tradeable_oracle_upper_bound,205,205,1,47015,229.341463,165,5,885,47.015,0.22934146,100:25|500:2|1000:15|5000:64|10000:99,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,buy,75,3,non_tradeable_oracle_upper_bound,145,145,1,34830,240.206897,165,5,825,34.83,0.2402069,100:14|1000:13|5000:46|10000:72,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,buy,100,1,non_tradeable_oracle_upper_bound,152,152,1,36465,239.901316,185,15,895,36.465,0.23990132,100:16|500:2|1000:13|5000:41|10000:80,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,buy,100,2,non_tradeable_oracle_upper_bound,88,88,1,21750,247.159091,195,65,885,21.75,0.24715909,100:7|1000:6|5000:23|10000:52,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,buy,100,3,non_tradeable_oracle_upper_bound,57,57,1,13615,238.859649,175,85,825,13.615,0.23885965,100:2|1000:4|5000:16|10000:35,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,sell,50,1,non_tradeable_oracle_upper_bound,556,556,1,82475,148.336331,120,5,675,82.475,0.14833633,100:109|500:8|1000:49|5000:137|10000:253,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,sell,50,2,non_tradeable_oracle_upper_bound,452,452,1,62115,137.422566,105,5,675,62.115,0.13742257,100:96|500:5|1000:34|5000:108|10000:209,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,sell,50,3,non_tradeable_oracle_upper_bound,371,371,1,47160,127.115903,95,5,675,47.16,0.1271159,100:86|500:3|1000:20|5000:87|10000:175,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,sell,75,1,non_tradeable_oracle_upper_bound,306,306,1,55035,179.852941,155,5,675,55.035,0.17985294,100:31|500:4|1000:40|5000:89|10000:142,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,sell,75,2,non_tradeable_oracle_upper_bound,216,216,1,35370,163.75,145,5,665,35.37,0.16375,100:25|500:2|1000:24|5000:64|10000:101,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,sell,75,3,non_tradeable_oracle_upper_bound,150,150,1,22390,149.266667,145,5,635,22.39,0.14926667,100:18|500:1|1000:9|5000:49|10000:73,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,sell,100,1,non_tradeable_oracle_upper_bound,171,171,1,36465,213.245614,185,5,675,36.465,0.21324561,100:15|500:4|1000:31|5000:45|10000:76,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,sell,100,2,non_tradeable_oracle_upper_bound,97,97,1,19150,197.42268,165,5,665,19.15,0.19742268,100:12|500:2|1000:16|5000:25|10000:42,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,sell,100,3,non_tradeable_oracle_upper_bound,49,49,1,9150,186.734694,165,5,635,9.15,0.18673469,100:8|500:1|1000:5|5000:12|10000:23,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_b_event,buy,50,1,non_tradeable_oracle_upper_bound,208,208,1,63665,306.081731,255,45,895,63.665,0.30608173,100:13|250:3|500:11|1000:44|5000:56|10000:81,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_b_event,buy,50,2,non_tradeable_oracle_upper_bound,91,91,1,31605,347.307692,335,45,895,31.605,0.34730769,100:8|500:5|1000:19|5000:16|10000:43,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_b_event,buy,50,3,non_tradeable_oracle_upper_bound,45,45,1,18090,402,395,75,815,18.09,0.402,100:2|500:1|1000:8|5000:6|10000:28,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_b_event,buy,75,1,non_tradeable_oracle_upper_bound,129,129,1,42965,333.062016,295,65,895,42.965,0.33306202,100:7|250:2|500:6|1000:27|5000:34|10000:53,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_b_event,buy,75,2,non_tradeable_oracle_upper_bound,54,54,1,19345,358.240741,345,105,895,19.345,0.35824074,100:5|500:2|1000:13|5000:9|10000:25,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_b_event,buy,75,3,non_tradeable_oracle_upper_bound,27,27,1,9675,358.333333,365,105,815,9.675,0.35833333,100:2|500:1|1000:5|5000:6|10000:13,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_b_event,buy,100,1,non_tradeable_oracle_upper_bound,100,100,1,34375,343.75,320,65,895,34.375,0.34375,100:4|250:2|500:5|1000:24|5000:23|10000:42,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_b_event,buy,100,2,non_tradeable_oracle_upper_bound,43,43,1,16065,373.604651,365,125,895,16.065,0.37360465,100:3|500:2|1000:10|5000:6|10000:22,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_b_event,buy,100,3,non_tradeable_oracle_upper_bound,19,19,1,7200,378.947368,365,125,815,7.2,0.37894737,500:1|1000:4|5000:3|10000:11,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_b_event,sell,50,1,non_tradeable_oracle_upper_bound,2378,2325,0.977712,352615,148.28217,85,-75,1205,352.615,0.14828217,100:816|250:13|500:51|1000:156|5000:551|10000:791,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_b_event,sell,50,2,non_tradeable_oracle_upper_bound,2113,2087,0.987695,317740,150.373876,85,-65,1205,317.74,0.15037388,100:723|250:13|500:48|1000:139|5000:498|10000:692,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_b_event,sell,50,3,non_tradeable_oracle_upper_bound,1876,1856,0.989339,283110,150.911514,95,-65,1195,283.11,0.15091151,100:646|250:12|500:43|1000:119|5000:450|10000:606,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_b_event,sell,75,1,non_tradeable_oracle_upper_bound,2022,2001,0.989614,323595,160.037092,105,-75,1205,323.595,0.16003709,100:641|250:13|500:48|1000:150|5000:481|10000:689,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_b_event,sell,75,2,non_tradeable_oracle_upper_bound,1740,1733,0.995977,284765,163.658046,105,-65,1205,284.765,0.16365805,100:553|250:13|500:44|1000:125|5000:419|10000:586,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_b_event,sell,75,3,non_tradeable_oracle_upper_bound,1502,1497,0.996671,247180,164.567244,105,-65,1195,247.18,0.16456724,100:489|250:12|500:38|1000:97|5000:367|10000:499,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_b_event,sell,100,1,non_tradeable_oracle_upper_bound,1611,1606,0.996896,280820,174.314091,125,-75,1205,280.82,0.17431409,100:444|250:13|500:46|1000:144|5000:409|10000:555,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_b_event,sell,100,2,non_tradeable_oracle_upper_bound,1337,1337,1,235385,176.0546,125,5,1205,235.385,0.1760546,100:381|250:12|500:41|1000:114|5000:345|10000:444,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_b_event,sell,100,3,non_tradeable_oracle_upper_bound,1112,1112,1,191245,171.982914,125,5,1195,191.245,0.17198291,100:339|250:10|500:34|1000:84|5000:290|10000:355,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_c_event,buy,50,1,non_tradeable_oracle_upper_bound,164,164,1,65370,398.597561,265,25,2105,65.37,0.39859756,100:8|250:1|500:5|1000:24|5000:56|10000:70,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_c_event,buy,50,2,non_tradeable_oracle_upper_bound,96,96,1,42955,447.447917,305,65,2105,42.955,0.44744792,100:4|500:3|1000:13|5000:36|10000:40,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_c_event,buy,50,3,non_tradeable_oracle_upper_bound,59,59,1,28400,481.355932,315,95,2075,28.4,0.48135593,100:2|500:3|1000:8|5000:22|10000:24,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_c_event,buy,75,1,non_tradeable_oracle_upper_bound,125,125,1,53655,429.24,270,25,2105,53.655,0.42924,100:6|250:1|500:3|1000:18|5000:46|10000:51,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_c_event,buy,75,2,non_tradeable_oracle_upper_bound,66,66,1,32460,491.818182,317.5,85,2105,32.46,0.49181818,100:2|500:3|1000:11|5000:26|10000:24,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_c_event,buy,75,3,non_tradeable_oracle_upper_bound,37,37,1,20155,544.72973,405,135,2075,20.155,0.54472973,100:1|500:3|1000:7|5000:12|10000:14,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_c_event,buy,100,1,non_tradeable_oracle_upper_bound,101,101,1,47870,473.960396,305,45,2105,47.87,0.4739604,100:2|500:3|1000:14|5000:40|10000:42,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_c_event,buy,100,2,non_tradeable_oracle_upper_bound,55,55,1,29675,539.545455,385,125,2105,29.675,0.53954545,100:1|500:3|1000:8|5000:22|10000:21,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_c_event,buy,100,3,non_tradeable_oracle_upper_bound,31,31,1,18515,597.258065,425,145,2075,18.515,0.59725806,100:1|500:2|1000:6|5000:10|10000:12,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_c_event,sell,50,1,non_tradeable_oracle_upper_bound,2658,2514,0.945824,438580,165.003762,95,-185,1285,438.58,0.16500376,100:847|250:7|500:57|1000:167|5000:560|10000:1020,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_c_event,sell,50,2,non_tradeable_oracle_upper_bound,2485,2369,0.95332,417310,167.93159,105,-185,1285,417.31,0.16793159,100:797|250:7|500:57|1000:159|5000:509|10000:956,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_c_event,sell,50,3,non_tradeable_oracle_upper_bound,2332,2222,0.95283,393705,168.827187,97.5,-185,1285,393.705,0.16882719,100:760|250:6|500:51|1000:147|5000:466|10000:902,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_c_event,sell,75,1,non_tradeable_oracle_upper_bound,2469,2349,0.951397,421460,170.700689,105,-145,1285,421.46,0.17070069,100:768|250:6|500:57|1000:164|5000:525|10000:949,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_c_event,sell,75,2,non_tradeable_oracle_upper_bound,2271,2185,0.962131,396780,174.715984,105,-145,1285,396.78,0.17471598,100:711|250:6|500:57|1000:155|5000:469|10000:873,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_c_event,sell,75,3,non_tradeable_oracle_upper_bound,2104,2026,0.962928,371270,176.459125,105,-135,1285,371.27,0.17645913,100:670|250:5|500:50|1000:140|5000:420|10000:819,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_c_event,sell,100,1,non_tradeable_oracle_upper_bound,2177,2093,0.961415,393790,180.886541,115,-145,1285,393.79,0.18088654,100:625|250:6|500:55|1000:160|5000:471|10000:860,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_c_event,sell,100,2,non_tradeable_oracle_upper_bound,1953,1905,0.975422,364895,186.838198,115,-95,1285,364.895,0.1868382,100:564|250:6|500:54|1000:142|5000:411|10000:776,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_c_event,sell,100,3,non_tradeable_oracle_upper_bound,1763,1719,0.975043,334925,189.974475,115,-95,1285,334.925,0.18997448,100:526|250:4|500:43|1000:120|5000:358|10000:712,unconstrained_all_intents
0617T005_8_input,xemm_0609_active_a_event,buy,50,1,non_tradeable_oracle_upper_bound,204,204,1,28625,140.318627,115,5,475,28.625,0.14031863,100:28|500:10|1000:15|5000:64|10000:87,unconstrained_all_intents
0617T005_8_input,xemm_0609_active_a_event,buy,50,2,non_tradeable_oracle_upper_bound,125,125,1,16365,130.92,105,5,475,16.365,0.13092,100:18|500:6|1000:6|5000:40|10000:55,unconstrained_all_intents
0617T005_8_input,xemm_0609_active_a_event,buy,50,3,non_tradeable_oracle_upper_bound,82,82,1,10350,126.219512,105,5,335,10.35,0.12621951,100:12|500:4|1000:2|5000:26|10000:38,unconstrained_all_intents
0617T005_8_input,xemm_0609_active_a_event,buy,75,1,non_tradeable_oracle_upper_bound,75,75,1,13690,182.533333,165,5,475,13.69,0.18253333,100:5|500:6|1000:7|5000:23|10000:34,unconstrained_all_intents
0617T005_8_input,xemm_0609_active_a_event,buy,75,2,non_tradeable_oracle_upper_bound,26,26,1,4910,188.846154,185,5,475,4.91,0.18884615,100:1|500:4|1000:2|5000:5|10000:14,unconstrained_all_intents
0617T005_8_input,xemm_0609_active_a_event,buy,75,3,non_tradeable_oracle_upper_bound,5,5,1,1055,211,215,95,335,1.055,0.211,500:1|10000:4,unconstrained_all_intents
0617T005_8_input,xemm_0609_active_a_event,buy,100,1,non_tradeable_oracle_upper_bound,43,43,1,9275,215.697674,205,25,475,9.275,0.21569767,100:2|500:3|1000:2|5000:13|10000:23,unconstrained_all_intents
0617T005_8_input,xemm_0609_active_a_event,buy,100,2,non_tradeable_oracle_upper_bound,10,10,1,2680,268,260,105,475,2.68,0.268,1000:1|5000:1|10000:8,unconstrained_all_intents
0617T005_8_input,xemm_0609_active_a_event,buy,100,3,non_tradeable_oracle_upper_bound,2,2,1,550,275,275,215,335,0.55,0.275,10000:2,unconstrained_all_intents
0617T005_8_input,xemm_0609_active_a_event,sell,50,1,non_tradeable_oracle_upper_bound,1114,1112,0.998205,108495,97.39228,65,-45,625,108.495,0.09739228,100:348|250:3|500:24|1000:56|5000:272|10000:411,unconstrained_all_intents
0617T005_8_input,xemm_0609_active_a_event,sell,50,2,non_tradeable_oracle_upper_bound,967,967,1,93170,96.349535,65,5,625,93.17,0.09634953,100:314|250:1|500:17|1000:46|5000:234|10000:355,unconstrained_all_intents
0617T005_8_input,xemm_0609_active_a_event,sell,50,3,non_tradeable_oracle_upper_bound,843,843,1,80135,95.059312,55,5,615,80.135,0.09505931,100:281|250:1|500:13|1000:37|5000:202|10000:309,unconstrained_all_intents
0617T005_8_input,xemm_0609_active_a_event,sell,75,1,non_tradeable_oracle_upper_bound,618,618,1,70055,113.357605,85,5,625,70.055,0.11335761,100:170|250:3|500:17|1000:42|5000:150|10000:236,unconstrained_all_intents
0617T005_8_input,xemm_0609_active_a_event,sell,75,2,non_tradeable_oracle_upper_bound,499,499,1,55145,110.511022,75,5,615,55.145,0.11051102,100:152|500:13|1000:28|5000:116|10000:190,unconstrained_all_intents
0617T005_8_input,xemm_0609_active_a_event,sell,75,3,non_tradeable_oracle_upper_bound,403,403,1,42975,106.637717,65,5,615,42.975,0.10663772,100:133|500:8|1000:19|5000:91|10000:152,unconstrained_all_intents
0617T005_8_input,xemm_0609_active_a_event,sell,100,1,non_tradeable_oracle_upper_bound,338,338,1,46410,137.307692,125,5,625,46.41,0.13730769,100:62|250:1|500:7|1000:25|5000:101|10000:142,unconstrained_all_intents
0617T005_8_input,xemm_0609_active_a_event,sell,100,2,non_tradeable_oracle_upper_bound,250,250,1,33425,133.7,125,5,615,33.425,0.1337,100:52|500:5|1000:12|5000:74|10000:107,unconstrained_all_intents
0617T005_8_input,xemm_0609_active_a_event,sell,100,3,non_tradeable_oracle_upper_bound,186,186,1,23665,127.231183,125,5,615,23.665,0.12723118,100:41|500:2|1000:8|5000:55|10000:80,unconstrained_all_intents
0617T005_8_input,xemm_0609_active_b_event,buy,50,1,non_tradeable_oracle_upper_bound,203,203,1,30035,147.955665,145,5,395,30.035,0.14795567,100:23|500:7|1000:23|5000:84|10000:66,unconstrained_all_intents
0617T005_8_input,xemm_0609_active_b_event,buy,50,2,non_tradeable_oracle_upper_bound,118,118,1,15790,133.813559,125,5,385,15.79,0.13381356,100:17|500:6|1000:13|5000:47|10000:35,unconstrained_all_intents
0617T005_8_input,xemm_0609_active_b_event,buy,50,3,non_tradeable_oracle_upper_bound,67,67,1,7485,111.716418,105,5,335,7.485,0.11171642,100:13|500:5|1000:9|5000:25|10000:15,unconstrained_all_intents
0617T005_8_input,xemm_0609_active_b_event,buy,75,1,non_tradeable_oracle_upper_bound,94,94,1,14460,153.829787,145,15,385,14.46,0.15382979,100:11|500:4|1000:13|5000:36|10000:30,unconstrained_all_intents
0617T005_8_input,xemm_0609_active_b_event,buy,75,2,non_tradeable_oracle_upper_bound,38,38,1,4960,130.526316,120,15,385,4.96,0.13052632,100:6|500:3|1000:6|5000:13|10000:10,unconstrained_all_intents
0617T005_8_input,xemm_0609_active_b_event,buy,75,3,non_tradeable_oracle_upper_bound,12,12,1,900,75,55,15,145,0.9,0.075,100:3|500:1|1000:3|5000:3|10000:2,unconstrained_all_intents
0617T005_8_input,xemm_0609_active_b_event,buy,100,1,non_tradeable_oracle_upper_bound,33,33,1,6105,185,205,25,385,6.105,0.185,100:6|500:1|1000:4|5000:10|10000:12,unconstrained_all_intents
0617T005_8_input,xemm_0609_active_b_event,buy,100,2,non_tradeable_oracle_upper_bound,4,4,1,570,142.5,150,55,215,0.57,0.1425,100:1|500:1|10000:2,unconstrained_all_intents
0617T005_8_input,xemm_0609_active_b_event,sell,50,1,non_tradeable_oracle_upper_bound,1115,1113,0.998206,122390,109.766816,75,-5,655,122.39,0.10976682,100:299|250:3|500:19|1000:56|5000:257|10000:481,unconstrained_all_intents
0617T005_8_input,xemm_0609_active_b_event,sell,50,2,non_tradeable_oracle_upper_bound,932,932,1,103310,110.847639,85,5,645,103.31,0.11084764,100:260|250:2|500:13|1000:45|5000:205|10000:407,unconstrained_all_intents
0617T005_8_input,xemm_0609_active_b_event,sell,50,3,non_tradeable_oracle_upper_bound,775,775,1,87115,112.406452,95,5,645,87.115,0.11240645,100:222|250:2|500:9|1000:31|5000:171|10000:340,unconstrained_all_intents
0617T005_8_input,xemm_0609_active_b_event,sell,75,1,non_tradeable_oracle_upper_bound,577,576,0.998267,78105,135.363951,115,-5,655,78.105,0.13536395,100:123|250:2|500:16|1000:39|5000:150|10000:247,unconstrained_all_intents
0617T005_8_input,xemm_0609_active_b_event,sell,75,2,non_tradeable_oracle_upper_bound,428,428,1,57780,135,125,5,535,57.78,0.135,100:98|250:1|500:10|1000:29|5000:106|10000:184,unconstrained_all_intents
0617T005_8_input,xemm_0609_active_b_event,sell,75,3,non_tradeable_oracle_upper_bound,323,323,1,44495,137.755418,125,5,535,44.495,0.13775542,100:72|250:1|500:5|1000:21|5000:81|10000:143,unconstrained_all_intents
0617T005_8_input,xemm_0609_active_b_event,sell,100,1,non_tradeable_oracle_upper_bound,318,318,1,48815,153.506289,135,5,565,48.815,0.15350629,100:49|250:2|500:10|1000:24|5000:98|10000:135,unconstrained_all_intents
0617T005_8_input,xemm_0609_active_b_event,sell,100,2,non_tradeable_oracle_upper_bound,208,208,1,31215,150.072115,135,5,535,31.215,0.15007212,100:35|250:1|500:6|1000:18|5000:60|10000:88,unconstrained_all_intents
0617T005_8_input,xemm_0609_active_b_event,sell,100,3,non_tradeable_oracle_upper_bound,143,143,1,20345,142.272727,125,5,535,20.345,0.14227273,100:24|250:1|500:4|1000:13|5000:42|10000:59,unconstrained_all_intents
0617T005_8_input,xemm_0609_normal_a_event,buy,50,1,non_tradeable_oracle_upper_bound,135,135,1,23970,177.555556,145,5,565,23.97,0.17755556,100:11|250:1|500:9|1000:12|5000:40|10000:62,unconstrained_all_intents
0617T005_8_input,xemm_0609_normal_a_event,buy,50,2,non_tradeable_oracle_upper_bound,74,74,1,11470,155,105,5,545,11.47,0.155,100:7|250:1|500:5|1000:3|5000:22|10000:36,unconstrained_all_intents
0617T005_8_input,xemm_0609_normal_a_event,buy,50,3,non_tradeable_oracle_upper_bound,41,41,1,6045,147.439024,95,5,515,6.045,0.14743902,100:3|250:1|500:1|5000:15|10000:21,unconstrained_all_intents
0617T005_8_input,xemm_0609_normal_a_event,buy,75,1,non_tradeable_oracle_upper_bound,56,56,1,11015,196.696429,180,65,495,11.015,0.19669643,100:3|500:7|1000:8|5000:14|10000:24,unconstrained_all_intents
0617T005_8_input,xemm_0609_normal_a_event,buy,75,2,non_tradeable_oracle_upper_bound,16,16,1,2650,165.625,140,65,335,2.65,0.165625,100:2|500:2|1000:3|5000:3|10000:6,unconstrained_all_intents
0617T005_8_input,xemm_0609_normal_a_event,buy,75,3,non_tradeable_oracle_upper_bound,1,1,1,115,115,115,115,115,0.115,0.115,500:1,unconstrained_all_intents
0617T005_8_input,xemm_0609_normal_a_event,buy,100,1,non_tradeable_oracle_upper_bound,29,29,1,6735,232.241379,235,65,495,6.735,0.23224138,100:3|500:5|1000:2|5000:7|10000:12,unconstrained_all_intents
0617T005_8_input,xemm_0609_normal_a_event,buy,100,2,non_tradeable_oracle_upper_bound,5,5,1,915,183,205,65,295,0.915,0.183,100:2|500:1|5000:1|10000:1,unconstrained_all_intents
0617T005_8_input,xemm_0609_normal_a_event,sell,50,1,non_tradeable_oracle_upper_bound,1947,1932,0.992296,131485,67.532101,35,-75,405,131.485,0.0675321,100:797|250:10|500:29|1000:79|5000:430|10000:602,unconstrained_all_intents
0617T005_8_input,xemm_0609_normal_a_event,sell,50,2,non_tradeable_oracle_upper_bound,1799,1788,0.993885,120535,67.001112,35,-75,395,120.535,0.06700111,100:741|250:8|500:29|1000:72|5000:387|10000:562,unconstrained_all_intents
0617T005_8_input,xemm_0609_normal_a_event,sell,50,3,non_tradeable_oracle_upper_bound,1662,1651,0.993381,110480,66.474128,35,-75,395,110.48,0.06647413,100:690|250:8|500:25|1000:67|5000:353|10000:519,unconstrained_all_intents
0617T005_8_input,xemm_0609_normal_a_event,sell,75,1,non_tradeable_oracle_upper_bound,1204,1202,0.998339,97875,81.291528,55,-75,405,97.875,0.08129153,100:383|250:9|500:29|1000:65|5000:312|10000:406,unconstrained_all_intents
0617T005_8_input,xemm_0609_normal_a_event,sell,75,2,non_tradeable_oracle_upper_bound,1049,1048,0.999047,84845,80.881792,55,-75,395,84.845,0.08088179,100:343|250:6|500:25|1000:52|5000:262|10000:361,unconstrained_all_intents
0617T005_8_input,xemm_0609_normal_a_event,sell,75,3,non_tradeable_oracle_upper_bound,911,911,1,73380,80.548847,55,5,395,73.38,0.08054885,100:305|250:6|500:19|1000:40|5000:227|10000:314,unconstrained_all_intents
0617T005_8_input,xemm_0609_normal_a_event,sell,100,1,non_tradeable_oracle_upper_bound,629,629,1,63955,101.677266,75,5,405,63.955,0.10167727,100:151|250:6|500:22|1000:48|5000:183|10000:219,unconstrained_all_intents
0617T005_8_input,xemm_0609_normal_a_event,sell,100,2,non_tradeable_oracle_upper_bound,492,492,1,49420,100.447154,75,5,395,49.42,0.10044715,100:124|250:3|500:16|1000:31|5000:139|10000:179,unconstrained_all_intents
