sample_set_id,sample_id,quote_side,threshold_ticks,persistence_count,horizon_ms,intent_count,positive_intent_count,positive_intent_rate,total_optimistic_mid_pnl_ticks,mean_optimistic_mid_pnl_ticks,median_optimistic_mid_pnl_ticks,min_optimistic_mid_pnl_ticks,max_optimistic_mid_pnl_ticks,total_optimistic_mid_pnl_usdc,mean_optimistic_mid_pnl_usdc,assumption_set
0617T005_8_input,cross_exchange_public_sample_0602T001,sell,50,3,250,370,354,0.956757,2225,6.013514,5,-115,225,2.225,0.00601351,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_0602T001,sell,50,3,500,370,354,0.956757,2225,6.013514,5,-115,225,2.225,0.00601351,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_0602T001,sell,50,3,1000,370,339,0.916216,3225,8.716216,5,-135,225,3.225,0.00871622,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_0602T001,sell,50,3,5000,368,250,0.679348,5225,14.19837,5,-285,795,5.225,0.01419837,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_0602T001,sell,50,3,10000,368,216,0.586957,6520,17.717391,5,-485,1115,6.52,0.01771739,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_0602T001,sell,75,1,100,376,360,0.957447,2285,6.077128,5,-85,225,2.285,0.00607713,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_0602T001,sell,75,1,250,376,360,0.957447,2285,6.077128,5,-85,225,2.285,0.00607713,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_0602T001,sell,75,1,500,376,360,0.957447,2285,6.077128,5,-85,225,2.285,0.00607713,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_0602T001,sell,75,1,1000,376,344,0.914894,3225,8.577128,5,-115,225,3.225,0.00857713,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_0602T001,sell,75,1,5000,374,254,0.679144,5305,14.184492,5,-285,795,5.305,0.01418449,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_0602T001,sell,75,1,10000,374,219,0.585561,5790,15.481283,5,-485,1115,5.79,0.01548128,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_0602T001,sell,75,2,100,366,352,0.961749,2355,6.434426,5,-45,225,2.355,0.00643443,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_0602T001,sell,75,2,250,366,352,0.961749,2355,6.434426,5,-45,225,2.355,0.00643443,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_0602T001,sell,75,2,500,366,352,0.961749,2355,6.434426,5,-45,225,2.355,0.00643443,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_0602T001,sell,75,2,1000,366,338,0.923497,3395,9.275956,5,-115,225,3.395,0.00927596,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_0602T001,sell,75,2,5000,364,251,0.68956,5585,15.343407,5,-285,795,5.585,0.01534341,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_0602T001,sell,75,2,10000,364,215,0.590659,6510,17.884615,5,-485,1115,6.51,0.01788462,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_0602T001,sell,75,3,100,355,342,0.96338,2350,6.619718,5,-45,225,2.35,0.00661972,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_0602T001,sell,75,3,250,355,342,0.96338,2350,6.619718,5,-45,225,2.35,0.00661972,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_0602T001,sell,75,3,500,355,342,0.96338,2350,6.619718,5,-45,225,2.35,0.00661972,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_0602T001,sell,75,3,1000,355,329,0.926761,3430,9.661972,5,-115,225,3.43,0.00966197,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_0602T001,sell,75,3,5000,353,246,0.696884,5710,16.175637,5,-285,795,5.71,0.01617564,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_0602T001,sell,75,3,10000,353,209,0.592068,6200,17.563739,5,-485,1115,6.2,0.01756374,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_0602T001,sell,100,1,100,360,349,0.969444,2395,6.652778,5,-85,225,2.395,0.00665278,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_0602T001,sell,100,1,250,360,349,0.969444,2395,6.652778,5,-85,225,2.395,0.00665278,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_0602T001,sell,100,1,500,360,349,0.969444,2395,6.652778,5,-85,225,2.395,0.00665278,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_0602T001,sell,100,1,1000,360,338,0.938889,3535,9.819444,5,-115,225,3.535,0.00981944,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_0602T001,sell,100,1,5000,358,251,0.701117,6085,16.997207,5,-285,795,6.085,0.01699721,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_0602T001,sell,100,1,10000,358,214,0.597765,7270,20.307263,5,-485,1115,7.27,0.02030726,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_0602T001,sell,100,2,100,344,336,0.976744,2415,7.020349,5,-35,225,2.415,0.00702035,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_0602T001,sell,100,2,250,344,336,0.976744,2415,7.020349,5,-35,225,2.415,0.00702035,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_0602T001,sell,100,2,500,344,336,0.976744,2415,7.020349,5,-35,225,2.415,0.00702035,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_0602T001,sell,100,2,1000,344,328,0.953488,3665,10.65407,5,-115,225,3.665,0.01065407,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_0602T001,sell,100,2,5000,342,244,0.71345,5775,16.885965,5,-285,795,5.775,0.01688596,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_0602T001,sell,100,2,10000,342,207,0.605263,7180,20.994152,5,-485,1115,7.18,0.02099415,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_0602T001,sell,100,3,100,326,318,0.97546,2325,7.131902,5,-35,225,2.325,0.0071319,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_0602T001,sell,100,3,250,326,318,0.97546,2325,7.131902,5,-35,225,2.325,0.0071319,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_0602T001,sell,100,3,500,326,318,0.97546,2325,7.131902,5,-35,225,2.325,0.0071319,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_0602T001,sell,100,3,1000,326,310,0.95092,3505,10.751534,5,-115,225,3.505,0.01075153,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_0602T001,sell,100,3,5000,324,232,0.716049,5775,17.824074,5,-285,795,5.775,0.01782407,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_0602T001,sell,100,3,10000,324,197,0.608025,5745,17.731481,5,-485,1065,5.745,0.01773148,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,buy,50,1,100,571,570,0.998249,14770,25.8669,5,-15,205,14.77,0.0258669,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,buy,50,1,250,571,570,0.998249,14995,26.260946,5,-15,205,14.995,0.02626095,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,buy,50,1,500,571,570,0.998249,17455,30.569177,5,-15,305,17.455,0.03056918,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,buy,50,1,1000,571,564,0.987741,25230,44.185639,25,-35,305,25.23,0.04418564,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,buy,50,1,5000,571,485,0.849387,52670,92.241681,85,-175,605,52.67,0.09224168,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,buy,50,1,10000,571,436,0.763573,66315,116.138354,105,-395,895,66.315,0.11613835,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,buy,50,2,100,466,466,1,11760,25.236052,5,5,165,11.76,0.02523605,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,buy,50,2,250,466,466,1,11915,25.56867,5,5,165,11.915,0.02556867,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,buy,50,2,500,466,466,1,13660,29.313305,5,5,195,13.66,0.0293133,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,buy,50,2,1000,466,459,0.984979,19165,41.126609,15,-35,295,19.165,0.04112661,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,buy,50,2,5000,466,390,0.83691,41100,88.197425,75,-165,605,41.1,0.08819742,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,buy,50,2,10000,466,355,0.761803,54080,116.051502,100,-395,885,54.08,0.1160515,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,buy,50,3,100,383,383,1,8755,22.859008,5,5,165,8.755,0.02285901,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,buy,50,3,250,383,383,1,8910,23.263708,5,5,165,8.91,0.02326371,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,buy,50,3,500,383,383,1,10235,26.723238,5,5,195,10.235,0.02672324,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,buy,50,3,1000,383,378,0.986945,14575,38.05483,5,-35,235,14.575,0.03805483,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,buy,50,3,5000,383,315,0.822454,32075,83.746736,65,-165,605,32.075,0.08374674,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,buy,50,3,10000,383,288,0.751958,43780,114.308094,95,-395,825,43.78,0.11430809,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,buy,75,1,100,290,290,1,11165,38.5,25,5,205,11.165,0.0385,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,buy,75,1,250,290,290,1,11370,39.206897,25,5,205,11.37,0.0392069,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,buy,75,1,500,290,290,1,13525,46.637931,35,5,305,13.525,0.04663793,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,buy,75,1,1000,290,290,1,19515,67.293103,65,5,305,19.515,0.0672931,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,buy,75,1,5000,290,274,0.944828,42175,145.431034,127.5,-135,605,42.175,0.14543103,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,buy,75,1,10000,290,253,0.872414,53925,185.948276,145,-395,895,53.925,0.18594828,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,buy,75,2,100,205,205,1,8170,39.853659,25,5,165,8.17,0.03985366,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,buy,75,2,250,205,205,1,8275,40.365854,35,5,165,8.275,0.04036585,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,buy,75,2,500,205,205,1,9390,45.804878,40,5,195,9.39,0.04580488,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,buy,75,2,1000,205,205,1,13570,66.195122,65,5,295,13.57,0.06619512,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,buy,75,2,5000,205,197,0.960976,30730,149.902439,125,-135,605,30.73,0.14990244,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,buy,75,2,10000,205,183,0.892683,41310,201.512195,155,-395,885,41.31,0.2015122,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,buy,75,3,100,145,145,1,5340,36.827586,15,5,165,5.34,0.03682759,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,buy,75,3,250,145,145,1,5445,37.551724,15,5,165,5.445,0.03755172,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,buy,75,3,500,145,145,1,6360,43.862069,35,5,195,6.36,0.04386207,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,buy,75,3,1000,145,145,1,9285,64.034483,65,5,235,9.285,0.06403448,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,buy,75,3,5000,145,141,0.972414,22680,156.413793,115,-125,605,22.68,0.15641379,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,buy,75,3,10000,145,131,0.903448,31515,217.344828,145,-175,825,31.515,0.21734483,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,buy,100,1,100,152,152,1,7710,50.723684,45,5,205,7.71,0.05072368,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,buy,100,1,250,152,152,1,7845,51.611842,45,5,205,7.845,0.05161184,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,buy,100,1,500,152,152,1,9370,61.644737,55,5,305,9.37,0.06164474,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,buy,100,1,1000,152,152,1,12910,84.934211,85,5,305,12.91,0.08493421,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,buy,100,1,5000,152,148,0.973684,26090,171.644737,145,-135,605,26.09,0.17164474,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,buy,100,1,10000,152,142,0.934211,33110,217.828947,175,-385,895,33.11,0.21782895,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,buy,100,2,100,88,88,1,4220,47.954545,45,5,165,4.22,0.04795455,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,buy,100,2,250,88,88,1,4325,49.147727,45,5,165,4.325,0.04914773,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,buy,100,2,500,88,88,1,4990,56.704545,55,5,195,4.99,0.05670455,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,buy,100,2,1000,88,88,1,7045,80.056818,80,5,235,7.045,0.08005682,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,buy,100,2,5000,88,88,1,15415,175.170455,145,5,585,15.415,0.17517045,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,buy,100,2,10000,88,85,0.965909,20740,235.681818,190,-35,885,20.74,0.23568182,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,buy,100,3,100,57,57,1,2520,44.210526,25,5,165,2.52,0.04421053,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,buy,100,3,250,57,57,1,2625,46.052632,35,5,165,2.625,0.04605263,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,buy,100,3,500,57,57,1,3095,54.298246,45,5,195,3.095,0.05429825,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,buy,100,3,1000,57,57,1,4315,75.701754,75,5,235,4.315,0.07570175,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,buy,100,3,5000,57,57,1,9480,166.315789,135,5,585,9.48,0.16631579,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,buy,100,3,10000,57,57,1,13185,231.315789,175,65,825,13.185,0.23131579,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,sell,50,1,100,556,554,0.996403,15460,27.805755,5,-55,250,15.46,0.02780576,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,sell,50,1,250,556,554,0.996403,15845,28.498201,5,-55,250,15.845,0.0284982,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,sell,50,1,500,555,554,0.998198,17665,31.828829,5,-55,250,17.665,0.03182883,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,sell,50,1,1000,554,552,0.99639,26310,47.490975,25,-25,285,26.31,0.04749097,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,sell,50,1,5000,552,495,0.896739,43460,78.731884,55,-415,505,43.46,0.07873188,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,sell,50,1,10000,552,469,0.849638,61695,111.766304,95,-860,675,61.695,0.1117663,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,sell,50,2,100,452,452,1,11280,24.955752,5,5,190,11.28,0.02495575,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,sell,50,2,250,452,452,1,11575,25.608407,5,5,190,11.575,0.02560841,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,sell,50,2,500,451,451,1,12880,28.558758,5,5,190,12.88,0.02855876,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,sell,50,2,1000,450,448,0.995556,18045,40.1,15,-25,255,18.045,0.0401,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,sell,50,2,5000,449,401,0.893096,30620,68.195991,45,-415,485,30.62,0.06819599,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,sell,50,2,10000,449,385,0.857461,46405,103.351893,85,-860,675,46.405,0.10335189,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,sell,50,3,100,371,371,1,7355,19.824798,5,5,165,7.355,0.0198248,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,sell,50,3,250,371,371,1,7525,20.283019,5,5,165,7.525,0.02028302,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,sell,50,3,500,370,370,1,8400,22.702703,5,5,165,8.4,0.0227027,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,sell,50,3,1000,369,367,0.99458,11745,31.829268,5,-25,215,11.745,0.03182927,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,sell,50,3,5000,369,333,0.902439,21850,59.214092,35,-415,335,21.85,0.05921409,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,sell,50,3,10000,369,322,0.872629,35485,96.165312,65,-860,675,35.485,0.09616531,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,sell,75,1,100,306,305,0.996732,12505,40.866013,25,-55,250,12.505,0.04086601,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,sell,75,1,250,306,305,0.996732,12890,42.124183,25,-55,250,12.89,0.04212418,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,sell,75,1,500,306,305,0.996732,14300,46.732026,35,-55,250,14.3,0.04673203,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,sell,75,1,1000,305,303,0.993443,21575,70.737705,65,-25,285,21.575,0.0707377,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,sell,75,1,5000,303,279,0.920792,33330,110,105,-415,505,33.33,0.11,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,sell,75,1,10000,303,266,0.877888,42195,139.257426,135,-860,675,42.195,0.13925743,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,sell,75,2,100,216,216,1,8140,37.685185,22.5,5,190,8.14,0.03768519,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,sell,75,2,250,216,216,1,8330,38.564815,25,5,190,8.33,0.03856481,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,sell,75,2,500,216,216,1,9235,42.75463,25,5,190,9.235,0.04275463,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,sell,75,2,1000,215,214,0.995349,13100,60.930233,45,-25,245,13.1,0.06093023,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,sell,75,2,5000,214,196,0.915888,20840,97.383178,95,-415,485,20.84,0.09738318,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,sell,75,2,10000,214,190,0.88785,26485,123.761682,125,-860,665,26.485,0.12376168,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,sell,75,3,100,150,150,1,4470,29.8,15,5,165,4.47,0.0298,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,sell,75,3,250,150,150,1,4640,30.933333,15,5,165,4.64,0.03093333,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,sell,75,3,500,150,150,1,5155,34.366667,25,5,165,5.155,0.03436667,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,sell,75,3,1000,149,148,0.993289,7020,47.114094,35,-25,195,7.02,0.04711409,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,sell,75,3,5000,149,140,0.939597,12980,87.114094,95,-415,335,12.98,0.08711409,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,sell,75,3,10000,149,136,0.912752,16755,112.449664,125,-860,635,16.755,0.11244966,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,sell,100,1,100,171,170,0.994152,9550,55.847953,45,-55,250,9.55,0.05584795,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,sell,100,1,250,171,170,0.994152,9765,57.105263,45,-55,250,9.765,0.05710526,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,sell,100,1,500,171,170,0.994152,10700,62.573099,50,-55,250,10.7,0.0625731,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,sell,100,1,1000,170,169,0.994118,16385,96.382353,85,-5,285,16.385,0.09638235,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,sell,100,1,5000,168,151,0.89881,22205,132.172619,125,-115,505,22.205,0.13217262,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,sell,100,1,10000,168,144,0.857143,29820,177.5,175,-225,675,29.82,0.1775,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,sell,100,2,100,97,97,1,5315,54.793814,45,5,190,5.315,0.05479381,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,sell,100,2,250,97,97,1,5425,55.927835,45,5,190,5.425,0.05592784,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,sell,100,2,500,97,97,1,5935,61.185567,50,5,190,5.935,0.06118557,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,sell,100,2,1000,96,96,1,8550,89.0625,85,5,245,8.55,0.0890625,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,sell,100,2,5000,95,83,0.873684,10960,115.368421,115,-115,485,10.96,0.11536842,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,sell,100,2,10000,95,81,0.852632,15280,160.842105,145,-225,665,15.28,0.16084211,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,sell,100,3,100,49,49,1,2295,46.836735,35,5,165,2.295,0.04683673,unconstrained_all_intents
0617T005_8_input,cross_exchange_public_sample_xemm_0603_quiet_a_event,sell,100,3,250,49,49,1,2405,49.081633,35,5,165,2.405,0.04908163,unconstrained_all_intents
