sample_set_id,quote_side,threshold_ticks,persistence_count,horizon_ms,intent_count,positive_intent_count,positive_intent_rate,total_optimistic_mid_pnl_ticks,mean_optimistic_mid_pnl_ticks,median_optimistic_mid_pnl_ticks,min_optimistic_mid_pnl_ticks,max_optimistic_mid_pnl_ticks,total_optimistic_mid_pnl_usdc,mean_optimistic_mid_pnl_usdc,assumption_set
0617T005_8_input,sell,75,2,500,7022,6752,0.961549,180580,25.71632,5,-195,435,180.58,0.02571632,unconstrained_all_intents
0617T005_8_input,sell,75,2,1000,7016,6546,0.93301,247740,35.310718,5,-285,435,247.74,0.03531072,unconstrained_all_intents
0617T005_8_input,sell,75,2,5000,6998,5164,0.737925,420530,60.092884,35,-685,815,420.53,0.06009288,unconstrained_all_intents
0617T005_8_input,sell,75,2,10000,6978,4667,0.668816,496425,71.141445,55,-965,1285,496.425,0.07114144,unconstrained_all_intents
0617T005_8_input,sell,75,3,100,6115,5939,0.971218,123255,20.156173,5,-185,435,123.255,0.02015617,unconstrained_all_intents
0617T005_8_input,sell,75,3,250,6115,5937,0.970891,125620,20.542927,5,-185,435,125.62,0.02054293,unconstrained_all_intents
0617T005_8_input,sell,75,3,500,6114,5873,0.960582,153025,25.028623,5,-170,435,153.025,0.02502862,unconstrained_all_intents
0617T005_8_input,sell,75,3,1000,6110,5688,0.930933,207905,34.027005,5,-285,435,207.905,0.034027,unconstrained_all_intents
0617T005_8_input,sell,75,3,5000,6095,4470,0.733388,361050,59.23708,35,-685,815,361.05,0.05923708,unconstrained_all_intents
0617T005_8_input,sell,75,3,10000,6078,4050,0.666338,434035,71.410826,55,-915,1285,434.035,0.07141083,unconstrained_all_intents
0617T005_8_input,sell,100,1,100,5934,5706,0.961577,141125,23.78244,5,-185,435,141.125,0.02378244,unconstrained_all_intents
0617T005_8_input,sell,100,1,250,5934,5705,0.961409,144590,24.366363,5,-185,435,144.59,0.02436636,unconstrained_all_intents
0617T005_8_input,sell,100,1,500,5934,5666,0.954837,178830,30.136502,5,-170,435,178.83,0.0301365,unconstrained_all_intents
0617T005_8_input,sell,100,1,1000,5928,5534,0.933536,256665,43.297065,15,-390,435,256.665,0.04329706,unconstrained_all_intents
0617T005_8_input,sell,100,1,5000,5910,4454,0.753638,434425,73.506768,55,-615,815,434.425,0.07350677,unconstrained_all_intents
0617T005_8_input,sell,100,1,10000,5899,4027,0.682658,506830,85.917952,65,-965,1285,506.83,0.08591795,unconstrained_all_intents
0617T005_8_input,sell,100,2,100,4909,4778,0.973314,122740,25.003056,5,-170,435,122.74,0.02500306,unconstrained_all_intents
0617T005_8_input,sell,100,2,250,4909,4777,0.973111,125110,25.485842,5,-170,435,125.11,0.02548584,unconstrained_all_intents
0617T005_8_input,sell,100,2,500,4909,4736,0.964759,154015,31.374007,5,-170,435,154.015,0.03137401,unconstrained_all_intents
0617T005_8_input,sell,100,2,1000,4905,4618,0.941488,213105,43.446483,15,-285,435,213.105,0.04344648,unconstrained_all_intents
0617T005_8_input,sell,100,2,5000,4889,3653,0.747188,354190,72.446308,55,-615,815,354.19,0.07244631,unconstrained_all_intents
0617T005_8_input,sell,100,2,10000,4880,3316,0.679508,420205,86.107582,65,-885,1285,420.205,0.08610758,unconstrained_all_intents
0617T005_8_input,sell,100,3,100,4114,4001,0.972533,98670,23.983957,5,-170,435,98.67,0.02398396,unconstrained_all_intents
0617T005_8_input,sell,100,3,250,4114,3999,0.972047,100435,24.41298,5,-170,435,100.435,0.02441298,unconstrained_all_intents
0617T005_8_input,sell,100,3,500,4114,3960,0.962567,124015,30.144628,5,-170,435,124.015,0.03014463,unconstrained_all_intents
0617T005_8_input,sell,100,3,1000,4111,3848,0.936025,170025,41.35855,5,-285,435,170.025,0.04135855,unconstrained_all_intents
0617T005_8_input,sell,100,3,5000,4098,3024,0.737921,286870,70.00244,45,-615,815,286.87,0.07000244,unconstrained_all_intents
0617T005_8_input,sell,100,3,10000,4090,2749,0.672127,342440,83.726161,55,-835,1285,342.44,0.08372616,unconstrained_all_intents
canonical_7,buy,50,1,100,1843,1834,0.995117,76735,41.63592,15,-125,385,76.735,0.04163592,unconstrained_all_intents
canonical_7,buy,50,1,250,1843,1833,0.994574,78060,42.354856,15,-125,385,78.06,0.04235486,unconstrained_all_intents
canonical_7,buy,50,1,500,1843,1835,0.995659,94785,51.429734,25,-125,395,94.785,0.05142973,unconstrained_all_intents
canonical_7,buy,50,1,1000,1843,1830,0.992946,133100,72.219208,55,-95,595,133.1,0.07221921,unconstrained_all_intents
canonical_7,buy,50,1,5000,1841,1636,0.888647,222360,120.782184,95,-355,1665,222.36,0.12078218,unconstrained_all_intents
canonical_7,buy,50,1,10000,1841,1471,0.799022,240315,130.535035,105,-625,2105,240.315,0.13053504,unconstrained_all_intents
canonical_7,buy,50,2,100,1256,1253,0.997611,47860,38.105096,15,-105,365,47.86,0.0381051,unconstrained_all_intents
canonical_7,buy,50,2,250,1256,1253,0.997611,48505,38.618631,15,-105,365,48.505,0.03861863,unconstrained_all_intents
canonical_7,buy,50,2,500,1256,1253,0.997611,57980,46.16242,15,-105,395,57.98,0.04616242,unconstrained_all_intents
canonical_7,buy,50,2,1000,1256,1244,0.990446,80020,63.710191,35,-35,595,80.02,0.06371019,unconstrained_all_intents
canonical_7,buy,50,2,5000,1255,1101,0.877291,138685,110.505976,85,-355,1665,138.685,0.11050598,unconstrained_all_intents
canonical_7,buy,50,2,10000,1255,987,0.786454,155240,123.697211,95,-465,2105,155.24,0.12369721,unconstrained_all_intents
canonical_7,buy,50,3,100,907,906,0.998897,30045,33.125689,5,-25,365,30.045,0.03312569,unconstrained_all_intents
canonical_7,buy,50,3,250,907,905,0.997795,30300,33.406836,5,-25,365,30.3,0.03340684,unconstrained_all_intents
canonical_7,buy,50,3,500,907,905,0.997795,36075,39.77398,5,-25,395,36.075,0.03977398,unconstrained_all_intents
canonical_7,buy,50,3,1000,907,898,0.990077,50560,55.744212,20,-35,595,50.56,0.05574421,unconstrained_all_intents
canonical_7,buy,50,3,5000,907,783,0.863286,92090,101.532525,85,-355,1665,92.09,0.10153252,unconstrained_all_intents
canonical_7,buy,50,3,10000,907,707,0.779493,106755,117.701213,85,-425,2075,106.755,0.11770121,unconstrained_all_intents
canonical_7,buy,75,1,100,993,985,0.991944,55900,56.294058,35,-125,385,55.9,0.05629406,unconstrained_all_intents
canonical_7,buy,75,1,250,993,984,0.990937,56875,57.275932,45,-125,385,56.875,0.05727593,unconstrained_all_intents
canonical_7,buy,75,1,500,993,986,0.992951,69170,69.657603,55,-125,395,69.17,0.0696576,unconstrained_all_intents
canonical_7,buy,75,1,1000,993,990,0.996979,95900,96.576032,85,-95,595,95.9,0.09657603,unconstrained_all_intents
canonical_7,buy,75,1,5000,993,922,0.928499,155280,156.374622,125,-275,1665,155.28,0.15637462,unconstrained_all_intents
canonical_7,buy,75,1,10000,993,842,0.847936,169445,170.639476,135,-625,2105,169.445,0.17063948,unconstrained_all_intents
canonical_7,buy,75,2,100,581,578,0.994836,30825,53.055077,35,-105,365,30.825,0.05305508,unconstrained_all_intents
canonical_7,buy,75,2,250,581,579,0.996558,31340,53.94148,35,-105,365,31.34,0.05394148,unconstrained_all_intents
canonical_7,buy,75,2,500,581,579,0.996558,37015,63.709122,45,-105,395,37.015,0.06370912,unconstrained_all_intents
canonical_7,buy,75,2,1000,581,580,0.998279,51640,88.881239,65,-25,595,51.64,0.08888124,unconstrained_all_intents
canonical_7,buy,75,2,5000,581,541,0.931153,86985,149.716007,105,-275,1665,86.985,0.14971601,unconstrained_all_intents
canonical_7,buy,75,2,10000,581,493,0.848537,98645,169.784854,125,-465,2105,98.645,0.16978485,unconstrained_all_intents
canonical_7,buy,75,3,100,369,369,1,16870,45.718157,5,5,365,16.87,0.04571816,unconstrained_all_intents
canonical_7,buy,75,3,250,369,369,1,16975,46.00271,5,5,365,16.975,0.04600271,unconstrained_all_intents
canonical_7,buy,75,3,500,369,369,1,20785,56.327913,15,5,395,20.785,0.05632791,unconstrained_all_intents
canonical_7,buy,75,3,1000,369,369,1,29070,78.780488,45,5,595,29.07,0.07878049,unconstrained_all_intents
canonical_7,buy,75,3,5000,369,343,0.929539,52390,141.97832,85,-275,1665,52.39,0.14197832,unconstrained_all_intents
canonical_7,buy,75,3,10000,369,315,0.853659,61390,166.368564,105,-385,2075,61.39,0.16636856,unconstrained_all_intents
canonical_7,buy,100,1,100,577,570,0.987868,42330,73.362218,65,-125,365,42.33,0.07336222,unconstrained_all_intents
canonical_7,buy,100,1,250,577,570,0.987868,43095,74.688042,65,-125,365,43.095,0.07468804,unconstrained_all_intents
canonical_7,buy,100,1,500,577,572,0.991334,52845,91.585789,75,-125,395,52.845,0.09158579,unconstrained_all_intents
canonical_7,buy,100,1,1000,577,575,0.996534,71785,124.410745,115,-25,595,71.785,0.12441075,unconstrained_all_intents
canonical_7,buy,100,1,5000,577,539,0.934142,113375,196.490468,155,-275,1665,113.375,0.19649047,unconstrained_all_intents
canonical_7,buy,100,1,10000,577,500,0.866551,124740,216.187175,175,-625,2105,124.74,0.21618718,unconstrained_all_intents
canonical_7,buy,100,2,100,290,288,0.993103,20710,71.413793,55,-35,365,20.71,0.07141379,unconstrained_all_intents
canonical_7,buy,100,2,250,290,289,0.996552,21015,72.465517,55,-25,365,21.015,0.07246552,unconstrained_all_intents
canonical_7,buy,100,2,500,290,289,0.996552,25080,86.482759,75,-25,395,25.08,0.08648276,unconstrained_all_intents
canonical_7,buy,100,2,1000,290,289,0.996552,35175,121.293103,97.5,-25,595,35.175,0.1212931,unconstrained_all_intents
canonical_7,buy,100,2,5000,290,272,0.937931,57625,198.706897,145,-275,1665,57.625,0.1987069,unconstrained_all_intents
canonical_7,buy,100,2,10000,290,251,0.865517,66490,229.275862,175,-465,2105,66.49,0.22927586,unconstrained_all_intents
canonical_7,buy,100,3,100,177,177,1,11300,63.841808,25,5,365,11.3,0.06384181,unconstrained_all_intents
canonical_7,buy,100,3,250,177,177,1,11405,64.435028,35,5,365,11.405,0.06443503,unconstrained_all_intents
canonical_7,buy,100,3,500,177,177,1,13785,77.881356,45,5,375,13.785,0.07788136,unconstrained_all_intents
canonical_7,buy,100,3,1000,177,177,1,19470,110,85,5,595,19.47,0.11,unconstrained_all_intents
canonical_7,buy,100,3,5000,177,164,0.926554,33100,187.00565,125,-275,1665,33.1,0.18700565,unconstrained_all_intents
canonical_7,buy,100,3,10000,177,153,0.864407,37570,212.259887,155,-385,2075,37.57,0.21225989,unconstrained_all_intents
canonical_7,sell,50,1,100,10981,10542,0.960022,178630,16.267189,5,-185,435,178.63,0.01626719,unconstrained_all_intents
canonical_7,sell,50,1,250,10981,10536,0.959475,182755,16.642838,5,-185,435,182.755,0.01664284,unconstrained_all_intents
canonical_7,sell,50,1,500,10979,10435,0.950451,219955,20.034156,5,-235,435,219.955,0.02003416,unconstrained_all_intents
canonical_7,sell,50,1,1000,10973,10126,0.922811,304385,27.739451,5,-390,435,304.385,0.02773945,unconstrained_all_intents
canonical_7,sell,50,1,5000,10949,8076,0.737602,531595,48.551923,25,-835,815,531.595,0.04855192,unconstrained_all_intents
canonical_7,sell,50,1,10000,10919,7245,0.663522,624885,57.229142,45,-1905,1285,624.885,0.05722914,unconstrained_all_intents
canonical_7,sell,50,2,100,9838,9555,0.971234,168490,17.126448,5,-185,435,168.49,0.01712645,unconstrained_all_intents
canonical_7,sell,50,2,250,9838,9548,0.970522,171880,17.471031,5,-185,435,171.88,0.01747103,unconstrained_all_intents
canonical_7,sell,50,2,500,9836,9451,0.960858,205375,20.879931,5,-235,435,205.375,0.02087993,unconstrained_all_intents
canonical_7,sell,50,2,1000,9830,9150,0.930824,278670,28.348932,5,-285,435,278.67,0.02834893,unconstrained_all_intents
canonical_7,sell,50,2,5000,9811,7233,0.737234,476720,48.590358,25,-835,815,476.72,0.04859036,unconstrained_all_intents
canonical_7,sell,50,2,10000,9788,6505,0.664589,568450,58.076216,45,-1905,1285,568.45,0.05807622,unconstrained_all_intents
canonical_7,sell,50,3,100,8840,8593,0.972059,150145,16.984729,5,-185,435,150.145,0.01698473,unconstrained_all_intents
canonical_7,sell,50,3,250,8840,8587,0.97138,153100,17.319005,5,-185,435,153.1,0.017319,unconstrained_all_intents
canonical_7,sell,50,3,500,8838,8492,0.960851,182575,20.657954,5,-235,435,182.575,0.02065795,unconstrained_all_intents
canonical_7,sell,50,3,1000,8834,8220,0.930496,245680,27.810731,5,-285,435,245.68,0.02781073,unconstrained_all_intents
canonical_7,sell,50,3,5000,8820,6497,0.736621,426185,48.320295,25,-835,815,426.185,0.04832029,unconstrained_all_intents
canonical_7,sell,50,3,10000,8802,5841,0.663599,513615,58.352079,45,-1905,1285,513.615,0.05835208,unconstrained_all_intents
canonical_7,sell,75,1,100,7757,7452,0.960681,159010,20.498904,5,-185,435,159.01,0.0204989,unconstrained_all_intents
canonical_7,sell,75,1,250,7757,7451,0.960552,162965,21.008766,5,-185,435,162.965,0.02100877,unconstrained_all_intents
canonical_7,sell,75,1,500,7756,7386,0.952295,199290,25.694946,5,-195,435,199.29,0.02569495,unconstrained_all_intents
canonical_7,sell,75,1,1000,7750,7178,0.926194,281040,36.263226,5,-390,435,281.04,0.03626323,unconstrained_all_intents
canonical_7,sell,75,1,5000,7729,5747,0.743563,482725,62.456333,45,-835,815,482.725,0.06245633,unconstrained_all_intents
canonical_7,sell,75,1,10000,7706,5185,0.672852,560625,72.751752,55,-1905,1285,560.625,0.07275175,unconstrained_all_intents
canonical_7,sell,75,2,100,6657,6465,0.971158,143515,21.55851,5,-185,435,143.515,0.02155851,unconstrained_all_intents
canonical_7,sell,75,2,250,6657,6464,0.971008,146300,21.976866,5,-185,435,146.3,0.02197687,unconstrained_all_intents
canonical_7,sell,75,2,500,6656,6400,0.961538,178225,26.776593,5,-195,435,178.225,0.02677659,unconstrained_all_intents
canonical_7,sell,75,2,1000,6650,6208,0.933534,244345,36.743609,5,-285,435,244.345,0.03674361,unconstrained_all_intents
canonical_7,sell,75,2,5000,6634,4913,0.740579,414945,62.548236,45,-685,815,414.945,0.06254824,unconstrained_all_intents
canonical_7,sell,75,2,10000,6614,4452,0.673118,489915,74.072422,55,-965,1285,489.915,0.07407242,unconstrained_all_intents
canonical_7,sell,75,3,100,5760,5597,0.971701,120905,20.990451,5,-185,435,120.905,0.02099045,unconstrained_all_intents
canonical_7,sell,75,3,250,5760,5595,0.971354,123270,21.401042,5,-185,435,123.27,0.02140104,unconstrained_all_intents
canonical_7,sell,75,3,500,5759,5531,0.96041,150675,26.163396,5,-170,435,150.675,0.0261634,unconstrained_all_intents
canonical_7,sell,75,3,1000,5755,5359,0.93119,204475,35.529974,5,-285,435,204.475,0.03552997,unconstrained_all_intents
canonical_7,sell,75,3,5000,5742,4224,0.735632,355340,61.884361,45,-685,815,355.34,0.06188436,unconstrained_all_intents
canonical_7,sell,75,3,10000,5725,3841,0.670917,427835,74.731004,55,-915,1285,427.835,0.074731,unconstrained_all_intents
canonical_7,sell,100,1,100,5574,5357,0.961069,138730,24.888769,5,-185,435,138.73,0.02488877,unconstrained_all_intents
canonical_7,sell,100,1,250,5574,5356,0.96089,142195,25.510405,5,-185,435,142.195,0.02551041,unconstrained_all_intents
canonical_7,sell,100,1,500,5574,5317,0.953893,176435,31.653211,5,-170,435,176.435,0.03165321,unconstrained_all_intents
canonical_7,sell,100,1,1000,5568,5196,0.93319,253130,45.461566,25,-390,435,253.13,0.04546157,unconstrained_all_intents
canonical_7,sell,100,1,5000,5552,4203,0.757024,428340,77.150576,65,-615,815,428.34,0.07715058,unconstrained_all_intents
canonical_7,sell,100,1,10000,5541,3813,0.688143,499560,90.157011,75,-965,1285,499.56,0.09015701,unconstrained_all_intents
canonical_7,sell,100,2,100,4565,4442,0.973056,120325,26.35816,5,-170,435,120.325,0.02635816,unconstrained_all_intents
canonical_7,sell,100,2,250,4565,4441,0.972837,122695,26.877327,5,-170,435,122.695,0.02687733,unconstrained_all_intents
canonical_7,sell,100,2,500,4565,4400,0.963855,151600,33.2092,5,-170,435,151.6,0.0332092,unconstrained_all_intents
canonical_7,sell,100,2,1000,4561,4290,0.940583,209440,45.919754,15,-285,435,209.44,0.04591975,unconstrained_all_intents
canonical_7,sell,100,2,5000,4547,3409,0.749725,348415,76.625247,60,-615,815,348.415,0.07662525,unconstrained_all_intents
canonical_7,sell,100,2,10000,4538,3109,0.685104,413025,91.014764,75,-885,1285,413.025,0.09101476,unconstrained_all_intents
canonical_7,sell,100,3,100,3788,3683,0.972281,96345,25.434266,5,-170,435,96.345,0.02543427,unconstrained_all_intents
canonical_7,sell,100,3,250,3788,3681,0.971753,98110,25.900211,5,-170,435,98.11,0.02590021,unconstrained_all_intents
canonical_7,sell,100,3,500,3788,3642,0.961457,121690,32.125132,5,-170,435,121.69,0.03212513,unconstrained_all_intents
canonical_7,sell,100,3,1000,3785,3538,0.934742,166520,43.994716,15,-285,435,166.52,0.04399472,unconstrained_all_intents
canonical_7,sell,100,3,5000,3774,2792,0.739799,281095,74.481982,55,-615,815,281.095,0.07448198,unconstrained_all_intents
