sample_id,source_row_index,hyperliquid_decision_ts,threshold_ticks,persistence_count,basis_mid_ticks,side_intent,quote_price,quote_distance_ticks,post_only,crossing,size_btc,position_after_btc,cap_check,cancel_reason
cross_exchange_public_sample_0602T001,109,1780378360538146252,10,3,-149.5,sell,70694,5,true,false,0.01,-0.04,pass,
cross_exchange_public_sample_0602T001,17,1780378314538146252,20,1,-37.5,sell,70596,5,true,false,0.01,-0.01,pass,
cross_exchange_public_sample_0602T001,19,1780378315538146252,20,1,-157.5,sell,70608,5,true,false,0.01,-0.02,pass,
cross_exchange_public_sample_0602T001,27,1780378319538146252,20,1,-45.5,sell,70608,5,true,false,0.01,-0.03,pass,
cross_exchange_public_sample_0602T001,29,1780378320538146252,20,1,-35.5,sell,70612,5,true,false,0.01,-0.04,pass,
cross_exchange_public_sample_0602T001,17,1780378314538146252,20,2,-37.5,sell,70596,5,true,false,0.01,-0.01,pass,
cross_exchange_public_sample_0602T001,19,1780378315538146252,20,2,-157.5,sell,70608,5,true,false,0.01,-0.02,pass,
cross_exchange_public_sample_0602T001,27,1780378319538146252,20,2,-45.5,sell,70608,5,true,false,0.01,-0.03,pass,
cross_exchange_public_sample_0602T001,30,1780378321038146252,20,2,-92.5,sell,70617,5,true,false,0.01,-0.04,pass,
cross_exchange_public_sample_0602T001,17,1780378314538146252,20,3,-37.5,sell,70596,5,true,false,0.01,-0.01,pass,
cross_exchange_public_sample_0602T001,19,1780378315538146252,20,3,-157.5,sell,70608,5,true,false,0.01,-0.02,pass,
cross_exchange_public_sample_0602T001,27,1780378319538146252,20,3,-45.5,sell,70608,5,true,false,0.01,-0.03,pass,
cross_exchange_public_sample_0602T001,109,1780378360538146252,20,3,-149.5,sell,70694,5,true,false,0.01,-0.04,pass,
cross_exchange_public_sample_0602T001,17,1780378314538146252,30,1,-37.5,sell,70596,5,true,false,0.01,-0.01,pass,
cross_exchange_public_sample_0602T001,19,1780378315538146252,30,1,-157.5,sell,70608,5,true,false,0.01,-0.02,pass,
cross_exchange_public_sample_0602T001,27,1780378319538146252,30,1,-45.5,sell,70608,5,true,false,0.01,-0.03,pass,
cross_exchange_public_sample_0602T001,29,1780378320538146252,30,1,-35.5,sell,70612,5,true,false,0.01,-0.04,pass,
cross_exchange_public_sample_0602T001,17,1780378314538146252,30,2,-37.5,sell,70596,5,true,false,0.01,-0.01,pass,
cross_exchange_public_sample_0602T001,19,1780378315538146252,30,2,-157.5,sell,70608,5,true,false,0.01,-0.02,pass,
cross_exchange_public_sample_0602T001,27,1780378319538146252,30,2,-45.5,sell,70608,5,true,false,0.01,-0.03,pass,
cross_exchange_public_sample_0602T001,30,1780378321038146252,30,2,-92.5,sell,70617,5,true,false,0.01,-0.04,pass,
cross_exchange_public_sample_0602T001,17,1780378314538146252,30,3,-37.5,sell,70596,5,true,false,0.01,-0.01,pass,
cross_exchange_public_sample_0602T001,19,1780378315538146252,30,3,-157.5,sell,70608,5,true,false,0.01,-0.02,pass,
cross_exchange_public_sample_0602T001,27,1780378319538146252,30,3,-45.5,sell,70608,5,true,false,0.01,-0.03,pass,
cross_exchange_public_sample_0602T001,109,1780378360538146252,30,3,-149.5,sell,70694,5,true,false,0.01,-0.04,pass,
cross_exchange_public_sample_0602T001,19,1780378315538146252,40,1,-157.5,sell,70608,5,true,false,0.01,-0.01,pass,
cross_exchange_public_sample_0602T001,27,1780378319538146252,40,1,-45.5,sell,70608,5,true,false,0.01,-0.02,pass,
cross_exchange_public_sample_0602T001,30,1780378321038146252,40,1,-92.5,sell,70617,5,true,false,0.01,-0.03,pass,
cross_exchange_public_sample_0602T001,42,1780378327038146252,40,1,-56.5,sell,70630,25,true,false,0.01,-0.04,pass,
cross_exchange_public_sample_0602T001,27,1780378319538146252,40,2,-45.5,sell,70608,5,true,false,0.01,-0.01,pass,
cross_exchange_public_sample_0602T001,109,1780378360538146252,40,2,-149.5,sell,70694,5,true,false,0.01,-0.02,pass,
cross_exchange_public_sample_0602T001,110,1780378361038146252,40,2,-218.5,sell,70694,5,true,false,0.01,-0.03,pass,
cross_exchange_public_sample_0602T001,135,1780378373538146252,40,2,-134.5,sell,70689,5,true,false,0.01,-0.04,pass,
cross_exchange_public_sample_0602T001,27,1780378319538146252,40,3,-45.5,sell,70608,5,true,false,0.01,-0.01,pass,
cross_exchange_public_sample_0602T001,109,1780378360538146252,40,3,-149.5,sell,70694,5,true,false,0.01,-0.02,pass,
cross_exchange_public_sample_0602T001,110,1780378361038146252,40,3,-218.5,sell,70694,5,true,false,0.01,-0.03,pass,
cross_exchange_public_sample_0602T001,135,1780378373538146252,40,3,-134.5,sell,70689,5,true,false,0.01,-0.04,pass,
cross_exchange_public_sample_0602T001,19,1780378315538146252,50,1,-157.5,sell,70608,5,true,false,0.01,-0.01,pass,
cross_exchange_public_sample_0602T001,30,1780378321038146252,50,1,-92.5,sell,70617,5,true,false,0.01,-0.02,pass,
cross_exchange_public_sample_0602T001,42,1780378327038146252,50,1,-56.5,sell,70630,25,true,false,0.01,-0.03,pass,
cross_exchange_public_sample_0602T001,109,1780378360538146252,50,1,-149.5,sell,70694,5,true,false,0.01,-0.04,pass,
cross_exchange_public_sample_0602T001,109,1780378360538146252,50,2,-149.5,sell,70694,5,true,false,0.01,-0.01,pass,
cross_exchange_public_sample_0602T001,110,1780378361038146252,50,2,-218.5,sell,70694,5,true,false,0.01,-0.02,pass,
cross_exchange_public_sample_0602T001,135,1780378373538146252,50,2,-134.5,sell,70689,5,true,false,0.01,-0.03,pass,
cross_exchange_public_sample_0602T001,136,1780378374038146252,50,2,-134.5,sell,70689,5,true,false,0.01,-0.04,pass,
cross_exchange_public_sample_0602T001,109,1780378360538146252,50,3,-149.5,sell,70694,5,true,false,0.01,-0.01,pass,
cross_exchange_public_sample_0602T001,110,1780378361038146252,50,3,-218.5,sell,70694,5,true,false,0.01,-0.02,pass,
cross_exchange_public_sample_0602T001,135,1780378373538146252,50,3,-134.5,sell,70689,5,true,false,0.01,-0.03,pass,
cross_exchange_public_sample_0602T001,136,1780378374038146252,50,3,-134.5,sell,70689,5,true,false,0.01,-0.04,pass,
cross_exchange_public_sample_0602T001,19,1780378315538146252,75,1,-157.5,sell,70608,5,true,false,0.01,-0.01,pass,
cross_exchange_public_sample_0602T001,30,1780378321038146252,75,1,-92.5,sell,70617,5,true,false,0.01,-0.02,pass,
cross_exchange_public_sample_0602T001,109,1780378360538146252,75,1,-149.5,sell,70694,5,true,false,0.01,-0.03,pass,
cross_exchange_public_sample_0602T001,110,1780378361038146252,75,1,-218.5,sell,70694,5,true,false,0.01,-0.04,pass,
cross_exchange_public_sample_0602T001,109,1780378360538146252,75,2,-149.5,sell,70694,5,true,false,0.01,-0.01,pass,
cross_exchange_public_sample_0602T001,110,1780378361038146252,75,2,-218.5,sell,70694,5,true,false,0.01,-0.02,pass,
cross_exchange_public_sample_0602T001,135,1780378373538146252,75,2,-134.5,sell,70689,5,true,false,0.01,-0.03,pass,
cross_exchange_public_sample_0602T001,136,1780378374038146252,75,2,-134.5,sell,70689,5,true,false,0.01,-0.04,pass,
cross_exchange_public_sample_0602T001,109,1780378360538146252,75,3,-149.5,sell,70694,5,true,false,0.01,-0.01,pass,
cross_exchange_public_sample_0602T001,110,1780378361038146252,75,3,-218.5,sell,70694,5,true,false,0.01,-0.02,pass,
cross_exchange_public_sample_0602T001,135,1780378373538146252,75,3,-134.5,sell,70689,5,true,false,0.01,-0.03,pass,
cross_exchange_public_sample_0602T001,136,1780378374038146252,75,3,-134.5,sell,70689,5,true,false,0.01,-0.04,pass,
cross_exchange_public_sample_0602T001,19,1780378315538146252,100,1,-157.5,sell,70608,5,true,false,0.01,-0.01,pass,
cross_exchange_public_sample_0602T001,109,1780378360538146252,100,1,-149.5,sell,70694,5,true,false,0.01,-0.02,pass,
cross_exchange_public_sample_0602T001,110,1780378361038146252,100,1,-218.5,sell,70694,5,true,false,0.01,-0.03,pass,
cross_exchange_public_sample_0602T001,135,1780378373538146252,100,1,-134.5,sell,70689,5,true,false,0.01,-0.04,pass,
cross_exchange_public_sample_0602T001,110,1780378361038146252,100,2,-218.5,sell,70694,5,true,false,0.01,-0.01,pass,
cross_exchange_public_sample_0602T001,135,1780378373538146252,100,2,-134.5,sell,70689,5,true,false,0.01,-0.02,pass,
cross_exchange_public_sample_0602T001,136,1780378374038146252,100,2,-134.5,sell,70689,5,true,false,0.01,-0.03,pass,
cross_exchange_public_sample_0602T001,162,1780378387038146252,100,2,-164.5,sell,70689,5,true,false,0.01,-0.04,pass,
cross_exchange_public_sample_0602T001,136,1780378374038146252,100,3,-134.5,sell,70689,5,true,false,0.01,-0.01,pass,
cross_exchange_public_sample_0602T001,162,1780378387038146252,100,3,-164.5,sell,70689,5,true,false,0.01,-0.02,pass,
cross_exchange_public_sample_0602T001,177,1780378394538146252,100,3,-117.5,sell,70692,5,true,false,0.01,-0.03,pass,
cross_exchange_public_sample_0602T001,205,1780378408538146252,100,3,-166.5,sell,70708,5,true,false,0.01,-0.04,pass,
