session,segment_id,side,support_row_count,interval_likelihood_row_count,binary_row_count,event_observed_count,full_horizon_right_censor_count,horizon_straddle_count,geometric_exclusion_count,canonical_projection_sha256,first_grid_ts_ns,last_grid_ts_ns
aug03,segment_0006,maker_ask_risk,179982,179970,179970,1505,178465,0,12,ab098591a7453c3537ba3e298ea763205af1acd820fca40daccde5bd7f3649a8,1785722595600000000,1785724395410000000
aug03,segment_0006,maker_bid_risk,179982,179970,179970,1360,178610,0,12,808f0002ae9b03f6ad1a3cff1ce726b7463be068a96f4bf3031f916866932d78,1785722595600000000,1785724395410000000
aug03,segment_0007,maker_ask_risk,179982,179974,179974,1088,178886,0,8,c27725845bbaa1078863e107b47d5124b71ed9167f4295283a3ca5854d576108,1785724396550000000,1785726196360000000
aug03,segment_0007,maker_bid_risk,179982,179974,179974,938,179036,0,8,2048c362734c3900023fafcb523129a7330b0ee970b07ba44d603961132748d6,1785724396550000000,1785726196360000000
aug03,segment_0008,maker_ask_risk,179980,179975,179975,817,179158,0,5,bab409710f5a2d4469ea2eb142b8f3946c2a9dd9c7a11ab902ca145ebd07dae1,1785726197250000000,1785727997040000000
aug03,segment_0008,maker_bid_risk,179980,179975,179975,836,179139,0,5,62cbbe45ebd8d3789a29cebe4b4e31727c5cf35fbbd6c49534d4be7996167cdc,1785726197250000000,1785727997040000000
aug03,segment_0009,maker_ask_risk,179979,179966,179966,830,179136,0,13,075533ca17b2282859445b41bed270cec92191dbbd3bfe7b41db3ffc0feca721,1785727997930000000,1785729797710000000
aug03,segment_0009,maker_bid_risk,179979,179966,179966,917,179049,0,13,37f3b00f3a2e3c8fa8db8dbede569efcd4c9c843557aedd5668f13eb2ec2af31,1785727997930000000,1785729797710000000
aug03,segment_0010,maker_ask_risk,179983,179965,179965,869,179096,0,18,a10d0024dec5a84eb26bf9142f3b90e201ee41f7e4b6b37b5a0a7052f663e91c,1785729798600000000,1785731598420000000
aug03,segment_0010,maker_bid_risk,179983,179965,179965,945,179020,0,18,577462df12ff533508f2c605ac06dc9c596fca9378ed982ccfa6603005cc82c1,1785729798600000000,1785731598420000000
aug04,segment_0001,maker_ask_risk,719981,719976,719976,9220,710756,0,5,3893ee3287956170cde233a61cf0a0c023a68afff0605e9ff0c52f7b010255fe,1785805122760000000,1785812322560000000
aug04,segment_0001,maker_bid_risk,719981,719976,719976,8723,711253,0,5,23cb57dab206808fcbcde245bafa1b091170a14ca0f0ee89cb4f4fce7237fbf0,1785805122760000000,1785812322560000000
