event_kind,event_time_ms,local_receive_time_ms,bid_px,ask_px,bid_depth_btc,ask_depth_btc,trade_px,trade_size_btc,aggressor_side,trade_id
trade,1784713666517,1784713669582,,,,,65847.0,0.00154,buy,820551833365898
trade,1784713666716,1784713669582,,,,,65847.0,0.02899,buy,989994068602271
trade,1784713666716,1784713669582,,,,,65847.0,0.03468,buy,466213624110785
trade,1784713667387,1784713669582,,,,,65846.0,0.00417,sell,674193318668230
trade,1784713668058,1784713669582,,,,,65846.0,0.00052,sell,936245921532661
trade,1784713669268,1784713669582,,,,,65847.0,0.00268,buy,585549890117654
trade,1784713669268,1784713669582,,,,,65847.0,0.00077,buy,53017680153214
book,1784713669471,1784713669724,65846.0,65847.0,5.60391,2.00185,,,,
book,1784713669999,1784713670219,65846.0,65847.0,5.60391,0.7846,,,,
trade,1784713670075,1784713670303,,,,,65847.0,0.00017,buy,1087059855210004
trade,1784713670476,1784713670674,,,,,65846.0,0.00345,sell,30731625202219
book,1784713670539,1784713670780,65846.0,65847.0,5.60646,0.78352,,,,
book,1784713671080,1784713671331,65846.0,65847.0,5.60646,0.78352,,,,
book,1784713671607,1784713671860,65846.0,65847.0,5.60645,0.93335,,,,
book,1784713672151,1784713672419,65846.0,65847.0,5.60709,0.93335,,,,
trade,1784713672557,1784713672749,,,,,65846.0,0.00469,sell,828346500968231
book,1784713672689,1784713672946,65846.0,65847.0,5.6024,0.93335,,,,
book,1784713673216,1784713673445,65846.0,65847.0,5.6024,3.61903,,,,
trade,1784713673694,1784713673883,,,,,65847.0,0.00469,buy,965071390795386
book,1784713673763,1784713674094,65846.0,65847.0,5.6024,1.38626,,,,
book,1784713674298,1784713674569,65846.0,65847.0,6.36229,3.76621,,,,
book,1784713674824,1784713675061,65846.0,65847.0,5.69235,0.70205,,,,
book,1784713675373,1784713675625,65846.0,65847.0,5.78217,0.73249,,,,
trade,1784713675709,1784713675892,,,,,65846.0,0.00376,sell,1019923761562270
book,1784713675913,1784713676162,65846.0,65847.0,5.77841,0.13042,,,,
book,1784713676435,1784713676678,65846.0,65847.0,3.89212,0.13042,,,,
trade,1784713676915,1784713677252,,,,,65847.0,0.00376,buy,429995838420384
book,1784713676982,1784713677252,65846.0,65847.0,5.77841,0.23921,,,,
trade,1784713677038,1784713677345,,,,,65846.0,0.00055,sell,969323677458153
book,1784713677521,1784713677748,65846.0,65847.0,6.5013,0.23921,,,,
book,1784713678045,1784713678329,65846.0,65847.0,6.5009,0.23921,,,,
book,1784713678647,1784713678912,65846.0,65847.0,6.65975,0.23921,,,,
trade,1784713678920,1784713679109,,,,,65846.0,0.00516,sell,914163873169015
trade,1784713679049,1784713679293,,,,,65846.0,0.02561,sell,813761154093258
book,1784713679197,1784713679501,65846.0,65847.0,6.62898,0.12666,,,,
book,1784713679729,1784713679965,65846.0,65847.0,6.62898,0.12666,,,,
trade,1784713680135,1784713680314,,,,,65847.0,0.00516,buy,288347952177862
book,1784713680256,1784713680529,65846.0,65847.0,6.51735,0.1215,,,,
book,1784713680809,1784713681074,65846.0,65847.0,6.51398,0.7469,,,,
trade,1784713681009,1784713681237,,,,,65846.0,0.00331,sell,728554937841595
book,1784713681340,1784713681590,65846.0,65847.0,6.51067,0.25479,,,,
book,1784713681866,1784713682232,65846.0,65847.0,6.51068,0.25479,,,,
trade,1784713682016,1784713682309,,,,,65846.0,0.00645,sell,561631916277542
trade,1784713682214,1784713682418,,,,,65847.0,0.00052,buy,434196384580604
trade,1784713682214,1784713682418,,,,,65848.0,0.00049,buy,510348518413755
trade,1784713682214,1784713682418,,,,,65848.0,0.05285,buy,246953242189993
book,1784713682420,1784713682738,65853.0,65854.0,5.39826,0.05943,,,,
trade,1784713682619,1784713682838,,,,,65854.0,0.001,buy,673031870174963
trade,1784713682619,1784713682838,,,,,65854.0,0.0022,buy,114456081987483
trade,1784713682619,1784713682838,,,,,65854.0,0.00284,buy,187864000634381
book,1784713682955,1784713683207,65853.0,65854.0,23.64142,0.00475,,,,
trade,1784713683152,1784713683356,,,,,65854.0,0.00475,buy,496524986922666
trade,1784713683152,1784713683356,,,,,65855.0,0.00016,buy,212013735733045
trade,1784713683152,1784713683356,,,,,65856.0,0.00016,buy,333516091817420
trade,1784713683152,1784713683356,,,,,65858.0,0.01402,buy,311333737188099
trade,1784713683152,1784713683356,,,,,65858.0,0.01461,buy,1089825106342618
trade,1784713683351,1784713683553,,,,,65858.0,0.00645,buy,894079353404788
book,1784713683475,1784713683729,65857.0,65858.0,8.11021,0.00699,,,,
book,1784713684023,1784713684322,65857.0,65858.0,19.25387,0.02101,,,,
book,1784713684557,1784713684848,65857.0,65858.0,19.37339,0.17284,,,,
book,1784713685086,1784713685314,65857.0,65858.0,21.75699,0.17284,,,,
trade,1784713685227,1784713685420,,,,,65857.0,0.001,sell,1023521537139595
trade,1784713685227,1784713685420,,,,,65857.0,0.00448,sell,588362347826946
book,1784713685632,1784713685882,65857.0,65858.0,19.51254,0.02101,,,,
trade,1784713686036,1784713686284,,,,,65857.0,0.002,sell,124712787986323
book,1784713686170,1784713686435,65858.0,65859.0,14.67361,0.00217,,,,
trade,1784713686238,1784713686435,,,,,65859.0,0.00152,buy,704850692458086
trade,1784713686238,1784713686435,,,,,65859.0,0.00016,buy,905400866972719
trade,1784713686238,1784713686435,,,,,65859.0,0.00049,buy,539597381983538
trade,1784713686238,1784713686435,,,,,65860.0,0.00017,buy,894644048536437
trade,1784713686238,1784713686435,,,,,65861.0,0.00095,buy,34911877831017
trade,1784713686238,1784713686435,,,,,65861.0,0.00125,buy,992948090255557
trade,1784713686238,1784713686435,,,,,65861.0,0.00016,buy,900988938753342
trade,1784713686238,1784713686435,,,,,65861.0,0.00046,buy,609666138901671
trade,1784713686446,1784713686656,,,,,65864.0,0.00548,buy,875946341455868
book,1784713686702,1784713686968,65863.0,65864.0,15.88091,0.20178,,,,
book,1784713687250,1784713687582,65863.0,65864.0,19.60299,0.79585,,,,
book,1784713687785,1784713688041,65863.0,65864.0,17.47585,0.72342,,,,
trade,1784713688117,1784713688314,,,,,65863.0,0.00361,sell,292307121877999
book,1784713688325,1784713688601,65863.0,65864.0,17.43826,0.644,,,,
trade,1784713688390,1784713688602,,,,,65863.0,0.00454,sell,862225678182697
book,1784713688858,1784713689124,65863.0,65864.0,19.65683,1.22123,,,,
trade,1784713689059,1784713689303,,,,,65864.0,0.00017,buy,449300804923950
book,1784713689389,1784713689612,65863.0,65864.0,16.00543,1.42864,,,,
trade,1784713689667,1784713689860,,,,,65864.0,0.00454,buy,724363647626158
trade,1784713689866,1784713690059,,,,,65863.0,0.01275,sell,1038139928162784
book,1784713689934,1784713690232,65863.0,65864.0,15.90468,1.25847,,,,
trade,1784713689934,1784713690232,,,,,65864.0,0.00303,buy,393439772302483
trade,1784713690001,1784713690292,,,,,65864.0,0.04165,buy,122157035144831
trade,1784713690001,1784713690292,,,,,65864.0,0.00022,buy,1003177557547550
trade,1784713690001,1784713690292,,,,,65864.0,0.00017,buy,573022366183040
trade,1784713690001,1784713690292,,,,,65864.0,0.00017,buy,422696731090972
trade,1784713690001,1784713690292,,,,,65864.0,0.08153,buy,609344418639813
book,1784713690475,1784713690730,65863.0,65864.0,15.96268,0.55458,,,,
book,1784713691009,1784713691317,65863.0,65864.0,15.96268,0.41611,,,,
book,1784713691544,1784713691864,65863.0,65864.0,15.81082,0.19611,,,,
trade,1784713691612,1784713691864,,,,,65863.0,0.00367,sell,146743571716706
book,1784713692081,1784713692426,65863.0,65864.0,17.93428,0.19627,,,,
book,1784713692616,1784713692898,65863.0,65864.0,23.83274,0.00038,,,,
trade,1784713692957,1784713693161,,,,,65864.0,0.00022,buy,474638101109766
trade,1784713692957,1784713693161,,,,,65864.0,0.00016,buy,816081132773961
trade,1784713692957,1784713693161,,,,,65865.0,0.00222,buy,772303796800211
trade,1784713693024,1784713693254,,,,,65865.0,0.00017,buy,1097049160960089
trade,1784713693024,1784713693254,,,,,65865.0,0.00367,buy,566930661104704
book,1784713693161,1784713693434,65864.0,65865.0,13.0884,1.06968,,,,
book,1784713693687,1784713693942,65864.0,65865.0,22.53683,1.06952,,,,
trade,1784713694167,1784713694379,,,,,65865.0,0.00032,buy,700097823022601
book,1784713694232,1784713694483,65864.0,65865.0,23.06522,1.0692,,,,
trade,1784713694568,1784713694772,,,,,65865.0,0.15295,buy,212102442591868
book,1784713694769,1784713695037,65864.0,65865.0,23.06522,0.91581,,,,
trade,1784713694769,1784713695037,,,,,65865.0,0.00044,buy,1040698343926960
trade,1784713694971,1784713695181,,,,,65864.0,0.001,sell,802071087853659
trade,1784713694971,1784713695181,,,,,65864.0,0.00345,sell,1006951501529292
trade,1784713695038,1784713695297,,,,,65865.0,0.00017,buy,1081609976460102
trade,1784713695038,1784713695297,,,,,65864.0,0.00062,sell,662434509137231
book,1784713695308,1784713695620,65864.0,65865.0,20.95876,0.91564,,,,
trade,1784713695386,1784713695620,,,,,65865.0,0.91515,buy,54020419407608
trade,1784713695386,1784713695620,,,,,65865.0,0.00049,buy,171648382770309
trade,1784713695710,1784713695990,,,,,65865.0,0.001,sell,819041304430444
trade,1784713695710,1784713695990,,,,,65865.0,0.04325,sell,187926624648889
book,1784713695856,1784713696117,65866.0,65867.0,8.94475,0.01402,,,,
trade,1784713696182,1784713696386,,,,,65867.0,0.00445,buy,340913457739963
trade,1784713696257,1784713696462,,,,,65867.0,0.00957,buy,277640131808263
book,1784713696381,1784713696651,65867.0,65868.0,6.46937,0.06555,,,,
book,1784713696995,1784713697430,65867.0,65868.0,16.11407,0.23124,,,,
book,1784713697607,1784713697893,65867.0,65868.0,16.4981,0.15183,,,,
trade,1784713697607,1784713697893,,,,,65867.0,0.00087,sell,406608281645560
trade,1784713698007,1784713698261,,,,,65867.0,0.00051,sell,623133567457164
book,1784713698121,1784713698359,65867.0,65868.0,15.45337,0.15183,,,,
trade,1784713698204,1784713698418,,,,,65868.0,0.00511,buy,582309208962882
trade,1784713698274,1784713698484,,,,,65867.0,0.00017,sell,1029786484047050
trade,1784713698418,1784713698630,,,,,65868.0,0.00018,buy,461450112061951
book,1784713698682,1784713698930,65867.0,65868.0,15.4532,0.76108,,,,
trade,1784713698883,1784713699108,,,,,65867.0,0.00032,sell,114736329323671
trade,1784713699003,1784713699278,,,,,65868.0,0.01741,buy,666526554781133
book,1784713699210,1784713699467,65867.0,65868.0,15.5698,0.74367,,,,
trade,1784713699508,1784713699712,,,,,65867.0,0.00511,sell,632274655990650
book,1784713699765,1784713699996,65867.0,65868.0,15.56469,0.26348,,,,
trade,1784713700042,1784713700272,,,,,65868.0,0.00017,buy,873119008696487
trade,1784713700110,1784713700307,,,,,65869.0,0.0003,buy,650302917504504
trade,1784713700244,1784713700458,,,,,65868.0,0.00027,sell,174570960796980
book,1784713700311,1784713700628,65868.0,65869.0,10.28936,0.16379,,,,
book,1784713700836,1784713701087,65868.0,65869.0,14.73891,1.26929,,,,
book,1784713701374,1784713701607,65868.0,65869.0,13.27789,1.14096,,,,
trade,1784713701451,1784713701645,,,,,65869.0,0.00513,buy,200508190094921
book,1784713701921,1784713702339,65868.0,65869.0,12.67202,1.13583,,,,
trade,1784713702325,1784713702555,,,,,65869.0,0.00018,buy,632870493064962
book,1784713702461,1784713702709,65868.0,65869.0,12.00039,0.64477,,,,
trade,1784713702664,1784713702864,,,,,65868.0,0.00513,sell,65982506828601
trade,1784713702930,1784713703183,,,,,65870.0,0.00016,buy,132241872345183
trade,1784713702930,1784713703183,,,,,65871.0,0.02866,buy,883769843736733
trade,1784713702930,1784713703183,,,,,65872.0,0.00197,buy,869387715820026
trade,1784713702930,1784713703183,,,,,65872.0,0.002,buy,474955542195787
trade,1784713702930,1784713703183,,,,,65872.0,0.0022,buy,970288853100267
trade,1784713702930,1784713703183,,,,,65872.0,0.00016,buy,923486127806500
trade,1784713702930,1784713703183,,,,,65873.0,0.01171,buy,1991330162961
trade,1784713702930,1784713703183,,,,,65873.0,0.01204,buy,191118906005826
trade,1784713702930,1784713703183,,,,,65873.0,0.08493,buy,260432353446503
book,1784713702981,1784713703256,65869.0,65873.0,12.11607,0.02725,,,,
book,1784713703531,1784713703771,65872.0,65873.0,19.62013,0.24406,,,,
book,1784713704073,1784713704384,65872.0,65873.0,16.89167,0.15183,,,,
trade,1784713704138,1784713704384,,,,,65874.0,0.00045,buy,1015332372908046
trade,1784713704538,1784713704713,,,,,65873.0,0.00075,sell,368394895910627
book,1784713704589,1784713704816,65873.0,65874.0,22.80035,0.02788,,,,
trade,1784713704642,1784713704854,,,,,65874.0,0.00339,buy,64278554605656
trade,1784713704642,1784713704854,,,,,65874.0,0.00046,buy,713089420715184
trade,1784713704642,1784713704854,,,,,65874.0,0.00092,buy,394209376772580
book,1784713705144,1784713705372,65873.0,65874.0,16.93344,0.4362,,,,
book,1784713705676,1784713706007,65873.0,65874.0,16.03925,0.52163,,,,
trade,1784713705881,1784713706101,,,,,65873.0,0.00477,sell,230685030943455
book,1784713706195,1784713706428,65873.0,65874.0,16.23704,0.67435,,,,
trade,1784713706284,1784713706497,,,,,65874.0,0.002,buy,475177499160740
trade,1784713706284,1784713706497,,,,,65874.0,0.00138,buy,560477184966814
book,1784713706725,1784713706993,65873.0,65874.0,15.41366,0.28594,,,,
trade,1784713707002,1784713707525,,,,,65873.0,0.00054,sell,252707874073200
book,1784713707287,1784713707525,65873.0,65874.0,15.41312,0.43975,,,,
book,1784713707810,1784713708077,65873.0,65874.0,15.41375,0.28412,,,,
trade,1784713707810,1784713708077,,,,,65874.0,0.00382,buy,198577688135685
book,1784713708346,1784713708605,65876.0,65877.0,4.11737,0.00434,,,,
book,1784713708882,1784713709134,65876.0,65877.0,16.45891,0.40141,,,,
trade,1784713709015,1784713709313,,,,,65876.0,0.02561,sell,1109219238824904
trade,1784713709097,1784713709313,,,,,65876.0,0.00382,sell,101774548605387
book,1784713709421,1784713709645,65876.0,65877.0,12.46024,1.51469,,,,
book,1784713709967,1784713710211,65876.0,65877.0,13.67592,3.66608,,,,
book,1784713710497,1784713710739,65876.0,65877.0,13.67592,1.39455,,,,
trade,1784713710974,1784713711170,,,,,65877.0,0.00434,buy,103603607634386
trade,1784713710974,1784713711170,,,,,65877.0,0.00218,buy,475858425390955
book,1784713711027,1784713711356,65876.0,65877.0,13.67262,1.65365,,,,
trade,1784713711027,1784713711356,,,,,65876.0,0.0033,sell,25705919855611
trade,1784713711314,1784713711542,,,,,65877.0,0.0003,buy,472191854244964
book,1784713711573,1784713711802,65876.0,65877.0,8.05305,4.2788,,,,
trade,1784713711630,1784713711852,,,,,65876.0,0.00695,sell,927939007898338
trade,1784713711630,1784713711852,,,,,65877.0,0.00059,buy,426995006484458
book,1784713712112,1784713712528,65876.0,65877.0,10.16845,4.31618,,,,
trade,1784713712178,1784713712529,,,,,65876.0,0.00652,sell,5457009081054
trade,1784713712314,1784713712529,,,,,65877.0,0.00161,buy,941213346791263
book,1784713712634,1784713712865,65876.0,65877.0,10.92145,4.53479,,,,
book,1784713713188,1784713713447,65876.0,65877.0,10.16193,4.68652,,,,
trade,1784713713572,1784713713758,,,,,65877.0,0.03643,buy,212933957621175
book,1784713713700,1784713713976,65876.0,65877.0,10.16193,4.46002,,,,
trade,1784713713794,1784713714007,,,,,65877.0,0.00018,buy,665623502038905
trade,1784713713794,1784713714007,,,,,65877.0,0.0002,buy,1012436024730759
trade,1784713714062,1784713714346,,,,,65877.0,0.0064,buy,675417106848995
book,1784713714242,1784713714525,65876.0,65877.0,10.92145,4.25582,,,,
book,1784713714800,1784713715048,65876.0,65877.0,10.61796,1.71932,,,,
trade,1784713715202,1784713715444,,,,,65877.0,0.00284,buy,512797401746523
trade,1784713715265,1784713715482,,,,,65876.0,0.0064,sell,555081946810407
book,1784713715404,1784713715691,65876.0,65877.0,10.61156,3.98801,,,,
book,1784713715926,1784713716184,65876.0,65877.0,10.91568,3.98802,,,,
trade,1784713716055,1784713716325,,,,,65876.0,0.002,sell,142400895884987
book,1784713716443,1784713716757,65876.0,65877.0,11.36908,4.17781,,,,
book,1784713717020,1784713717512,65876.0,65877.0,10.15416,4.25297,,,,
trade,1784713717224,1784713717512,,,,,65876.0,0.00337,sell,50690825436420
trade,1784713717421,1784713717805,,,,,65876.0,0.00267,sell,105921424680158
book,1784713717534,1784713717805,65876.0,65877.0,10.90764,4.0632,,,,
book,1784713718092,1784713718338,65876.0,65877.0,10.14812,1.98232,,,,
book,1784713718630,1784713718874,65876.0,65877.0,10.90764,1.90379,,,,
trade,1784713718630,1784713718874,,,,,65877.0,0.00337,buy,939846506503411
trade,1784713719032,1784713719271,,,,,65877.0,0.00017,buy,568432320013531
book,1784713719231,1784713719491,65876.0,65877.0,10.16636,1.90271,,,,
trade,1784713719631,1784713719822,,,,,65877.0,0.00368,buy,1090163060880997
book,1784713719761,1784713720014,65876.0,65877.0,10.16636,4.05594,,,,
trade,1784713720038,1784713720306,,,,,65877.0,0.09388,buy,982989049377089
trade,1784713720038,1784713720306,,,,,65877.0,0.05608,buy,379182865368409
trade,1784713720038,1784713720306,,,,,65877.0,0.03232,buy,727111906857387
book,1784713720286,1784713720526,65876.0,65877.0,10.16636,1.60305,,,,
trade,1784713720568,1784713720786,,,,,65876.0,0.006,sell,942740124260359
book,1784713720867,1784713721130,65876.0,65877.0,9.8867,4.53633,,,,
book,1784713721474,1784713721771,65876.0,65877.0,8.16706,4.25272,,,,
trade,1784713721668,1784713721876,,,,,65877.0,0.006,buy,769041388333241
book,1784713721983,1784713722239,65876.0,65877.0,9.08678,1.4766,,,,
trade,1784713721983,1784713722239,,,,,65877.0,0.01705,buy,604365377645764
book,1784713722539,1784713722816,65876.0,65877.0,10.31887,1.82093,,,,
book,1784713723139,1784713723381,65876.0,65877.0,9.7495,1.44145,,,,
trade,1784713723074,1784713723381,,,,,65877.0,0.00018,buy,94732607503588
book,1784713723604,1784713723876,65876.0,65877.0,9.7495,1.70295,,,,
trade,1784713723604,1784713723876,,,,,65877.0,0.00343,buy,594163729883276
trade,1784713724081,1784713724273,,,,,65877.0,0.00298,buy,310108597034906
book,1784713724148,1784713724401,65876.0,65877.0,9.7495,2.20175,,,,
book,1784713724686,1784713724956,65876.0,65877.0,9.74607,2.20084,,,,
trade,1784713724686,1784713724956,,,,,65876.0,0.00343,sell,119059632922132
trade,1784713725088,1784713725343,,,,,65877.0,0.00017,buy,501590874960165
trade,1784713725088,1784713725343,,,,,65876.0,0.00036,sell,986273191323494
trade,1784713725088,1784713725343,,,,,65876.0,0.01518,sell,433409184807749
book,1784713725222,1784713725470,65876.0,65877.0,9.73053,2.20067,,,,
book,1784713725763,1784713725993,65876.0,65877.0,10.49005,1.55642,,,,
book,1784713726287,1784713726559,65876.0,65877.0,9.73089,1.82135,,,,
trade,1784713726638,1784713726838,,,,,65877.0,0.00443,buy,291168485104645
book,1784713726915,1784713727201,65876.0,65877.0,9.76084,1.55108,,,,
book,1784713727520,1784713727801,65876.0,65877.0,10.52036,2.00738,,,,
trade,1784713727716,1784713727904,,,,,65876.0,0.0023,sell,745951049778314
trade,1784713727851,1784713728059,,,,,65876.0,0.00443,sell,272138457506034
book,1784713728048,1784713728368,65876.0,65877.0,7.75025,4.61534,,,,
trade,1784713728048,1784713728368,,,,,65876.0,0.00052,sell,692839177445415
book,1784713728577,1784713728836,65876.0,65877.0,9.72364,6.13438,,,,
book,1784713729119,1784713729369,65876.0,65877.0,9.72364,5.30245,,,,
trade,1784713729253,1784713729434,,,,,65877.0,0.00113,buy,728270622790616
book,1784713729661,1784713729923,65876.0,65877.0,9.72364,2.08139,,,,
trade,1784713729728,1784713729924,,,,,65876.0,0.00402,sell,800759559728036
trade,1784713730063,1784713730298,,,,,65877.0,0.00018,buy,286759956356810
book,1784713730195,1784713730427,65876.0,65877.0,9.71962,4.6934,,,,
book,1784713730733,1784713730976,65876.0,65877.0,9.71962,4.54161,,,,
trade,1784713730935,1784713731117,,,,,65877.0,0.00402,buy,38278454766090
book,1784713731271,1784713731512,65876.0,65877.0,9.71962,4.49962,,,,
book,1784713731798,1784713732043,65876.0,65877.0,9.71962,3.17828,,,,
book,1784713732327,1784713732849,65876.0,65877.0,7.74623,4.6894,,,,
trade,1784713732745,1784713733042,,,,,65877.0,0.00664,buy,794443102250891
book,1784713732880,1784713733148,65876.0,65877.0,7.74623,4.69071,,,,
book,1784713733416,1784713733633,65876.0,65877.0,7.73105,4.83509,,,,
trade,1784713733886,1784713734087,,,,,65876.0,0.00664,sell,1099700158202329
book,1784713733953,1784713734201,65876.0,65877.0,7.73959,1.72886,,,,
trade,1784713734423,1784713734617,,,,,65876.0,0.04344,sell,303064342852194
book,1784713734491,1784713734736,65876.0,65877.0,7.72732,1.53909,,,,
book,1784713735029,1784713735320,65876.0,65877.0,7.72732,1.43349,,,,
book,1784713735633,1784713735883,65876.0,65877.0,7.72732,1.3653,,,,
trade,1784713735835,1784713736025,,,,,65876.0,0.00597,sell,703631947071050
book,1784713736237,1784713736493,65876.0,65877.0,7.675,4.35716,,,,
book,1784713736821,1784713737095,65876.0,65877.0,7.69018,4.35716,,,,
trade,1784713737045,1784713737283,,,,,65876.0,0.00054,sell,1102966794965823
trade,1784713737045,1784713737283,,,,,65877.0,0.00287,buy,148536174058859
trade,1784713737045,1784713737283,,,,,65877.0,0.00597,buy,350703825100811
book,1784713737439,1784713737824,65876.0,65877.0,7.67446,4.34832,,,,
book,1784713737976,1784713738213,65876.0,65877.0,9.64785,3.59675,,,,
book,1784713738530,1784713738779,65876.0,65877.0,9.64785,2.83722,,,,
book,1784713739063,1784713739338,65876.0,65877.0,7.69521,1.80647,,,,
trade,1784713739063,1784713739339,,,,,65876.0,0.0256,sell,101889119643227
trade,1784713739063,1784713739339,,,,,65877.0,0.00538,buy,202263561777846
book,1784713739587,1784713739822,65876.0,65877.0,7.66404,4.34327,,,,
book,1784713740137,1784713740394,65876.0,65877.0,10.39665,1.54115,,,,
trade,1784713740137,1784713740394,,,,,65876.0,0.0003,sell,326592848864473
trade,1784713740272,1784713740466,,,,,65876.0,0.00479,sell,974821917103014
trade,1784713740272,1784713740466,,,,,65876.0,0.00059,sell,726968365033413
book,1784713740675,1784713740935,65876.0,65877.0,9.63175,1.99624,,,,
trade,1784713741079,1784713741307,,,,,65876.0,0.00331,sell,424524286922980
book,1784713741196,1784713741428,65876.0,65877.0,9.62844,1.54176,,,,
book,1784713741746,1784713741990,65876.0,65877.0,9.62844,4.49502,,,,
trade,1784713742083,1784713742309,,,,,65876.0,0.00746,sell,676467219723701
book,1784713742284,1784713742706,65876.0,65877.0,9.60579,4.1535,,,,
book,1784713742805,1784713743129,65876.0,65877.0,9.62004,4.2681,,,,
trade,1784713743291,1784713743470,,,,,65877.0,0.00746,buy,580139354672716
book,1784713743356,1784713743598,65876.0,65877.0,10.07544,4.42352,,,,
book,1784713743893,1784713744143,65876.0,65877.0,9.46765,4.57559,,,,
trade,1784713743893,1784713744143,,,,,65876.0,0.00056,sell,159076235751534
trade,1784713744092,1784713744274,,,,,65877.0,0.01765,buy,923123299975166
book,1784713744414,1784713744669,65876.0,65877.0,10.07488,2.00969,,,,
book,1784713744953,1784713745204,65876.0,65877.0,0.03819,25.8981,,,,
trade,1784713745218,1784713745426,,,,,65876.0,0.00063,sell,735957416841240
trade,1784713745218,1784713745426,,,,,65876.0,0.00665,sell,252919599111065
book,1784713745504,1784713745772,65876.0,65877.0,0.03016,28.37919,,,,
trade,1784713745618,1784713745835,,,,,65877.0,0.06129,buy,173869925318494
book,1784713746022,1784713746350,65876.0,65877.0,0.02816,23.46934,,,,
trade,1784713746022,1784713746350,,,,,65876.0,0.002,sell,670712468633769
trade,1784713746222,1784713746412,,,,,65877.0,0.06665,buy,960580944464074
trade,1784713746306,1784713746495,,,,,65877.0,0.00728,buy,282905016885260
book,1784713746554,1784713746841,65876.0,65877.0,0.02816,24.93482,,,,
book,1784713747074,1784713747362,65876.0,65877.0,0.02816,26.24809,,,,
book,1784713747631,1784713747960,65876.0,65877.0,0.02816,26.26028,,,,
book,1784713748179,1784713748469,65876.0,65877.0,0.02816,26.26028,,,,
trade,1784713748436,1784713748657,,,,,65876.0,0.00608,sell,46773628891727
book,1784713748693,1784713748973,65876.0,65877.0,0.02208,26.46643,,,,
trade,1784713749039,1784713749289,,,,,65877.0,0.00017,buy,79250442937699
trade,1784713749189,1784713749365,,,,,65877.0,0.00018,buy,472065361660903
book,1784713749240,1784713749474,65876.0,65877.0,0.02208,25.91602,,,,
trade,1784713749697,1784713749912,,,,,65877.0,0.00608,buy,964725700429645
book,1784713749791,1784713750024,65876.0,65877.0,0.02208,25.90235,,,,
trade,1784713749791,1784713750024,,,,,65877.0,0.00759,buy,866336780494135
trade,1784713750059,1784713750302,,,,,65877.0,0.10777,buy,964833356820198
book,1784713750306,1784713750582,65876.0,65877.0,0.02208,26.39093,,,,
trade,1784713750665,1784713750888,,,,,65877.0,0.01518,buy,691286683460176
book,1784713750848,1784713751122,65876.0,65877.0,0.02208,26.37575,,,,
book,1784713751402,1784713751671,65876.0,65877.0,0.02208,26.37578,,,,
trade,1784713751601,1784713751796,,,,,65877.0,0.00586,buy,1116849841776339
trade,1784713751802,1784713751989,,,,,65877.0,0.00752,buy,136678834943710
book,1784713751925,1784713752191,65876.0,65877.0,0.02208,26.3624,,,,
book,1784713752458,1784713752829,65876.0,65877.0,0.02208,26.97213,,,,
trade,1784713752735,1784713752937,,,,,65876.0,0.00351,sell,501495221867833
trade,1784713752735,1784713752937,,,,,65876.0,0.00235,sell,505801704417485
book,1784713753009,1784713753321,65876.0,65877.0,0.01622,26.97196,,,,
trade,1784713753009,1784713753321,,,,,65877.0,0.00017,buy,685696867474578
book,1784713753544,1784713753841,65876.0,65877.0,0.01622,26.97196,,,,
