event_sequence,source_channel,source_event_exchange_time_ms,source_local_receive_ts_ns,candidate_age_seconds_at_eval,side,quote_px,bid,ask,spread_ticks,order_size_btc,same_side_top_qty_btc,same_side_top_order_count,top_depth_multiple_of_order,rolling_trade_count_last_3s,touch_trade_qty_btc,strict_trade_through_qty_btc,at_or_through_trade_qty_btc,required_depletion_qty_btc,queue_depletion_multiple,public_depletion_status,quality_bucket,dynamic_size_btc,allowed,skip_reason,bbo_history_count,bbo_history_span_ms,last_l2_age_ms,same_touch_bbo_count,bbo_history_status,freshness_source,touch_stability_ms,last_touch_change_ms,previous_top_qty,current_top_qty,reset_qty_delta,previous_order_count,current_order_count,reset_order_count_delta,top_reset_status,top_reset_reason,fresh_touch_evidence_status,fresh_touch_evidence_reason,fresh_touch_block_reason,queue_reset_block_reason,local_receive_ordering_status,exchange_time_ordering_status,inference_scope,shadow_action,shadow_reason,fair_mid_source_status,fair_mid_source_reason,edge_gate_status,edge_gate_reason,fair_mid_px,edge_ticks,binance_source_age_ms,order_endpoint_called,private_endpoint_called,credential_read
11,trades,1782283124035,1782283124287830096,0.252922,buy,62836,62836,62837,1,0.005,0.00017,1,0.034,11,0.00017,0.00647,0.00664,0.00517,1.284332688588007736943907157,depleted_top_plus_order_proxy,quality_a,0.00166,True,,4,13451,4352,4,same_touch_stable_enough,real_bbo_history_touch_stability,17803,1782283106232,8.4346,0.00017,-8.43443,37,1,-36,reset_supported,same_touch_top_qty_or_order_count_reduced,pass,,,,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,touch_stability_below_minimum,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
12,l2Book,1782283125107,1782283125426949813,0.320065,buy,62831,62831,62832,1,0.005,20.57743,49,4115.486,4,0.00545,0,0.00545,20.58243,0.0002647889486324015191597882271,touched_quote_without_depletion,,0.00136,False,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,5,18875,0,1,same_touch_seen_but_not_stable,real_bbo_history_insufficient,0,1782283125107,,20.57743,,,49,,missing,no_prior_same_touch_bbo,block,no_prior_same_touch_bbo,same_touch_seen_but_not_stable,no_prior_same_touch_bbo,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_equal_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
13,trades,1782283128066,1782283128317879801,0.251999,buy,62831,62831,62832,1,0.005,20.57743,49,4115.486,2,0.00085,0,0.00085,20.58243,0.00004129735896101675069464587029,touched_quote_without_depletion,,0.00021,False,missing_same_side_strict_through_support,5,18875,2959,1,same_touch_stable_enough,real_bbo_history_touch_stability,2959,1782283125107,,20.57743,,,49,,missing,no_prior_same_touch_bbo,pass,,,no_prior_same_touch_bbo,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
14,l2Book,1782283130417,1782283130681507034,0.264628,buy,62831,62831,62832,1,0.005,2.08519,14,417.038,2,0.00085,0,0.00085,2.09019,0.0004066615953573598572378587593,touched_quote_without_depletion,,0.00021,False,missing_same_side_strict_through_support,6,24185,0,2,same_touch_stable_enough,real_bbo_history_touch_stability,5310,1782283125107,20.57743,2.08519,-18.49224,49,14,-35,reset_supported,same_touch_top_qty_or_order_count_reduced,pass,,,,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_equal_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
15,trades,1782283131036,1782283131295321558,0.259394,buy,62831,62831,62832,1,0.005,2.08519,14,417.038,3,0.00085,0,0.00085,2.09019,0.0004066615953573598572378587593,touched_quote_without_depletion,,0.00021,False,missing_same_side_strict_through_support,6,24185,619,2,same_touch_stable_enough,real_bbo_history_touch_stability,5929,1782283125107,20.57743,2.08519,-18.49224,49,14,-35,reset_supported,same_touch_top_qty_or_order_count_reduced,pass,,,,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
16,trades,1782283132060,1782283132371323926,0.311435,buy,62831,62831,62832,1,0.005,2.08519,14,417.038,2,0.00065,0,0.00065,2.09019,0.0003109765140968045967113037571,touched_quote_without_depletion,,0.00016,False,missing_same_side_strict_through_support,6,24185,1643,2,same_touch_stable_enough,real_bbo_history_touch_stability,6953,1782283125107,20.57743,2.08519,-18.49224,49,14,-35,reset_supported,same_touch_top_qty_or_order_count_reduced,pass,,,,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
17,trades,1782283135002,1782283135258894197,0.257021,buy,62831,62831,62832,1,0.005,2.08519,14,417.038,3,0.01679,0,0.01679,2.09019,0.008032762571823614121204292433,touched_quote_without_depletion,,0.00419,False,missing_same_side_strict_through_support,6,24185,4585,2,same_touch_stable_enough,real_bbo_history_touch_stability,9895,1782283125107,20.57743,2.08519,-18.49224,49,14,-35,reset_supported,same_touch_top_qty_or_order_count_reduced,pass,,,,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
18,l2Book,1782283135829,1782283136141476447,0.312571,buy,62831,62831,62832,1,0.005,8.51179,21,1702.358,2,0.01614,0,0.01614,8.51679,0.001895080188662629934517582329,touched_quote_without_depletion,,0.00403,False,missing_same_side_strict_through_support,7,29597,0,3,same_touch_stable_enough,real_bbo_history_touch_stability,10722,1782283125107,20.57743,8.51179,-12.06564,49,21,-28,reset_supported,same_touch_top_qty_or_order_count_reduced,pass,,,,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_equal_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
19,trades,1782283139002,1782283139240886736,0.239023,buy,62831,62831,62832,1,0.005,8.51179,21,1702.358,1,0,0,0,8.51679,0,not_depleted,,0.0,False,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput,7,29597,3173,3,same_touch_stable_enough,real_bbo_history_touch_stability,13895,1782283125107,20.57743,8.51179,-12.06564,49,21,-28,reset_supported,same_touch_top_qty_or_order_count_reduced,pass,,,,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
20,l2Book,1782283141191,1782283141508323020,0.317458,buy,62831,62831,62832,1,0.005,7.49381,20,1498.762,1,0,0,0,7.49881,0,not_depleted,,0.0,False,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput,8,34959,0,4,same_touch_stable_enough,real_bbo_history_touch_stability,16084,1782283125107,20.57743,7.49381,-13.08362,49,20,-29,reset_supported,same_touch_top_qty_or_order_count_reduced,pass,,,,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_equal_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
21,trades,1782283145927,1782283146112464670,0.18562,buy,62831,62831,62832,1,0.005,7.49381,20,1498.762,1,0,0,0,7.49881,0,not_depleted,,0.0,False,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput,8,34959,4736,4,same_touch_stable_enough,real_bbo_history_touch_stability,20820,1782283125107,20.57743,7.49381,-13.08362,49,20,-29,reset_supported,same_touch_top_qty_or_order_count_reduced,pass,,,,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
22,l2Book,1782283146614,1782283146839279124,0.225366,buy,62831,62831,62832,1,0.005,7.72465,21,1544.93,1,0,0,0,7.72965,0,not_depleted,,0.0,False,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput,9,40382,0,5,same_touch_stable_enough,real_bbo_history_touch_stability,21507,1782283125107,20.57743,7.72465,-12.85278,49,21,-28,reset_supported,same_touch_top_qty_or_order_count_reduced,pass,,,,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_equal_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
23,trades,1782283148037,1782283148288419915,0.251524,buy,62831,62831,62832,1,0.005,7.72465,21,1544.93,2,0,0,0,7.72965,0,not_depleted,,0.0,False,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput,9,40382,1423,5,same_touch_stable_enough,real_bbo_history_touch_stability,22930,1782283125107,20.57743,7.72465,-12.85278,49,21,-28,reset_supported,same_touch_top_qty_or_order_count_reduced,pass,,,,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
24,trades,1782283149456,1782283149646032676,0.190159,buy,62831,62831,62832,1,0.005,7.72465,21,1544.93,2,0.00017,0,0.00017,7.72965,0.00002199323384629316980717108795,touched_quote_without_depletion,,4e-05,False,missing_same_side_strict_through_support,9,40382,2842,5,same_touch_stable_enough,real_bbo_history_touch_stability,24349,1782283125107,20.57743,7.72465,-12.85278,49,21,-28,reset_supported,same_touch_top_qty_or_order_count_reduced,pass,,,,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
25,trades,1782283151151,1782283151384680761,0.2338,buy,62831,62831,62832,1,0.005,7.72465,21,1544.93,5,0.00017,0,0.00017,7.72965,0.00002199323384629316980717108795,touched_quote_without_depletion,,4e-05,False,missing_same_side_strict_through_support,9,40382,4537,5,same_touch_stable_enough,real_bbo_history_touch_stability,26044,1782283125107,20.57743,7.72465,-12.85278,49,21,-28,reset_supported,same_touch_top_qty_or_order_count_reduced,pass,,,,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
26,l2Book,1782283151988,1782283152278066168,0.290178,buy,62830,62830,62831,1,0.005,0.41921,11,83.842,5,0,0,0,0.42421,0,not_depleted,,0.0,False,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,10,45756,0,1,same_touch_seen_but_not_stable,real_bbo_history_insufficient,0,1782283151988,,0.41921,,,11,,missing,no_prior_same_touch_bbo,block,no_prior_same_touch_bbo,same_touch_seen_but_not_stable,no_prior_same_touch_bbo,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_equal_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
27,trades,1782283153675,1782283154149936271,0.475079,buy,62830,62830,62831,1,0.005,0.41921,11,83.842,5,0.00037,0,0.00037,0.42421,0.0008722095188703708069116711063,touched_quote_without_depletion,,9e-05,False,missing_same_side_strict_through_support,10,45756,1687,1,same_touch_stable_enough,real_bbo_history_touch_stability,1687,1782283151988,,0.41921,,,11,,missing,no_prior_same_touch_bbo,pass,,,no_prior_same_touch_bbo,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
28,trades,1782283153731,1782283154150267847,0.419317,buy,62830,62830,62831,1,0.005,0.41921,11,83.842,6,0.00074,0,0.00074,0.42421,0.001744419037740741613823342213,touched_quote_without_depletion,,0.00018,False,missing_same_side_strict_through_support,10,45756,1743,1,same_touch_stable_enough,real_bbo_history_touch_stability,1743,1782283151988,,0.41921,,,11,,missing,no_prior_same_touch_bbo,pass,,,no_prior_same_touch_bbo,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
29,trades,1782283154003,1782283154238358112,0.235461,buy,62830,62830,62831,1,0.005,0.41921,11,83.842,7,0.0062,0,0.0062,0.42421,0.01461540274863864595365502935,touched_quote_without_depletion,,0.00155,False,missing_same_side_strict_through_support,10,45756,2015,1,same_touch_stable_enough,real_bbo_history_touch_stability,2015,1782283151988,,0.41921,,,11,,missing,no_prior_same_touch_bbo,pass,,,no_prior_same_touch_bbo,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
30,l2Book,1782283157394,1782283157708174712,0.314322,buy,62830,62830,62831,1,0.005,0.00689,6,1.378,0,0,0,0,0.01189,0,not_depleted,,0.0,False,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput,11,51162,0,2,same_touch_stable_enough,real_bbo_history_touch_stability,5406,1782283151988,0.41921,0.00689,-0.41232,11,6,-5,reset_supported,same_touch_top_qty_or_order_count_reduced,pass,,,,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_equal_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
31,trades,1782283158000,1782283158309109354,0.309201,buy,62830,62830,62831,1,0.005,0.00689,6,1.378,2,0.00059,0,0.00059,0.01189,0.0496215306980656013456686291,touched_quote_without_depletion,,0.00014,False,missing_same_side_strict_through_support,11,51162,606,2,same_touch_stable_enough,real_bbo_history_touch_stability,6012,1782283151988,0.41921,0.00689,-0.41232,11,6,-5,reset_supported,same_touch_top_qty_or_order_count_reduced,pass,,,,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
32,trades,1782283161001,1782283161244406217,0.243547,buy,62830,62830,62831,1,0.005,0.00689,6,1.378,1,0,0,0,0.01189,0,not_depleted,,0.0,False,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput,11,51162,3607,2,same_touch_stable_enough,real_bbo_history_touch_stability,9013,1782283151988,0.41921,0.00689,-0.41232,11,6,-5,reset_supported,same_touch_top_qty_or_order_count_reduced,pass,,,,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
33,trades,1782283161348,1782283161543061530,0.195139,buy,62830,62830,62831,1,0.005,0.00689,6,1.378,8,0.04319,0,0.04319,0.01189,3.632464255677039529015979815,depleted_top_plus_order_proxy,,0.005,False,missing_same_side_strict_through_support,11,51162,3954,2,same_touch_stable_enough,real_bbo_history_touch_stability,9360,1782283151988,0.41921,0.00689,-0.41232,11,6,-5,reset_supported,same_touch_top_qty_or_order_count_reduced,pass,,,,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
34,trades,1782283161886,1782283162071611323,0.185714,buy,62830,62830,62831,1,0.005,0.00689,6,1.378,9,0.04346,0,0.04346,0.01189,3.655172413793103448275862069,depleted_top_plus_order_proxy,,0.005,False,missing_same_side_strict_through_support,11,51162,4492,2,same_touch_stable_enough,real_bbo_history_touch_stability,9898,1782283151988,0.41921,0.00689,-0.41232,11,6,-5,reset_supported,same_touch_top_qty_or_order_count_reduced,pass,,,,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
35,trades,1782283162020,1782283162270410273,0.250483,buy,62830,62830,62831,1,0.005,0.00689,6,1.378,11,0.04428,0,0.04428,0.01189,3.724137931034482758620689655,depleted_top_plus_order_proxy,,0.005,False,missing_same_side_strict_through_support,11,51162,4626,2,same_touch_stable_enough,real_bbo_history_touch_stability,10032,1782283151988,0.41921,0.00689,-0.41232,11,6,-5,reset_supported,same_touch_top_qty_or_order_count_reduced,pass,,,,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
36,l2Book,1782283162697,1782283162987757621,0.290846,buy,62830,62830,62831,1,0.005,5.17346,13,1034.692,11,0.04428,0,0.04428,5.17846,0.00855080467938344604380452876,touched_quote_without_depletion,,0.005,False,missing_same_side_strict_through_support,12,56465,0,3,same_touch_stable_enough,real_bbo_history_touch_stability,10709,1782283151988,0.41921,5.17346,4.75425,11,13,2,not_reset,history_present_no_reset,pass,,,history_present_no_reset,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_equal_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
