join_seq,timestamp_clock_policy,hyperliquid_decision_ts,binance_source_found,binance_source_age_ms,binance_source_age_bucket,cross_exchange_future_join,cross_exchange_missing_binance_join,binance_lead_quality,hyperliquid_lag_quality,joined_row_quality,basis_mid_px,basis_mid_ticks,basis_microprice_px,basis_contract_caveat,lead_lag_statistical_conclusion,binance_feature_seq,binance_source_raw_seq,binance_event_type,binance_local_ts,binance_exch_ts,binance_last_u,binance_prev_u,binance_sync_aligned,binance_sync_gap,binance_startup_excluded,binance_first_valid_update_aligned,binance_best_bid_px,binance_best_ask_px,binance_mid_px,binance_spread_ticks,binance_bid_top5_px,binance_ask_top5_px,binance_bid_top5_qtys,binance_ask_top5_qtys,binance_top5_bid_qty,binance_top5_ask_qty,binance_top5_imbalance,binance_top5_microprice_px,binance_microprice_minus_mid_ticks,binance_mid_move_ticks_from_prev,binance_rolling_abs_mid_move_ticks_5,binance_rolling_rv_ticks_20,binance_bookticker_u,binance_bookticker_local_ts,binance_bookticker_depth_age_ms,binance_bookticker_depth_age_bucket,binance_bookticker_bbo_match,binance_trade_pressure_status,binance_trade_pressure_bucket,hyperliquid_decision_seq,hyperliquid_decision_ts,hyperliquid_joined_raw_seq,hyperliquid_l2book_local_ts,hyperliquid_l2book_event_ts,hyperliquid_join_age_ms,hyperliquid_join_age_bucket,hyperliquid_future_join,hyperliquid_missing_join,hyperliquid_reconnect_recovery_crossed,hyperliquid_coin,hyperliquid_best_bid_px,hyperliquid_best_ask_px,hyperliquid_mid_px,hyperliquid_spread_ticks,hyperliquid_bid_topn_px,hyperliquid_ask_topn_px,hyperliquid_bid_topn_qtys,hyperliquid_ask_topn_qtys,hyperliquid_bid_topn_order_count,hyperliquid_ask_topn_order_count,hyperliquid_top5_bid_qty,hyperliquid_top5_ask_qty,hyperliquid_top5_imbalance,hyperliquid_top5_microprice_px,hyperliquid_microprice_minus_mid_ticks,hyperliquid_context_quality,hyperliquid_trade_pressure_status,hyperliquid_trade_pressure_bucket
912,local_controller_capture_ts_ns,1780378762038146252,true,19.30462,fresh_0_50ms,false,false,primary_usable,primary_usable,primary_usable,-11.25,-112.5,-11.22564116,diagnostic_only_binance_usdm_futures_BTCUSDT_vs_hyperliquid_BTC_contract_basis,not_calculated_in_0601T002,16997,249219,depthUpdate,1780378762018841632,1780378761946000000,10685797709481,10685797707877,True,False,False,,70607.2,70607.3,70607.25,1,70607.2|70607.1|70607|70606.4|70606.3,70607.3|70607.4|70607.5|70607.6|70608.1,14.078|0.498|0.003|0.002|0.003,5.006|0.007|0.01|0.004|0.002,14.584,5.029,0.48717687,70607.27435884,0.24358844,0,0,0,10685797707229,1780378761967539708,51.301924,stale_over_50ms,true,disabled_unverified_side_semantics,disabled_diagnostic_only,912,1780378762038146252,1556,1780378761977906873,1780378761627000000,60.239379,warm_50_250ms,false,false,false,BTC,70618,70619,70618.5,10,70618.0|70617.0|70616.0|70615.0|70614.0,70619.0|70620.0|70621.0|70622.0|70623.0,3.78237|2.19833|6.93064|4.90131|3.55218,0.01506|0.00015|0.00032|0.02075|0.03478,28|11|9|8|9,3|1|2|5|3,21.36483,0.07106,0.99337,70618.996685,4.96684999,primary_usable,disabled_unverified_side_semantics,disabled_diagnostic_only
913,local_controller_capture_ts_ns,1780378762538146252,true,20.16136,fresh_0_50ms,false,false,primary_usable,primary_usable,primary_usable,-11.25,-112.5,-11.22554478,diagnostic_only_binance_usdm_futures_BTCUSDT_vs_hyperliquid_BTC_contract_basis,not_calculated_in_0601T002,17016,249259,depthUpdate,1780378762517984892,1780378762457000000,10685797750957,10685797749223,True,False,False,,70607.2,70607.3,70607.25,1,70607.2|70607.1|70607|70606.4|70606.3,70607.3|70607.4|70607.5|70607.6|70608.1,14.152|0.498|0.003|0.002|0.003,5.006|0.007|0.01|0.004|0.002,14.658,5.029,0.48910449,70607.27445522,0.24455224,0,0,0,10685797748357,1780378762477751495,40.233397,watch_10_50ms,true,disabled_unverified_side_semantics,disabled_diagnostic_only,913,1780378762538146252,1556,1780378761977906873,1780378761627000000,560.239379,watch_250ms_to_stale_limit,false,false,false,BTC,70618,70619,70618.5,10,70618.0|70617.0|70616.0|70615.0|70614.0,70619.0|70620.0|70621.0|70622.0|70623.0,3.78237|2.19833|6.93064|4.90131|3.55218,0.01506|0.00015|0.00032|0.02075|0.03478,28|11|9|8|9,3|1|2|5|3,21.36483,0.07106,0.99337,70618.996685,4.96684999,primary_usable,disabled_unverified_side_semantics,disabled_diagnostic_only
914,local_controller_capture_ts_ns,1780378763038146252,true,1.391254,fresh_0_50ms,false,false,primary_usable,primary_usable,primary_usable,-11.25,-112.5,-11.29847732,diagnostic_only_binance_usdm_futures_BTCUSDT_vs_hyperliquid_BTC_contract_basis,not_calculated_in_0601T002,17035,249427,depthUpdate,1780378763036754998,1780378762970000000,10685797814499,10685797811175,True,False,False,,70607.2,70607.3,70607.25,1,70607.2|70607.1|70607|70606.4|70606.3,70607.3|70607.4|70607.5|70607.6|70607.7,0.139|0.001|0.002|0.002|0.003,9.427|0.017|0.008|0.004|0.051,0.147,9.507,-0.9695463,70607.20152268,-0.48477315,0,0,0,10685797813270,1780378763019800197,16.954801,watch_10_50ms,true,disabled_unverified_side_semantics,disabled_diagnostic_only,914,1780378763038146252,1558,1780378763036857128,1780378762688000000,1.289124,fresh_0_50ms,false,false,false,BTC,70618,70619,70618.5,10,70618.0|70617.0|70616.0|70615.0|70614.0,70619.0|70620.0|70621.0|70622.0|70623.0,2.79305|2.11094|6.93064|5.96461|2.31891,0.01506|0.00017|0.00017|0.02215|0.74358,29|8|9|9|8,3|1|1|7|4,20.11815,0.78113,0.92524814,70618.96262407,4.62624071,primary_usable,disabled_unverified_side_semantics,disabled_diagnostic_only
915,local_controller_capture_ts_ns,1780378763538146252,true,21.303383,fresh_0_50ms,false,false,primary_usable,primary_usable,primary_usable,-11.25,-112.5,-11.29783604,diagnostic_only_binance_usdm_futures_BTCUSDT_vs_hyperliquid_BTC_contract_basis,not_calculated_in_0601T002,17053,249521,depthUpdate,1780378763516842869,1780378763457000000,10685797869180,10685797866179,True,False,False,,70607.2,70607.3,70607.25,1,70607.2|70607.1|70607|70606.4|70606.3,70607.3|70607.4|70607.5|70607.6|70607.7,0.181|0.001|0.002|0.002|0.003,8.465|0.017|0.008|0.004|0.051,0.189,8.545,-0.95672086,70607.20216396,-0.47836043,0,0,0,10685797857905,1780378763410275274,106.567595,stale_over_50ms,true,disabled_unverified_side_semantics,disabled_diagnostic_only,915,1780378763538146252,1558,1780378763036857128,1780378762688000000,501.289124,watch_250ms_to_stale_limit,false,false,false,BTC,70618,70619,70618.5,10,70618.0|70617.0|70616.0|70615.0|70614.0,70619.0|70620.0|70621.0|70622.0|70623.0,2.79305|2.11094|6.93064|5.96461|2.31891,0.01506|0.00017|0.00017|0.02215|0.74358,29|8|9|9|8,3|1|1|7|4,20.11815,0.78113,0.92524814,70618.96262407,4.62624071,primary_usable,disabled_unverified_side_semantics,disabled_diagnostic_only
916,local_controller_capture_ts_ns,1780378764038146252,true,17.507015,fresh_0_50ms,false,false,primary_usable,primary_usable,primary_usable,-14.65,-146.5,-14.6446823,diagnostic_only_binance_usdm_futures_BTCUSDT_vs_hyperliquid_BTC_contract_basis,not_calculated_in_0601T002,17072,250090,depthUpdate,1780378764020639237,1780378763960000000,10685797926761,10685797922756,True,False,False,,70603.8,70603.9,70603.85,1,70603.8|70603.7|70603.6|70603.2|70603,70603.9|70604|70604.1|70604.5|70604.6,4.743|0.074|0.001|0.002|0.038,3.91|0.004|0.007|0.002|0.001,4.858,3.924,0.10635391,70603.8553177,0.05317695,0,0,6.96419414,10685797926494,1780378764017650200,2.989037,warm_1_10ms,true,disabled_unverified_side_semantics,disabled_diagnostic_only,916,1780378764038146252,1561,1780378763594680966,1780378763241000000,443.465286,watch_250ms_to_stale_limit,false,false,false,BTC,70618,70619,70618.5,10,70618.0|70617.0|70616.0|70615.0|70614.0,70619.0|70620.0|70621.0|70622.0|70623.0,1.45509|4.17253|0.75596|1.64009|2.99124,3.39441|1.06376|2.12666|0.40634|1.7359,22|9|6|8|9,11|2|3|9|4,11.01491,8.72707,0.11588706,70618.55794353,0.57943529,primary_usable,disabled_unverified_side_semantics,disabled_diagnostic_only
917,local_controller_capture_ts_ns,1780378764538146252,true,7.897145,fresh_0_50ms,false,false,primary_usable,primary_usable,primary_usable,-14.65,-146.5,-14.62741345,diagnostic_only_binance_usdm_futures_BTCUSDT_vs_hyperliquid_BTC_contract_basis,not_calculated_in_0601T002,17091,250147,depthUpdate,1780378764530249107,1780378764466000000,10685797998589,10685797995156,True,False,False,,70603.8,70603.9,70603.85,1,70603.8|70603.7|70603.6|70603.4|70603.2,70603.9|70604|70604.1|70604.5|70604.6,6.064|0.074|0.001|0.002|0.002,2.312|0.004|0.002|0.001|0.001,6.143,2.32,0.45173106,70603.87258655,0.22586553,0,0,0,10685797987285,1780378764433594716,96.654391,stale_over_50ms,true,disabled_unverified_side_semantics,disabled_diagnostic_only,917,1780378764538146252,1562,1780378764119409264,1780378763784000000,418.736988,watch_250ms_to_stale_limit,false,false,false,BTC,70618,70619,70618.5,10,70618.0|70617.0|70616.0|70615.0|70614.0,70619.0|70620.0|70621.0|70622.0|70623.0,0.99522|1.60773|1.27454|0.93122|3.68682,6.07479|1.06376|1.41813|1.76447|2.81098,14|7|6|7|10,18|2|3|10|6,8.49553,13.13213,-0.21438288,70618.39280856,-1.07191439,primary_usable,disabled_unverified_side_semantics,disabled_diagnostic_only
918,local_controller_capture_ts_ns,1780378765038146252,true,0.930941,fresh_0_50ms,false,false,primary_usable,primary_usable,primary_usable,-14.65,-146.5,-14.62574222,diagnostic_only_binance_usdm_futures_BTCUSDT_vs_hyperliquid_BTC_contract_basis,not_calculated_in_0601T002,17110,250181,depthUpdate,1780378765037215311,1780378764977000000,10685798056252,10685798053878,True,False,False,,70603.8,70603.9,70603.85,1,70603.8|70603.7|70603.6|70603.4|70603.2,70603.9|70604|70604.1|70604.5|70604.6,6.074|0.074|0.001|0.002|0.002,2.125|0.004|0.002|0.001|0.001,6.153,2.133,0.48515568,70603.87425778,0.24257784,0,0,0,10685798049052,1780378764958203542,79.011769,stale_over_50ms,true,disabled_unverified_side_semantics,disabled_diagnostic_only,918,1780378765038146252,1564,1780378764668653639,1780378764320000000,369.492613,watch_250ms_to_stale_limit,false,false,false,BTC,70618,70619,70618.5,10,70618.0|70617.0|70616.0|70615.0|70614.0,70619.0|70620.0|70621.0|70622.0|70623.0,2.07883|1.60374|0.70898|0.93122|2.97795,1.965|0.00032|0.00047|0.01398|2.17309,20|6|5|7|9,9|2|2|6|6,8.30072,4.15286,0.33306567,70618.66653284,1.66532836,primary_usable,disabled_unverified_side_semantics,disabled_diagnostic_only
919,local_controller_capture_ts_ns,1780378765538146252,true,5.149946,fresh_0_50ms,false,false,primary_usable,primary_usable,primary_usable,-14.65,-146.5,-14.62659266,diagnostic_only_binance_usdm_futures_BTCUSDT_vs_hyperliquid_BTC_contract_basis,not_calculated_in_0601T002,17128,250217,depthUpdate,1780378765532996306,1780378765473000000,10685798102725,10685798100788,True,False,False,,70603.8,70603.9,70603.85,1,70603.8|70603.7|70603.6|70603.4|70603.2,70603.9|70604|70604.1|70604.5|70604.6,6.005|0.074|0.001|0.002|0.002,2.196|0.004|0.002|0.001|0.001,6.084,2.204,0.46814672,70603.87340734,0.23407336,0,0,0,10685798094395,1780378765432967647,100.028659,stale_over_50ms,true,disabled_unverified_side_semantics,disabled_diagnostic_only,919,1780378765538146252,1565,1780378765182884599,1780378764865000000,355.261653,watch_250ms_to_stale_limit,false,false,false,BTC,70618,70619,70618.5,10,70618.0|70617.0|70616.0|70615.0|70614.0,70619.0|70620.0|70621.0|70622.0|70623.0,2.07883|1.67769|2.93142|0.91881|4.04128,1.48006|0.02033|0.3373|0.01398|0.75546,20|8|7|6|10,9|3|3|6|5,11.64803,2.60713,0.63421947,70618.81710973,3.17109734,primary_usable,disabled_unverified_side_semantics,disabled_diagnostic_only
920,local_controller_capture_ts_ns,1780378766038146252,true,10.011912,fresh_0_50ms,false,false,primary_usable,primary_usable,primary_usable,-14.65,-146.5,-14.62641307,diagnostic_only_binance_usdm_futures_BTCUSDT_vs_hyperliquid_BTC_contract_basis,not_calculated_in_0601T002,17146,250243,depthUpdate,1780378766028134340,1780378765961000000,10685798153404,10685798151696,True,False,False,,70603.8,70603.9,70603.85,1,70603.8|70603.7|70603.6|70603.4|70603.2,70603.9|70604|70604.1|70604.5|70604.6,6.092|0.074|0.001|0.002|0.002,2.207|0.004|0.002|0.001|0.001,6.171,2.215,0.47173861,70603.87358693,0.23586931,0,0,0,10685798128253,1780378765789158289,238.976051,stale_over_50ms,true,disabled_unverified_side_semantics,disabled_diagnostic_only,920,1780378766038146252,1566,1780378765750729866,1780378765398000000,287.416386,watch_250ms_to_stale_limit,false,false,false,BTC,70618,70619,70618.5,10,70618.0|70617.0|70616.0|70615.0|70614.0,70619.0|70620.0|70621.0|70622.0|70623.0,2.07883|1.67769|2.91798|0.91881|5.10493,0.85932|0.02048|0.3373|0.01398|0.75546,20|8|6|6|11,6|4|3|6|5,12.69824,1.98654,0.72944232,70618.86472116,3.6472116,primary_usable,disabled_unverified_side_semantics,disabled_diagnostic_only
921,local_controller_capture_ts_ns,1780378766538146252,true,1.309277,fresh_0_50ms,false,false,primary_usable,primary_usable,primary_usable,-14.65,-146.5,-14.64211094,diagnostic_only_binance_usdm_futures_BTCUSDT_vs_hyperliquid_BTC_contract_basis,not_calculated_in_0601T002,17165,250320,depthUpdate,1780378766536836975,1780378766465000000,10685798203345,10685798200239,True,False,False,,70603.8,70603.9,70603.85,1,70603.8|70603.7|70603.6|70603.2|70603,70603.9|70604|70604.1|70604.5|70604.6,4.674|0.074|0.044|0.002|0.038,3.507|0.004|0.002|0.001|0.001,4.832,3.515,0.15778124,70603.85788906,0.07889062,0,0,0,10685798198266,1780378766512540957,24.296018,watch_10_50ms,true,disabled_unverified_side_semantics,disabled_diagnostic_only,921,1780378766538146252,1568,1780378766255457513,1780378765941000000,282.688739,watch_250ms_to_stale_limit,false,false,false,BTC,70618,70619,70618.5,10,70618.0|70617.0|70616.0|70615.0|70614.0,70619.0|70620.0|70621.0|70622.0|70623.0,1.77604|1.69113|3.69742|0.91881|5.10493,2.42814|0.02048|0.3373|0.01398|0.75546,19|9|7|6|11,9|4|3|6|5,13.18833,3.55536,0.57531942,70618.78765971,2.87659709,primary_usable,disabled_unverified_side_semantics,disabled_diagnostic_only
922,local_controller_capture_ts_ns,1780378767038146252,true,28.107876,fresh_0_50ms,false,false,primary_usable,primary_usable,primary_usable,-14.65,-146.5,-14.61096859,diagnostic_only_binance_usdm_futures_BTCUSDT_vs_hyperliquid_BTC_contract_basis,not_calculated_in_0601T002,17183,250360,depthUpdate,1780378767010038376,1780378766949000000,10685798243011,10685798241069,True,False,False,,70603.8,70603.9,70603.85,1,70603.8|70603.7|70603.6|70603.4|70603.3,70603.9|70604|70604.1|70604.5|70604.6,16.117|0.076|0.045|0.002|0.002,1.993|0.004|0.002|0.001|0.001,16.242,2.001,0.78062819,70603.88903141,0.39031409,0,0,0,10685798238105,1780378766944049418,65.988958,stale_over_50ms,true,disabled_unverified_side_semantics,disabled_diagnostic_only,922,1780378767038146252,1569,1780378766885742008,1780378766500000000,152.404244,warm_50_250ms,false,false,false,BTC,70618,70619,70618.5,10,70618.0|70617.0|70616.0|70615.0|70614.0,70619.0|70620.0|70621.0|70622.0|70623.0,1.0672|2.39998|2.6338|0.91881|4.0416,2.91427|0.02048|0.3373|0.01398|0.04665,18|10|6|6|10,11|4|3|6|4,11.06139,3.33268,0.53693709,70618.76846854,2.68468543,primary_usable,disabled_unverified_side_semantics,disabled_diagnostic_only
923,local_controller_capture_ts_ns,1780378767538146252,true,3.895567,fresh_0_50ms,false,false,primary_usable,primary_usable,primary_usable,-14.65,-146.5,-14.61048986,diagnostic_only_binance_usdm_futures_BTCUSDT_vs_hyperliquid_BTC_contract_basis,not_calculated_in_0601T002,17202,250403,depthUpdate,1780378767534250685,1780378767469000000,10685798285954,10685798284198,True,False,False,,70603.8,70603.9,70603.85,1,70603.8|70603.7|70603.6|70603.4|70603.3,70603.9|70604|70604.1|70604.5|70605,15.898|0.078|0.045|0.002|0.002,1.87|0.004|0.002|0.001|0.001,16.025,1.878,0.79020276,70603.88951014,0.39510138,0,0,0,10685798279743,1780378767447508378,86.742307,stale_over_50ms,true,disabled_unverified_side_semantics,disabled_diagnostic_only,923,1780378767538146252,1569,1780378766885742008,1780378766500000000,652.404244,watch_250ms_to_stale_limit,false,false,false,BTC,70618,70619,70618.5,10,70618.0|70617.0|70616.0|70615.0|70614.0,70619.0|70620.0|70621.0|70622.0|70623.0,1.0672|2.39998|2.6338|0.91881|4.0416,2.91427|0.02048|0.3373|0.01398|0.04665,18|10|6|6|10,11|4|3|6|4,11.06139,3.33268,0.53693709,70618.76846854,2.68468543,primary_usable,disabled_unverified_side_semantics,disabled_diagnostic_only
924,local_controller_capture_ts_ns,1780378768038146252,true,40.472292,fresh_0_50ms,false,false,primary_usable,primary_usable,primary_usable,-14.65,-146.5,-14.61060555,diagnostic_only_binance_usdm_futures_BTCUSDT_vs_hyperliquid_BTC_contract_basis,not_calculated_in_0601T002,17219,250431,depthUpdate,1780378767997673960,1780378767937000000,10685798325092,10685798323069,True,False,False,,70603.8,70603.9,70603.85,1,70603.8|70603.7|70603.6|70603.4|70603.3,70603.9|70604|70604.1|70604.5|70605,15.849|0.076|0.044|0.002|0.002,1.887|0.004|0.002|0.001|0.001,15.973,1.895,0.78788896,70603.88939445,0.39394448,0,0,0,10685798320583,1780378767942721229,54.952731,stale_over_50ms,true,disabled_unverified_side_semantics,disabled_diagnostic_only,924,1780378768038146252,1572,1780378767971978399,1780378767571000000,66.167853,warm_50_250ms,false,false,false,BTC,70618,70619,70618.5,10,70618.0|70617.0|70616.0|70615.0|70614.0,70619.0|70620.0|70621.0|70622.0|70623.0,1.77681|1.69113|2.91798|0.91881|5.74292,2.60391|0.02048|0.3373|0.01398|0.75545,20|9|6|6|11,11|4|3|6|5,13.04765,3.73112,0.55525703,70618.77762852,2.77628515,primary_usable,disabled_unverified_side_semantics,disabled_diagnostic_only
925,local_controller_capture_ts_ns,1780378768538146252,true,23.14598,fresh_0_50ms,false,false,primary_usable,primary_usable,primary_usable,-14.65,-146.5,-14.61061359,diagnostic_only_binance_usdm_futures_BTCUSDT_vs_hyperliquid_BTC_contract_basis,not_calculated_in_0601T002,17238,250463,depthUpdate,1780378768515000272,1780378768456000000,10685798372069,10685798369950,True,False,False,,70603.8,70603.9,70603.85,1,70603.8|70603.7|70603.6|70603.4|70603.3,70603.9|70604|70604.1|70604.5|70605,15.886|0.076|0.044|0.002|0.002,1.893|0.004|0.002|0.001|0.001,16.01,1.901,0.78772821,70603.88938641,0.39386411,0,0,0,10685798369453,1780378768482657786,32.342486,watch_10_50ms,true,disabled_unverified_side_semantics,disabled_diagnostic_only,925,1780378768538146252,1574,1780378768508636987,1780378768118000000,29.509265,fresh_0_50ms,false,false,false,BTC,70618,70619,70618.5,10,70618.0|70617.0|70616.0|70615.0|70614.0,70619.0|70620.0|70621.0|70622.0|70623.0,1.77682|1.69113|2.91798|0.91881|6.80624,2.4893|0.02048|0.3373|0.01378|0.75545,20|9|6|6|12,10|4|3|5|5,14.11098,3.61631,0.59200645,70618.79600322,2.96003224,primary_usable,disabled_unverified_side_semantics,disabled_diagnostic_only
926,local_controller_capture_ts_ns,1780378769038146252,true,2.77768,fresh_0_50ms,false,false,primary_usable,primary_usable,primary_usable,-14.65,-146.5,-14.61967471,diagnostic_only_binance_usdm_futures_BTCUSDT_vs_hyperliquid_BTC_contract_basis,not_calculated_in_0601T002,17257,250513,depthUpdate,1780378769035368572,1780378768965000000,10685798410847,10685798408965,True,False,False,,70603.8,70603.9,70603.85,1,70603.8|70603.7|70603.6|70603.5|70603.4,70603.9|70604|70604.1|70604.5|70605,15.731|0.076|0.001|0.043|0.002,3.875|0.004|0.002|0.001|0.001,15.853,3.883,0.60650588,70603.88032529,0.30325294,0,0,0,10685798409774,1780378769007531376,27.837196,watch_10_50ms,true,disabled_unverified_side_semantics,disabled_diagnostic_only,926,1780378769038146252,1575,1780378768996128728,1780378768679000000,42.017524,fresh_0_50ms,false,false,false,BTC,70618,70619,70618.5,10,70618.0|70617.0|70616.0|70615.0|70614.0,70619.0|70620.0|70621.0|70622.0|70623.0,1.77682|1.69113|2.91798|0.91881|6.80624,2.4893|0.02048|0.3373|0.01378|0.75545,20|9|6|6|12,10|4|3|5|5,14.11098,3.61631,0.59200645,70618.79600322,2.96003224,primary_usable,disabled_unverified_side_semantics,disabled_diagnostic_only
927,local_controller_capture_ts_ns,1780378769538146252,true,17.394806,fresh_0_50ms,false,false,primary_usable,primary_usable,primary_usable,-14.65,-146.5,-14.63402397,diagnostic_only_binance_usdm_futures_BTCUSDT_vs_hyperliquid_BTC_contract_basis,not_calculated_in_0601T002,17275,250564,depthUpdate,1780378769520751446,1780378769453000000,10685798465941,10685798463446,True,False,False,,70603.8,70603.9,70603.85,1,70603.8|70603.7|70603.6|70603.2|70603,70603.9|70604|70604.1|70604.2|70604.5,11.737|0.004|0.001|0.002|0.038,5.998|0.004|0.002|0.071|0.001,11.782,6.076,0.31952066,70603.86597603,0.15976033,0,0,0,10685798463933,1780378769501948771,18.802675,watch_10_50ms,true,disabled_unverified_side_semantics,disabled_diagnostic_only,927,1780378769538146252,1575,1780378768996128728,1780378768679000000,542.017524,watch_250ms_to_stale_limit,false,false,false,BTC,70618,70619,70618.5,10,70618.0|70617.0|70616.0|70615.0|70614.0,70619.0|70620.0|70621.0|70622.0|70623.0,1.77682|1.69113|2.91798|0.91881|6.80624,2.4893|0.02048|0.3373|0.01378|0.75545,20|9|6|6|12,10|4|3|5|5,14.11098,3.61631,0.59200645,70618.79600322,2.96003224,primary_usable,disabled_unverified_side_semantics,disabled_diagnostic_only
928,local_controller_capture_ts_ns,1780378770038146252,true,8.988607,fresh_0_50ms,false,false,primary_usable,primary_usable,primary_usable,-14.65,-146.5,-14.64662523,diagnostic_only_binance_usdm_futures_BTCUSDT_vs_hyperliquid_BTC_contract_basis,not_calculated_in_0601T002,17294,250642,depthUpdate,1780378770029157645,1780378769969000000,10685798541008,10685798536607,True,False,False,,70603.8,70603.9,70603.85,1,70603.8|70603.7|70603.6|70603.2|70603,70603.9|70604|70604.1|70604.2|70604.5,9.658|0.004|0.001|0.002|0.038,8.397|0.005|0.002|0.071|0.001,9.703,8.476,0.06749546,70603.85337477,0.03374773,0,0,0,10685798535524,1780378769996665108,32.492537,watch_10_50ms,true,disabled_unverified_side_semantics,disabled_diagnostic_only,928,1780378770038146252,1576,1780378769561915074,1780378769219000000,476.231178,watch_250ms_to_stale_limit,false,false,false,BTC,70618,70619,70618.5,10,70618.0|70617.0|70616.0|70615.0|70614.0,70619.0|70620.0|70621.0|70622.0|70623.0,1.06798|1.69113|3.62684|0.91881|4.0416,2.63084|0.02667|0.3373|0.01378|0.04665,19|9|7|6|10,12|5|3|5|4,11.34636,3.05524,0.57570825,70618.78785413,2.87854127,primary_usable,disabled_unverified_side_semantics,disabled_diagnostic_only
929,local_controller_capture_ts_ns,1780378770538146252,true,3.348286,fresh_0_50ms,false,false,primary_usable,primary_usable,primary_usable,-17.75,-177.5,-17.79768499,diagnostic_only_binance_usdm_futures_BTCUSDT_vs_hyperliquid_BTC_contract_basis,not_calculated_in_0601T002,17313,251650,depthUpdate,1780378770534797966,1780378770469000000,10685798647927,10685798646260,True,False,False,,70600.7,70600.8,70600.75,1,70600.7|70600.5|70600.4|70600.3|70600.2,70600.8|70600.9|70601|70601.1|70601.3,0.368|0.003|0.009|0.006|0.001,13.952|0.944|1.426|0.003|0.005,0.387,16.33,-0.95369983,70600.70231501,-0.47684991,0,0,5.92030405,10685798646533,1780378770520795043,14.002923,watch_10_50ms,true,disabled_unverified_side_semantics,disabled_diagnostic_only,929,1780378770538146252,1577,1780378770085775080,1780378769762000000,452.371172,watch_250ms_to_stale_limit,false,false,false,BTC,70618,70619,70618.5,10,70618.0|70617.0|70616.0|70615.0|70614.0,70619.0|70620.0|70621.0|70622.0|70623.0,0.89304|1.69113|2.56322|0.91881|4.0416,3.05565|0.73549|1.40086|0.01378|0.04665,18|9|6|6|10,13|6|4|5|4,10.1078,5.25243,0.31610008,70618.65805004,1.58050042,primary_usable,disabled_unverified_side_semantics,disabled_diagnostic_only
930,local_controller_capture_ts_ns,1780378771038146252,true,3.86399,fresh_0_50ms,false,false,primary_usable,primary_usable,primary_usable,-17.75,-177.5,-17.78542434,diagnostic_only_binance_usdm_futures_BTCUSDT_vs_hyperliquid_BTC_contract_basis,not_calculated_in_0601T002,17332,251807,depthUpdate,1780378771034282262,1780378770970000000,10685798709934,10685798707662,True,False,False,,70600.7,70600.8,70600.75,1,70600.7|70600.6|70600.5|70600.4|70600.3,70600.8|70600.9|70601|70601.2|70601.3,1.376|0.072|0.003|0.008|0.006,8.061|0.514|0.004|0.002|0.005,1.465,8.586,-0.70848672,70600.71457566,-0.35424336,0,0,0,10685798708703,1780378771019666629,14.615633,watch_10_50ms,true,disabled_unverified_side_semantics,disabled_diagnostic_only,930,1780378771038146252,1578,1780378770645755189,1780378770298000000,392.391063,watch_250ms_to_stale_limit,false,false,false,BTC,70618,70619,70618.5,10,70618.0|70617.0|70616.0|70615.0|70614.0,70619.0|70620.0|70621.0|70622.0|70623.0,0.70504|0.59135|0.03493|0.91881|3.68683,6.13461|1.67296|1.40086|1.45816|1.07968,11|7|4|6|10,22|7|4|6|5,5.93696,11.74627,-0.32852086,70618.33573957,-1.64260432,primary_usable,disabled_unverified_side_semantics,disabled_diagnostic_only
931,local_controller_capture_ts_ns,1780378771538146252,true,26.686889,fresh_0_50ms,false,false,primary_usable,primary_usable,primary_usable,-17.75,-177.5,-17.78765953,diagnostic_only_binance_usdm_futures_BTCUSDT_vs_hyperliquid_BTC_contract_basis,not_calculated_in_0601T002,17350,251847,depthUpdate,1780378771511459363,1780378771449000000,10685798741474,10685798739677,True,False,False,,70600.7,70600.8,70600.75,1,70600.7|70600.5|70600.4|70600.3|70600.2,70600.8|70600.9|70601|70601.3|70601.4,1.268|0.003|0.008|0.006|0.001,8.559|0.514|0.003|0.002|0.057,1.286,9.135,-0.75319067,70600.71234047,-0.37659534,0,0,0,10685798738866,1780378771474728726,36.730637,watch_10_50ms,true,disabled_unverified_side_semantics,disabled_diagnostic_only,931,1780378771538146252,1579,1780378771188880589,1780378770833000000,349.265663,watch_250ms_to_stale_limit,false,false,false,BTC,70618,70619,70618.5,10,70618.0|70617.0|70616.0|70615.0|70614.0,70619.0|70620.0|70621.0|70622.0|70623.0,0.29717|0.00054|0.00032|0.00139|0.00629,10.97319|0.98522|5.73202|1.59975|6.04072,4|3|2|3|4,45|8|9|7|11,0.30571,25.3309,-0.97615051,70618.01192474,-4.88075256,primary_usable,disabled_unverified_side_semantics,disabled_diagnostic_only
