hyperliquid_decision_seq,hyperliquid_decision_ts,hyperliquid_joined_raw_seq,hyperliquid_l2book_local_ts,hyperliquid_l2book_event_ts,hyperliquid_join_age_ms,hyperliquid_join_age_bucket,hyperliquid_future_join,hyperliquid_missing_join,hyperliquid_reconnect_recovery_crossed,hyperliquid_coin,hyperliquid_best_bid_px,hyperliquid_best_ask_px,hyperliquid_mid_px,hyperliquid_spread_ticks,hyperliquid_bid_topn_px,hyperliquid_ask_topn_px,hyperliquid_bid_topn_qtys,hyperliquid_ask_topn_qtys,hyperliquid_bid_topn_order_count,hyperliquid_ask_topn_order_count,hyperliquid_top5_bid_qty,hyperliquid_top5_ask_qty,hyperliquid_top5_imbalance,hyperliquid_top5_microprice_px,hyperliquid_microprice_minus_mid_ticks,hyperliquid_context_quality,hyperliquid_trade_pressure_status,hyperliquid_trade_pressure_bucket
10,1780378311038146252,26,1780378310645583385,1780378310308000000,392.562867,watch_250ms_to_stale_limit,false,false,false,BTC,70588,70589,70588.5,10,70588.0|70587.0|70586.0|70585.0|70584.0,70589.0|70590.0|70591.0|70592.0|70593.0,4.83686|1.85337|0.11341|1.41372|7.63034,0.56719|0.71125|0.00054|0.00689|0.37407,40|10|4|7|6,4|2|3|2|5,15.8477,1.65994,0.81037536,70588.90518768,4.05187678,primary_usable,disabled_unverified_side_semantics,disabled_diagnostic_only
11,1780378311538146252,27,1780378311187421482,1780378310844000000,350.724770,watch_250ms_to_stale_limit,false,false,false,BTC,70588,70589,70588.5,10,70588.0|70587.0|70586.0|70585.0|70584.0,70589.0|70590.0|70591.0|70592.0|70593.0,5.2567|2.61799|0.11341|4.88901|7.63034,0.78719|0.00229|0.07453|0.70928|0.37407,44|9|4|9|6,5|2|5|2|5,20.50745,1.94736,0.82655297,70588.91327649,4.13276487,primary_usable,disabled_unverified_side_semantics,disabled_diagnostic_only
12,1780378312038146252,31,1780378311732170662,1780378311381000000,305.975590,watch_250ms_to_stale_limit,false,false,false,BTC,70588,70589,70588.5,10,70588.0|70587.0|70586.0|70585.0|70584.0,70589.0|70590.0|70591.0|70592.0|70593.0,19.65793|1.80884|0.11341|4.31725|8.02869,0.01397|0.00017|0.07453|0.00017|0.37407,57|7|4|7|7,1|1|5|1|5,33.92612,0.46291,0.97307804,70588.98653902,4.86539021,primary_usable,disabled_unverified_side_semantics,disabled_diagnostic_only
13,1780378312538146252,32,1780378312270780629,1780378311921000000,267.365623,watch_250ms_to_stale_limit,false,false,false,BTC,70588,70589,70588.5,10,70588.0|70587.0|70586.0|70585.0|70584.0,70589.0|70591.0|70592.0|70593.0|70594.0,20.73283|2.8795|0.11341|2.36982|8.32832,0.01446|0.00054|0.00017|0.00339|0.0528,65|10|4|8|8,2|3|1|3|2,34.42388,0.07136,0.99586262,70588.99793131,4.97931309,primary_usable,disabled_unverified_side_semantics,disabled_diagnostic_only
14,1780378313038146252,34,1780378312869450839,1780378312456000000,168.695413,warm_50_250ms,false,false,false,BTC,70593,70594,70593.5,10,70593.0|70592.0|70591.0|70590.0|70589.0,70594.0|70595.0|70596.0|70597.0|70598.0,19.13352|20.77616|20.04473|20.40156|15.51417,0.04303|0.00251|0.0624|0.50827|0.00017,101|111|114|111|89,2|3|2|3|1,95.87014,0.61638,0.9872235,70593.99361175,4.9361175,primary_usable,disabled_unverified_side_semantics,disabled_diagnostic_only
15,1780378313538146252,38,1780378313383717500,1780378313022000000,154.428752,warm_50_250ms,false,false,false,BTC,70595,70596,70595.5,10,70595.0|70594.0|70593.0|70592.0|70591.0,70596.0|70597.0|70598.0|70599.0|70600.0,9.29703|42.22686|17.60817|9.23268|5.07375,0.06452|0.50827|0.62131|1.28471|2.08012,50|201|77|7|6,2|3|5|6|8,83.43849,4.55893,0.89638492,70595.94819246,4.48192458,primary_usable,disabled_unverified_side_semantics,disabled_diagnostic_only
16,1780378314038146252,39,1780378313910959164,1780378313582000000,127.187088,warm_50_250ms,false,false,false,BTC,70595,70596,70595.5,10,70595.0|70594.0|70593.0|70592.0|70591.0,70596.0|70597.0|70598.0|70599.0|70600.0,10.69587|3.46853|1.68828|4.27821|5.03409,6.75934|0.50805|0.62082|1.28471|2.14012,71|7|7|5|2,14|2|4|6|9,25.16498,11.31304,0.37973388,70595.68986694,1.89866939,primary_usable,disabled_unverified_side_semantics,disabled_diagnostic_only
17,1780378314538146252,43,1780378314505152704,1780378314117000000,32.993548,fresh_0_50ms,false,false,false,BTC,70595,70596,70595.5,10,70595.0|70594.0|70593.0|70592.0|70591.0,70596.0|70597.0|70598.0|70599.0|70600.0,10.69207|1.0857|2.02329|4.35005|5.03409,1.23948|0.50805|0.62082|0.6495|2.14012,61|5|7|8|2,12|2|4|6|9,23.1852,5.15797,0.63603436,70595.81801718,3.1801718,primary_usable,disabled_unverified_side_semantics,disabled_diagnostic_only
18,1780378315038146252,43,1780378314505152704,1780378314117000000,532.993548,watch_250ms_to_stale_limit,false,false,false,BTC,70595,70596,70595.5,10,70595.0|70594.0|70593.0|70592.0|70591.0,70596.0|70597.0|70598.0|70599.0|70600.0,10.69207|1.0857|2.02329|4.35005|5.03409,1.23948|0.50805|0.62082|0.6495|2.14012,61|5|7|8|2,12|2|4|6|9,23.1852,5.15797,0.63603436,70595.81801718,3.1801718,primary_usable,disabled_unverified_side_semantics,disabled_diagnostic_only
19,1780378315538146252,49,1780378315499942947,1780378315188000000,38.203305,fresh_0_50ms,false,false,false,BTC,70607,70608,70607.5,10,70607.0|70606.0|70605.0|70604.0|70603.0,70608.0|70609.0|70610.0|70611.0|70612.0,9.52417|0.40735|3.47165|1.50893|5.2669,10.63922|1.32817|0.57129|1.62602|2.9382,23|2|4|6|5,23|6|6|5|8,20.179,17.1029,0.08250921,70607.5412546,0.41254603,primary_usable,disabled_unverified_side_semantics,disabled_diagnostic_only
20,1780378316038146252,49,1780378315499942947,1780378315188000000,538.203305,watch_250ms_to_stale_limit,false,false,false,BTC,70607,70608,70607.5,10,70607.0|70606.0|70605.0|70604.0|70603.0,70608.0|70609.0|70610.0|70611.0|70612.0,9.52417|0.40735|3.47165|1.50893|5.2669,10.63922|1.32817|0.57129|1.62602|2.9382,23|2|4|6|5,23|6|6|5|8,20.179,17.1029,0.08250921,70607.5412546,0.41254603,primary_usable,disabled_unverified_side_semantics,disabled_diagnostic_only
21,1780378316538146252,51,1780378316054784927,1780378315730000000,483.361325,watch_250ms_to_stale_limit,false,false,false,BTC,70607,70608,70607.5,10,70607.0|70606.0|70605.0|70604.0|70603.0,70608.0|70609.0|70610.0|70611.0|70612.0,5.19644|0.40735|3.1196|2.19417|0.01988,10.46463|1.32832|1.24395|1.62602|2.9382,19|2|3|3|3,33|7|7|5|8,10.93744,17.60112,-0.23349742,70607.38325129,-1.16748708,primary_usable,disabled_unverified_side_semantics,disabled_diagnostic_only
22,1780378317038146252,53,1780378316632529085,1780378316265000000,405.617167,watch_250ms_to_stale_limit,false,false,false,BTC,70607,70608,70607.5,10,70607.0|70606.0|70605.0|70604.0|70603.0,70608.0|70609.0|70610.0|70611.0|70612.0,2.95493|0.00015|1.70165|0.07398|1.46506,14.73817|2.19519|1.95288|1.62602|2.22929,11|1|2|2|3,39|8|8|5|7,6.19577,22.74155,-0.57177997,70607.21411001,-2.85889986,primary_usable,disabled_unverified_side_semantics,disabled_diagnostic_only
23,1780378317538146252,55,1780378317151374124,1780378316827000000,386.772128,watch_250ms_to_stale_limit,false,false,false,BTC,70607,70608,70607.5,10,70607.0|70605.0|70604.0|70603.0|70602.0,70608.0|70609.0|70610.0|70611.0|70612.0,2.25364|2.4106|0.07398|1.46506|3.02035,14.73817|2.19519|1.95288|1.62602|2.63649,12|3|2|3|5,39|8|8|5|8,9.22363,23.14875,-0.43015435,70607.28492283,-2.15077174,primary_usable,disabled_unverified_side_semantics,disabled_diagnostic_only
24,1780378318038146252,58,1780378317678440439,1780378317370000000,359.705813,watch_250ms_to_stale_limit,false,false,false,BTC,70607,70608,70607.5,10,70607.0|70606.0|70605.0|70604.0|70603.0,70608.0|70609.0|70610.0|70611.0|70612.0,6.15458|3.97109|1.70505|0.48826|7.9431,1.14263|0.01358|0.00251|0.59895|0.00139,24|2|3|4|6,6|4|3|4|3,20.26208,1.75906,0.84023897,70607.92011949,4.20119485,primary_usable,disabled_unverified_side_semantics,disabled_diagnostic_only
25,1780378318538146252,60,1780378318253077946,1780378317912000000,285.068306,watch_250ms_to_stale_limit,false,false,false,BTC,70607,70608,70607.5,10,70607.0|70606.0|70605.0|70604.0|70603.0,70608.0|70609.0|70610.0|70611.0|70612.0,5.01423|4.44206|1.07034|2.64478|6.4985,0.70956|0.00017|0.00251|0.59895|1.06509,16|5|4|7|5,8|1|3|4|4,19.66991,2.37628,0.78442715,70607.89221358,3.92213575,primary_usable,disabled_unverified_side_semantics,disabled_diagnostic_only
26,1780378319038146252,65,1780378318837794968,1780378318472000000,200.351284,warm_50_250ms,false,false,false,BTC,70607,70608,70607.5,10,70607.0|70606.0|70605.0|70604.0|70603.0,70608.0|70609.0|70610.0|70611.0|70612.0,5.04874|4.44649|0.00655|2.56637|6.45142,0.97225|0.33715|0.06977|1.30802|1.73771,19|6|3|4|3,12|2|4|6|5,18.51957,4.4249,0.61429486,70607.80714743,3.0714743,primary_usable,disabled_unverified_side_semantics,disabled_diagnostic_only
27,1780378319538146252,66,1780378319499034279,1780378319077000000,39.111973,fresh_0_50ms,false,false,false,BTC,70607,70608,70607.5,10,70607.0|70606.0|70605.0|70604.0|70603.0,70608.0|70609.0|70610.0|70611.0|70612.0,2.14188|5.41075|5.96182|2.25367|5.92252,0.05719|0.00017|0.00251|0.00032|0.92201,18|7|8|5|3,3|1|3|2|5,21.69064,0.9822,0.91335889,70607.95667945,4.56679446,primary_usable,disabled_unverified_side_semantics,disabled_diagnostic_only
28,1780378320038146252,67,1780378319906642795,1780378319529000000,131.503457,warm_50_250ms,false,false,false,BTC,70607,70608,70607.5,10,70607.0|70606.0|70605.0|70604.0|70603.0,70608.0|70609.0|70610.0|70611.0|70612.0,13.93374|6.85535|0.00955|3.71674|6.15913,0.01433|0.00017|0.00251|0.00032|0.00069,34|8|4|6|3,2|1|3|2|3,30.67451,0.01802,0.99882577,70607.99941289,4.99412886,primary_usable,disabled_unverified_side_semantics,disabled_diagnostic_only
29,1780378320538146252,69,1780378320496013892,1780378320091000000,42.132360,fresh_0_50ms,false,false,false,BTC,70611,70612,70611.5,10,70611.0|70610.0|70609.0|70608.0|70607.0,70612.0|70613.0|70614.0|70615.0|70616.0,46.8208|12.15878|8.34355|13.48867|4.68029,0.04286|0.00047|0.00039|0.00317|0.00079,155|39|36|50|19,1|2|2|2|3,85.49209,0.04768,0.9988852,70611.9994426,4.99442598,primary_usable,disabled_unverified_side_semantics,disabled_diagnostic_only
30,1780378321038146252,73,1780378321037826016,1780378320704000000,0.320236,fresh_0_50ms,false,false,false,BTC,70616,70617,70616.5,10,70616.0|70615.0|70614.0|70613.0|70612.0,70617.0|70618.0|70619.0|70620.0|70621.0,0.32283|0.32283|0.32283|0.32283|35.05028,0.00017|0.50842|0.00017|0.5166|0.00117,1|1|1|1|183,1|4|1|5|2,36.3416,1.02653,0.94505853,70616.97252926,4.72529265,primary_usable,disabled_unverified_side_semantics,disabled_diagnostic_only
31,1780378321538146252,73,1780378321037826016,1780378320704000000,500.320236,watch_250ms_to_stale_limit,false,false,false,BTC,70616,70617,70616.5,10,70616.0|70615.0|70614.0|70613.0|70612.0,70617.0|70618.0|70619.0|70620.0|70621.0,0.32283|0.32283|0.32283|0.32283|35.05028,0.00017|0.50842|0.00017|0.5166|0.00117,1|1|1|1|183,1|4|1|5|2,36.3416,1.02653,0.94505853,70616.97252926,4.72529265,primary_usable,disabled_unverified_side_semantics,disabled_diagnostic_only
32,1780378322038146252,74,1780378321595430412,1780378321222000000,442.715840,watch_250ms_to_stale_limit,false,false,false,BTC,70616,70617,70616.5,10,70616.0|70615.0|70614.0|70613.0|70612.0,70617.0|70618.0|70619.0|70620.0|70621.0,4.4052|0.41971|0.71381|5.45111|5.56178,10.40977|0.50842|0.00017|0.5166|1.62273,39|12|15|22|16,14|4|1|5|9,16.55161,13.05769,0.11800076,70616.55900038,0.59000382,primary_usable,disabled_unverified_side_semantics,disabled_diagnostic_only
33,1780378322538146252,77,1780378322041317747,1780378321738000000,496.828505,watch_250ms_to_stale_limit,false,false,false,BTC,70616,70617,70616.5,10,70616.0|70615.0|70614.0|70613.0|70611.0,70617.0|70618.0|70619.0|70620.0|70621.0,1.02609|0.01|0.72188|0.21242|0.34385,13.57609|0.51282|0.00017|1.48036|0.33675,8|1|3|1|8,32|6|1|6|7,2.31424,15.90619,-0.74597306,70616.12701347,-3.72986532,primary_usable,disabled_unverified_side_semantics,disabled_diagnostic_only
34,1780378323038146252,80,1780378322635100313,1780378322281000000,403.045939,watch_250ms_to_stale_limit,false,false,false,BTC,70614,70615,70614.5,10,70614.0|70613.0|70611.0|70610.0|70609.0,70615.0|70616.0|70617.0|70618.0|70619.0,0.00972|0.92163|0.23742|0.10487|4.53908,26.89006|31.85829|3.72854|0.51282|0.10897,2|4|4|4|8,294|155|18|6|2,5.81272,63.09868,-0.83129874,70614.08435063,-4.1564937,primary_usable,disabled_unverified_side_semantics,disabled_diagnostic_only
35,1780378323538146252,81,1780378323164775319,1780378322819000000,373.370933,watch_250ms_to_stale_limit,false,false,false,BTC,70614,70615,70614.5,10,70614.0|70613.0|70612.0|70611.0|70610.0,70615.0|70616.0|70617.0|70618.0|70619.0,0.00955|0.00017|0.7089|0.23774|0.10504,19.61627|3.18409|1.63007|0.51252|0.10897,1|1|1|6|5,107|11|10|5|2,1.0614,25.05192,-0.91870815,70614.04064592,-4.59354077,primary_usable,disabled_unverified_side_semantics,disabled_diagnostic_only
36,1780378324038146252,82,1780378323722537516,1780378323364000000,315.608736,watch_250ms_to_stale_limit,false,false,false,BTC,70613,70614,70613.5,10,70613.0|70612.0|70611.0|70610.0|70609.0,70614.0|70615.0|70616.0|70617.0|70618.0,0.00017|0.70922|0.23759|0.10519|0.35862,21.75334|3.91122|1.16634|2.05265|0.51252,1|3|5|6|7,105|23|6|7|5,1.41079,29.39607,-0.90841066,70613.04579467,-4.5420533,primary_usable,disabled_unverified_side_semantics,disabled_diagnostic_only
37,1780378324538146252,84,1780378324461547457,1780378323909000000,76.598795,warm_50_250ms,false,false,false,BTC,70613,70614,70613.5,10,70613.0|70612.0|70611.0|70610.0|70609.0,70614.0|70615.0|70616.0|70617.0|70618.0,0.77779|4.61205|1.93897|3.20619|4.42871,4.67342|0.0113|0.001|0.6737|0.50912,10|8|6|10|9,29|3|1|3|4,14.96371,5.86854,0.43659086,70613.71829543,2.18295431,primary_usable,disabled_unverified_side_semantics,disabled_diagnostic_only
38,1780378325038146252,86,1780378324906688437,1780378324470000000,131.457815,warm_50_250ms,false,false,false,BTC,70617,70618,70617.5,10,70617.0|70616.0|70614.0|70613.0|70612.0,70618.0|70619.0|70620.0|70621.0|70622.0,0.005|0.005|12.66059|24.40437|4.26651,0.00039|0.00017|0.00789|0.00017|0.00139,1|1|37|42|10,2|1|3|1|3,41.34147,0.01001,0.99951586,70617.99975793,4.99757929,primary_usable,disabled_unverified_side_semantics,disabled_diagnostic_only
39,1780378325538146252,86,1780378324906688437,1780378324470000000,631.457815,watch_250ms_to_stale_limit,false,false,false,BTC,70617,70618,70617.5,10,70617.0|70616.0|70614.0|70613.0|70612.0,70618.0|70619.0|70620.0|70621.0|70622.0,0.005|0.005|12.66059|24.40437|4.26651,0.00039|0.00017|0.00789|0.00017|0.00139,1|1|37|42|10,2|1|3|1|3,41.34147,0.01001,0.99951586,70617.99975793,4.99757929,primary_usable,disabled_unverified_side_semantics,disabled_diagnostic_only
40,1780378326038146252,90,1780378325978398934,1780378325644000000,59.747318,warm_50_250ms,false,false,false,BTC,70621,70622,70621.5,10,70621.0|70620.0|70619.0|70618.0|70617.0,70622.0|70623.0|70624.0|70625.0|70626.0,15.15623|18.0285|19.75068|19.7897|38.26023,0.00036|0.00017|0.00317|0.05514|0.00017,82|119|120|118|99,2|1|2|4|1,110.98534,0.05901,0.99893718,70621.99946859,4.99468591,primary_usable,disabled_unverified_side_semantics,disabled_diagnostic_only
41,1780378326538146252,90,1780378325978398934,1780378325644000000,559.747318,watch_250ms_to_stale_limit,false,false,false,BTC,70621,70622,70621.5,10,70621.0|70620.0|70619.0|70618.0|70617.0,70622.0|70623.0|70624.0|70625.0|70626.0,15.15623|18.0285|19.75068|19.7897|38.26023,0.00036|0.00017|0.00317|0.05514|0.00017,82|119|120|118|99,2|1|2|4|1,110.98534,0.05901,0.99893718,70621.99946859,4.99468591,primary_usable,disabled_unverified_side_semantics,disabled_diagnostic_only
42,1780378327038146252,95,1780378327032254275,1780378326640000000,5.891977,fresh_0_50ms,false,false,false,BTC,70625,70630,70627.5,50,70625.0|70624.0|70623.0|70622.0|70621.0,70630.0|70631.0|70632.0|70633.0|70634.0,68.52986|7.34475|10.82055|5.91449|16.28138,0.00124|0.00039|0.00037|0.6732|0.06287,262|21|12|11|17,3|2|2|4|4,108.89103,0.73807,0.98653514,70629.96633786,24.66337861,primary_usable,disabled_unverified_side_semantics,disabled_diagnostic_only
43,1780378327538146252,95,1780378327032254275,1780378326640000000,505.891977,watch_250ms_to_stale_limit,false,false,false,BTC,70625,70630,70627.5,50,70625.0|70624.0|70623.0|70622.0|70621.0,70630.0|70631.0|70632.0|70633.0|70634.0,68.52986|7.34475|10.82055|5.91449|16.28138,0.00124|0.00039|0.00037|0.6732|0.06287,262|21|12|11|17,3|2|2|4|4,108.89103,0.73807,0.98653514,70629.96633786,24.66337861,primary_usable,disabled_unverified_side_semantics,disabled_diagnostic_only
44,1780378328038146252,98,1780378327542512015,1780378327180000000,495.634237,watch_250ms_to_stale_limit,false,false,false,BTC,70631,70632,70631.5,10,70631.0|70630.0|70629.0|70628.0|70627.0,70632.0|70633.0|70634.0|70635.0|70636.0,17.16079|2.52031|13.68108|8.31339|2.76295,6.88393|0.6762|0.06287|0.00139|0.96027,96|19|48|37|25,14|5|4|3|6,44.43852,8.58466,0.67619219,70631.83809609,3.38096093,primary_usable,disabled_unverified_side_semantics,disabled_diagnostic_only
45,1780378328538146252,102,1780378328066763323,1780378327712000000,471.382929,watch_250ms_to_stale_limit,false,false,false,BTC,70635,70636,70635.5,10,70635.0|70634.0|70633.0|70632.0|70631.0,70636.0|70637.0|70638.0|70639.0|70640.0,19.48666|17.15676|18.5219|28.37548|25.62052,0.00057|0.00039|0.00037|0.00039|0.00067,99|124|119|135|88,3|2|2|2|3,109.16132,0.00239,0.99995621,70635.99997811,4.99978106,primary_usable,disabled_unverified_side_semantics,disabled_diagnostic_only
46,1780378329038146252,105,1780378328697588398,1780378328258000000,340.557854,watch_250ms_to_stale_limit,false,false,false,BTC,70636,70643,70639.5,70,70636.0|70635.0|70634.0|70633.0|70632.0,70643.0|70644.0|70645.0|70646.0|70647.0,26.51428|28.10738|8.67331|0.30715|6.51279,0.00017|0.00079|0.70874|0.00039|0.00017,123|96|10|7|6,1|3|2|2|1,70.11491,0.71026,0.97994329,70642.92980151,34.2980151,primary_usable,disabled_unverified_side_semantics,disabled_diagnostic_only
47,1780378329538146252,107,1780378329453107866,1780378328797000000,85.038386,warm_50_250ms,false,false,false,BTC,70644,70645,70644.5,10,70644.0|70643.0|70642.0|70641.0|70640.0,70645.0|70646.0|70647.0|70648.0|70649.0,20.46764|13.01956|21.48121|1.39842|2.34078,0.00017|0.00039|0.00017|0.00069|0.00017,134|105|71|11|13,1|2|1|3|1,58.70761,0.00159,0.99994583,70644.99997292,4.99972917,primary_usable,disabled_unverified_side_semantics,disabled_diagnostic_only
48,1780378330038146252,108,1780378329710769350,1780378329344000000,327.376902,watch_250ms_to_stale_limit,false,false,false,BTC,70644,70645,70644.5,10,70644.0|70643.0|70642.0|70641.0|70640.0,70645.0|70646.0|70647.0|70648.0|70649.0,29.63934|7.3248|9.77676|0.40537|3.72424,5.86966|0.00039|0.00017|0.00069|0.00017,137|14|12|3|4,4|2|1|3|1,50.87051,5.87108,0.79305902,70644.89652951,3.96529512,primary_usable,disabled_unverified_side_semantics,disabled_diagnostic_only
49,1780378330538146252,111,1780378330272710137,1780378329885000000,265.436115,watch_250ms_to_stale_limit,false,false,false,BTC,70649,70652,70650.5,30,70649.0|70648.0|70647.0|70646.0|70645.0,70652.0|70653.0|70654.0|70655.0|70656.0,4.81316|6.26177|7.03527|9.13206|38.10913,0.32027|0.51111|0.00139|2.0721|0.76227,34|37|48|48|205,1|3|3|7|4,65.35139,3.66714,0.89373462,70651.84060194,13.40601937,primary_usable,disabled_unverified_side_semantics,disabled_diagnostic_only
50,1780378331038146252,112,1780378330793633388,1780378330439000000,244.512864,warm_50_250ms,false,false,false,BTC,70652,70653,70652.5,10,70652.0|70651.0|70650.0|70649.0|70648.0,70653.0|70654.0|70655.0|70656.0|70657.0,28.38982|14.13563|5.6434|10.09254|1.47474,5.87057|0.00139|0.71476|1.72074|0.54712,121|63|23|29|15,3|3|5|5|7,59.73613,8.85458,0.74181402,70652.87090701,3.70907008,primary_usable,disabled_unverified_side_semantics,disabled_diagnostic_only
51,1780378331538146252,113,1780378331304006864,1780378330965000000,234.139388,warm_50_250ms,false,false,false,BTC,70652,70653,70652.5,10,70652.0|70651.0|70650.0|70649.0|70648.0,70653.0|70654.0|70655.0|70656.0|70657.0,18.04772|3.01892|0.01217|6.20371|0.00017,7.66521|0.00139|0.71267|1.72074|0.54712,78|6|3|7|1,16|3|4|5|7,27.28269,10.64713,0.4385879,70652.71929395,2.19293949,primary_usable,disabled_unverified_side_semantics,disabled_diagnostic_only
