capture_id,research_date,role,start_utc,end_utc,duration_seconds,raw_path,raw_size_bytes,raw_sha256,depth_gap_count,raw_hash_verified
2026-08-03_f1ce2c62420e,2026-08-03,historical_method_development,2026-08-02T23:33:10.799965+00:00,2026-08-03T00:03:10.877289+00:00,1800.077324,/Users/liu/Documents/hftbacktest/local_live_analysis/cross_exchange_collection_campaign_0802T001_skhynix_5h_10x30m/segments/segment_0001/skhynix/sample/binance_public_raw/raw.gz,17620682,c1af8a7be84f3cded6d3f138ade48ed539aec2823132ed59c8fa03084cd93daa,0,true
2026-08-03_d0a70a33d273,2026-08-03,historical_method_development,2026-08-03T00:03:11.705131+00:00,2026-08-03T00:33:11.712256+00:00,1800.007125,/Users/liu/Documents/hftbacktest/local_live_analysis/cross_exchange_collection_campaign_0802T001_skhynix_5h_10x30m/segments/segment_0002/skhynix/sample/binance_public_raw/raw.gz,33421756,bba5a1ae461ebbcea15a3eab46f82e07acc25d04b99359d58ce3334957bf6e0f,0,true
2026-08-03_098332acc16a,2026-08-03,historical_method_development,2026-08-03T00:33:12.621193+00:00,2026-08-03T01:03:12.666307+00:00,1800.045114,/Users/liu/Documents/hftbacktest/local_live_analysis/cross_exchange_collection_campaign_0802T001_skhynix_5h_10x30m/segments/segment_0003/skhynix/sample/binance_public_raw/raw.gz,26218826,5319dc97ab023b9e22c9529a8ffc0bcec8c16e94ca29a55c477260cb4aac436d,0,true
2026-08-03_b7b76aed76b8,2026-08-03,historical_method_development,2026-08-03T01:03:13.538706+00:00,2026-08-03T01:33:13.633392+00:00,1800.094686,/Users/liu/Documents/hftbacktest/local_live_analysis/cross_exchange_collection_campaign_0802T001_skhynix_5h_10x30m/segments/segment_0004/skhynix/sample/binance_public_raw/raw.gz,21761551,218ea9cfcc6502f1a98b5d50a8e3e9941833d8fadfdd990bea2fc2b47a57e0d1,0,true
2026-08-03_2994fc7a75af,2026-08-03,historical_method_development,2026-08-03T01:33:14.457684+00:00,2026-08-03T02:03:14.573901+00:00,1800.116217,/Users/liu/Documents/hftbacktest/local_live_analysis/cross_exchange_collection_campaign_0802T001_skhynix_5h_10x30m/segments/segment_0005/skhynix/sample/binance_public_raw/raw.gz,21255901,ae93d4ae5b4ab1dc78984f5b02a2bc852eb744a47fb52bf9adcbf5ffe9161ef2,0,true
2026-08-03_3a405386e85b,2026-08-03,historical_method_development,2026-08-03T02:03:15.387635+00:00,2026-08-03T02:33:15.494863+00:00,1800.107228,/Users/liu/Documents/hftbacktest/local_live_analysis/cross_exchange_collection_campaign_0802T001_skhynix_5h_10x30m/segments/segment_0006/skhynix/sample/binance_public_raw/raw.gz,17057073,5d2120a3e4b6905871d0c850f9e8a9a953b1e36479149a29820db3b6aded9c6e,0,true
2026-08-03_1dd085c2ccc5,2026-08-03,historical_method_development,2026-08-03T02:33:16.326330+00:00,2026-08-03T03:03:16.451300+00:00,1800.12497,/Users/liu/Documents/hftbacktest/local_live_analysis/cross_exchange_collection_campaign_0802T001_skhynix_5h_10x30m/segments/segment_0007/skhynix/sample/binance_public_raw/raw.gz,12540010,4a1ed3af377b0388ce9973d143f49097d1e2d178b566235ce1560ad3ca78bf5e,0,true
2026-08-03_7f200bdbf129,2026-08-03,historical_method_development,2026-08-03T03:03:17.018540+00:00,2026-08-03T03:33:17.130627+00:00,1800.112087,/Users/liu/Documents/hftbacktest/local_live_analysis/cross_exchange_collection_campaign_0802T001_skhynix_5h_10x30m/segments/segment_0008/skhynix/sample/binance_public_raw/raw.gz,11723065,350351a351c8ae270a1a26005ba08b26f808f7ba943387b1dd534c8c3ab80bd3,0,true
2026-08-03_c6ba75ad540b,2026-08-03,historical_method_development,2026-08-03T03:33:17.713314+00:00,2026-08-03T04:03:17.782764+00:00,1800.06945,/Users/liu/Documents/hftbacktest/local_live_analysis/cross_exchange_collection_campaign_0802T001_skhynix_5h_10x30m/segments/segment_0009/skhynix/sample/binance_public_raw/raw.gz,11922548,fa091c75823a7af8dc1646d30b28ddc1bb6352b8a9a00b158bad3b44df1d23ee,0,true
2026-08-03_d8e3322d6f2c,2026-08-03,historical_method_development,2026-08-03T04:03:18.413062+00:00,2026-08-03T04:33:18.458011+00:00,1800.044949,/Users/liu/Documents/hftbacktest/local_live_analysis/cross_exchange_collection_campaign_0802T001_skhynix_5h_10x30m/segments/segment_0010/skhynix/sample/binance_public_raw/raw.gz,12418643,82e3b59066c2e0b8436ab55f5614c6dab6841c9cd95ad0c537fbc263ea49649c,0,true
2026-08-04_a6a45be8a495,2026-08-04,historical_method_development,2026-08-04T00:58:42.534046+00:00,2026-08-04T02:58:42.664476+00:00,7200.13043,/Users/liu/Documents/hftbacktest/local_live_analysis/cross_exchange_collection_campaign_0804T001_skhynix_2h_continuous/segments/segment_0001/skhynix/sample/binance_public_raw/raw.gz,97426897,7507a3ecaa297491f410a2e430ce316abd4019cb510481fef5f968f755c60c86,0,true
2026-08-07_46d1e1a74698,2026-08-07,historical_blocked_validation,2026-08-07T00:59:50.317628+00:00,2026-08-07T04:59:50.330516+00:00,14400.012888,/Users/liu/Documents/hftbacktest/local_live_analysis/0807T001_skhynix_4h_continuous/segments/segment_0001/skhynix/sample/binance_public_raw/raw.gz,149234253,0e8cf67cfff91def93ae9fd7d7d196e3e9bf14ce547415ae6e84e418286347fb,0,true
2026-08-24_aeee94c4bfe5,2026-08-24,historical_blocked_validation,2026-08-24T00:47:28.380287+00:00,2026-08-24T04:47:28.462984+00:00,14400.082697,/Users/liu/Documents/hftbacktest/local_live_analysis/daily_cross_exchange/skhynix/20260824-skhynix-4h-scheduled-0824T002/campaign/segments/segment_0001/skhynix/sample/binance_public_raw/raw.gz,122481986,12d5d04c1b83dbff3fdf9f576b81981b57f8c41861af16f08d6ee57cdf6a696f,0,true
2026-08-25_fd89fc8de22f,2026-08-25,historical_blocked_validation,2026-08-25T00:57:40.111495+00:00,2026-08-25T04:57:40.209275+00:00,14400.09778,/Users/liu/Documents/hftbacktest/local_live_analysis/daily_cross_exchange/skhynix/20260825-skhynix-4h-immediate-0825T001/campaign/segments/segment_0001/skhynix/sample/binance_public_raw/raw.gz,128767001,38730938549f5b29e60a0a5dad628d637834939e7297515cd031c8a229773ea4,0,true
2026-08-26_164de1d394f7,2026-08-26,historical_no_refit_replay,2026-08-26T01:11:36.373938+00:00,2026-08-26T03:16:36.427748+00:00,7500.05381,/Users/liu/Documents/hftbacktest/local_live_analysis/bn_single_venue/skhynix/20260826-skhynix-factor-2h-0826T001/binance_public_raw/raw.gz,58778471,ee6f6d1b46180255154ef113bb6fbe32c0c32be3b93a74aa0a7ef32d9116d051,0,true
2026-08-26_a055aa6c7a87,2026-08-26,historical_no_refit_replay,2026-08-26T11:35:29.554534+00:00,2026-08-26T13:40:29.609047+00:00,7500.054513,/Users/liu/Documents/hftbacktest/local_live_analysis/bn_single_venue/skhynix/20260826-skhynix-factor-2h-0826T004-g01/binance_public_raw/raw.gz,34929249,b2c64c02a7fe169e9d02387f74f0eadfa815e3eadac3040968121ad50cc509cc,0,true
2026-08-26_7e4d0a9ed099,2026-08-26,historical_no_refit_replay,2026-08-26T13:40:29.985387+00:00,2026-08-26T15:45:30.014121+00:00,7500.028734,/Users/liu/Documents/hftbacktest/local_live_analysis/bn_single_venue/skhynix/20260826-skhynix-factor-2h-0826T004-g02/binance_public_raw/raw.gz,38614900,70b5bf2b709501e8dc011505efad0e54efb536b1746880917022333b922607af,0,true
2026-08-26_20fa36ad4d76,2026-08-26,historical_no_refit_replay,2026-08-26T15:45:30.436433+00:00,2026-08-26T17:50:30.484602+00:00,7500.048169,/Users/liu/Documents/hftbacktest/local_live_analysis/bn_single_venue/skhynix/20260826-skhynix-factor-2h-0826T004-g03/binance_public_raw/raw.gz,19249370,e2bc684775a84cdfef4a9b1515c0f88c23580341bd565c69b640b3780560b2bb,0,true
2026-08-27_ba5ebc09e758,2026-08-27,historical_no_refit_replay,2026-08-27T00:43:13.563475+00:00,2026-08-27T02:48:13.595697+00:00,7500.032222,/Users/liu/Documents/hftbacktest/local_live_analysis/bn_single_venue/skhynix/20260827-skhynix-factor-2h-0827T001/binance_public_raw/raw.gz,60257102,e220360f4d50839562ee501b727e83d9434f029e7afcf27278719959791417df,0,true
