horizon_ms,hyperliquid_context_quality,hyperliquid_join_age_bucket,hyperliquid_spread_bucket,row_count,mean_future_mid_move_ticks,mean_future_microprice_minus_mid_change_ticks,mean_future_top5_imbalance_change
500,primary_usable,warm_50_250ms,spread_10_20_ticks,15,-3.33333333,-1.61297059,-0.22982295
500,primary_usable,warm_50_250ms,spread_gt_20_ticks,19,-18.68421053,-14.59362956,-0.14023386
500,primary_usable,watch_250ms_to_stale_limit,spread_0_10_ticks,1893,-1.40781828,0.01949367,0.00256425
500,primary_usable,watch_250ms_to_stale_limit,spread_10_20_ticks,13,-11.92307692,0.49075828,-0.14793951
500,primary_usable,watch_250ms_to_stale_limit,spread_gt_20_ticks,30,-32.83333333,6.44036962,0.11639335
1000,primary_usable,fresh_0_50ms,spread_0_10_ticks,383,-0.49608355,-0.30954773,-0.01385053
1000,primary_usable,fresh_0_50ms,spread_10_20_ticks,4,-15,3.29855506,0.06980567
1000,primary_usable,fresh_0_50ms,spread_gt_20_ticks,7,7.14285714,5.5537855,0.04078721
1000,primary_usable,warm_50_250ms,spread_0_10_ticks,1231,1.76685621,0.08080574,0.00147201
1000,primary_usable,warm_50_250ms,spread_10_20_ticks,15,-1,-1.98062551,-0.24575354
1000,primary_usable,warm_50_250ms,spread_gt_20_ticks,19,-20,-14.88277482,-0.06286479
1000,primary_usable,watch_250ms_to_stale_limit,spread_0_10_ticks,1892,-2.27536998,0.05553146,0.00361808
1000,primary_usable,watch_250ms_to_stale_limit,spread_10_20_ticks,13,-22.69230769,-1.87092746,-0.33877953
1000,primary_usable,watch_250ms_to_stale_limit,spread_gt_20_ticks,30,-33.33333333,6.1907721,0.09205041
5000,primary_usable,fresh_0_50ms,spread_0_10_ticks,381,-5.26246719,0.35778711,0.02994625
5000,primary_usable,fresh_0_50ms,spread_10_20_ticks,4,-20,6.77544578,0.76518381
5000,primary_usable,fresh_0_50ms,spread_gt_20_ticks,7,68.57142857,4.08010127,0.21610496
5000,primary_usable,warm_50_250ms,spread_0_10_ticks,1228,-9.86970684,0.03194293,-0.02817766
5000,primary_usable,warm_50_250ms,spread_10_20_ticks,15,-4.33333333,3.4686934,0.45359041
5000,primary_usable,warm_50_250ms,spread_gt_20_ticks,19,-80.52631579,-16.71257676,-0.11501591
5000,primary_usable,watch_250ms_to_stale_limit,spread_0_10_ticks,1889,-2.02752779,-0.03554766,0.00708072
5000,primary_usable,watch_250ms_to_stale_limit,spread_10_20_ticks,13,-28.84615385,0.22363647,-0.04752209
5000,primary_usable,watch_250ms_to_stale_limit,spread_gt_20_ticks,30,-49.5,2.86580985,0.02428465
10000,primary_usable,fresh_0_50ms,spread_0_10_ticks,381,-6.69291339,0.16733197,-0.05191086
10000,primary_usable,fresh_0_50ms,spread_10_20_ticks,4,-7.5,3.85576623,0.1812479
10000,primary_usable,fresh_0_50ms,spread_gt_20_ticks,7,148.57142857,4.4873169,0.29754808
10000,primary_usable,warm_50_250ms,spread_0_10_ticks,1225,-16.23265306,-0.08233476,-0.01145769
10000,primary_usable,warm_50_250ms,spread_10_20_ticks,15,27.66666667,-0.06409167,-0.11997812
10000,primary_usable,warm_50_250ms,spread_gt_20_ticks,19,-86.84210526,-15.11545267,-0.10940036
10000,primary_usable,watch_250ms_to_stale_limit,spread_0_10_ticks,1882,-9.75823592,0.01362674,0.01413424
10000,primary_usable,watch_250ms_to_stale_limit,spread_10_20_ticks,13,-2.69230769,-0.629292,-0.15021396
10000,primary_usable,watch_250ms_to_stale_limit,spread_gt_20_ticks,30,-67,7.73185831,0.21449329
