feature,outcome,horizon_ms,scope,row_count,pearson_corr,high_z_minus_low_z_mean_effect,feature_z_mean,outcome_mean,dominant_sign,threshold_met,outcome_unit,effective_future_age_ms_min,effective_future_age_ms_mean,effective_future_age_ms_max
binance_top5_microprice_px,basis_microprice_response_ticks,250,overall,3595,-0.03022513,-4.47121631,0.00021566,-0.03264664,negative,false,ticks,500,500.41724618,1500
binance_top5_microprice_px,basis_mid_response_ticks,500,overall,3595,-0.03016199,-4.46336053,0.00021566,-0.0325452,negative,false,ticks,500,500.41724618,1500
binance_top5_microprice_px,basis_microprice_response_ticks,500,overall,3595,-0.03022513,-4.47121631,0.00021566,-0.03264664,negative,false,ticks,500,500.41724618,1500
binance_top5_microprice_px,basis_mid_response_ticks,1000,overall,3594,-0.04169943,-8.98024349,0.00043143,-0.0837507,negative,false,ticks,1000,1000.55648303,2000
binance_top5_microprice_px,basis_microprice_response_ticks,1000,overall,3594,-0.04175155,-8.98990915,0.00043143,-0.08399759,negative,false,ticks,1000,1000.55648303,2000
binance_top5_microprice_px,basis_mid_response_ticks,5000,overall,3586,-0.06747887,-21.75543752,0.00211665,-0.35833798,negative,true,ticks,5000,5000.55772448,6000
binance_top5_microprice_px,basis_microprice_response_ticks,5000,overall,3586,-0.06748982,-21.77462697,0.00211665,-0.35746353,negative,true,ticks,5000,5000.55772448,6000
binance_top5_microprice_px,basis_mid_response_ticks,10000,overall,3576,-0.07097611,-20.1857579,0.00422147,-0.68288591,negative,true,ticks,10000,10000.27964206,10500
binance_top5_microprice_px,basis_microprice_response_ticks,10000,overall,3576,-0.07099496,-20.21007094,0.00422147,-0.68172528,negative,true,ticks,10000,10000.27964206,10500
binance_microprice_minus_mid_ticks,basis_mid_response_ticks,100,overall,3595,0.03880418,107.93333333,-0.00004329,-0.0325452,positive,false,ticks,500,500.41724618,1500
binance_microprice_minus_mid_ticks,basis_microprice_response_ticks,100,overall,3595,0.02068422,87.82794281,-0.00004329,-0.03264664,positive,false,ticks,500,500.41724618,1500
binance_microprice_minus_mid_ticks,basis_mid_response_ticks,250,overall,3595,0.03880418,107.93333333,-0.00004329,-0.0325452,positive,false,ticks,500,500.41724618,1500
binance_microprice_minus_mid_ticks,basis_microprice_response_ticks,250,overall,3595,0.02068422,87.82794281,-0.00004329,-0.03264664,positive,false,ticks,500,500.41724618,1500
binance_microprice_minus_mid_ticks,basis_mid_response_ticks,500,overall,3595,0.03880418,107.93333333,-0.00004329,-0.0325452,positive,false,ticks,500,500.41724618,1500
binance_microprice_minus_mid_ticks,basis_microprice_response_ticks,500,overall,3595,0.02068422,87.82794281,-0.00004329,-0.03264664,positive,false,ticks,500,500.41724618,1500
binance_microprice_minus_mid_ticks,basis_mid_response_ticks,1000,overall,3594,0.039196,157.2,-0.00008679,-0.0837507,positive,false,ticks,1000,1000.55648303,2000
binance_microprice_minus_mid_ticks,basis_microprice_response_ticks,1000,overall,3594,0.02666978,138.97900839,-0.00008679,-0.08399759,positive,false,ticks,1000,1000.55648303,2000
binance_microprice_minus_mid_ticks,basis_mid_response_ticks,5000,overall,3586,-0.04904147,-112.8,-0.00063173,-0.35833798,negative,false,ticks,5000,5000.55772448,6000
binance_microprice_minus_mid_ticks,basis_microprice_response_ticks,5000,overall,3586,-0.05805464,-131.03662895,-0.00063173,-0.35746353,negative,true,ticks,5000,5000.55772448,6000
binance_microprice_minus_mid_ticks,basis_mid_response_ticks,10000,overall,3576,-0.06279833,-218.26666667,-0.00144641,-0.68288591,negative,true,ticks,10000,10000.27964206,10500
binance_microprice_minus_mid_ticks,basis_microprice_response_ticks,10000,overall,3576,-0.0713269,-236.52106153,-0.00144641,-0.68172528,negative,true,ticks,10000,10000.27964206,10500
binance_top5_bid_qty,basis_mid_response_ticks,100,overall,3595,0.07787048,21.68076845,0.00005717,-0.0325452,positive,true,ticks,500,500.41724618,1500
binance_top5_bid_qty,basis_microprice_response_ticks,100,overall,3595,0.07475342,21.12984237,0.00005717,-0.03264664,positive,true,ticks,500,500.41724618,1500
binance_top5_bid_qty,basis_mid_response_ticks,250,overall,3595,0.07787048,21.68076845,0.00005717,-0.0325452,positive,true,ticks,500,500.41724618,1500
binance_top5_bid_qty,basis_microprice_response_ticks,250,overall,3595,0.07475342,21.12984237,0.00005717,-0.03264664,positive,true,ticks,500,500.41724618,1500
binance_top5_bid_qty,basis_mid_response_ticks,500,overall,3595,0.07787048,21.68076845,0.00005717,-0.0325452,positive,true,ticks,500,500.41724618,1500
binance_top5_bid_qty,basis_microprice_response_ticks,500,overall,3595,0.07475342,21.12984237,0.00005717,-0.03264664,positive,true,ticks,500,500.41724618,1500
binance_top5_bid_qty,basis_mid_response_ticks,1000,overall,3594,0.04540887,27.1025236,0.00008344,-0.0837507,positive,false,ticks,1000,1000.55648303,2000
binance_top5_bid_qty,basis_microprice_response_ticks,1000,overall,3594,0.0427591,26.40299591,0.00008344,-0.08399759,positive,false,ticks,1000,1000.55648303,2000
binance_top5_bid_qty,basis_mid_response_ticks,5000,overall,3586,-0.08415227,-15.68719443,-0.00428857,-0.35833798,negative,true,ticks,5000,5000.55772448,6000
binance_top5_bid_qty,basis_microprice_response_ticks,5000,overall,3586,-0.08611446,-16.59375277,-0.00428857,-0.35746353,negative,true,ticks,5000,5000.55772448,6000
binance_top5_bid_qty,basis_mid_response_ticks,10000,overall,3576,-0.13528717,-36.49242129,-0.00674551,-0.68288591,negative,true,ticks,10000,10000.27964206,10500
binance_top5_bid_qty,basis_microprice_response_ticks,10000,overall,3576,-0.1370978,-37.49185178,-0.00674551,-0.68172528,negative,true,ticks,10000,10000.27964206,10500
binance_top5_ask_qty,basis_mid_response_ticks,100,overall,3595,-0.01452295,0,0.00005234,-0.0325452,negative,false,ticks,500,500.41724618,1500
binance_top5_ask_qty,basis_microprice_response_ticks,100,overall,3595,-0.014176,0,0.00005234,-0.03264664,negative,false,ticks,500,500.41724618,1500
binance_top5_ask_qty,basis_mid_response_ticks,250,overall,3595,-0.01452295,0,0.00005234,-0.0325452,negative,false,ticks,500,500.41724618,1500
binance_top5_ask_qty,basis_microprice_response_ticks,250,overall,3595,-0.014176,0,0.00005234,-0.03264664,negative,false,ticks,500,500.41724618,1500
binance_top5_ask_qty,basis_mid_response_ticks,500,overall,3595,-0.01452295,0,0.00005234,-0.0325452,negative,false,ticks,500,500.41724618,1500
binance_top5_ask_qty,basis_microprice_response_ticks,500,overall,3595,-0.014176,0,0.00005234,-0.03264664,negative,false,ticks,500,500.41724618,1500
binance_top5_ask_qty,basis_mid_response_ticks,1000,overall,3594,-0.02555957,0,0.00010246,-0.0837507,negative,false,ticks,1000,1000.55648303,2000
binance_top5_ask_qty,basis_microprice_response_ticks,1000,overall,3594,-0.02519974,0,0.00010246,-0.08399759,negative,false,ticks,1000,1000.55648303,2000
binance_top5_ask_qty,basis_mid_response_ticks,5000,overall,3586,-0.00180917,0,0.00042416,-0.35833798,negative,false,ticks,5000,5000.55772448,6000
binance_top5_ask_qty,basis_microprice_response_ticks,5000,overall,3586,-0.00106107,0,0.00042416,-0.35746353,negative,false,ticks,5000,5000.55772448,6000
binance_top5_ask_qty,basis_mid_response_ticks,10000,overall,3576,0.00157854,0,0.00093865,-0.68288591,positive,false,ticks,10000,10000.27964206,10500
binance_top5_ask_qty,basis_microprice_response_ticks,10000,overall,3576,0.00228057,0,0.00093865,-0.68172528,positive,false,ticks,10000,10000.27964206,10500
binance_top5_total_qty,basis_mid_response_ticks,100,overall,3595,-0.00454424,0,0.00005941,-0.0325452,negative,false,ticks,500,500.41724618,1500
binance_top5_total_qty,basis_microprice_response_ticks,100,overall,3595,-0.0045958,0,0.00005941,-0.03264664,negative,false,ticks,500,500.41724618,1500
binance_top5_total_qty,basis_mid_response_ticks,250,overall,3595,-0.00454424,0,0.00005941,-0.0325452,negative,false,ticks,500,500.41724618,1500
binance_top5_total_qty,basis_microprice_response_ticks,250,overall,3595,-0.0045958,0,0.00005941,-0.03264664,negative,false,ticks,500,500.41724618,1500
binance_top5_total_qty,basis_mid_response_ticks,500,overall,3595,-0.00454424,0,0.00005941,-0.0325452,negative,false,ticks,500,500.41724618,1500
binance_top5_total_qty,basis_microprice_response_ticks,500,overall,3595,-0.0045958,0,0.00005941,-0.03264664,negative,false,ticks,500,500.41724618,1500
binance_top5_total_qty,basis_mid_response_ticks,1000,overall,3594,-0.01967317,0,0.00011269,-0.0837507,negative,false,ticks,1000,1000.55648303,2000
binance_top5_total_qty,basis_microprice_response_ticks,1000,overall,3594,-0.01965236,0,0.00011269,-0.08399759,negative,false,ticks,1000,1000.55648303,2000
binance_top5_total_qty,basis_mid_response_ticks,5000,overall,3586,-0.01245591,0,-0.00012392,-0.35833798,negative,false,ticks,5000,5000.55772448,6000
binance_top5_total_qty,basis_microprice_response_ticks,5000,overall,3586,-0.01195918,0,-0.00012392,-0.35746353,negative,false,ticks,5000,5000.55772448,6000
binance_top5_total_qty,basis_mid_response_ticks,10000,overall,3576,-0.01551787,0,0.00007551,-0.68288591,negative,false,ticks,10000,10000.27964206,10500
binance_top5_total_qty,basis_microprice_response_ticks,10000,overall,3576,-0.01504736,0,0.00007551,-0.68172528,negative,false,ticks,10000,10000.27964206,10500
binance_mid_move_ticks_from_prev,basis_mid_response_ticks,100,overall,3594,0.00034501,21.45408163,-0.00000071,-0.06065665,positive,false,ticks,500,500.41736227,1500
binance_mid_move_ticks_from_prev,basis_microprice_response_ticks,100,overall,3594,-0.00926224,19.27712031,-0.00000071,-0.06075609,positive,false,ticks,500,500.41736227,1500
binance_mid_move_ticks_from_prev,basis_mid_response_ticks,250,overall,3594,0.00034501,21.45408163,-0.00000071,-0.06065665,positive,false,ticks,500,500.41736227,1500
binance_mid_move_ticks_from_prev,basis_microprice_response_ticks,250,overall,3594,-0.00926224,19.27712031,-0.00000071,-0.06075609,positive,false,ticks,500,500.41736227,1500
binance_mid_move_ticks_from_prev,basis_mid_response_ticks,500,overall,3594,0.00034501,21.45408163,-0.00000071,-0.06065665,positive,false,ticks,500,500.41736227,1500
binance_mid_move_ticks_from_prev,basis_microprice_response_ticks,500,overall,3594,-0.00926224,19.27712031,-0.00000071,-0.06075609,positive,false,ticks,500,500.41736227,1500
binance_mid_move_ticks_from_prev,basis_mid_response_ticks,1000,overall,3593,-0.04893229,-5.82482993,-0.00000142,-0.12023379,negative,false,ticks,1000,1000.55663791,2000
binance_mid_move_ticks_from_prev,basis_microprice_response_ticks,1000,overall,3593,-0.05561149,-8.11604298,-0.00000142,-0.12047957,negative,true,ticks,1000,1000.55663791,2000
binance_mid_move_ticks_from_prev,basis_mid_response_ticks,5000,overall,3585,-0.09450467,-85.04931973,-0.0000071,-0.35927476,negative,true,ticks,5000,5000.55788006,6000
binance_mid_move_ticks_from_prev,basis_microprice_response_ticks,5000,overall,3585,-0.09901829,-87.30884792,-0.0000071,-0.35839709,negative,true,ticks,5000,5000.55788006,6000
binance_mid_move_ticks_from_prev,basis_mid_response_ticks,10000,overall,3575,-0.07719674,-74.90646259,-0.00001423,-0.66321678,negative,true,ticks,10000,10000.27972028,10500
binance_mid_move_ticks_from_prev,basis_microprice_response_ticks,10000,overall,3575,-0.08149197,-77.24924303,-0.00001423,-0.66190698,negative,true,ticks,10000,10000.27972028,10500
binance_rolling_abs_mid_move_ticks_5,basis_mid_response_ticks,100,overall,3594,-0.02721896,0,0.00006003,-0.06065665,negative,false,ticks,500,500.41736227,1500
binance_rolling_abs_mid_move_ticks_5,basis_microprice_response_ticks,100,overall,3594,-0.02311111,0,0.00006003,-0.06075609,negative,false,ticks,500,500.41736227,1500
binance_rolling_abs_mid_move_ticks_5,basis_mid_response_ticks,250,overall,3594,-0.02721896,0,0.00006003,-0.06065665,negative,false,ticks,500,500.41736227,1500
binance_rolling_abs_mid_move_ticks_5,basis_microprice_response_ticks,250,overall,3594,-0.02311111,0,0.00006003,-0.06075609,negative,false,ticks,500,500.41736227,1500
binance_rolling_abs_mid_move_ticks_5,basis_mid_response_ticks,500,overall,3594,-0.02721896,0,0.00006003,-0.06065665,negative,false,ticks,500,500.41736227,1500
binance_rolling_abs_mid_move_ticks_5,basis_microprice_response_ticks,500,overall,3594,-0.02311111,0,0.00006003,-0.06075609,negative,false,ticks,500,500.41736227,1500
binance_rolling_abs_mid_move_ticks_5,basis_mid_response_ticks,1000,overall,3593,0.05069647,0,0.0001201,-0.12023379,positive,false,ticks,1000,1000.55663791,2000
binance_rolling_abs_mid_move_ticks_5,basis_microprice_response_ticks,1000,overall,3593,0.05337816,0,0.0001201,-0.12047957,positive,false,ticks,1000,1000.55663791,2000
binance_rolling_abs_mid_move_ticks_5,basis_mid_response_ticks,5000,overall,3585,0.11630885,0,0.00060182,-0.35927476,positive,false,ticks,5000,5000.55788006,6000
binance_rolling_abs_mid_move_ticks_5,basis_microprice_response_ticks,5000,overall,3585,0.11812034,0,0.00060182,-0.35839709,positive,false,ticks,5000,5000.55788006,6000
binance_rolling_abs_mid_move_ticks_5,basis_mid_response_ticks,10000,overall,3575,0.09570129,0,0.00049363,-0.66321678,positive,false,ticks,10000,10000.27972028,10500
binance_rolling_abs_mid_move_ticks_5,basis_microprice_response_ticks,10000,overall,3575,0.09735428,0,0.00049363,-0.66190698,positive,false,ticks,10000,10000.27972028,10500
binance_rolling_rv_ticks_20,basis_mid_response_ticks,100,overall,3594,0.00165586,0,0.00011122,-0.06065665,positive,false,ticks,500,500.41736227,1500
binance_rolling_rv_ticks_20,basis_microprice_response_ticks,100,overall,3594,0.00423387,0,0.00011122,-0.06075609,positive,false,ticks,500,500.41736227,1500
binance_rolling_rv_ticks_20,basis_mid_response_ticks,250,overall,3594,0.00165586,0,0.00011122,-0.06065665,positive,false,ticks,500,500.41736227,1500
binance_rolling_rv_ticks_20,basis_microprice_response_ticks,250,overall,3594,0.00423387,0,0.00011122,-0.06075609,positive,false,ticks,500,500.41736227,1500
binance_rolling_rv_ticks_20,basis_mid_response_ticks,500,overall,3594,0.00165586,0,0.00011122,-0.06065665,positive,false,ticks,500,500.41736227,1500
binance_rolling_rv_ticks_20,basis_microprice_response_ticks,500,overall,3594,0.00423387,0,0.00011122,-0.06075609,positive,false,ticks,500,500.41736227,1500
binance_rolling_rv_ticks_20,basis_mid_response_ticks,1000,overall,3593,0.11428089,0,0.00022251,-0.12023379,positive,false,ticks,1000,1000.55663791,2000
binance_rolling_rv_ticks_20,basis_microprice_response_ticks,1000,overall,3593,0.11599712,0,0.00022251,-0.12047957,positive,false,ticks,1000,1000.55663791,2000
binance_rolling_rv_ticks_20,basis_mid_response_ticks,5000,overall,3585,0.2102154,0,0.00067857,-0.35927476,positive,false,ticks,5000,5000.55788006,6000
binance_rolling_rv_ticks_20,basis_microprice_response_ticks,5000,overall,3585,0.21122646,0,0.00067857,-0.35839709,positive,false,ticks,5000,5000.55788006,6000
binance_rolling_rv_ticks_20,basis_mid_response_ticks,10000,overall,3575,0.18966071,0,0.00068568,-0.66321678,positive,false,ticks,10000,10000.27972028,10500
binance_rolling_rv_ticks_20,basis_microprice_response_ticks,10000,overall,3575,0.1905839,0,0.00068568,-0.66190698,positive,false,ticks,10000,10000.27972028,10500
