conditioning_dimension,conditioning_bucket,context_label,row_count,sample_count,positive_future_count,negative_future_count,direction_hit_rate,mean_future_mid_move_ticks,median_future_mid_move_ticks,wrong_way_count,wrong_way_rate,p95_wrong_way_loss_ticks,max_wrong_way_loss_ticks,max_sample_row_share,p95_wrong_way_improvement_vs_raw_ticks
visible_movement_bucket,visible_movement_zero,basis_positive_clean_context,3382,7,1910,37,0.9809964,40.81312833,15,37,0.01094027,88,120,0.32022472,32
visible_movement_bucket,visible_movement_zero,basis_positive_tail_risk_context,2072,7,629,56,0.91824818,15.90733591,0,56,0.02702703,155,180,0.25048263,-35
binance_momentum_bucket,binance_momentum_negative_large,basis_positive_raw_context,5,3,5,0,1,130,80,0,0,,,0.6,
binance_momentum_bucket,binance_momentum_negative_large,basis_positive_clean_context,4,2,4,0,1,115,77.5,0,0,,,0.75,
binance_momentum_bucket,binance_momentum_negative_large,basis_positive_tail_risk_context,1,1,1,0,1,190,190,0,0,,,1,
binance_momentum_bucket,binance_momentum_negative_medium,basis_positive_raw_context,22,7,13,2,0.86666667,73.18181818,10,2,0.09090909,19.5,20,0.22727273,100.5
binance_momentum_bucket,binance_momentum_negative_medium,basis_positive_clean_context,10,6,9,0,1,106,85,0,0,,,0.3,
binance_momentum_bucket,binance_momentum_negative_medium,basis_positive_tail_risk_context,12,5,4,2,0.66666667,45.83333333,0,2,0.16666667,19.5,20,0.33333333,100.5
binance_momentum_bucket,binance_momentum_negative_small,basis_positive_raw_context,13,7,10,0,1,106.15384615,90,0,0,,,0.23076923,
binance_momentum_bucket,binance_momentum_negative_small,basis_positive_clean_context,8,5,7,0,1,126.25,135,0,0,,,0.25,
binance_momentum_bucket,binance_momentum_negative_small,basis_positive_tail_risk_context,5,3,3,0,1,74,30,0,0,,,0.4,
binance_momentum_bucket,binance_momentum_positive_large,basis_positive_raw_context,30,7,24,0,1,106.16666667,107.5,0,0,,,0.4,
binance_momentum_bucket,binance_momentum_positive_large,basis_positive_clean_context,16,7,13,0,1,120.3125,107.5,0,0,,,0.3125,
binance_momentum_bucket,binance_momentum_positive_large,basis_positive_tail_risk_context,14,4,11,0,1,90,90,0,0,,,0.5,
binance_momentum_bucket,binance_momentum_positive_medium,basis_positive_raw_context,145,7,115,5,0.95833333,74.89655172,60,5,0.03448276,96,100,0.1862069,24
binance_momentum_bucket,binance_momentum_positive_medium,basis_positive_clean_context,92,7,79,0,1,88.58695652,70,0,0,,,0.2173913,
binance_momentum_bucket,binance_momentum_positive_medium,basis_positive_tail_risk_context,53,7,36,5,0.87804878,51.13207547,30,5,0.09433962,96,100,0.24528302,24
binance_momentum_bucket,binance_momentum_positive_small,basis_positive_raw_context,56,7,48,1,0.97959184,77.85714286,50,1,0.01785714,30,30,0.21428571,90
binance_momentum_bucket,binance_momentum_positive_small,basis_positive_clean_context,32,7,29,1,0.96666667,100,65,1,0.03125,30,30,0.28125,90
binance_momentum_bucket,binance_momentum_positive_small,basis_positive_tail_risk_context,24,7,19,0,1,48.33333333,42.5,0,0,,,0.29166667,
binance_momentum_bucket,binance_momentum_unavailable,basis_positive_raw_context,1,1,0,0,,0,0,0,0,,,1,
binance_momentum_bucket,binance_momentum_unavailable,basis_positive_clean_context,1,1,0,0,,0,0,0,0,,,1,
binance_momentum_bucket,binance_momentum_unavailable,basis_positive_tail_risk_context,0,0,0,0,,,,0,,,,,
binance_momentum_bucket,binance_momentum_zero,basis_positive_raw_context,5454,7,2539,93,0.96466565,31.3513018,0,93,0.01705171,120,180,0.29372937,0
binance_momentum_bucket,binance_momentum_zero,basis_positive_clean_context,3382,7,1910,37,0.9809964,40.81312833,15,37,0.01094027,88,120,0.32022472,32
binance_momentum_bucket,binance_momentum_zero,basis_positive_tail_risk_context,2072,7,629,56,0.91824818,15.90733591,0,56,0.02702703,155,180,0.25048263,-35
hl_book_state_bucket,hl_top5_imbalance_negative_small|hl_microprice_minus_mid_negative_large,basis_positive_raw_context,1,1,1,0,1,355,355,0,0,,,1,
hl_book_state_bucket,hl_top5_imbalance_negative_small|hl_microprice_minus_mid_negative_large,basis_positive_clean_context,0,0,0,0,,,,0,,,,,
hl_book_state_bucket,hl_top5_imbalance_negative_small|hl_microprice_minus_mid_negative_large,basis_positive_tail_risk_context,1,1,1,0,1,355,355,0,0,,,1,
hl_book_state_bucket,hl_top5_imbalance_negative_small|hl_microprice_minus_mid_negative_medium,basis_positive_raw_context,10,4,8,2,0.8,133,80,2,0.2,29,30,0.5,91
hl_book_state_bucket,hl_top5_imbalance_negative_small|hl_microprice_minus_mid_negative_medium,basis_positive_clean_context,0,0,0,0,,,,0,,,,,
hl_book_state_bucket,hl_top5_imbalance_negative_small|hl_microprice_minus_mid_negative_medium,basis_positive_tail_risk_context,10,4,8,2,0.8,133,80,2,0.2,29,30,0.5,91
hl_book_state_bucket,hl_top5_imbalance_negative_small|hl_microprice_minus_mid_negative_small,basis_positive_raw_context,490,7,191,33,0.85267857,29.5,0,33,0.06734694,158,180,0.46530612,-38
hl_book_state_bucket,hl_top5_imbalance_negative_small|hl_microprice_minus_mid_negative_small,basis_positive_clean_context,0,0,0,0,,,,0,,,,,
hl_book_state_bucket,hl_top5_imbalance_negative_small|hl_microprice_minus_mid_negative_small,basis_positive_tail_risk_context,490,7,191,33,0.85267857,29.5,0,33,0.06734694,158,180,0.46530612,-38
hl_book_state_bucket,hl_top5_imbalance_positive_small|hl_microprice_minus_mid_positive_large,basis_positive_raw_context,8,5,8,0,1,113.125,110,0,0,,,0.375,
hl_book_state_bucket,hl_top5_imbalance_positive_small|hl_microprice_minus_mid_positive_large,basis_positive_clean_context,6,3,6,0,1,131.66666667,120,0,0,,,0.5,
hl_book_state_bucket,hl_top5_imbalance_positive_small|hl_microprice_minus_mid_positive_large,basis_positive_tail_risk_context,2,2,2,0,1,57.5,57.5,0,0,,,0.5,
hl_book_state_bucket,hl_top5_imbalance_positive_small|hl_microprice_minus_mid_positive_medium,basis_positive_raw_context,172,7,170,2,0.98837209,92.00581395,75,2,0.01162791,9.75,10,0.29651163,110.25
hl_book_state_bucket,hl_top5_imbalance_positive_small|hl_microprice_minus_mid_positive_medium,basis_positive_clean_context,139,7,138,1,0.99280576,100.14388489,85,1,0.00719424,5,5,0.28057554,115
hl_book_state_bucket,hl_top5_imbalance_positive_small|hl_microprice_minus_mid_positive_medium,basis_positive_tail_risk_context,33,6,32,1,0.96969697,57.72727273,45,1,0.03030303,10,10,0.36363636,110
hl_book_state_bucket,hl_top5_imbalance_positive_small|hl_microprice_minus_mid_positive_small,basis_positive_raw_context,5045,7,2376,64,0.97377049,31.74727453,0,64,0.01268583,120,180,0.2765114,0
hl_book_state_bucket,hl_top5_imbalance_positive_small|hl_microprice_minus_mid_positive_small,basis_positive_clean_context,3400,7,1907,37,0.98096708,40.91911765,10,37,0.01088235,88,120,0.32147059,32
hl_book_state_bucket,hl_top5_imbalance_positive_small|hl_microprice_minus_mid_positive_small,basis_positive_tail_risk_context,1645,7,469,27,0.94556452,12.79027356,0,27,0.01641337,120,180,0.23404255,0
hl_top5_imbalance_bucket,hl_top5_imbalance_negative_small,basis_positive_raw_context,501,7,200,35,0.85106383,32.21556886,0,35,0.06986028,156,180,0.45708583,-36
hl_top5_imbalance_bucket,hl_top5_imbalance_negative_small,basis_positive_clean_context,0,0,0,0,,,,0,,,,,
hl_top5_imbalance_bucket,hl_top5_imbalance_negative_small,basis_positive_tail_risk_context,501,7,200,35,0.85106383,32.21556886,0,35,0.06986028,156,180,0.45708583,-36
hl_top5_imbalance_bucket,hl_top5_imbalance_positive_small,basis_positive_raw_context,5225,7,2554,66,0.97480916,33.85550239,0,66,0.01263158,120,180,0.27138756,0
hl_top5_imbalance_bucket,hl_top5_imbalance_positive_small,basis_positive_clean_context,3545,7,2051,38,0.98180948,43.39492243,20,38,0.01071932,86,120,0.31480959,34
hl_top5_imbalance_bucket,hl_top5_imbalance_positive_small,basis_positive_tail_risk_context,1680,7,503,28,0.9472693,13.72619048,0,28,0.01666667,120,180,0.23035714,0
hl_microprice_minus_mid_bucket,hl_microprice_minus_mid_negative_large,basis_positive_raw_context,1,1,1,0,1,355,355,0,0,,,1,
hl_microprice_minus_mid_bucket,hl_microprice_minus_mid_negative_large,basis_positive_clean_context,0,0,0,0,,,,0,,,,,
hl_microprice_minus_mid_bucket,hl_microprice_minus_mid_negative_large,basis_positive_tail_risk_context,1,1,1,0,1,355,355,0,0,,,1,
hl_microprice_minus_mid_bucket,hl_microprice_minus_mid_negative_medium,basis_positive_raw_context,10,4,8,2,0.8,133,80,2,0.2,29,30,0.5,91
hl_microprice_minus_mid_bucket,hl_microprice_minus_mid_negative_medium,basis_positive_clean_context,0,0,0,0,,,,0,,,,,
hl_microprice_minus_mid_bucket,hl_microprice_minus_mid_negative_medium,basis_positive_tail_risk_context,10,4,8,2,0.8,133,80,2,0.2,29,30,0.5,91
hl_microprice_minus_mid_bucket,hl_microprice_minus_mid_negative_small,basis_positive_raw_context,490,7,191,33,0.85267857,29.5,0,33,0.06734694,158,180,0.46530612,-38
hl_microprice_minus_mid_bucket,hl_microprice_minus_mid_negative_small,basis_positive_clean_context,0,0,0,0,,,,0,,,,,
hl_microprice_minus_mid_bucket,hl_microprice_minus_mid_negative_small,basis_positive_tail_risk_context,490,7,191,33,0.85267857,29.5,0,33,0.06734694,158,180,0.46530612,-38
hl_microprice_minus_mid_bucket,hl_microprice_minus_mid_positive_large,basis_positive_raw_context,8,5,8,0,1,113.125,110,0,0,,,0.375,
hl_microprice_minus_mid_bucket,hl_microprice_minus_mid_positive_large,basis_positive_clean_context,6,3,6,0,1,131.66666667,120,0,0,,,0.5,
hl_microprice_minus_mid_bucket,hl_microprice_minus_mid_positive_large,basis_positive_tail_risk_context,2,2,2,0,1,57.5,57.5,0,0,,,0.5,
hl_microprice_minus_mid_bucket,hl_microprice_minus_mid_positive_medium,basis_positive_raw_context,172,7,170,2,0.98837209,92.00581395,75,2,0.01162791,9.75,10,0.29651163,110.25
hl_microprice_minus_mid_bucket,hl_microprice_minus_mid_positive_medium,basis_positive_clean_context,139,7,138,1,0.99280576,100.14388489,85,1,0.00719424,5,5,0.28057554,115
hl_microprice_minus_mid_bucket,hl_microprice_minus_mid_positive_medium,basis_positive_tail_risk_context,33,6,32,1,0.96969697,57.72727273,45,1,0.03030303,10,10,0.36363636,110
hl_microprice_minus_mid_bucket,hl_microprice_minus_mid_positive_small,basis_positive_raw_context,5045,7,2376,64,0.97377049,31.74727453,0,64,0.01268583,120,180,0.2765114,0
hl_microprice_minus_mid_bucket,hl_microprice_minus_mid_positive_small,basis_positive_clean_context,3400,7,1907,37,0.98096708,40.91911765,10,37,0.01088235,88,120,0.32147059,32
hl_microprice_minus_mid_bucket,hl_microprice_minus_mid_positive_small,basis_positive_tail_risk_context,1645,7,469,27,0.94556452,12.79027356,0,27,0.01641337,120,180,0.23404255,0
