control_dimension,control_bucket,basis_group,row_count,sample_count,mean_future_mid_move_ticks,direction_hit_rate,basis_vs_nonpositive_delta_ticks,controlled_effect_classification
binance_momentum_bucket,binance_momentum_unavailable,basis_nonpositive,1,1,0,,,watch_or_insufficient
binance_momentum_bucket,binance_momentum_zero,basis_nonpositive,7144,3,-15.93994961,0.33813967,,watch_or_insufficient
binance_momentum_bucket,binance_momentum_zero,basis_positive_large,721,3,83.93897365,0.99272727,99.87892326,controlled_increment_supported
binance_momentum_bucket,binance_momentum_zero,basis_positive_medium,743,3,28.0013459,0.94098361,43.9412955,controlled_increment_supported
binance_momentum_bucket,binance_momentum_zero,basis_positive_small,813,3,16.94341943,0.85862069,32.88336904,controlled_increment_supported
hl_book_state_bucket,hl_top5_imbalance_negative_small|hl_microprice_minus_mid_negative_large,basis_nonpositive,13,3,-109.23076923,0.07692308,,watch_or_insufficient
hl_book_state_bucket,hl_top5_imbalance_negative_small|hl_microprice_minus_mid_negative_large,basis_positive_large,1,1,355,1,464.23076923,watch_or_insufficient
hl_book_state_bucket,hl_top5_imbalance_negative_small|hl_microprice_minus_mid_negative_medium,basis_nonpositive,157,3,-89.74522293,0.05769231,,watch_or_insufficient
hl_book_state_bucket,hl_top5_imbalance_negative_small|hl_microprice_minus_mid_negative_medium,basis_positive_large,5,2,234,1,323.74522293,controlled_increment_supported
hl_book_state_bucket,hl_top5_imbalance_negative_small|hl_microprice_minus_mid_negative_medium,basis_positive_medium,2,2,15,0.5,104.74522293,controlled_increment_supported
hl_book_state_bucket,hl_top5_imbalance_negative_small|hl_microprice_minus_mid_negative_medium,basis_positive_small,1,1,60,1,149.74522293,watch_or_insufficient
hl_book_state_bucket,hl_top5_imbalance_negative_small|hl_microprice_minus_mid_negative_small,basis_nonpositive,4130,3,-31.16101695,0.12376004,,watch_or_insufficient
hl_book_state_bucket,hl_top5_imbalance_negative_small|hl_microprice_minus_mid_negative_small,basis_positive_large,75,3,106.66666667,0.97260274,137.82768362,controlled_increment_supported
hl_book_state_bucket,hl_top5_imbalance_negative_small|hl_microprice_minus_mid_negative_small,basis_positive_medium,77,3,33.83116883,0.89189189,64.99218578,controlled_increment_supported
hl_book_state_bucket,hl_top5_imbalance_negative_small|hl_microprice_minus_mid_negative_small,basis_positive_small,198,3,5.55555556,0.60655738,36.7165725,controlled_increment_supported
hl_book_state_bucket,hl_top5_imbalance_positive_small|hl_microprice_minus_mid_positive_large,basis_nonpositive,1,1,65,1,,watch_or_insufficient
hl_book_state_bucket,hl_top5_imbalance_positive_small|hl_microprice_minus_mid_positive_large,basis_positive_large,3,2,160,1,95,controlled_increment_supported
hl_book_state_bucket,hl_top5_imbalance_positive_small|hl_microprice_minus_mid_positive_large,basis_positive_medium,1,1,130,1,65,watch_or_insufficient
hl_book_state_bucket,hl_top5_imbalance_positive_small|hl_microprice_minus_mid_positive_large,basis_positive_small,1,1,45,1,-20,watch_or_insufficient
hl_book_state_bucket,hl_top5_imbalance_positive_small|hl_microprice_minus_mid_positive_medium,basis_nonpositive,81,3,30.80246914,0.7875,,watch_or_insufficient
hl_book_state_bucket,hl_top5_imbalance_positive_small|hl_microprice_minus_mid_positive_medium,basis_positive_large,60,3,126.75,0.98333333,95.94753086,controlled_increment_supported
hl_book_state_bucket,hl_top5_imbalance_positive_small|hl_microprice_minus_mid_positive_medium,basis_positive_medium,16,3,122.8125,1,92.01003086,controlled_increment_supported
hl_book_state_bucket,hl_top5_imbalance_positive_small|hl_microprice_minus_mid_positive_medium,basis_positive_small,20,3,80,1,49.19753086,controlled_increment_supported
hl_book_state_bucket,hl_top5_imbalance_positive_small|hl_microprice_minus_mid_positive_small,basis_nonpositive,3182,3,4.23632935,0.65379404,,watch_or_insufficient
hl_book_state_bucket,hl_top5_imbalance_positive_small|hl_microprice_minus_mid_positive_small,basis_positive_large,658,3,83.05471125,0.99178645,78.81838189,controlled_increment_supported
hl_book_state_bucket,hl_top5_imbalance_positive_small|hl_microprice_minus_mid_positive_small,basis_positive_medium,682,3,26.6202346,0.94584838,22.38390525,controlled_increment_supported
hl_book_state_bucket,hl_top5_imbalance_positive_small|hl_microprice_minus_mid_positive_small,basis_positive_small,625,3,20.488,0.92274678,16.25167065,controlled_increment_supported
