event_sequence,source_channel,source_event_exchange_time_ms,source_local_receive_ts_ns,exchange_time_delta_from_previous_ms,local_receive_delta_from_previous_ms,exchange_time_regressed_from_previous,previous_l2_event_sequence,previous_l2_exchange_time_ms,latest_l2_age_ms_by_exchange_time,previous_trade_event_sequence,previous_trade_exchange_time_ms,latest_trade_age_ms_by_exchange_time,next_l2_event_sequence,next_l2_exchange_time_ms,next_l2_delta_ms_by_exchange_time,next_trade_event_sequence,next_trade_exchange_time_ms,next_trade_delta_ms_by_exchange_time,local_receive_ordering_status,exchange_time_ordering_status,bbo_history_count_proxy_from_candidate_events,bbo_history_span_ms_proxy,freshness_source,fresh_touch_evidence_status,top_reset_status,skip_reason
13,trades,1782283128066,1782283128317879801,2959,2890.929988,False,12,1782283125107,2959,11,1782283124035,4031,14,1782283130417,2351,15,1782283131036,2970,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,5,21834,real_bbo_history_touch_stability,pass,missing,missing_same_side_strict_through_support
14,l2Book,1782283130417,1782283130681507034,2351,2363.627233,False,12,1782283125107,5310,13,1782283128066,2351,18,1782283135829,5412,15,1782283131036,619,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,6,24185,real_bbo_history_touch_stability,pass,reset_supported,missing_same_side_strict_through_support
15,trades,1782283131036,1782283131295321558,619,613.814524,False,14,1782283130417,619,13,1782283128066,2970,18,1782283135829,4793,16,1782283132060,1024,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,6,24804,real_bbo_history_touch_stability,pass,reset_supported,missing_same_side_strict_through_support
16,trades,1782283132060,1782283132371323926,1024,1076.002368,False,14,1782283130417,1643,15,1782283131036,1024,18,1782283135829,3769,17,1782283135002,2942,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,6,25828,real_bbo_history_touch_stability,pass,reset_supported,missing_same_side_strict_through_support
17,trades,1782283135002,1782283135258894197,2942,2887.570271,False,14,1782283130417,4585,16,1782283132060,2942,18,1782283135829,827,19,1782283139002,4000,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,6,28770,real_bbo_history_touch_stability,pass,reset_supported,missing_same_side_strict_through_support
18,l2Book,1782283135829,1782283136141476447,827,882.58225,False,14,1782283130417,5412,17,1782283135002,827,20,1782283141191,5362,19,1782283139002,3173,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,7,29597,real_bbo_history_touch_stability,pass,reset_supported,missing_same_side_strict_through_support
19,trades,1782283139002,1782283139240886736,3173,3099.410289,False,18,1782283135829,3173,17,1782283135002,4000,20,1782283141191,2189,21,1782283145927,6925,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,7,32770,real_bbo_history_touch_stability,pass,reset_supported,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput
20,l2Book,1782283141191,1782283141508323020,2189,2267.436284,False,18,1782283135829,5362,19,1782283139002,2189,22,1782283146614,5423,21,1782283145927,4736,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,8,34959,real_bbo_history_touch_stability,pass,reset_supported,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput
21,trades,1782283145927,1782283146112464670,4736,4604.14165,False,20,1782283141191,4736,19,1782283139002,6925,22,1782283146614,687,23,1782283148037,2110,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,8,39695,real_bbo_history_touch_stability,pass,reset_supported,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput
22,l2Book,1782283146614,1782283146839279124,687,726.814454,False,20,1782283141191,5423,21,1782283145927,687,26,1782283151988,5374,23,1782283148037,1423,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,9,40382,real_bbo_history_touch_stability,pass,reset_supported,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput
23,trades,1782283148037,1782283148288419915,1423,1449.140791,False,22,1782283146614,1423,21,1782283145927,2110,26,1782283151988,3951,24,1782283149456,1419,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,9,41805,real_bbo_history_touch_stability,pass,reset_supported,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput
24,trades,1782283149456,1782283149646032676,1419,1357.612761,False,22,1782283146614,2842,23,1782283148037,1419,26,1782283151988,2532,25,1782283151151,1695,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,9,43224,real_bbo_history_touch_stability,pass,reset_supported,missing_same_side_strict_through_support
25,trades,1782283151151,1782283151384680761,1695,1738.648085,False,22,1782283146614,4537,24,1782283149456,1695,26,1782283151988,837,27,1782283153675,2524,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,9,44919,real_bbo_history_touch_stability,pass,reset_supported,missing_same_side_strict_through_support
26,l2Book,1782283151988,1782283152278066168,837,893.385407,False,22,1782283146614,5374,25,1782283151151,837,30,1782283157394,5406,27,1782283153675,1687,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,10,45756,real_bbo_history_insufficient,block,missing,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput
27,trades,1782283153675,1782283154149936271,1687,1871.870103,False,26,1782283151988,1687,25,1782283151151,2524,30,1782283157394,3719,28,1782283153731,56,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,10,47443,real_bbo_history_touch_stability,pass,missing,missing_same_side_strict_through_support
28,trades,1782283153731,1782283154150267847,56,0.331576,False,26,1782283151988,1743,27,1782283153675,56,30,1782283157394,3663,29,1782283154003,272,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,10,47499,real_bbo_history_touch_stability,pass,missing,missing_same_side_strict_through_support
29,trades,1782283154003,1782283154238358112,272,88.090265,False,26,1782283151988,2015,28,1782283153731,272,30,1782283157394,3391,31,1782283158000,3997,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,10,47771,real_bbo_history_touch_stability,pass,missing,missing_same_side_strict_through_support
30,l2Book,1782283157394,1782283157708174712,3391,3469.8166,False,26,1782283151988,5406,29,1782283154003,3391,36,1782283162697,5303,31,1782283158000,606,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,11,51162,real_bbo_history_touch_stability,pass,reset_supported,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput
31,trades,1782283158000,1782283158309109354,606,600.934642,False,30,1782283157394,606,29,1782283154003,3997,36,1782283162697,4697,32,1782283161001,3001,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,11,51768,real_bbo_history_touch_stability,pass,reset_supported,missing_same_side_strict_through_support
32,trades,1782283161001,1782283161244406217,3001,2935.296863,False,30,1782283157394,3607,31,1782283158000,3001,36,1782283162697,1696,33,1782283161348,347,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,11,54769,real_bbo_history_touch_stability,pass,reset_supported,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput
33,trades,1782283161348,1782283161543061530,347,298.655313,False,30,1782283157394,3954,32,1782283161001,347,36,1782283162697,1349,34,1782283161886,538,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,11,55116,real_bbo_history_touch_stability,pass,reset_supported,missing_same_side_strict_through_support
34,trades,1782283161886,1782283162071611323,538,528.549793,False,30,1782283157394,4492,33,1782283161348,538,36,1782283162697,811,35,1782283162020,134,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,11,55654,real_bbo_history_touch_stability,pass,reset_supported,missing_same_side_strict_through_support
35,trades,1782283162020,1782283162270410273,134,198.79895,False,30,1782283157394,4626,34,1782283161886,134,36,1782283162697,677,37,1782283164888,2868,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,11,55788,real_bbo_history_touch_stability,pass,reset_supported,missing_same_side_strict_through_support
36,l2Book,1782283162697,1782283162987757621,677,717.347348,False,30,1782283157394,5303,35,1782283162020,677,40,1782283168128,5431,37,1782283164888,2191,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,12,56465,real_bbo_history_touch_stability,pass,not_reset,missing_same_side_strict_through_support
37,trades,1782283164888,1782283165190844939,2191,2203.087318,False,36,1782283162697,2191,35,1782283162020,2868,40,1782283168128,3240,38,1782283165025,137,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,12,58656,real_bbo_history_touch_stability,pass,not_reset,missing_same_side_strict_through_support
38,trades,1782283165025,1782283165303892797,137,113.047858,False,36,1782283162697,2328,37,1782283164888,137,40,1782283168128,3103,39,1782283166505,1480,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,12,58793,real_bbo_history_touch_stability,pass,not_reset,outside_quality_a_b_queue_bands
39,trades,1782283166505,1782283166852469687,1480,1548.57689,False,36,1782283162697,3808,38,1782283165025,1480,40,1782283168128,1623,41,1782283169017,2512,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,12,60273,real_bbo_history_touch_stability,pass,not_reset,outside_quality_a_b_queue_bands
40,l2Book,1782283168128,1782283168429691946,1623,1577.222259,False,36,1782283162697,5431,39,1782283166505,1623,44,1782283173546,5418,41,1782283169017,889,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,13,61896,real_bbo_history_insufficient,block,missing,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput
41,trades,1782283169017,1782283169251372848,889,821.680902,False,40,1782283168128,889,39,1782283166505,2512,44,1782283173546,4529,42,1782283169975,958,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,13,62785,real_bbo_history_touch_stability,pass,missing,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput
42,trades,1782283169975,1782283170168961597,958,917.588749,False,40,1782283168128,1847,41,1782283169017,958,44,1782283173546,3571,43,1782283172390,2415,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,13,63743,real_bbo_history_touch_stability,pass,missing,
43,trades,1782283172390,1782283172572837786,2415,2403.876189,False,40,1782283168128,4262,42,1782283169975,2415,44,1782283173546,1156,45,1782283176140,3750,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,13,66158,real_bbo_history_touch_stability,pass,missing,
44,l2Book,1782283173546,1782283173840135441,1156,1267.297655,False,40,1782283168128,5418,43,1782283172390,1156,48,1782283178925,5379,45,1782283176140,2594,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,14,67314,real_bbo_history_insufficient,block,missing,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence
45,trades,1782283176140,1782283176444028493,2594,2603.893052,False,44,1782283173546,2594,43,1782283172390,3750,48,1782283178925,2785,46,1782283177145,1005,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,14,69908,real_bbo_history_touch_stability,pass,missing,missing_same_side_strict_through_support
46,trades,1782283177145,1782283177356754809,1005,912.726316,False,44,1782283173546,3599,45,1782283176140,1005,48,1782283178925,1780,47,1782283178028,883,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,14,70913,real_bbo_history_touch_stability,pass,missing,missing_same_side_strict_through_support
47,trades,1782283178028,1782283178291023297,883,934.268488,False,44,1782283173546,4482,46,1782283177145,883,48,1782283178925,897,49,1782283183289,5261,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,14,71796,real_bbo_history_touch_stability,pass,missing,missing_same_side_strict_through_support
48,l2Book,1782283178925,1782283179406680230,897,1115.656933,False,44,1782283173546,5379,47,1782283178028,897,55,1782283184425,5500,49,1782283183289,4364,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,15,72693,real_bbo_history_insufficient,block,missing,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput
49,trades,1782283183289,1782283183601173751,4364,4194.493521,False,48,1782283178925,4364,47,1782283178028,5261,55,1782283184425,1136,50,1782283183452,163,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,15,77057,real_bbo_history_touch_stability,pass,missing,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput
50,trades,1782283183452,1782283183674038266,163,72.864515,False,48,1782283178925,4527,49,1782283183289,163,55,1782283184425,973,51,1782283183709,257,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,15,77220,real_bbo_history_touch_stability,pass,missing,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput
51,trades,1782283183709,1782283183907288723,257,233.250457,False,48,1782283178925,4784,50,1782283183452,257,55,1782283184425,716,52,1782283183848,139,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,15,77477,real_bbo_history_touch_stability,pass,missing,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput
52,trades,1782283183848,1782283184349980172,139,442.691449,False,48,1782283178925,4923,51,1782283183709,139,55,1782283184425,577,53,1782283184045,197,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,15,77616,real_bbo_history_touch_stability,pass,missing,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput
53,trades,1782283184045,1782283184516150063,197,166.169891,False,48,1782283178925,5120,52,1782283183848,197,55,1782283184425,380,54,1782283184425,380,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,15,77813,real_bbo_history_stale,block,missing,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput
54,trades,1782283184425,1782283184748312717,380,232.162654,False,48,1782283178925,5500,53,1782283184045,380,55,1782283184425,0,56,1782283185409,984,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,15,78193,real_bbo_history_stale,block,missing,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput
55,l2Book,1782283184425,1782283184748688158,0,0.375441,False,48,1782283178925,5500,54,1782283184425,0,59,1782283189831,5406,56,1782283185409,984,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,16,78193,real_bbo_history_insufficient,block,missing,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence
56,trades,1782283185409,1782283185623468808,984,874.78065,False,55,1782283184425,984,54,1782283184425,984,59,1782283189831,4422,57,1782283186814,1405,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,16,79177,real_bbo_history_touch_stability,pass,missing,missing_same_side_strict_through_support
57,trades,1782283186814,1782283187000055057,1405,1376.586249,False,55,1782283184425,2389,56,1782283185409,1405,59,1782283189831,3017,58,1782283188025,1211,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,16,80582,real_bbo_history_touch_stability,pass,missing,missing_same_side_strict_through_support
58,trades,1782283188025,1782283188302394960,1211,1302.339903,False,55,1782283184425,3600,57,1782283186814,1211,59,1782283189831,1806,60,1782283191063,3038,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,16,81793,real_bbo_history_touch_stability,pass,missing,missing_same_side_strict_through_support
59,l2Book,1782283189831,1782283190111909944,1806,1809.514984,False,55,1782283184425,5406,58,1782283188025,1806,64,1782283195268,5437,60,1782283191063,1232,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,17,83599,real_bbo_history_touch_stability,pass,reset_supported,missing_same_side_strict_through_support
60,trades,1782283191063,1782283191320528235,1232,1208.618291,False,59,1782283189831,1232,58,1782283188025,3038,64,1782283195268,4205,61,1782283191545,482,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,17,84831,real_bbo_history_touch_stability,pass,reset_supported,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput
61,trades,1782283191545,1782283191748348500,482,427.820265,False,59,1782283189831,1714,60,1782283191063,482,64,1782283195268,3723,62,1782283192013,468,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,17,85313,real_bbo_history_touch_stability,pass,reset_supported,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput
62,trades,1782283192013,1782283192363320658,468,614.972158,False,59,1782283189831,2182,61,1782283191545,468,64,1782283195268,3255,63,1782283195068,3055,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,17,85781,real_bbo_history_touch_stability,pass,reset_supported,missing_same_side_strict_through_support
63,trades,1782283195068,1782283195316202893,3055,2952.882235,False,59,1782283189831,5237,62,1782283192013,3055,64,1782283195268,200,65,1782283199032,3964,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,17,88836,real_bbo_history_stale,block,reset_supported,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence
64,l2Book,1782283195268,1782283195557791800,200,241.588907,False,59,1782283189831,5437,63,1782283195068,200,66,1782283200620,5352,65,1782283199032,3764,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,18,89036,real_bbo_history_touch_stability,pass,reset_supported,missing_same_side_strict_through_support
65,trades,1782283199032,1782283199406386425,3764,3848.594625,False,64,1782283195268,3764,63,1782283195068,3964,66,1782283200620,1588,68,1782283206579,7547,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,18,92800,real_bbo_history_touch_stability,pass,reset_supported,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput
66,l2Book,1782283200620,1782283200921473957,1588,1515.087532,False,64,1782283195268,5352,65,1782283199032,1588,67,1782283205994,5374,68,1782283206579,5959,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,19,94388,real_bbo_history_insufficient,block,missing,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput
67,l2Book,1782283205994,1782283206276584296,5374,5355.110339,False,66,1782283200620,5374,65,1782283199032,6962,71,1782283211388,5394,68,1782283206579,585,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,20,99762,real_bbo_history_touch_stability,pass,not_reset,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput
68,trades,1782283206579,1782283206852819705,585,576.235409,False,67,1782283205994,585,65,1782283199032,7547,71,1782283211388,4809,69,1782283208029,1450,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,20,100347,real_bbo_history_touch_stability,pass,not_reset,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput
69,trades,1782283208029,1782283208274348958,1450,1421.529253,False,67,1782283205994,2035,68,1782283206579,1450,71,1782283211388,3359,70,1782283211182,3153,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,20,101797,real_bbo_history_touch_stability,pass,not_reset,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput
70,trades,1782283211182,1782283211351020106,3153,3076.671148,False,67,1782283205994,5188,69,1782283208029,3153,71,1782283211388,206,72,1782283211661,479,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,20,104950,real_bbo_history_stale,block,not_reset,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput
71,l2Book,1782283211388,1782283211685878463,206,334.858357,False,67,1782283205994,5394,70,1782283211182,206,78,1782283216802,5414,72,1782283211661,273,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,21,105156,real_bbo_history_insufficient,block,missing,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput
72,trades,1782283211661,1782283211879937198,273,194.058735,False,71,1782283211388,273,70,1782283211182,479,78,1782283216802,5141,73,1782283212553,892,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,21,105429,real_bbo_history_touch_stability,pass,missing,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput
73,trades,1782283212553,1782283212793342135,892,913.404937,False,71,1782283211388,1165,72,1782283211661,892,78,1782283216802,4249,74,1782283214016,1463,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,21,106321,real_bbo_history_touch_stability,pass,missing,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput
74,trades,1782283214016,1782283214254319143,1463,1460.977008,False,71,1782283211388,2628,73,1782283212553,1463,78,1782283216802,2786,75,1782283215521,1505,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,21,107784,real_bbo_history_touch_stability,pass,missing,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput
75,trades,1782283215521,1782283215704772135,1505,1450.452992,False,71,1782283211388,4133,74,1782283214016,1505,78,1782283216802,1281,76,1782283215781,260,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,21,109289,real_bbo_history_touch_stability,pass,missing,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput
76,trades,1782283215781,1782283215988286518,260,283.514383,False,71,1782283211388,4393,75,1782283215521,260,78,1782283216802,1021,77,1782283216466,685,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,21,109549,real_bbo_history_touch_stability,pass,missing,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput
77,trades,1782283216466,1782283216653545053,685,665.258535,False,71,1782283211388,5078,76,1782283215781,685,78,1782283216802,336,79,1782283218013,1547,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,21,110234,real_bbo_history_stale,block,missing,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput
78,l2Book,1782283216802,1782283217111731494,336,458.186441,False,71,1782283211388,5414,77,1782283216466,336,83,1782283222209,5407,79,1782283218013,1211,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,22,110570,real_bbo_history_insufficient,block,missing,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence
79,trades,1782283218013,1782283218249185840,1211,1137.454346,False,78,1782283216802,1211,77,1782283216466,1547,83,1782283222209,4196,80,1782283218829,816,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,22,111781,real_bbo_history_touch_stability,pass,missing,missing_same_side_strict_through_support
80,trades,1782283218829,1782283219010016465,816,760.830625,False,78,1782283216802,2027,79,1782283218013,816,83,1782283222209,3380,81,1782283221058,2229,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,22,112597,real_bbo_history_touch_stability,pass,missing,missing_same_side_strict_through_support
81,trades,1782283221058,1782283221302149965,2229,2292.1335,False,78,1782283216802,4256,80,1782283218829,2229,83,1782283222209,1151,82,1782283222010,952,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,22,114826,real_bbo_history_touch_stability,pass,missing,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput
82,trades,1782283222010,1782283222260832888,952,958.682923,False,78,1782283216802,5208,81,1782283221058,952,83,1782283222209,199,84,1782283222484,474,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,22,115778,real_bbo_history_stale,block,missing,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence
