regime_id,feature,feature_scope,variant,threshold_abs_top_quartile,row_count,sample_count,positive_future_count,negative_future_count,direction_hit_rate,mean_signed_future_move_ticks,mean_abs_future_move_ticks,p05_signed_future_move_ticks,p95_signed_future_move_ticks,sample_direction_consistency,effect_concentration_ratio,stability_classification,visibility_classification,redundancy_classification,leakage_risk,net_edge_proxy_ticks,cost_adjusted_viability,tail_risk_classification,signal_validity,watch_horizon_100ms_row_count,watch_horizon_250ms_row_count,diagnostic_horizon_5000ms_row_count,diagnostic_horizon_10000ms_row_count,diagnostic_horizon_5000ms_mean_signed_ticks,diagnostic_horizon_10000ms_mean_signed_ticks
regime_011_1000_spread_10_20_ticks,context_basis_mid_ticks,fixed_t003_observed,abs_top_quartile,209.25,61,3,5,56,0.91803279,-80.40983607,107.62295082,-225,5,1,0.67213115,invalid_unstable,contract_caveated_diagnostic_context_only,not_highly_redundant,none_detected,71.40983607,net_edge_plausible_proxy,tail_risk_reject,invalid_not_decision_visible,61,61,61,61,-121.2295082,-188.7704918
regime_011_1000_spread_10_20_ticks,context_hyperliquid_microprice_minus_mid_ticks,fixed_t003_observed,abs_top_quartile,9.9940522,61,3,33,28,0.54098361,12.70491803,84.01639344,-185,225,0.66666667,0.44262295,invalid_unstable,decision_time_visible,high_redundancy,none_detected,3.70491803,net_edge_marginal_proxy,tail_risk_reject,invalid_redundant_or_leakage_risk,61,61,61,61,16.39344262,3.19672131
regime_011_1000_spread_10_20_ticks,context_hyperliquid_top5_imbalance,fixed_t003_observed,abs_top_quartile,0.99940522,61,3,33,28,0.54098361,12.70491803,84.01639344,-185,225,0.66666667,0.44262295,invalid_unstable,decision_time_visible,high_redundancy,none_detected,3.70491803,net_edge_marginal_proxy,tail_risk_reject,invalid_redundant_or_leakage_risk,61,61,61,61,16.39344262,3.19672131
regime_011_1000_spread_10_20_ticks,input_binance_microprice_minus_mid_ticks,fixed_t003_observed,abs_top_quartile,0.39002719,61,3,30,31,0.50819672,6.14754098,76.47540984,-175,165,0,0.50819672,invalid_unstable,decision_time_visible,high_redundancy,none_detected,-2.85245902,net_edge_negative_proxy,tail_risk_reject,invalid_redundant_or_leakage_risk,61,61,61,61,-27.29508197,-55.73770492
regime_011_1000_spread_10_20_ticks,input_binance_top5_bid_qty,optional_diagnostic_comparison,abs_top_quartile,7.42,61,3,46,15,0.75409836,53.68852459,82.70491803,-95,255,1,0.40983607,stable_all_samples,decision_time_visible,not_highly_redundant,none_detected,44.68852459,net_edge_plausible_proxy,tail_risk_reject,invalid_tail_or_cost_reject,61,61,61,61,111.47540984,103.68852459
regime_011_1000_spread_10_20_ticks,input_binance_top5_imbalance,fixed_t003_observed,abs_top_quartile,0.7800544,61,3,30,31,0.50819672,6.14754098,76.47540984,-175,165,0,0.50819672,invalid_unstable,decision_time_visible,high_redundancy,none_detected,-2.85245902,net_edge_negative_proxy,tail_risk_reject,invalid_redundant_or_leakage_risk,61,61,61,61,-27.29508197,-55.73770492
regime_011_1000_spread_10_20_ticks,context_basis_mid_ticks,fixed_t003_observed,sign_positive,209.25,57,3,54,3,0.94736842,97.54385965,99.12280702,3,283,1,0.38596491,stable_all_samples,contract_caveated_diagnostic_context_only,not_highly_redundant,none_detected,88.54385965,net_edge_plausible_proxy,tail_risk_acceptable_proxy,invalid_not_decision_visible,57,57,57,57,134.03508772,122.63157895
regime_011_1000_spread_10_20_ticks,input_binance_mid_move_ticks_from_prev,optional_diagnostic_comparison,sign_negative,0,12,2,3,9,0.75,-65.83333333,85.83333333,-169.5,46.25,1,0.5,invalid_unstable,decision_time_visible,not_highly_redundant,none_detected,56.83333333,net_edge_plausible_proxy,tail_risk_watch,invalid_unstable,12,12,12,12,-125.41666667,-132.5
regime_011_1000_spread_10_20_ticks,input_binance_mid_move_ticks_from_prev,optional_diagnostic_comparison,sign_positive,0,5,3,1,4,0.8,-74,96,-183,41,0.66666667,0.4,invalid_unstable,decision_time_visible,not_highly_redundant,none_detected,65,net_edge_plausible_proxy,tail_risk_watch,invalid_unstable,5,5,5,5,-67,-136
regime_011_1000_spread_10_20_ticks,input_binance_mid_move_ticks_from_prev,optional_diagnostic_comparison,abs_top_quartile,0,0,0,0,0,,,,,,,0,invalid_unstable,decision_time_visible,not_highly_redundant,none_detected,-9,net_edge_negative_proxy,tail_risk_reject,invalid_unstable,0,0,0,0,,
regime_011_1000_spread_10_20_ticks,input_binance_top5_bid_qty,optional_diagnostic_comparison,sign_negative,7.42,0,0,0,0,,,,,,,0,invalid_unstable,decision_time_visible,not_highly_redundant,none_detected,-9,net_edge_negative_proxy,tail_risk_reject,invalid_unstable,0,0,0,0,,
