regime_id,feature,variant,sample_id,row_count,mean_signed_future_move_ticks,sample_sign_matches_pattern_majority
regime_011_1000_spread_10_20_ticks,context_hyperliquid_top5_imbalance,sign_negative,cross_exchange_public_sample_xemm_0603_quiet_a_event,18,-51.94444444,1
regime_011_1000_spread_10_20_ticks,context_hyperliquid_top5_imbalance,sign_negative,cross_exchange_public_sample_xemm_0603_quiet_b_event,40,-81,1
regime_011_1000_spread_10_20_ticks,context_hyperliquid_top5_imbalance,sign_negative,cross_exchange_public_sample_xemm_0603_quiet_c_event,51,-57.94117647,1
regime_011_1000_spread_10_20_ticks,context_hyperliquid_top5_imbalance,abs_top_quartile,cross_exchange_public_sample_xemm_0603_quiet_a_event,18,27.22222222,1
regime_011_1000_spread_10_20_ticks,context_hyperliquid_top5_imbalance,abs_top_quartile,cross_exchange_public_sample_xemm_0603_quiet_b_event,27,-7.59259259,0
regime_011_1000_spread_10_20_ticks,context_hyperliquid_top5_imbalance,abs_top_quartile,cross_exchange_public_sample_xemm_0603_quiet_c_event,16,30.625,1
regime_011_1000_spread_10_20_ticks,context_hyperliquid_microprice_minus_mid_ticks,sign_positive,cross_exchange_public_sample_xemm_0603_quiet_a_event,21,64.04761905,1
regime_011_1000_spread_10_20_ticks,context_hyperliquid_microprice_minus_mid_ticks,sign_positive,cross_exchange_public_sample_xemm_0603_quiet_b_event,59,39.74576271,1
regime_011_1000_spread_10_20_ticks,context_hyperliquid_microprice_minus_mid_ticks,sign_positive,cross_exchange_public_sample_xemm_0603_quiet_c_event,53,60.66037736,1
regime_011_1000_spread_10_20_ticks,context_hyperliquid_microprice_minus_mid_ticks,sign_negative,cross_exchange_public_sample_xemm_0603_quiet_a_event,18,-51.94444444,1
regime_011_1000_spread_10_20_ticks,context_hyperliquid_microprice_minus_mid_ticks,sign_negative,cross_exchange_public_sample_xemm_0603_quiet_b_event,40,-81,1
regime_011_1000_spread_10_20_ticks,context_hyperliquid_microprice_minus_mid_ticks,sign_negative,cross_exchange_public_sample_xemm_0603_quiet_c_event,51,-57.94117647,1
regime_011_1000_spread_10_20_ticks,context_hyperliquid_microprice_minus_mid_ticks,abs_top_quartile,cross_exchange_public_sample_xemm_0603_quiet_a_event,18,27.22222222,1
regime_011_1000_spread_10_20_ticks,context_hyperliquid_microprice_minus_mid_ticks,abs_top_quartile,cross_exchange_public_sample_xemm_0603_quiet_b_event,27,-7.59259259,0
regime_011_1000_spread_10_20_ticks,context_hyperliquid_microprice_minus_mid_ticks,abs_top_quartile,cross_exchange_public_sample_xemm_0603_quiet_c_event,16,30.625,1
regime_011_1000_spread_10_20_ticks,input_binance_top5_imbalance,sign_positive,cross_exchange_public_sample_xemm_0603_quiet_a_event,18,51.66666667,1
regime_011_1000_spread_10_20_ticks,input_binance_top5_imbalance,sign_positive,cross_exchange_public_sample_xemm_0603_quiet_b_event,60,13.16666667,1
regime_011_1000_spread_10_20_ticks,input_binance_top5_imbalance,sign_positive,cross_exchange_public_sample_xemm_0603_quiet_c_event,41,48.65853659,1
regime_011_1000_spread_10_20_ticks,input_binance_top5_imbalance,sign_negative,cross_exchange_public_sample_xemm_0603_quiet_a_event,21,-24.76190476,1
regime_011_1000_spread_10_20_ticks,input_binance_top5_imbalance,sign_negative,cross_exchange_public_sample_xemm_0603_quiet_b_event,39,-43.20512821,1
regime_011_1000_spread_10_20_ticks,input_binance_top5_imbalance,sign_negative,cross_exchange_public_sample_xemm_0603_quiet_c_event,63,-27.53968254,1
regime_011_1000_spread_10_20_ticks,input_binance_top5_imbalance,abs_top_quartile,cross_exchange_public_sample_xemm_0603_quiet_a_event,12,5.41666667,0
regime_011_1000_spread_10_20_ticks,input_binance_top5_imbalance,abs_top_quartile,cross_exchange_public_sample_xemm_0603_quiet_b_event,18,14.44444444,0
regime_011_1000_spread_10_20_ticks,input_binance_top5_imbalance,abs_top_quartile,cross_exchange_public_sample_xemm_0603_quiet_c_event,31,1.61290323,0
regime_011_1000_spread_10_20_ticks,input_binance_microprice_minus_mid_ticks,sign_positive,cross_exchange_public_sample_xemm_0603_quiet_a_event,18,51.66666667,1
regime_011_1000_spread_10_20_ticks,input_binance_microprice_minus_mid_ticks,sign_positive,cross_exchange_public_sample_xemm_0603_quiet_b_event,60,13.16666667,1
regime_011_1000_spread_10_20_ticks,input_binance_microprice_minus_mid_ticks,sign_positive,cross_exchange_public_sample_xemm_0603_quiet_c_event,41,48.65853659,1
regime_011_1000_spread_10_20_ticks,input_binance_microprice_minus_mid_ticks,sign_negative,cross_exchange_public_sample_xemm_0603_quiet_a_event,21,-24.76190476,1
regime_011_1000_spread_10_20_ticks,input_binance_microprice_minus_mid_ticks,sign_negative,cross_exchange_public_sample_xemm_0603_quiet_b_event,39,-43.20512821,1
regime_011_1000_spread_10_20_ticks,input_binance_microprice_minus_mid_ticks,sign_negative,cross_exchange_public_sample_xemm_0603_quiet_c_event,63,-27.53968254,1
regime_011_1000_spread_10_20_ticks,input_binance_microprice_minus_mid_ticks,abs_top_quartile,cross_exchange_public_sample_xemm_0603_quiet_a_event,12,5.41666667,0
regime_011_1000_spread_10_20_ticks,input_binance_microprice_minus_mid_ticks,abs_top_quartile,cross_exchange_public_sample_xemm_0603_quiet_b_event,18,14.44444444,0
regime_011_1000_spread_10_20_ticks,input_binance_microprice_minus_mid_ticks,abs_top_quartile,cross_exchange_public_sample_xemm_0603_quiet_c_event,31,1.61290323,0
regime_011_1000_spread_10_20_ticks,input_binance_mid_move_ticks_from_prev,sign_positive,cross_exchange_public_sample_xemm_0603_quiet_a_event,1,55,0
regime_011_1000_spread_10_20_ticks,input_binance_mid_move_ticks_from_prev,sign_positive,cross_exchange_public_sample_xemm_0603_quiet_b_event,2,-55,1
regime_011_1000_spread_10_20_ticks,input_binance_mid_move_ticks_from_prev,sign_positive,cross_exchange_public_sample_xemm_0603_quiet_c_event,2,-157.5,1
regime_011_1000_spread_10_20_ticks,input_binance_mid_move_ticks_from_prev,sign_negative,cross_exchange_public_sample_xemm_0603_quiet_b_event,6,-10,1
regime_011_1000_spread_10_20_ticks,input_binance_mid_move_ticks_from_prev,sign_negative,cross_exchange_public_sample_xemm_0603_quiet_c_event,6,-121.66666667,1
regime_011_1000_spread_10_20_ticks,input_binance_top5_bid_qty,sign_positive,cross_exchange_public_sample_xemm_0603_quiet_a_event,39,10.51282051,1
regime_011_1000_spread_10_20_ticks,input_binance_top5_bid_qty,sign_positive,cross_exchange_public_sample_xemm_0603_quiet_b_event,99,-9.04040404,0
regime_011_1000_spread_10_20_ticks,input_binance_top5_bid_qty,sign_positive,cross_exchange_public_sample_xemm_0603_quiet_c_event,104,2.5,1
regime_011_1000_spread_10_20_ticks,input_binance_top5_bid_qty,abs_top_quartile,cross_exchange_public_sample_xemm_0603_quiet_a_event,13,59.61538462,1
regime_011_1000_spread_10_20_ticks,input_binance_top5_bid_qty,abs_top_quartile,cross_exchange_public_sample_xemm_0603_quiet_b_event,25,35,1
regime_011_1000_spread_10_20_ticks,input_binance_top5_bid_qty,abs_top_quartile,cross_exchange_public_sample_xemm_0603_quiet_c_event,23,70.65217391,1
