schema_version,aggregation_level,session_id,segment_id,venue,channel,message_count,inter_arrival_count,inter_arrival_p01_ns,inter_arrival_p10_ns,inter_arrival_p50_ns,inter_arrival_p90_ns,inter_arrival_p99_ns,inter_arrival_max_ns,source_age_count,source_age_p01_ns,source_age_p10_ns,source_age_p50_ns,source_age_p90_ns,source_age_p99_ns,source_age_max_ns,no_message_calendar_grid_count,gate_latency_ms,gate_latency_window_count,gate_latency_window_with_new_message_count,gate_latency_window_with_new_message_fraction,gate_latency_inter_arrival_challenge,execution_latency_identified,availability,semantic_note
skhynix_stage_h0a_support_v1,session,jul30,,hyperliquid,bbo,142898,142890,50800,1550104,83062885,200951052,375698939,1729427057,142898,177241120,192346733,226571847,303516505,480546090,1880733791,1311277,100,1439760,1005906,0.698662277046,false,false,direct_source_replay,"primary support cadence; silence is no_new_information, not an age censor"
skhynix_stage_h0a_support_v1,session,jul30,,hyperliquid,fast_l2,26528,26520,318836539,466247389,540677651,623088720,763594897,2000247712,26528,211014229,238947734,273986419,336364311,498981701,1753063816,,,,,,,false,accepted_stage1_prior,diagnostic accepted prior; does not enter primary horizon selection
skhynix_stage_h0a_support_v1,session,jul30,,hyperliquid,trades,398224,66907,144018,34908209,150713916,479548194,1010136219,4024588840,398224,181700208,198608949,237668013,316072464,498417285,7695769532,,,,,,,false,accepted_stage1_prior,diagnostic accepted prior; does not enter primary horizon selection
skhynix_stage_h0a_support_v1,segment,aug03,segment_0001,hyperliquid,bbo,15040,15039,8053633,30999335,94714262,220871812,466138968,2101469897,15040,161500938,177973564,196597140,246907662,346758114,1653356373,165020,,,,,,false,direct_source_replay,ordered same-segment target-BBO receives; no cross-time price comparison
skhynix_stage_h0a_support_v1,segment,aug03,segment_0002,hyperliquid,bbo,19174,19173,48273,236385,79171286,193171394,331943121,702559788,19174,180428268,197577015,231687318,312027037,452117761,833036893,163505,,,,,,false,direct_source_replay,ordered same-segment target-BBO receives; no cross-time price comparison
skhynix_stage_h0a_support_v1,segment,aug03,segment_0003,hyperliquid,bbo,18712,18711,49421,18586964,80162830,189967310,333811864,1665068453,18712,180534127,196018810,224186114,295189292,448501325,1751776396,163037,,,,,,false,direct_source_replay,ordered same-segment target-BBO receives; no cross-time price comparison
skhynix_stage_h0a_support_v1,segment,aug03,segment_0004,hyperliquid,bbo,17799,17798,47148,260999,79573033,205015969,424049966,1667933983,17799,176524485,190809758,220006512,303935595,508808179,678328960,164281,,,,,,false,direct_source_replay,ordered same-segment target-BBO receives; no cross-time price comparison
skhynix_stage_h0a_support_v1,segment,aug03,segment_0005,hyperliquid,bbo,17466,17465,83001,25654202,84672180,194175771,358596710,1446895226,17466,164910499,181033976,198627185,251469494,384050358,1635200420,163052,,,,,,false,direct_source_replay,ordered same-segment target-BBO receives; no cross-time price comparison
skhynix_stage_h0a_support_v1,segment,aug03,segment_0006,hyperliquid,bbo,16251,16250,48579,18871531,89365732,214442085,445435592,1140754989,16251,171415893,188495378,218701359,283568766,468661965,639573596,165234,,,,,,false,direct_source_replay,ordered same-segment target-BBO receives; no cross-time price comparison
skhynix_stage_h0a_support_v1,segment,aug03,segment_0007,hyperliquid,bbo,14097,14096,48332,29284602,98430033,252822088,555939812,2340463008,14097,172496616,187506598,211726425,276430971,461153026,1571180717,166864,,,,,,false,direct_source_replay,ordered same-segment target-BBO receives; no cross-time price comparison
skhynix_stage_h0a_support_v1,segment,aug03,segment_0008,hyperliquid,bbo,13713,13712,71343,25409051,103858029,259358550,570206249,2266912824,13713,167985831,182598092,203725855,265767886,429983629,611846890,167157,,,,,,false,direct_source_replay,ordered same-segment target-BBO receives; no cross-time price comparison
skhynix_stage_h0a_support_v1,segment,aug03,segment_0009,hyperliquid,bbo,13941,13940,49933,14246527,103729683,254612870,580889543,2286983965,13941,166110298,181111694,204994408,277976543,456667704,1599787758,167197,,,,,,false,direct_source_replay,ordered same-segment target-BBO receives; no cross-time price comparison
skhynix_stage_h0a_support_v1,segment,aug03,segment_0010,hyperliquid,bbo,14583,14582,48376,26807446,94362914,246008699,542209214,2645521045,14583,168549357,183447676,205040524,276953881,484796341,650113718,166696,,,,,,false,direct_source_replay,ordered same-segment target-BBO receives; no cross-time price comparison
skhynix_stage_h0a_support_v1,segment,aug04,segment_0001,hyperliquid,bbo,73849,73848,58241,16266229,81505196,193061912,338324607,1573230707,73849,171724744,187340658,214068538,286694046,419103195,1688698738,651898,,,,,,false,direct_source_replay,ordered same-segment target-BBO receives; no cross-time price comparison
skhynix_stage_h0a_support_v1,segment,jul30,segment_0001,hyperliquid,bbo,18342,18341,53909,540002,83327885,189071749,373067679,1698885049,18342,182631369,202675859,240598702,310620135,500072324,1726076135,163705,,,,,,false,direct_source_replay,ordered same-segment target-BBO receives; no cross-time price comparison
skhynix_stage_h0a_support_v1,segment,jul30,segment_0002,hyperliquid,bbo,17850,17849,48642,253530,84550542,206711109,402566792,672228875,17850,186953054,203353189,238428756,324706047,519176944,736116477,164909,,,,,,false,direct_source_replay,ordered same-segment target-BBO receives; no cross-time price comparison
skhynix_stage_h0a_support_v1,segment,jul30,segment_0003,hyperliquid,bbo,18203,18202,55842,25253466,78964677,196386166,369094085,1579162105,18203,175456309,191893496,225887251,305335438,496415476,1667178619,163300,,,,,,false,direct_source_replay,ordered same-segment target-BBO receives; no cross-time price comparison
skhynix_stage_h0a_support_v1,segment,jul30,segment_0004,hyperliquid,bbo,18920,18919,50818,399859,78466288,195826023,351982754,595026056,18920,175847742,190898421,227719864,310487385,464036221,633092991,163185,,,,,,false,direct_source_replay,ordered same-segment target-BBO receives; no cross-time price comparison
skhynix_stage_h0a_support_v1,segment,jul30,segment_0005,hyperliquid,bbo,18115,18114,49175,25483189,78602992,196942942,381484561,1729427057,18115,175918050,189437750,219767399,296346049,490480907,1880733791,163377,,,,,,false,direct_source_replay,ordered same-segment target-BBO receives; no cross-time price comparison
skhynix_stage_h0a_support_v1,segment,jul30,segment_0006,hyperliquid,bbo,17586,17585,51633,1730249,84772261,206801647,364483968,613214500,17586,178183401,192475006,220050853,292975083,459777201,693489045,164149,,,,,,false,direct_source_replay,ordered same-segment target-BBO receives; no cross-time price comparison
skhynix_stage_h0a_support_v1,segment,jul30,segment_0007,hyperliquid,bbo,16917,16916,78659,25705839,89721756,205122663,362482135,1495961558,16917,172695827,187736384,210511112,275080877,419892181,1872410582,164064,,,,,,false,direct_source_replay,ordered same-segment target-BBO receives; no cross-time price comparison
skhynix_stage_h0a_support_v1,segment,jul30,segment_0008,hyperliquid,bbo,16965,16964,48203,18202366,86753749,209145173,406633926,1172422390,16965,177792662,193873680,224656082,299928902,483375461,679413915,164588,,,,,,false,direct_source_replay,ordered same-segment target-BBO receives; no cross-time price comparison
