inventory_bucket,side_class,quote_distance_bucket,fair_or_reservation_edge_bucket,latency_stale_bucket,post_only_safety_bucket,reject_throttle_churn_bucket,fill_after_cancel_bucket,bucket_level,scope,rows_before,rows_after,rows_delta,fills_before,fills_after,fills_delta,sample_count_before,sample_count_after,sample_count_delta,fill_sample_count_before,fill_sample_count_after,fill_sample_count_delta,fill_rate_before,fill_rate_after,fill_rate_delta,clean_only_fill_mass_before,clean_only_fill_mass_after,clean_only_fill_mass_delta,side_adjusted_markout_5000ms_mean_before,side_adjusted_markout_5000ms_mean_after,spread_capture_ticks_mean_before,spread_capture_ticks_mean_after,fee_adjusted_spread_capture_ticks_mean_before,fee_adjusted_spread_capture_ticks_mean_after,fill_after_cancel_rate_before,fill_after_cancel_rate_after,inventory_increasing_fill_rate_before,inventory_increasing_fill_rate_after,inventory_reducing_fill_rate_before,inventory_reducing_fill_rate_after,post_only_risk_rows_before,post_only_risk_rows_after,reject_throttle_churn_rows_before,reject_throttle_churn_rows_after,verdict_before,verdict_after,flow_class,flow_note
flat,flat_side,touch,edge_strong_favorable,stale_latency_medium,post_only_clean,recent_reject_or_throttle,all_fill_after_cancel_outcomes,decision_visible_trigger,accepted_set,557,588,31,46,50,4,8,9,1,7,8,1,0.082585,0.085034,0.002449,,,0,-96.448718,-96.525,0.411111,0.459184,0.411111,0.459184,0.543478,0.52,0.456522,0.46,0,0,0,0,557,588,reject_quality_negative,reject_quality_negative,existing_growth,existing clean-only bucket absorbed additional rows/fills from the new sample
flat,flat_side,touch,edge_strong_favorable,stale_latency_medium,post_only_clean,recent_reject_or_throttle,all_fill_after_cancel_outcomes,decision_visible_trigger,clean_only,533,564,31,40,44,4,7,8,1,6,7,1,0.075047,0.078014,0.002967,40,44,4,-107.205882,-106.985714,0.833333,0.848837,0.833333,0.848837,0.55,0.522727,0.45,0.454545,0,0,0,0,533,564,reject_quality_negative,reject_quality_negative,existing_growth,existing clean-only bucket absorbed additional rows/fills from the new sample
flat,flat_side,touch,edge_strong_favorable,fresh_low_latency,post_only_clean,recent_reject_or_throttle,all_fill_after_cancel_outcomes,decision_visible_trigger,accepted_set,468,492,24,26,30,4,8,9,1,7,8,1,0.055556,0.060976,0.00542,,,0,-47.026316,-47.452381,3.14,2.775862,3.14,2.775862,0.307692,0.333333,0.5,0.466667,0,0,0,0,468,492,reject_quality_negative,reject_quality_negative,existing_growth,existing clean-only bucket absorbed additional rows/fills from the new sample
flat,flat_side,touch,edge_strong_favorable,fresh_low_latency,post_only_clean,recent_reject_or_throttle,all_fill_after_cancel_outcomes,decision_visible_trigger,clean_only,457,481,24,25,29,4,7,8,1,6,7,1,0.054705,0.060291,0.005586,25,29,4,-47.055556,-47.5,3.25,2.857143,3.25,2.857143,0.32,0.344828,0.48,0.448276,0,0,0,0,457,481,reject_quality_negative,reject_quality_negative,existing_growth,existing clean-only bucket absorbed additional rows/fills from the new sample
large_skew_or_low_score,reduce_side,touch,edge_strong_favorable,stale_latency_medium,post_only_clean,recent_reject_or_throttle,filled_no_cancel_race,fill_after_cancel_sensitivity,accepted_set,49,53,4,49,53,4,7,8,1,7,8,1,1,1,0,,,0,-124.337209,-113.26087,0.316327,0.330189,0.316327,0.330189,0,0,0,0,0.489796,0.471698,0,0,49,53,reject_quality_negative,reject_quality_negative,existing_growth,existing clean-only bucket absorbed additional rows/fills from the new sample
large_skew_or_low_score,reduce_side,touch,edge_strong_favorable,stale_latency_medium,post_only_clean,recent_reject_or_throttle,filled_no_cancel_race,fill_after_cancel_sensitivity,clean_only,41,45,4,41,45,4,6,7,1,6,7,1,1,1,0,41,45,4,-122.961538,-110.928571,0.280488,0.3,0.280488,0.3,0,0,0,0,0.536585,0.511111,0,0,41,45,reject_quality_negative,reject_quality_negative,existing_growth,existing clean-only bucket absorbed additional rows/fills from the new sample
mild_skew,add_side,step_back_gt1,edge_weak_or_neutral,stale_latency_medium,post_only_clean,recent_reject_or_throttle,all_fill_after_cancel_outcomes,decision_visible_trigger,accepted_set,1857,1999,142,31,34,3,8,9,1,8,9,1,0.016694,0.017009,0.000315,,,0,-63.32,-61.910714,35.233333,32.5,35.233333,32.5,0.677419,0.676471,0.483871,0.470588,0,0,0,0,1857,1999,reject_quality_negative,reject_quality_negative,existing_growth,existing clean-only bucket absorbed additional rows/fills from the new sample
mild_skew,add_side,step_back_gt1,edge_weak_or_neutral,stale_latency_medium,post_only_clean,recent_reject_or_throttle,all_fill_after_cancel_outcomes,decision_visible_trigger,clean_only,1691,1833,142,28,31,3,7,8,1,7,8,1,0.016558,0.016912,0.000354,28,31,3,-61.4375,-60.185185,36.055556,32.966667,36.055556,32.966667,0.714286,0.709677,0.464286,0.451613,0,0,0,0,1691,1833,reject_quality_negative,reject_quality_negative,existing_growth,existing clean-only bucket absorbed additional rows/fills from the new sample
large_skew_or_low_score,reduce_side,step_back_gt1,edge_weak_or_neutral,stale_latency_high,post_only_clean,fast_cancel_churn,all_fill_after_cancel_outcomes,decision_visible_trigger,accepted_set,380,504,124,0,3,3,8,9,1,0,1,1,0,0.005952,0.005952,,,0,,-78,,36.166667,,36.166667,,1,,0,,0.333333,0,0,380,504,reject_quality_negative,reject_quality_negative,existing_growth,existing clean-only bucket absorbed additional rows/fills from the new sample
large_skew_or_low_score,reduce_side,step_back_gt1,edge_weak_or_neutral,stale_latency_high,post_only_clean,fast_cancel_churn,all_fill_after_cancel_outcomes,decision_visible_trigger,clean_only,306,430,124,0,3,3,7,8,1,0,1,1,0,0.006977,0.006977,0,3,3,,-78,,36.166667,,36.166667,,1,,0,,0.333333,0,0,306,430,reject_quality_negative,reject_quality_negative,existing_growth,existing clean-only bucket absorbed additional rows/fills from the new sample
mild_skew,add_side,touch,edge_strong_favorable,stale_latency_medium,post_only_clean,recent_reject_or_throttle,all_fill_after_cancel_outcomes,decision_visible_trigger,accepted_set,594,634,40,41,44,3,8,9,1,8,9,1,0.069024,0.069401,0.000377,,,0,-100.34375,-97.271429,1.158537,1.113636,1.158537,1.113636,0.585366,0.590909,0.390244,0.431818,0,0,0,0,594,634,reject_quality_negative,reject_quality_negative,existing_growth,existing clean-only bucket absorbed additional rows/fills from the new sample
mild_skew,add_side,touch,edge_strong_favorable,stale_latency_medium,post_only_clean,recent_reject_or_throttle,all_fill_after_cancel_outcomes,decision_visible_trigger,clean_only,509,549,40,36,39,3,7,8,1,7,8,1,0.070727,0.071038,0.000311,36,39,3,-102.693548,-99.323529,1.25,1.192308,1.25,1.192308,0.583333,0.589744,0.388889,0.435897,0,0,0,0,509,549,reject_quality_negative,reject_quality_negative,existing_growth,existing clean-only bucket absorbed additional rows/fills from the new sample
mild_skew,reduce_side,touch,edge_strong_favorable,stale_latency_medium,post_only_clean,recent_reject_or_throttle,all_fill_after_cancel_outcomes,decision_visible_trigger,accepted_set,555,586,31,44,47,3,8,9,1,7,8,1,0.079279,0.080205,0.000925,,,0,-130.5,-120.914634,3.113636,2.946809,3.113636,2.946809,0.522727,0.510638,0,0,0.5,0.489362,0,0,555,586,reject_quality_negative,reject_quality_negative,existing_growth,existing clean-only bucket absorbed additional rows/fills from the new sample
mild_skew,reduce_side,touch,edge_strong_favorable,stale_latency_medium,post_only_clean,recent_reject_or_throttle,all_fill_after_cancel_outcomes,decision_visible_trigger,clean_only,489,520,31,39,42,3,7,8,1,6,7,1,0.079755,0.080769,0.001015,39,42,3,-140.5,-129.337838,2.012821,1.904762,2.012821,1.904762,0.512821,0.5,0,0,0.461538,0.452381,0,0,489,520,reject_quality_negative,reject_quality_negative,existing_growth,existing clean-only bucket absorbed additional rows/fills from the new sample
large_skew_or_low_score,reduce_side,touch,edge_strong_favorable,stale_latency_high,guarded_depth_fallback,churn_normal,all_fill_after_cancel_outcomes,decision_visible_trigger,accepted_set,76,106,30,10,13,3,8,9,1,5,6,1,0.131579,0.122642,-0.008937,,,0,-16.666667,-33.5,-12.166667,-9,-12.166667,-9,0.6,0.461538,0,0,0.4,0.538462,0,0,0,0,needs_more_clean_fills,needs_more_clean_fills,existing_growth,existing clean-only bucket absorbed additional rows/fills from the new sample
large_skew_or_low_score,reduce_side,touch,edge_strong_favorable,stale_latency_high,guarded_depth_fallback,churn_normal,all_fill_after_cancel_outcomes,decision_visible_trigger,clean_only,59,89,30,9,12,3,7,8,1,4,5,1,0.152542,0.134831,-0.017711,9,12,3,-15.3,-35.166667,-13.75,-9.863636,-13.75,-9.863636,0.666667,0.5,0,0,0.444444,0.583333,0,0,0,0,needs_more_clean_fills,needs_more_clean_fills,existing_growth,existing clean-only bucket absorbed additional rows/fills from the new sample
large_skew_or_low_score,add_side,touch,edge_strong_favorable,fresh_low_latency,post_only_clean,recent_reject_or_throttle,all_fill_after_cancel_outcomes,decision_visible_trigger,accepted_set,486,507,21,39,42,3,8,9,1,8,9,1,0.080247,0.08284,0.002593,,,0,-67.985714,-71.25,-1.525641,-1.380952,-1.525641,-1.380952,0.589744,0.547619,0.461538,0.452381,0,0,0,0,486,507,reject_quality_negative,reject_quality_negative,existing_growth,existing clean-only bucket absorbed additional rows/fills from the new sample
large_skew_or_low_score,add_side,touch,edge_strong_favorable,fresh_low_latency,post_only_clean,recent_reject_or_throttle,all_fill_after_cancel_outcomes,decision_visible_trigger,clean_only,442,463,21,35,38,3,7,8,1,7,8,1,0.079186,0.082073,0.002888,35,38,3,-68.823529,-72.157143,-1.757143,-1.578947,-1.757143,-1.578947,0.6,0.552632,0.428571,0.421053,0,0,0,0,442,463,reject_quality_negative,reject_quality_negative,existing_growth,existing clean-only bucket absorbed additional rows/fills from the new sample
mild_skew,reduce_side,touch,edge_strong_favorable,stale_latency_high,post_only_clean,recent_reject_or_throttle,all_fill_after_cancel_outcomes,decision_visible_trigger,accepted_set,106,123,17,7,10,3,8,9,1,4,5,1,0.066038,0.081301,0.015263,,,0,-96.1,-87.642857,0.5,0.5,0.5,0.5,0.571429,0.6,0,0,0.714286,0.8,0,0,106,123,reject_quality_negative,reject_quality_negative,existing_growth,existing clean-only bucket absorbed additional rows/fills from the new sample
mild_skew,reduce_side,touch,edge_strong_favorable,stale_latency_high,post_only_clean,recent_reject_or_throttle,all_fill_after_cancel_outcomes,decision_visible_trigger,clean_only,79,96,17,4,7,3,7,8,1,3,4,1,0.050633,0.072917,0.022284,4,7,3,-289.5,-178,0.5,0.5,0.5,0.5,0.75,0.714286,0,0,1,1,0,0,79,96,reject_quality_negative,reject_quality_negative,existing_growth,existing clean-only bucket absorbed additional rows/fills from the new sample
large_skew_or_low_score,add_side,touch,edge_strong_favorable,stale_latency_medium,guarded_depth_fallback,recent_reject_or_throttle,all_fill_after_cancel_outcomes,decision_visible_trigger,accepted_set,91,105,14,8,11,3,8,9,1,6,7,1,0.087912,0.104762,0.01685,,,0,-70.333333,-99.875,0.5,0.5,0.5,0.5,0.5,0.454545,0.375,0.363636,0,0,0,0,91,105,reject_quality_negative,reject_quality_negative,existing_growth,existing clean-only bucket absorbed additional rows/fills from the new sample
large_skew_or_low_score,add_side,touch,edge_strong_favorable,stale_latency_medium,guarded_depth_fallback,recent_reject_or_throttle,all_fill_after_cancel_outcomes,decision_visible_trigger,clean_only,71,85,14,6,9,3,7,8,1,5,6,1,0.084507,0.105882,0.021375,6,9,3,-56.5,-94.214286,0.5,0.5,0.5,0.5,0.666667,0.555556,0.5,0.444444,0,0,0,0,71,85,reject_quality_negative,reject_quality_negative,existing_growth,existing clean-only bucket absorbed additional rows/fills from the new sample
large_skew_or_low_score,add_side,touch,edge_strong_favorable,fresh_low_latency,post_only_clean,recent_reject_or_throttle,filled_no_cancel_race,fill_after_cancel_sensitivity,accepted_set,16,19,3,16,19,3,5,6,1,5,6,1,1,1,0,,,0,-89.071429,-95.5,0.5625,0.552632,0.5625,0.552632,0,0,0.25,0.263158,0,0,0,0,16,19,reject_quality_negative,reject_quality_negative,existing_growth,existing clean-only bucket absorbed additional rows/fills from the new sample
large_skew_or_low_score,add_side,touch,edge_strong_favorable,fresh_low_latency,post_only_clean,recent_reject_or_throttle,filled_no_cancel_race,fill_after_cancel_sensitivity,clean_only,14,17,3,14,17,3,4,5,1,4,5,1,1,1,0,14,17,3,-92.884615,-99.5,0.571429,0.558824,0.571429,0.558824,0,0,0.214286,0.235294,0,0,0,0,14,17,reject_quality_negative,reject_quality_negative,existing_growth,existing clean-only bucket absorbed additional rows/fills from the new sample
large_skew_or_low_score,add_side,touch,edge_strong_favorable,stale_latency_medium,post_only_clean,recent_reject_or_throttle,filled_no_cancel_race,fill_after_cancel_sensitivity,accepted_set,26,29,3,26,29,3,4,5,1,4,5,1,1,1,0,,,0,-93.071429,-92.76087,0.5,0.5,0.5,0.5,0,0,0.461538,0.413793,0,0,0,0,26,29,reject_quality_negative,reject_quality_negative,existing_growth,existing clean-only bucket absorbed additional rows/fills from the new sample
large_skew_or_low_score,add_side,touch,edge_strong_favorable,stale_latency_medium,post_only_clean,recent_reject_or_throttle,filled_no_cancel_race,fill_after_cancel_sensitivity,clean_only,24,27,3,24,27,3,3,4,1,3,4,1,1,1,0,24,27,3,-103.447368,-102.119048,0.5,0.5,0.5,0.5,0,0,0.458333,0.407407,0,0,0,0,24,27,reject_quality_negative,reject_quality_negative,existing_growth,existing clean-only bucket absorbed additional rows/fills from the new sample
flat,flat_side,touch,edge_strong_favorable,stale_latency_medium,post_only_clean,recent_reject_or_throttle,filled_no_cancel_race,fill_after_cancel_sensitivity,accepted_set,21,24,3,21,24,3,5,6,1,5,6,1,1,1,0,,,0,-29.236842,-32.75,0.5,0.543478,0.5,0.543478,0,0,0.380952,0.375,0,0,0,0,21,24,reject_quality_negative,reject_quality_negative,existing_growth,existing clean-only bucket absorbed additional rows/fills from the new sample
flat,flat_side,touch,edge_strong_favorable,stale_latency_medium,post_only_clean,recent_reject_or_throttle,filled_no_cancel_race,fill_after_cancel_sensitivity,clean_only,18,21,3,18,21,3,4,5,1,4,5,1,1,1,0,18,21,3,-36.676471,-40.166667,0.5,0.55,0.5,0.55,0,0,0.333333,0.333333,0,0,0,0,18,21,reject_quality_negative,reject_quality_negative,existing_growth,existing clean-only bucket absorbed additional rows/fills from the new sample
large_skew_or_low_score,reduce_side,step_back_gt1,edge_weak_or_neutral,stale_latency_high,post_only_clean,fast_cancel_churn,fill_after_cancel_fast,fill_after_cancel_sensitivity,accepted_set,0,3,3,0,3,3,0,1,1,0,1,1,,1,1,,,0,,-78,,36.166667,,36.166667,,1,,0,,0.333333,,0,,3,,reject_quality_negative,new_bucket,new clean-only bucket appeared or became active after the 120min sample
large_skew_or_low_score,reduce_side,step_back_gt1,edge_weak_or_neutral,stale_latency_high,post_only_clean,fast_cancel_churn,fill_after_cancel_fast,fill_after_cancel_sensitivity,clean_only,0,3,3,0,3,3,0,1,1,0,1,1,,1,1,,3,3,,-78,,36.166667,,36.166667,,1,,0,,0.333333,,0,,3,,reject_quality_negative,new_bucket,new clean-only bucket appeared or became active after the 120min sample
large_skew_or_low_score,reduce_side,touch,edge_strong_favorable,stale_latency_high,guarded_depth_fallback,churn_normal,filled_no_cancel_race,fill_after_cancel_sensitivity,accepted_set,4,7,3,4,7,3,3,4,1,3,4,1,1,1,0,,,0,26.833333,-13.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0.428571,0,0,0,0,needs_more_clean_fills,needs_more_clean_fills,existing_growth,existing clean-only bucket absorbed additional rows/fills from the new sample
large_skew_or_low_score,reduce_side,touch,edge_strong_favorable,stale_latency_high,guarded_depth_fallback,churn_normal,filled_no_cancel_race,fill_after_cancel_sensitivity,clean_only,3,6,3,3,6,3,2,3,1,2,3,1,1,1,0,3,6,3,52,-10.166667,0.5,0.5,0.5,0.5,0,0,0,0,0,0.5,0,0,0,0,needs_more_clean_fills,needs_more_clean_fills,existing_growth,existing clean-only bucket absorbed additional rows/fills from the new sample
large_skew_or_low_score,reduce_side,touch,edge_strong_favorable,stale_latency_medium,post_only_clean,recent_reject_or_throttle,fill_after_cancel_fast,fill_after_cancel_sensitivity,accepted_set,28,31,3,28,31,3,8,9,1,8,9,1,1,1,0,,,0,-88.5,-82.9,-0.017857,0.032258,-0.017857,0.032258,1,1,0,0,0.571429,0.548387,0,0,28,31,reject_quality_negative,reject_quality_negative,existing_growth,existing clean-only bucket absorbed additional rows/fills from the new sample
large_skew_or_low_score,reduce_side,touch,edge_strong_favorable,stale_latency_medium,post_only_clean,recent_reject_or_throttle,fill_after_cancel_fast,fill_after_cancel_sensitivity,clean_only,25,28,3,25,28,3,7,8,1,7,8,1,1,1,0,25,28,3,-88.5,-82.9,-0.08,-0.017857,-0.08,-0.017857,1,1,0,0,0.52,0.5,0,0,25,28,reject_quality_negative,reject_quality_negative,existing_growth,existing clean-only bucket absorbed additional rows/fills from the new sample
large_skew_or_low_score,reduce_side,step_back_gt1,edge_weak_or_neutral,stale_latency_medium,post_only_clean,recent_reject_or_throttle,all_fill_after_cancel_outcomes,decision_visible_trigger,accepted_set,2999,3382,383,51,53,2,8,9,1,7,8,1,0.017006,0.015671,-0.001334,,,0,-61.613636,-59.413043,29.27451,28.622642,29.27451,28.622642,0.72549,0.716981,0,0,0.470588,0.490566,0,0,2999,3382,reject_quality_negative,reject_quality_negative,existing_growth,existing clean-only bucket absorbed additional rows/fills from the new sample
large_skew_or_low_score,reduce_side,step_back_gt1,edge_weak_or_neutral,stale_latency_medium,post_only_clean,recent_reject_or_throttle,all_fill_after_cancel_outcomes,decision_visible_trigger,clean_only,2565,2948,383,41,43,2,7,8,1,6,7,1,0.015984,0.014586,-0.001398,41,43,2,-54.447368,-52.275,30.634146,29.767442,30.634146,29.767442,0.756098,0.744186,0,0,0.463415,0.488372,0,0,2565,2948,reject_quality_negative,reject_quality_negative,existing_growth,existing clean-only bucket absorbed additional rows/fills from the new sample
large_skew_or_low_score,reduce_side,step_back_gt1,edge_weak_or_neutral,stale_latency_high,guarded_depth_fallback,recent_reject_or_throttle,all_fill_after_cancel_outcomes,decision_visible_trigger,accepted_set,798,1016,218,12,14,2,8,9,1,6,7,1,0.015038,0.01378,-0.001258,,,0,-92.1,-92.1,30.5,30.115385,30.5,30.115385,0.5,0.5,0,0,0.333333,0.357143,0,0,798,1016,reject_quality_negative,reject_quality_negative,existing_growth,existing clean-only bucket absorbed additional rows/fills from the new sample
large_skew_or_low_score,reduce_side,step_back_gt1,edge_weak_or_neutral,stale_latency_high,guarded_depth_fallback,recent_reject_or_throttle,all_fill_after_cancel_outcomes,decision_visible_trigger,clean_only,646,864,218,8,10,2,7,8,1,5,6,1,0.012384,0.011574,-0.00081,8,10,2,-74.642857,-74.642857,30.75,30.166667,30.75,30.166667,0.625,0.6,0,0,0.25,0.3,0,0,646,864,reject_quality_negative,reject_quality_negative,existing_growth,existing clean-only bucket absorbed additional rows/fills from the new sample
large_skew_or_low_score,reduce_side,step_back_gt1,edge_weak_or_neutral,stale_latency_high,guarded_depth_fallback,fast_cancel_churn,all_fill_after_cancel_outcomes,decision_visible_trigger,accepted_set,429,586,157,2,4,2,8,9,1,1,2,1,0.004662,0.006826,0.002164,,,0,-3.5,-3.5,27,20.75,27,20.75,1,1,0,0,0.5,0.75,0,0,429,586,reject_quality_negative,reject_quality_negative,existing_growth,existing clean-only bucket absorbed additional rows/fills from the new sample
large_skew_or_low_score,reduce_side,step_back_gt1,edge_weak_or_neutral,stale_latency_high,guarded_depth_fallback,fast_cancel_churn,all_fill_after_cancel_outcomes,decision_visible_trigger,clean_only,328,485,157,0,2,2,7,8,1,0,1,1,0,0.004124,0.004124,0,2,2,,,,14.5,,14.5,,1,,0,,1,0,0,328,485,reject_quality_negative,reject_quality_negative,existing_growth,existing clean-only bucket absorbed additional rows/fills from the new sample
flat,flat_side,step_back_gt1,edge_weak_or_neutral,stale_latency_medium,guarded_depth_fallback,recent_reject_or_throttle,all_fill_after_cancel_outcomes,decision_visible_trigger,accepted_set,619,688,69,8,10,2,8,9,1,4,5,1,0.012924,0.014535,0.001611,,,0,-84.166667,-98.25,20,33.6,20,33.6,0.625,0.6,0.375,0.4,0,0,0,0,619,688,reject_quality_negative,reject_quality_negative,existing_growth,existing clean-only bucket absorbed additional rows/fills from the new sample
flat,flat_side,step_back_gt1,edge_weak_or_neutral,stale_latency_medium,guarded_depth_fallback,recent_reject_or_throttle,all_fill_after_cancel_outcomes,decision_visible_trigger,clean_only,577,646,69,4,6,2,7,8,1,3,4,1,0.006932,0.009288,0.002356,4,6,2,30,-26.833333,23.5,45,23.5,45,0.75,0.666667,0.25,0.333333,0,0,0,0,577,646,reject_quality_negative,reject_quality_negative,existing_growth,existing clean-only bucket absorbed additional rows/fills from the new sample
