session,segment_id,source_role,relative_path,bytes,sha256,header_sha256
,,accepted_stage1_metadata,local_live_analysis/skhynix_trigger_aligned_episode_research_v1/data_admission/underlying_regime_coverage.csv,1382,ec33eeb2a1e7354d2efdbb4c08d683da2eb0dc1b6c8fc369935f8d2de06f0319,22e8885dc568a5e6ebd9c000723fa4fef2366b29d792c0f7473a417498c6b618
,,accepted_stage1_metadata,local_live_analysis/skhynix_trigger_aligned_episode_research_v1/frozen_research_contract.json,8668,8657c6a81cb541c8df1c7696f86b3b4cbfb0c2e01d0bb99a98bbecd158041a6e,
,,accepted_stage1_metadata,local_live_analysis/skhynix_trigger_aligned_episode_research_v1/input_inventory.csv,273052,349fb8528437ad2beed538368173c0666f0e0be519a729a74c4b26727acfab42,b8eb8cff5f57e9d7c1046084169b32a2b08939ae51971c8ca3d968ca80f0d01c
,,accepted_stage1_metadata,local_live_analysis/skhynix_trigger_aligned_episode_research_v1/research_manifest.json,3300,9d8bf64c1a95ea378e88fe8d23243ce2896d727661988402c4e5dfd8600d55c2,
,,accepted_stage2_primary,local_live_analysis/skhynix_trigger_aligned_episode_research_v1_stage02_density/candidate_episode_membership.csv.gz,17620363,b656ccd5442a80743b35e13e8913c1f7b7c4bef46d47283e86d8ec80a21b2afc,5e5fa808853d9d915a7622daf8f3ee51d400190cdf78d8d91eac9acd767c36a3
,,accepted_stage2_primary,local_live_analysis/skhynix_trigger_aligned_episode_research_v1_stage02_density/density_manifest.json,5386,ac5f4e50cfb653dffa6e6d6fb84ab451da70da415fd3d2785fff52330b9cd43b,
,,accepted_stage2_primary,local_live_analysis/skhynix_trigger_aligned_episode_research_v1_stage02_density/frozen_density_contract.json,11586,0cd8b44ce2e39aebe8e8039f1dab0cf4d74dd555a59378e0a5acd33ca3b83815,
,,accepted_stage3_primary,local_live_analysis/skhynix_trigger_aligned_episode_research_v1_stage03_detector_parity/candidate_audit_projection.csv.gz,40105647,68e65a612d7bce2911a4e3c96fd10528914290ca045c8912e6be45045fd0415f,45720503f2daa0429d0ddbd07b9715a033ac84889eb6d5442ca7f43e88d8bdbc
,,accepted_stage3_primary,local_live_analysis/skhynix_trigger_aligned_episode_research_v1_stage03_detector_parity/frozen_trigger_contract.json,2480,a894079e405073400d86f8471fd20e2a3a7116d3b804952bab8db56587f93b3d,
,,accepted_stage3_primary,local_live_analysis/skhynix_trigger_aligned_episode_research_v1_stage03_detector_parity/parity_manifest.json,7731,a73d4a15a6f58bd5c533944131a9cadae4e74d1c6f0c23a65d75c35973282fa1,
,,accepted_tuple_metadata,.workflow/reports/0823T001-controller-closure.md,4751,00fd9916e15d8e4079925e37990b7e30f9a51373a6f0829908eca3b99b49ac30,
,,accepted_tuple_metadata,.workflow/reports/0823T001-qa.md,7340,764ca3f3f7c7fe7e9a6884a25d9c9cbb1ebf31387892ca8c2c6fd954f0e0b9ae,
,,accepted_tuple_metadata,local_live_analysis/skhynix_h0b_primary_tuple_supersession_0823T001/superseding_primary_tuple.json,11395,e3badf4c179a9e717ea49ff6617b637ec7e4c967c3dec365bebe78ef9399457c,
,,accepted_tuple_metadata,local_live_analysis/skhynix_h0b_primary_tuple_supersession_0823T001/supersession_manifest.json,3904,68f0953ac07b1c99778bbfb05068a6b2e166eacd34d20a9af528bf7d964b27fa,
aug03,,accepted_r0_manifest,local_live_analysis/skhynix_cross_exchange_research_0803T001/research_input_manifest.json,12763,4ca8b2e0be7f989eabf11294d9a60da491c0f3fecd8124e9bf097bf1beff5e7a,
aug03,,accepted_r1_alignment_manifest,local_live_analysis/skhynix_cross_exchange_research_0804T001_old5h_replay/alignment/alignment_manifest.json,5610,1c4119daa4aa1f2575e4184e11058c81b626a91c3e1f1497f6424cf00fe752a3,
aug03,,accepted_r1_alignment_quality,local_live_analysis/skhynix_cross_exchange_research_0804T001_old5h_replay/alignment/alignment_quality_by_segment.csv,885,318951391fec1a4116df435c3945c4bcb7259448ab36a553c4f21c06660dcf4f,9e16e6a13c253f5db2ec6ba316b08bffc361ee5b60b1acc2460e088a8cede720
aug03,,accepted_raw_manifest,local_live_analysis/cross_exchange_collection_campaign_0802T001_skhynix_5h_10x30m/campaign_manifest.json,6921,c9d7f65ed85157838f55a41d56745e76e8cee845fcd20d066cd0f81ff61f5fe9,
aug03,,accepted_segment_quality,local_live_analysis/skhynix_cross_exchange_research_0803T001/segment_and_mask_index.csv,2630,719b0b5a1eb430618d3e17e70e697eb6c89462ba5bfa02fef82040cc638ef78c,70cf917c3f66f2dd747842f2087a2c4456f9fc6c19abdafe1c55d4ee87d51f5e
aug03,,accepted_timeline_index,local_live_analysis/cross_exchange_collection_campaign_0802T001_skhynix_5h_10x30m/timeline_index.csv,2885,5345bad5edd9f98fcb7610a7aab3efa907d231e20ae4f36f9b9cd6622e4b5649,163134a3e6ee73e8d95c06ca7109948e8e37dfc353b7c660f0a3e4a34aa0b92d
aug03,segment_0001,accepted_r0_segment_manifest,local_live_analysis/skhynix_cross_exchange_research_0803T001/segments/segment_0001/segment_event_store_manifest.json,5912,b492583a91bb1c4c90b15eee62b2c3d85d92a03733bb4e0ab79d719a42599df4,
aug03,segment_0001,r0_binance_bookticker,local_live_analysis/skhynix_cross_exchange_research_0803T001/segments/segment_0001/binance_hot_events.csv.gz,12259309,849916704345838b2015f1fd2c50b8694f01e32738be590a7172bc0ce9f34da3,6660a3ce0c75a3653b112b89a21029cf3eb2807d0c7d90bf4573704e1af01ba5
aug03,segment_0001,r0_hyperliquid_bbo,local_live_analysis/skhynix_cross_exchange_research_0803T001/segments/segment_0001/hyperliquid_hot_events.csv.gz,1634985,3ada3e695c02ea6a99e5f49ec38f471e370946bde66d9de759e5af59790db0a3,5589834f56360a64bb46ac3be4046bd2167310068022cd8a2aa3ff6b5187481d
aug03,segment_0002,accepted_r0_segment_manifest,local_live_analysis/skhynix_cross_exchange_research_0803T001/segments/segment_0002/segment_event_store_manifest.json,5919,4e712d7406f8280b2412d4604682a14a41e14092afa7133501223aae929a6d52,
aug03,segment_0002,r0_binance_bookticker,local_live_analysis/skhynix_cross_exchange_research_0803T001/segments/segment_0002/binance_hot_events.csv.gz,22837153,bbf4874554f74e5c7de51e713ab5c1c027b9c5b45f52ed0c823c9c7cee70f377,6660a3ce0c75a3653b112b89a21029cf3eb2807d0c7d90bf4573704e1af01ba5
aug03,segment_0002,r0_hyperliquid_bbo,local_live_analysis/skhynix_cross_exchange_research_0803T001/segments/segment_0002/hyperliquid_hot_events.csv.gz,2335881,9353d21ca500e21674b0ffcaf38028e0fef274f7fadd087e29c9ffb3964ab463,5589834f56360a64bb46ac3be4046bd2167310068022cd8a2aa3ff6b5187481d
aug03,segment_0003,accepted_r0_segment_manifest,local_live_analysis/skhynix_cross_exchange_research_0803T001/segments/segment_0003/segment_event_store_manifest.json,5919,e0f1a767d7407dc54cf7a7d96c62c00dda4ba196df02cc2bb324742357d98eb4,
aug03,segment_0003,r0_binance_bookticker,local_live_analysis/skhynix_cross_exchange_research_0803T001/segments/segment_0003/binance_hot_events.csv.gz,15785055,9236f8387c7e5e449b3534af3847d677dc8432c3966045dc973ef9be92e02953,6660a3ce0c75a3653b112b89a21029cf3eb2807d0c7d90bf4573704e1af01ba5
aug03,segment_0003,r0_hyperliquid_bbo,local_live_analysis/skhynix_cross_exchange_research_0803T001/segments/segment_0003/hyperliquid_hot_events.csv.gz,1890033,d32a4d65d791c8a02dff49e5a994069fb5305356468c90b78dd78f6d5884a035,5589834f56360a64bb46ac3be4046bd2167310068022cd8a2aa3ff6b5187481d
aug03,segment_0004,accepted_r0_segment_manifest,local_live_analysis/skhynix_cross_exchange_research_0803T001/segments/segment_0004/segment_event_store_manifest.json,5919,164b44f88451a41b70566ea0d2ca7fcbb07080b78e14c604eb450958a295d385,
aug03,segment_0004,r0_binance_bookticker,local_live_analysis/skhynix_cross_exchange_research_0803T001/segments/segment_0004/binance_hot_events.csv.gz,13084905,390076a77a30faff70c17b90096b483f99bca671b86713150289e07a2d21a943,6660a3ce0c75a3653b112b89a21029cf3eb2807d0c7d90bf4573704e1af01ba5
aug03,segment_0004,r0_hyperliquid_bbo,local_live_analysis/skhynix_cross_exchange_research_0803T001/segments/segment_0004/hyperliquid_hot_events.csv.gz,1393863,6b9e1790f7288acf770e92436f343f8996745a2b0cfc132f9df01beaa1394fbb,5589834f56360a64bb46ac3be4046bd2167310068022cd8a2aa3ff6b5187481d
aug03,segment_0005,accepted_r0_segment_manifest,local_live_analysis/skhynix_cross_exchange_research_0803T001/segments/segment_0005/segment_event_store_manifest.json,5918,1de31af6931a5b7c6c0a84c4ec055d095038ec3d8279e06416f5c405a9c111fc,
aug03,segment_0005,r0_binance_bookticker,local_live_analysis/skhynix_cross_exchange_research_0803T001/segments/segment_0005/binance_hot_events.csv.gz,12591557,8bf827e13c09d8a43e451ba260bf9728a40875d9f797ef3f4bb2cd02a8eb8f42,6660a3ce0c75a3653b112b89a21029cf3eb2807d0c7d90bf4573704e1af01ba5
aug03,segment_0005,r0_hyperliquid_bbo,local_live_analysis/skhynix_cross_exchange_research_0803T001/segments/segment_0005/hyperliquid_hot_events.csv.gz,1230987,2bd26e16aa1346d25a5c3458c532d7530da541f58f44c092fae5c9d3ec3c6b6f,5589834f56360a64bb46ac3be4046bd2167310068022cd8a2aa3ff6b5187481d
aug03,segment_0006,accepted_r0_segment_manifest,local_live_analysis/skhynix_cross_exchange_research_0803T001/segments/segment_0006/segment_event_store_manifest.json,5918,445b6b1aa1e5a71f3ee09e5cad8209055556fe1a77107f950579a8c675cb17a0,
aug03,segment_0006,r0_binance_bookticker,local_live_analysis/skhynix_cross_exchange_research_0803T001/segments/segment_0006/binance_hot_events.csv.gz,9587859,fd7bf90360e2e3f26f2e4dbd48cf1df2e7a9cbcde42b249a6545b034904b0fd5,6660a3ce0c75a3653b112b89a21029cf3eb2807d0c7d90bf4573704e1af01ba5
aug03,segment_0006,r0_hyperliquid_bbo,local_live_analysis/skhynix_cross_exchange_research_0803T001/segments/segment_0006/hyperliquid_hot_events.csv.gz,1128764,e102ae9b7db7525180baf38dce0d23bc77671e59a43bb6ee6fce6ef3aabff1a1,5589834f56360a64bb46ac3be4046bd2167310068022cd8a2aa3ff6b5187481d
aug03,segment_0007,accepted_r0_segment_manifest,local_live_analysis/skhynix_cross_exchange_research_0803T001/segments/segment_0007/segment_event_store_manifest.json,5917,deff8c296ab5e96c45e66c23e80884428ab678fc7eb1322f279d88972356ea85,
aug03,segment_0007,r0_binance_bookticker,local_live_analysis/skhynix_cross_exchange_research_0803T001/segments/segment_0007/binance_hot_events.csv.gz,6389942,4b455d641e1927669500f78a65be2df3a9572fa0890d43f7224221b750378656,6660a3ce0c75a3653b112b89a21029cf3eb2807d0c7d90bf4573704e1af01ba5
aug03,segment_0007,r0_hyperliquid_bbo,local_live_analysis/skhynix_cross_exchange_research_0803T001/segments/segment_0007/hyperliquid_hot_events.csv.gz,843843,16af769c69e301c7b3284d1f4bc788e4d6ab39da0d4ad0c8c6ce9dd1e879fb67,5589834f56360a64bb46ac3be4046bd2167310068022cd8a2aa3ff6b5187481d
aug03,segment_0008,accepted_r0_segment_manifest,local_live_analysis/skhynix_cross_exchange_research_0803T001/segments/segment_0008/segment_event_store_manifest.json,5916,7f739c7b4918e4ec9495fafe0813db47f236d8b382f9603fe9a988ce2618f128,
aug03,segment_0008,r0_binance_bookticker,local_live_analysis/skhynix_cross_exchange_research_0803T001/segments/segment_0008/binance_hot_events.csv.gz,6392974,bbda79f8605ffda5395ac15dd949f5cc283502d8b3904c6ff1505d679913fe0a,6660a3ce0c75a3653b112b89a21029cf3eb2807d0c7d90bf4573704e1af01ba5
aug03,segment_0008,r0_hyperliquid_bbo,local_live_analysis/skhynix_cross_exchange_research_0803T001/segments/segment_0008/hyperliquid_hot_events.csv.gz,830480,4d69cbc7d8e6b0d1622da885dfb459f9e1c468091fd2fc5b4e999e5db22679d3,5589834f56360a64bb46ac3be4046bd2167310068022cd8a2aa3ff6b5187481d
aug03,segment_0009,accepted_r0_segment_manifest,local_live_analysis/skhynix_cross_exchange_research_0803T001/segments/segment_0009/segment_event_store_manifest.json,5916,2c9a9a9b3e0f85645b6c0137fae161ed1f64bfe70cc613256d33d1bc961b76ee,
aug03,segment_0009,r0_binance_bookticker,local_live_analysis/skhynix_cross_exchange_research_0803T001/segments/segment_0009/binance_hot_events.csv.gz,6603078,d02d93fbff7404876b9b9a9d3c398d878aba5a6d7cc29c288937ccc251b7c636,6660a3ce0c75a3653b112b89a21029cf3eb2807d0c7d90bf4573704e1af01ba5
aug03,segment_0009,r0_hyperliquid_bbo,local_live_analysis/skhynix_cross_exchange_research_0803T001/segments/segment_0009/hyperliquid_hot_events.csv.gz,866675,fbc9a1cc95715e9a5a9ac1be95759e4c5de2553f6c0544d47de464092aacb63c,5589834f56360a64bb46ac3be4046bd2167310068022cd8a2aa3ff6b5187481d
aug03,segment_0010,accepted_r0_segment_manifest,local_live_analysis/skhynix_cross_exchange_research_0803T001/segments/segment_0010/segment_event_store_manifest.json,5915,f5baf506dfd39166ff26fc5ac567a360c30584fc1423021e99a7770ae2b69504,
aug03,segment_0010,r0_binance_bookticker,local_live_analysis/skhynix_cross_exchange_research_0803T001/segments/segment_0010/binance_hot_events.csv.gz,6729102,7bf863060bcd0bba2dc99745f8065b92a6623c1c838f51ae373d5af3858c7f74,6660a3ce0c75a3653b112b89a21029cf3eb2807d0c7d90bf4573704e1af01ba5
aug03,segment_0010,r0_hyperliquid_bbo,local_live_analysis/skhynix_cross_exchange_research_0803T001/segments/segment_0010/hyperliquid_hot_events.csv.gz,993048,647abf3580ccf02dabf7c465821eaaa02e18eaeedcec434796734772b8795430,5589834f56360a64bb46ac3be4046bd2167310068022cd8a2aa3ff6b5187481d
aug04,,accepted_r0_manifest,local_live_analysis/skhynix_cross_exchange_research_0804T001/research_input_manifest.json,3821,ed47cd97b55f5305b0527ac93e6b65d2344ef453b18e7f510f7c7c4e88bcd0cd,
aug04,,accepted_r1_alignment_manifest,local_live_analysis/skhynix_cross_exchange_research_0804T001/alignment/alignment_manifest.json,4318,9d14558be47731fa274b2ede853a0f36ac27d3a0640da8ef9de56c136fcca221,
aug04,,accepted_r1_alignment_quality,local_live_analysis/skhynix_cross_exchange_research_0804T001/alignment/alignment_quality_by_segment.csv,306,69bb6af65c9bb420f8117fc34bbb2976518a6deea6cfb70b58038cebac64c3b5,9e16e6a13c253f5db2ec6ba316b08bffc361ee5b60b1acc2460e088a8cede720
aug04,,accepted_raw_manifest,local_live_analysis/cross_exchange_collection_campaign_0804T001_skhynix_2h_continuous/campaign_manifest.json,8866,1853924b91ad9751239387c303a18c7906510c63d6c7449b28c59668d377885b,
aug04,,accepted_segment_quality,local_live_analysis/skhynix_cross_exchange_research_0804T001/segment_and_mask_index.csv,385,8f3bb4fa4caa3f11838b7e0f060525016774303f7a444abf7a0a59c0ede27378,70cf917c3f66f2dd747842f2087a2c4456f9fc6c19abdafe1c55d4ee87d51f5e
aug04,,accepted_timeline_index,local_live_analysis/cross_exchange_collection_campaign_0804T001_skhynix_2h_continuous/timeline_index.csv,516,b72f48f056d5243739aaac61a2c49911b7c5fa7c51b34998e95f30e7e0b2a0e9,163134a3e6ee73e8d95c06ca7109948e8e37dfc353b7c660f0a3e4a34aa0b92d
aug04,segment_0001,accepted_r0_segment_manifest,local_live_analysis/skhynix_cross_exchange_research_0804T001/segments/segment_0001/segment_event_store_manifest.json,5968,63226b762d80c5be12e1b2f832112cb7c7e3bf22b4575180e13d297c26f43f44,
aug04,segment_0001,r0_binance_bookticker,local_live_analysis/skhynix_cross_exchange_research_0804T001/segments/segment_0001/binance_hot_events.csv.gz,60266083,0f800aa34285e05ea475b3703258d15eb0add95352ff1cfab36c0444ff49502d,6660a3ce0c75a3653b112b89a21029cf3eb2807d0c7d90bf4573704e1af01ba5
aug04,segment_0001,r0_hyperliquid_bbo,local_live_analysis/skhynix_cross_exchange_research_0804T001/segments/segment_0001/hyperliquid_hot_events.csv.gz,6528224,b8e542f3c823c6fa1abaa42c1262c6fd03f06781c650996bb7d22fe5881a17ce,5589834f56360a64bb46ac3be4046bd2167310068022cd8a2aa3ff6b5187481d
jul30,,accepted_r0_manifest,local_live_analysis/skhynix_cross_exchange_research_0730T013/research_input_manifest.json,11733,c46c735d7933587af6eece4a9dd1bce241b3c093866efce976b1c3f952e72ce0,
jul30,,accepted_r1_alignment_manifest,local_live_analysis/skhynix_cross_exchange_research_0730T013/alignment/alignment_manifest.json,4986,6123b408cbdfdc95758c8d27e6e0664959caaebeb0de843a5978cfee6c6c8ffd,
jul30,,accepted_r1_alignment_quality,local_live_analysis/skhynix_cross_exchange_research_0730T013/alignment/alignment_quality_by_segment.csv,766,486b73b6d26796a20705ad84df1eb42b37840f56aeb66f7143c9ce31738dcdde,9e16e6a13c253f5db2ec6ba316b08bffc361ee5b60b1acc2460e088a8cede720
jul30,,accepted_raw_manifest,local_live_analysis/cross_exchange_collection_campaign_0730T011_skhynix_4h_8x30m/campaign_manifest.json,7560,fc4d962bd96792b87671a35974601827864267f7a3d3181ff8237b050b497b12,
jul30,,accepted_segment_quality,local_live_analysis/skhynix_cross_exchange_research_0730T013/segment_and_mask_index.csv,2254,c2a1cb84797ff701f22279a577105ce9429e9d901ef3a15df49c5dd7336fe45b,70cf917c3f66f2dd747842f2087a2c4456f9fc6c19abdafe1c55d4ee87d51f5e
jul30,,accepted_timeline_index,local_live_analysis/cross_exchange_collection_campaign_0730T011_skhynix_4h_8x30m/timeline_index.csv,2326,97ecb71b9515835ee155ca330738b058b15b4e5604e6afdb5bac7bb642332aac,163134a3e6ee73e8d95c06ca7109948e8e37dfc353b7c660f0a3e4a34aa0b92d
jul30,segment_0001,accepted_r0_segment_manifest,local_live_analysis/skhynix_cross_exchange_research_0730T013/segments/segment_0001/segment_event_store_manifest.json,5908,dc97af701e9c0501f93b03b9e9ec9edf9c59498e558a62fcceb4bd9bbe2ba19a,
jul30,segment_0001,r0_binance_bookticker,local_live_analysis/skhynix_cross_exchange_research_0730T013/segments/segment_0001/binance_hot_events.csv.gz,54157067,d56b10d37ede4d31fea2814898a6194946a8e18c57a554807804db35e3cf9ea3,6660a3ce0c75a3653b112b89a21029cf3eb2807d0c7d90bf4573704e1af01ba5
jul30,segment_0001,r0_hyperliquid_bbo,local_live_analysis/skhynix_cross_exchange_research_0730T013/segments/segment_0001/hyperliquid_hot_events.csv.gz,3731041,cd06f647dc1758e7a172c558d2555b12f4dcab72fea302c00b8656a8676f8aec,5589834f56360a64bb46ac3be4046bd2167310068022cd8a2aa3ff6b5187481d
jul30,segment_0002,accepted_r0_segment_manifest,local_live_analysis/skhynix_cross_exchange_research_0730T013/segments/segment_0002/segment_event_store_manifest.json,5913,e5d2559bb80e80c38b25d653dea963492b1eb86b4ef6b08a3d01ba7f9a8a0efd,
jul30,segment_0002,r0_binance_bookticker,local_live_analysis/skhynix_cross_exchange_research_0730T013/segments/segment_0002/binance_hot_events.csv.gz,34165823,4a72971f1466145a82f62c5416dd8f723c5fae013c7cdd5d0fd272140d1d0b16,6660a3ce0c75a3653b112b89a21029cf3eb2807d0c7d90bf4573704e1af01ba5
jul30,segment_0002,r0_hyperliquid_bbo,local_live_analysis/skhynix_cross_exchange_research_0730T013/segments/segment_0002/hyperliquid_hot_events.csv.gz,3348466,edc5398646ae7be575fd582cc7eed879b3175dd7a140404a4c6ed62c51a3acaf,5589834f56360a64bb46ac3be4046bd2167310068022cd8a2aa3ff6b5187481d
jul30,segment_0003,accepted_r0_segment_manifest,local_live_analysis/skhynix_cross_exchange_research_0730T013/segments/segment_0003/segment_event_store_manifest.json,5913,ec96289d5bb89f2a70ab68f69fab30f822f03a226b38c3fbbc1713d4680f6daa,
jul30,segment_0003,r0_binance_bookticker,local_live_analysis/skhynix_cross_exchange_research_0730T013/segments/segment_0003/binance_hot_events.csv.gz,39109458,6ac5cdc3a6fdda5b1da7f23da9161c802d4535fd5f13dc70a96f05b93161f125,6660a3ce0c75a3653b112b89a21029cf3eb2807d0c7d90bf4573704e1af01ba5
jul30,segment_0003,r0_hyperliquid_bbo,local_live_analysis/skhynix_cross_exchange_research_0730T013/segments/segment_0003/hyperliquid_hot_events.csv.gz,3617245,70c52294fe23281f6fdbbe902ce1da35200a4d427db0b35d655f27cccf42543f,5589834f56360a64bb46ac3be4046bd2167310068022cd8a2aa3ff6b5187481d
jul30,segment_0004,accepted_r0_segment_manifest,local_live_analysis/skhynix_cross_exchange_research_0730T013/segments/segment_0004/segment_event_store_manifest.json,5913,442a1ab2bf48c9d61d46ffa2724538eec03430e406ce3dd0d68a4a360a7b9a3e,
jul30,segment_0004,r0_binance_bookticker,local_live_analysis/skhynix_cross_exchange_research_0730T013/segments/segment_0004/binance_hot_events.csv.gz,37194429,70b9a578cf573fd354720339293f18ebea4c950d389f0c46d3e26e3678d58e05,6660a3ce0c75a3653b112b89a21029cf3eb2807d0c7d90bf4573704e1af01ba5
jul30,segment_0004,r0_hyperliquid_bbo,local_live_analysis/skhynix_cross_exchange_research_0730T013/segments/segment_0004/hyperliquid_hot_events.csv.gz,2728759,f8af712933106124200b69fcaa1a91f5737ef431e4d00a497f385b4742176f50,5589834f56360a64bb46ac3be4046bd2167310068022cd8a2aa3ff6b5187481d
jul30,segment_0005,accepted_r0_segment_manifest,local_live_analysis/skhynix_cross_exchange_research_0730T013/segments/segment_0005/segment_event_store_manifest.json,5913,836a9b5f450f1230e7da109c5b84b0ec3f8b1916563627e87eedf4c7c8c237c3,
jul30,segment_0005,r0_binance_bookticker,local_live_analysis/skhynix_cross_exchange_research_0730T013/segments/segment_0005/binance_hot_events.csv.gz,32082002,38f26f2e6536c36d0fa355bffeb542305760c11eb3797fe2ba9d7cd307123fe8,6660a3ce0c75a3653b112b89a21029cf3eb2807d0c7d90bf4573704e1af01ba5
jul30,segment_0005,r0_hyperliquid_bbo,local_live_analysis/skhynix_cross_exchange_research_0730T013/segments/segment_0005/hyperliquid_hot_events.csv.gz,2814202,df1cb5ebe8966e275891434cc3889cec467454f9b30f094781acddc599ff8ce2,5589834f56360a64bb46ac3be4046bd2167310068022cd8a2aa3ff6b5187481d
jul30,segment_0006,accepted_r0_segment_manifest,local_live_analysis/skhynix_cross_exchange_research_0730T013/segments/segment_0006/segment_event_store_manifest.json,5913,88d3f3a4a93f095eb888fd012c9e5da117626a16ec350f5fb700caf8649f0356,
jul30,segment_0006,r0_binance_bookticker,local_live_analysis/skhynix_cross_exchange_research_0730T013/segments/segment_0006/binance_hot_events.csv.gz,27640727,a232cf48b80dea49083536c0d99e0b75fa1389fc05f0f0371d2c7cbb92610ab7,6660a3ce0c75a3653b112b89a21029cf3eb2807d0c7d90bf4573704e1af01ba5
jul30,segment_0006,r0_hyperliquid_bbo,local_live_analysis/skhynix_cross_exchange_research_0730T013/segments/segment_0006/hyperliquid_hot_events.csv.gz,2885812,a69618e00c93aa088cc42ebb56d01cca61929412fb661ab7b63358c7dca09166,5589834f56360a64bb46ac3be4046bd2167310068022cd8a2aa3ff6b5187481d
jul30,segment_0007,accepted_r0_segment_manifest,local_live_analysis/skhynix_cross_exchange_research_0730T013/segments/segment_0007/segment_event_store_manifest.json,5913,040caf595af5bcadec4bd5b597e7ca296535d6f031c637936eaf06d84c6dacc6,
jul30,segment_0007,r0_binance_bookticker,local_live_analysis/skhynix_cross_exchange_research_0730T013/segments/segment_0007/binance_hot_events.csv.gz,25954218,0ed34e58b28b6c1bb929ea0a8333b556a3076fc7ea685fbd60adb23ed09f1930,6660a3ce0c75a3653b112b89a21029cf3eb2807d0c7d90bf4573704e1af01ba5
