row_id,sample_id,observed_regime,decision_id,action,block_reason,signal_status,signal_score,signal_abs_z,side,fair_mid_px,quote_px,edge_ticks,required_edge_ticks,quote_type,time_in_force,post_only,future_mid_move_ticks,signed_markout_ticks,adjusted_counterfactual_edge_ticks,source_age_bucket,basis_bucket,warning_bucket,order_endpoint_called,private_endpoint_called,credential_read
119,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:119,would_submit,,pass,-1.03640086,1.03640086,sell,60060.08543966,60061,9.14560344,1.5,touch,Alo,True,0,-0,-1.5,binance_source_age_mid,basis_high,False,False,False,False
120,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:120,would_submit,,pass,-3.14944891,3.14944891,sell,60059.24022044,60061,17.59779564,1.5,touch,Alo,True,0,-0,-1.5,binance_source_age_high,basis_mid,False,False,False,False
121,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:121,would_submit,,pass,-1.07100333,1.07100333,sell,60060.07159867,60061,9.28401332,1.5,touch,Alo,True,-110,110,108.5,binance_source_age_low,basis_low,False,False,False,False
122,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:122,would_submit,,pass,-1.06839308,1.06839308,sell,60060.07264277,60061,9.27357232,1.5,touch,Alo,True,-110,110,108.5,binance_source_age_low,basis_low,False,False,False,False
123,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:123,would_submit,,pass,-1.05862291,1.05862291,sell,60049.07655084,60050,9.23449164,1.5,touch,Alo,True,0,-0,-1.5,binance_source_age_low,basis_high,False,False,False,False
125,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:125,would_submit,,pass,-1.1125642,1.1125642,sell,60049.05497432,60050,9.4502568,1.5,touch,Alo,True,-10,10,8.5,binance_source_age_low,basis_mid,False,False,False,False
159,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:159,would_submit,,pass,-1.0470473,1.0470473,sell,60062.08118108,60063,9.1881892,1.5,touch,Alo,True,0,-0,-1.5,binance_source_age_low,basis_high,False,False,False,False
160,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:160,would_submit,,pass,1.55963102,1.55963102,buy,60063.12385241,60062,11.23852408,1.5,touch,Alo,True,0,0,-1.5,binance_source_age_low,basis_high,False,False,False,False
164,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:164,would_submit,,pass,1.08195598,1.08195598,buy,60064.93278239,60064,9.32782392,1.5,touch,Alo,True,40,40,38.5,binance_source_age_low,basis_high,False,False,False,False
172,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:172,would_submit,,pass,-1.08296866,1.08296866,sell,60077.06681254,60078,9.33187464,1.5,touch,Alo,True,0,-0,-1.5,binance_source_age_low,basis_high,False,False,False,False
173,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:173,would_submit,,pass,-1.0912765,1.0912765,sell,60077.0634894,60078,9.365106,1.5,touch,Alo,True,0,-0,-1.5,binance_source_age_high,basis_high,False,False,False,False
208,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:208,would_submit,,pass,1.07456405,1.07456405,buy,60062.92982562,60062,9.2982562,1.5,touch,Alo,True,60,60,58.5,binance_source_age_high,basis_high,False,False,False,False
209,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:209,would_submit,,pass,1.06952566,1.06952566,buy,60064.42781026,60062,24.27810264,1.5,touch,Alo,True,55,55,53.5,binance_source_age_low,basis_high,False,False,False,False
216,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:216,would_submit,,pass,1.1566089,1.1566089,buy,60080.96264356,60080,9.6264356,1.5,touch,Alo,True,70,70,68.5,binance_source_age_high,basis_high,False,False,False,False
223,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:223,would_submit,,pass,-1.13896974,1.13896974,sell,60086.0444121,60087,9.55587896,1.5,touch,Alo,True,-110,110,108.5,binance_source_age_low,basis_low,False,False,False,False
224,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:224,would_submit,,pass,6.77302706,6.77302706,buy,60084.20921082,60081,32.09210824,1.5,touch,Alo,True,-60,-60,-61.5,binance_source_age_low,basis_low,False,False,False,False
227,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:227,would_submit,,pass,-4.29810156,4.29810156,sell,60073.78075938,60076,22.19240624,1.5,touch,Alo,True,-40,40,38.5,binance_source_age_low,basis_low,False,False,False,False
248,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:248,would_submit,,pass,1.00357109,1.00357109,buy,60053.40142844,60052,14.01428436,1.5,touch,Alo,True,165,165,163.5,binance_source_age_high,basis_high,False,False,False,False
249,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:249,would_submit,,pass,1.003872,1.003872,buy,60061.4015488,60060,14.015488,1.5,touch,Alo,True,85,85,83.5,binance_source_age_high,basis_high,False,False,False,False
288,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:288,would_submit,,pass,-1.10066478,1.10066478,sell,60139.05973409,60140,9.40265912,1.5,touch,Alo,True,-10,10,8.5,binance_source_age_mid,basis_mid,False,False,False,False
304,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:304,would_submit,,pass,3.4532835,3.4532835,buy,60138.8813134,60137,18.813134,1.5,touch,Alo,True,-10,-10,-11.5,binance_source_age_low,basis_high,False,False,False,False
306,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:306,would_submit,,pass,1.08388498,1.08388498,buy,60136.93355399,60136,9.33553992,1.5,touch,Alo,True,0,0,-1.5,binance_source_age_low,basis_high,False,False,False,False
308,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:308,would_submit,,pass,-1.02811728,1.02811728,sell,60136.08875309,60137,9.11246912,1.5,touch,Alo,True,20,-20,-21.5,binance_source_age_mid,basis_high,False,False,False,False
310,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:310,would_submit,,pass,-3.66094817,3.66094817,sell,60137.03562073,60139,19.64379268,1.5,touch,Alo,True,30,-30,-31.5,binance_source_age_low,basis_high,False,False,False,False
317,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:317,would_submit,,pass,-1.07779907,1.07779907,sell,60140.06888037,60141,9.31119628,1.5,touch,Alo,True,0,-0,-1.5,binance_source_age_high,basis_high,False,False,False,False
328,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:328,would_submit,,pass,2.52030907,2.52030907,buy,60139.50812363,60138,15.08123628,1.5,touch,Alo,True,0,0,-1.5,binance_source_age_mid,basis_high,False,False,False,False
330,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:330,would_submit,,pass,-1.28971764,1.28971764,sell,60137.98411294,60139,10.15887056,1.5,touch,Alo,True,-40,40,38.5,binance_source_age_high,basis_low,False,False,False,False
337,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:337,would_submit,,pass,-1.13502265,1.13502265,sell,60134.04599094,60135,9.5400906,1.5,touch,Alo,True,0,-0,-1.5,binance_source_age_mid,basis_high,False,False,False,False
372,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:372,would_submit,,pass,-2.39057807,2.39057807,sell,60127.54376877,60129,14.56231228,1.5,touch,Alo,True,-15,15,13.5,binance_source_age_high,basis_low,False,False,False,False
378,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:378,would_submit,,pass,4.85778424,4.85778424,buy,60118.4431137,60116,24.43113696,1.5,touch,Alo,True,0,0,-1.5,binance_source_age_low,basis_high,False,False,False,False
388,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:388,would_submit,,pass,-1.08019474,1.08019474,sell,60120.0679221,60121,9.32077896,1.5,touch,Alo,True,0,-0,-1.5,binance_source_age_high,basis_high,False,False,False,False
389,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:389,would_submit,,pass,-3.53771347,3.53771347,sell,60119.08491461,60121,19.15085388,1.5,touch,Alo,True,0,-0,-1.5,binance_source_age_mid,basis_high,False,False,False,False
395,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:395,would_submit,,pass,-1.13979374,1.13979374,sell,60117.0440825,60118,9.55917496,1.5,touch,Alo,True,-40,40,38.5,binance_source_age_high,basis_low,False,False,False,False
415,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:415,would_submit,,pass,-5.4555582,5.4555582,sell,60096.31777672,60099,26.8222328,1.5,touch,Alo,True,-20,20,18.5,binance_source_age_low,basis_low,False,False,False,False
428,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:428,would_submit,,pass,2.26733398,2.26733398,buy,60078.40693359,60077,14.06933592,1.5,touch,Alo,True,0,0,-1.5,binance_source_age_low,basis_high,False,False,False,False
440,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:440,would_submit,,pass,3.97787269,3.97787269,buy,60086.09114908,60084,20.91149076,1.5,touch,Alo,True,0,0,-1.5,binance_source_age_high,basis_high,False,False,False,False
442,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:442,would_submit,,pass,-4.34599242,4.34599242,sell,60082.76160303,60085,22.38396968,1.5,touch,Alo,True,60,-60,-61.5,binance_source_age_high,basis_high,False,False,False,False
452,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:452,would_submit,,pass,1.08840794,1.08840794,buy,60108.93536318,60108,9.35363176,1.5,touch,Alo,True,10,10,8.5,binance_source_age_low,basis_high,False,False,False,False
458,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:458,would_submit,,pass,-1.01655635,1.01655635,sell,60112.09337746,60113,9.0662254,1.5,touch,Alo,True,70,-70,-71.5,binance_source_age_mid,basis_high,False,False,False,False
459,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:459,would_submit,,pass,-1.04546687,1.04546687,sell,60115.08181325,60116,9.18186748,1.5,touch,Alo,True,40,-40,-41.5,binance_source_age_low,basis_high,False,False,False,False
460,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:460,would_submit,,pass,-1.12300142,1.12300142,sell,60119.05079943,60120,9.49200568,1.5,touch,Alo,True,0,-0,-1.5,binance_source_age_low,basis_high,False,False,False,False
465,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:465,would_submit,,pass,-1.03244027,1.03244027,sell,60115.08702389,60116,9.12976108,1.5,touch,Alo,True,-10,10,8.5,binance_source_age_low,basis_mid,False,False,False,False
472,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:472,would_submit,,pass,-1.11058611,1.11058611,sell,60100.05576556,60101,9.44234444,1.5,touch,Alo,True,-50,50,48.5,binance_source_age_high,basis_mid,False,False,False,False
473,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:473,would_submit,,pass,-1.05142768,1.05142768,sell,60095.07942893,60096,9.20571072,1.5,touch,Alo,True,0,-0,-1.5,binance_source_age_mid,basis_high,False,False,False,False
474,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:474,would_submit,,pass,-1.05147326,1.05147326,sell,60095.0794107,60096,9.20589304,1.5,touch,Alo,True,0,-0,-1.5,binance_source_age_high,basis_high,False,False,False,False
475,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:475,would_submit,,pass,-1.05198477,1.05198477,sell,60095.07920609,60096,9.20793908,1.5,touch,Alo,True,0,-0,-1.5,binance_source_age_low,basis_high,False,False,False,False
478,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:478,would_submit,,pass,-1.03692705,1.03692705,sell,60095.08522918,60096,9.1477082,1.5,touch,Alo,True,0,-0,-1.5,binance_source_age_low,basis_high,False,False,False,False
481,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:481,would_submit,,pass,-1.12382763,1.12382763,sell,60095.05046895,60096,9.49531052,1.5,touch,Alo,True,0,-0,-1.5,binance_source_age_high,basis_mid,False,False,False,False
485,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:485,would_submit,,pass,-1.10370603,1.10370603,sell,60095.05851759,60096,9.41482412,1.5,touch,Alo,True,0,-0,-1.5,binance_source_age_low,basis_mid,False,False,False,False
489,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:489,would_submit,,pass,-1.15307612,1.15307612,sell,60089.03876955,60090,9.61230448,1.5,touch,Alo,True,0,-0,-1.5,binance_source_age_mid,basis_high,False,False,False,False
518,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:518,would_submit,,pass,3.59470687,3.59470687,buy,60095.93788275,60094,19.37882748,1.5,touch,Alo,True,0,0,-1.5,binance_source_age_high,basis_high,False,False,False,False
526,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:526,would_submit,,pass,-3.03669341,3.03669341,sell,60105.28532264,60107,17.14677364,1.5,touch,Alo,True,0,-0,-1.5,binance_source_age_mid,basis_high,False,False,False,False
531,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:531,would_submit,,pass,-1.01316181,1.01316181,sell,60096.09473528,60097,9.05264724,1.5,touch,Alo,True,0,-0,-1.5,binance_source_age_high,basis_high,False,False,False,False
543,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:543,would_submit,,pass,11.30736679,11.30736679,buy,60094.02294672,60089,50.22946716,1.5,touch,Alo,True,0,0,-1.5,binance_source_age_low,basis_high,False,False,False,False
544,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:544,would_submit,,pass,-2.06922236,2.06922236,sell,60088.67231106,60090,13.27688944,1.5,touch,Alo,True,0,-0,-1.5,binance_source_age_mid,basis_high,False,False,False,False
577,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:577,would_submit,,pass,1.35678882,1.35678882,buy,60062.04271553,60061,10.42715528,1.5,touch,Alo,True,40,40,38.5,binance_source_age_low,basis_high,False,False,False,False
578,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:578,would_submit,,pass,-1.09344786,1.09344786,sell,60061.06262086,60062,9.37379144,1.5,touch,Alo,True,0,-0,-1.5,binance_source_age_mid,basis_high,False,False,False,False
609,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:609,would_submit,,pass,-1.08956391,1.08956391,sell,60060.06417444,60061,9.35825564,1.5,touch,Alo,True,0,-0,-1.5,binance_source_age_high,basis_high,False,False,False,False
652,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:652,would_submit,,pass,-1.08796199,1.08796199,sell,60034.0648152,60035,9.35184796,1.5,touch,Alo,True,0,-0,-1.5,binance_source_age_mid,basis_high,False,False,False,False
654,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:654,would_submit,,pass,-1.07786184,1.07786184,sell,60034.06885526,60035,9.31144736,1.5,touch,Alo,True,0,-0,-1.5,binance_source_age_low,basis_high,False,False,False,False
655,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:655,would_submit,,pass,-1.08693635,1.08693635,sell,60034.06522546,60035,9.3477454,1.5,touch,Alo,True,0,-0,-1.5,binance_source_age_high,basis_high,False,False,False,False
659,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:659,would_submit,,pass,-3.44083462,3.44083462,sell,60033.12366615,60035,18.76333848,1.5,touch,Alo,True,20,-20,-21.5,binance_source_age_high,basis_high,False,False,False,False
661,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:661,would_submit,,pass,-1.10997815,1.10997815,sell,60036.05600874,60037,9.4399126,1.5,touch,Alo,True,0,-0,-1.5,binance_source_age_mid,basis_high,False,False,False,False
663,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:663,would_submit,,pass,-1.02948391,1.02948391,sell,60036.08820644,60037,9.11793564,1.5,touch,Alo,True,0,-0,-1.5,binance_source_age_mid,basis_mid,False,False,False,False
687,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:687,would_submit,,pass,3.5044573,3.5044573,buy,60014.90178292,60013,19.0178292,1.5,touch,Alo,True,10,10,8.5,binance_source_age_low,basis_high,False,False,False,False
700,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:700,would_submit,,pass,-1.07289181,1.07289181,sell,60019.07084328,60020,9.29156724,1.5,touch,Alo,True,0,-0,-1.5,binance_source_age_low,basis_high,False,False,False,False
701,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:701,would_submit,,pass,-1.08456973,1.08456973,sell,60019.06617211,60020,9.33827892,1.5,touch,Alo,True,0,-0,-1.5,binance_source_age_mid,basis_high,False,False,False,False
702,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:702,would_submit,,pass,-1.12258264,1.12258264,sell,60019.05096694,60020,9.49033056,1.5,touch,Alo,True,-75,75,73.5,binance_source_age_high,basis_high,False,False,False,False
724,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:724,would_submit,,pass,-1.01593643,1.01593643,sell,60016.09362543,60017,9.06374572,1.5,touch,Alo,True,0,-0,-1.5,binance_source_age_high,basis_high,False,False,False,False
725,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:725,would_submit,,pass,-1.01204113,1.01204113,sell,60016.09518355,60017,9.04816452,1.5,touch,Alo,True,-40,40,38.5,binance_source_age_mid,basis_high,False,False,False,False
734,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:734,would_submit,,pass,-1.01192563,1.01192563,sell,59995.09522975,59996,9.04770252,1.5,touch,Alo,True,-5,5,3.5,binance_source_age_high,basis_high,False,False,False,False
743,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:743,would_submit,,pass,1.00724251,1.00724251,buy,60014.902897,60014,9.02897004,1.5,touch,Alo,True,0,0,-1.5,binance_source_age_low,basis_high,False,False,False,False
748,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:748,would_submit,,pass,-1.00821992,1.00821992,sell,60020.09671203,60021,9.03287968,1.5,touch,Alo,True,0,-0,-1.5,binance_source_age_high,basis_high,False,False,False,False
750,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:750,would_submit,,pass,-1.0130528,1.0130528,sell,60020.09477888,60021,9.0522112,1.5,touch,Alo,True,0,-0,-1.5,binance_source_age_high,basis_high,False,False,False,False
751,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:751,would_submit,,pass,-1.10985472,1.10985472,sell,60020.05605811,60021,9.43941888,1.5,touch,Alo,True,0,-0,-1.5,binance_source_age_mid,basis_high,False,False,False,False
767,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:767,would_submit,,pass,-1.10313349,1.10313349,sell,60021.0587466,60022,9.41253396,1.5,touch,Alo,True,0,-0,-1.5,binance_source_age_low,basis_mid,False,False,False,False
773,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:773,would_submit,,pass,-1.12375083,1.12375083,sell,60008.05049967,60009,9.49500332,1.5,touch,Alo,True,80,-80,-81.5,binance_source_age_mid,basis_high,False,False,False,False
776,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:776,would_submit,,pass,4.26399809,4.26399809,buy,60018.20559924,60016,22.05599236,1.5,touch,Alo,True,0,0,-1.5,binance_source_age_high,basis_high,False,False,False,False
781,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:781,would_submit,,pass,-1.13962031,1.13962031,sell,60016.04415188,60017,9.55848124,1.5,touch,Alo,True,-10,10,8.5,binance_source_age_high,basis_low,False,False,False,False
782,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:782,would_submit,,pass,-3.29191875,3.29191875,sell,60015.1832325,60017,18.167675,1.5,touch,Alo,True,-60,60,58.5,binance_source_age_high,basis_low,False,False,False,False
798,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:798,would_submit,,pass,7.89824722,7.89824722,buy,59993.65929889,59990,36.59298888,1.5,touch,Alo,True,0,0,-1.5,binance_source_age_high,basis_high,False,False,False,False
801,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:801,would_submit,,pass,-1.11975343,1.11975343,sell,59990.05209863,59991,9.47901372,1.5,touch,Alo,True,0,-0,-1.5,binance_source_age_low,basis_high,False,False,False,False
802,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:802,would_submit,,pass,-1.0678933,1.0678933,sell,59990.07284268,59991,9.2715732,1.5,touch,Alo,True,0,-0,-1.5,binance_source_age_high,basis_high,False,False,False,False
804,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:804,would_submit,,pass,-1.04924656,1.04924656,sell,59990.08030138,59991,9.19698624,1.5,touch,Alo,True,0,-0,-1.5,binance_source_age_high,basis_high,False,False,False,False
806,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:806,would_submit,,pass,-1.0520647,1.0520647,sell,59990.07917412,59991,9.2082588,1.5,touch,Alo,True,0,-0,-1.5,binance_source_age_low,basis_high,False,False,False,False
808,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:808,would_submit,,pass,-1.03749464,1.03749464,sell,59990.08500214,59991,9.14997856,1.5,touch,Alo,True,-110,110,108.5,binance_source_age_high,basis_high,False,False,False,False
